Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
3IINFOTECH,EQ,02-Jan-2006,191.25,191.95,200.95,191.80,194.55,194.95,196.86,1916139,3772.20,-,389441,20.32
3IINFOTECH,EQ,03-Jan-2006,194.95,195.90,196.50,191.00,193.00,193.25,193.39,725638,1403.29,-,258161,35.58
3IINFOTECH,EQ,04-Jan-2006,193.25,194.95,196.00,190.20,190.20,191.05,193.11,1032297,1993.43,-,257427,24.94
3IINFOTECH,EQ,05-Jan-2006,191.05,192.40,193.40,186.25,187.00,187.10,189.38,757048,1433.70,-,230701,30.47
3IINFOTECH,EQ,06-Jan-2006,187.10,187.50,193.35,187.10,188.70,188.65,189.94,652710,1239.74,-,167231,25.62
3IINFOTECH,EQ,09-Jan-2006,188.65,190.30,192.45,188.60,189.00,189.40,190.05,407937,775.29,-,131894,32.33
3IINFOTECH,EQ,10-Jan-2006,189.40,190.80,193.90,184.90,187.05,189.55,189.68,1084024,2056.17,-,230594,21.27
3IINFOTECH,EQ,12-Jan-2006,189.55,185.00,188.00,179.90,180.75,181.10,183.20,773191,1416.48,-,335410,43.38
3IINFOTECH,EQ,13-Jan-2006,181.10,180.90,185.50,180.50,180.75,181.00,183.07,601987,1102.06,-,190015,31.56
3IINFOTECH,EQ,16-Jan-2006,181.00,181.80,181.80,178.00,178.85,178.40,179.66,296236,532.22,-,102475,34.59
3IINFOTECH,EQ,17-Jan-2006,178.40,179.00,186.65,176.80,177.50,177.45,181.34,744662,1350.35,-,202500,27.19
3IINFOTECH,EQ,18-Jan-2006,177.45,178.00,183.00,175.50,179.30,179.20,179.84,647605,1164.63,-,127954,19.76
3IINFOTECH,EQ,19-Jan-2006,179.20,180.00,184.50,180.00,183.00,183.05,182.87,505477,924.39,-,156121,30.89
3IINFOTECH,EQ,20-Jan-2006,183.05,184.40,189.40,183.50,185.20,185.10,186.22,926273,1724.92,-,265686,28.68
3IINFOTECH,EQ,23-Jan-2006,185.10,185.90,187.00,181.05,183.00,183.15,183.94,451490,830.46,-,131575,29.14
3IINFOTECH,EQ,24-Jan-2006,183.15,185.25,191.60,185.00,188.50,187.75,188.44,1043398,1966.22,-,301371,28.88
3IINFOTECH,EQ,25-Jan-2006,187.75,189.65,190.95,182.05,183.50,183.10,186.48,391226,729.58,-,153941,39.35
3IINFOTECH,EQ,27-Jan-2006,183.10,185.00,185.85,179.00,180.50,180.35,181.69,297286,540.14,-,130514,43.90
3IINFOTECH,EQ,30-Jan-2006,180.35,182.30,183.70,179.05,181.20,180.45,181.38,291511,528.75,-,108835,37.33
3IINFOTECH,EQ,31-Jan-2006,180.45,182.40,187.25,180.10,181.60,181.45,183.40,486284,891.83,-,105092,21.61
3IINFOTECH,EQ,01-Feb-2006,181.45,182.10,183.30,175.65,176.50,176.40,179.08,262538,470.14,-,105753,40.28
3IINFOTECH,EQ,02-Feb-2006,176.40,178.00,179.65,173.60,176.95,175.45,176.50,251349,443.64,-,75916,30.20
3IINFOTECH,EQ,03-Feb-2006,175.45,174.90,175.80,169.00,171.30,170.90,172.69,210346,363.25,-,102749,48.85
3IINFOTECH,EQ,06-Feb-2006,170.90,171.45,174.85,170.00,174.00,173.30,172.69,236001,407.56,-,83218,35.26
3IINFOTECH,EQ,07-Feb-2006,173.30,174.00,181.20,173.50,181.20,178.30,176.78,371740,657.17,-,141165,37.97
3IINFOTECH,EQ,08-Feb-2006,178.30,181.75,185.75,180.00,181.50,181.95,182.91,849827,1554.44,-,190959,22.47
3IINFOTECH,EQ,10-Feb-2006,181.95,183.20,183.40,178.05,179.00,179.00,180.02,308572,555.49,-,144926,46.97
3IINFOTECH,EQ,13-Feb-2006,179.00,180.60,180.60,177.05,178.00,177.65,178.25,216000,385.02,-,98860,45.77
3IINFOTECH,EQ,14-Feb-2006,177.65,179.00,182.50,175.60,178.25,178.50,178.86,381623,682.56,-,92546,24.25
