Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
FINANTECH,BE,02-Jan-2006,1297.40,1303.00,1355.00,1286.00,1315.50,1326.15,1330.64,6108,81.28,-,-,-
FINANTECH,BE,03-Jan-2006,1326.15,1335.00,1350.00,1260.00,1350.00,1315.15,1319.89,17693,233.53,-,-,-
FINANTECH,BE,04-Jan-2006,1315.15,1334.90,1335.00,1292.00,1294.00,1294.95,1296.47,24751,320.89,-,-,-
FINANTECH,BE,05-Jan-2006,1294.95,1280.00,1299.00,1271.15,1271.15,1280.70,1282.91,5514,70.74,-,-,-
FINANTECH,BE,06-Jan-2006,1280.70,1300.00,1303.00,1280.00,1293.00,1295.95,1296.17,10163,131.73,-,-,-
FINANTECH,BE,09-Jan-2006,1295.95,1350.00,1350.00,1295.00,1320.05,1332.50,1316.17,10129,133.32,-,-,-
FINANTECH,BE,10-Jan-2006,1332.50,1348.00,1379.95,1312.00,1343.00,1371.45,1357.72,23758,322.57,-,-,-
FINANTECH,BE,12-Jan-2006,1371.45,1360.00,1395.00,1326.00,1365.00,1367.55,1369.39,8922,122.18,-,-,-
FINANTECH,BE,13-Jan-2006,1367.55,1380.00,1380.00,1301.05,1301.05,1318.80,1341.81,6074,81.50,-,-,-
FINANTECH,BE,16-Jan-2006,1318.80,1320.00,1355.00,1290.10,1355.00,1349.45,1331.77,10080,134.24,-,-,-
FINANTECH,BE,17-Jan-2006,1349.45,1347.90,1347.90,1310.00,1315.00,1311.55,1322.84,4900,64.82,-,-,-
FINANTECH,BE,18-Jan-2006,1311.55,1301.00,1318.45,1280.00,1290.00,1294.60,1300.14,4309,56.02,-,-,-
FINANTECH,BE,19-Jan-2006,1294.60,1314.00,1314.00,1230.00,1284.00,1259.15,1271.76,4626,58.83,-,-,-
FINANTECH,BE,20-Jan-2006,1259.15,1290.00,1290.00,1263.10,1275.00,1271.80,1275.39,5562,70.94,-,-,-
