Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
8KMILES,EQ,29-Jan-2014,101.30,107.00,108.00,97.50,97.60,98.35,100.54,24034,24.16,139,7243,30.14
8KMILES,EQ,30-Jan-2014,98.35,101.25,101.25,96.90,98.25,98.20,97.93,4599,4.50,61,2690,58.49
8KMILES,EQ,31-Jan-2014,98.20,97.05,103.00,97.05,102.00,101.95,101.24,6672,6.75,46,6310,94.57
8KMILES,EQ,03-Feb-2014,101.95,102.95,114.00,102.95,110.00,111.20,109.88,48716,53.53,360,26051,53.48
8KMILES,EQ,04-Feb-2014,111.20,111.00,119.35,110.00,116.50,116.50,115.47,106902,123.44,1198,45409,42.48
8KMILES,EQ,05-Feb-2014,116.50,118.35,120.50,114.00,117.00,116.85,117.10,14636,17.14,262,7018,47.95
8KMILES,EQ,06-Feb-2014,116.85,117.00,118.35,110.00,110.25,111.30,113.23,14082,15.95,200,8231,58.45
8KMILES,EQ,07-Feb-2014,111.30,117.30,117.30,111.05,112.00,112.00,111.92,1681,1.88,37,963,57.29
8KMILES,EQ,10-Feb-2014,112.00,114.30,118.00,112.80,116.45,116.00,115.71,11008,12.74,160,6717,61.02
8KMILES,EQ,11-Feb-2014,116.00,114.05,115.70,112.40,115.70,113.90,113.92,1232,1.40,23,1211,98.30
8KMILES,EQ,12-Feb-2014,113.90,115.00,117.50,115.00,115.10,115.05,116.04,16790,19.48,166,9032,53.79
8KMILES,EQ,13-Feb-2014,115.05,117.00,120.00,115.00,117.00,117.25,116.89,11270,13.17,109,7702,68.34
8KMILES,EQ,14-Feb-2014,117.25,119.90,130.00,96.05,98.95,98.40,99.25,98264,97.52,469,30763,31.31
8KMILES,EQ,17-Feb-2014,98.40,98.50,106.80,98.45,104.10,104.80,102.79,9529,9.79,315,5367,56.32
8KMILES,EQ,18-Feb-2014,104.80,105.75,113.95,105.75,110.00,110.35,110.93,19130,21.22,303,14915,77.97
8KMILES,EQ,19-Feb-2014,110.35,113.90,113.90,110.55,112.85,112.05,112.10,4362,4.89,114,3199,73.34
8KMILES,EQ,20-Feb-2014,112.05,112.00,118.65,110.30,113.00,113.70,115.62,67533,78.08,647,44414,65.77
8KMILES,EQ,21-Feb-2014,113.70,115.90,116.85,112.05,116.85,115.25,114.70,4427,5.08,137,1530,34.56
8KMILES,EQ,24-Feb-2014,115.25,111.55,117.60,111.55,113.25,113.15,114.26,3168,3.62,21,2884,91.04
8KMILES,EQ,25-Feb-2014,113.15,114.95,115.00,109.00,114.35,112.50,112.12,5524,6.19,93,1029,18.63
8KMILES,EQ,26-Feb-2014,112.50,98.00,116.00,98.00,111.00,111.65,114.52,32326,37.02,82,31013,95.94
8KMILES,EQ,28-Feb-2014,111.65,112.50,114.40,105.00,108.25,108.45,109.48,10089,11.05,144,7863,77.94
8KMILES,EQ,03-Mar-2014,108.45,108.45,116.00,105.50,112.95,112.35,111.50,47524,52.99,327,15472,32.56
8KMILES,EQ,04-Mar-2014,112.35,108.60,115.65,108.60,112.50,112.15,112.88,26579,30.00,185,21471,80.78
8KMILES,EQ,05-Mar-2014,112.15,110.70,124.00,110.70,115.00,116.00,116.94,23301,27.25,601,10747,46.12
8KMILES,EQ,06-Mar-2014,116.00,113.05,118.00,113.05,116.00,115.60,116.66,4017,4.69,124,3191,79.44
8KMILES,EQ,07-Mar-2014,115.60,112.00,117.95,107.10,112.00,111.20,111.68,16741,18.70,167,7203,43.03
8KMILES,EQ,10-Mar-2014,111.20,110.00,115.00,110.00,112.00,112.05,113.66,7036,8.00,121,5141,73.07
8KMILES,EQ,11-Mar-2014,112.05,111.05,113.85,110.50,111.00,111.05,111.07,225,0.25,8,215,95.56
8KMILES,EQ,12-Mar-2014,111.05,110.20,111.00,108.50,109.00,109.85,109.93,19111,21.01,114,18536,96.99
