Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AARVEEDEN,EQ,21-Nov-2006,50.30,53.85,59.00,53.85,57.20,55.95,56.60,41811,23.66,-,8787,21.02
AARVEEDEN,EQ,22-Nov-2006,55.95,58.00,62.55,50.50,60.00,57.95,56.35,31971,18.02,-,8486,26.54
AARVEEDEN,EQ,23-Nov-2006,57.95,60.00,60.00,54.80,55.50,55.50,55.82,5553,3.10,-,3110,56.01
AARVEEDEN,EQ,24-Nov-2006,55.50,56.00,60.00,53.55,56.15,56.35,57.11,8304,4.74,-,5570,67.08
AARVEEDEN,EQ,27-Nov-2006,56.35,56.00,59.00,55.00,55.60,56.55,57.14,3964,2.26,-,1798,45.36
AARVEEDEN,EQ,28-Nov-2006,56.55,60.00,60.00,55.50,57.60,57.25,57.08,3782,2.16,-,1886,49.87
AARVEEDEN,EQ,29-Nov-2006,57.25,57.50,58.70,56.40,56.40,56.40,57.44,2790,1.60,-,2115,75.81
AARVEEDEN,EQ,30-Nov-2006,56.40,59.40,67.00,57.25,63.00,63.60,63.30,28801,18.23,-,18161,63.06
AARVEEDEN,EQ,01-Dec-2006,63.60,66.00,68.00,63.35,64.00,64.50,66.03,20725,13.68,-,11376,54.89
AARVEEDEN,EQ,04-Dec-2006,64.50,65.20,65.20,58.00,58.00,58.65,61.51,57087,35.11,-,20298,35.56
AARVEEDEN,EQ,05-Dec-2006,58.65,62.35,63.10,60.00,60.20,60.95,61.49,15912,9.78,-,8348,52.46
AARVEEDEN,EQ,06-Dec-2006,60.95,62.00,63.10,59.80,62.05,62.35,61.49,8688,5.34,-,5721,65.85
AARVEEDEN,EQ,07-Dec-2006,62.35,63.00,66.00,63.00,65.20,65.10,65.18,12924,8.42,-,5170,40.00
AARVEEDEN,EQ,08-Dec-2006,65.10,66.85,67.00,56.25,59.50,58.70,59.86,43860,26.26,-,17892,40.79
AARVEEDEN,EQ,11-Dec-2006,58.70,61.00,61.80,59.00,59.20,60.25,60.26,54902,33.09,-,4491,8.18
AARVEEDEN,EQ,12-Dec-2006,60.25,54.10,61.45,53.00,60.00,59.85,60.51,35454,21.45,-,13520,38.13
AARVEEDEN,EQ,13-Dec-2006,59.85,58.00,61.50,57.25,61.50,60.30,59.89,52209,31.27,-,16619,31.83
AARVEEDEN,EQ,14-Dec-2006,60.30,61.00,72.40,60.40,72.40,72.40,65.67,768326,504.54,-,630295,82.03
AARVEEDEN,EQ,15-Dec-2006,72.40,74.25,86.90,74.25,79.35,79.70,80.85,1446181,1169.26,-,192683,13.32
AARVEEDEN,EQ,18-Dec-2006,79.70,80.90,91.30,74.55,87.00,87.45,83.91,719576,603.78,-,136425,18.96
AARVEEDEN,EQ,19-Dec-2006,87.45,87.00,92.40,85.25,85.25,86.15,88.73,461188,409.20,-,87163,18.90
AARVEEDEN,EQ,20-Dec-2006,86.15,87.70,88.50,80.10,82.30,81.10,84.93,131306,111.52,-,29977,22.83
AARVEEDEN,EQ,21-Dec-2006,81.10,81.85,81.85,77.20,77.35,77.60,78.78,69225,54.54,-,19118,27.62
