Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ADANIEXPO,EQ,02-Jan-2006,58.95,59.60,60.20,59.20,59.85,59.90,59.88,453526,271.55,-,249509,55.02
ADANIEXPO,EQ,03-Jan-2006,59.90,60.90,61.60,60.05,60.50,60.60,60.66,409106,248.15,-,65158,15.93
ADANIEXPO,EQ,04-Jan-2006,60.60,61.25,61.50,60.80,60.95,60.95,60.97,416706,254.08,-,159643,38.31
ADANIEXPO,EQ,05-Jan-2006,60.95,61.20,61.60,60.30,60.45,60.50,60.85,419282,255.12,-,32670,7.79
ADANIEXPO,EQ,06-Jan-2006,60.50,60.75,61.50,60.05,61.10,60.95,60.95,492836,300.36,-,48142,9.77
ADANIEXPO,EQ,09-Jan-2006,60.95,60.15,61.50,60.15,61.00,61.05,60.92,393332,239.62,-,41930,10.66
ADANIEXPO,EQ,10-Jan-2006,61.05,61.80,61.80,60.25,60.25,60.50,60.85,410688,249.89,-,20635,5.02
ADANIEXPO,EQ,12-Jan-2006,60.50,60.55,61.00,60.20,60.20,60.45,60.61,445004,269.70,-,33515,7.53
ADANIEXPO,EQ,13-Jan-2006,60.45,60.45,61.00,59.80,60.00,60.25,60.73,445989,270.84,-,37765,8.47
ADANIEXPO,EQ,16-Jan-2006,60.25,60.75,60.75,59.75,60.40,59.95,60.20,426811,256.95,-,16815,3.94
ADANIEXPO,EQ,17-Jan-2006,59.95,60.20,60.45,59.05,60.20,60.00,60.01,453073,271.88,-,97241,21.46
ADANIEXPO,EQ,18-Jan-2006,60.00,59.80,60.20,59.15,60.00,60.05,59.79,394685,235.97,-,58928,14.93
ADANIEXPO,EQ,19-Jan-2006,60.05,60.80,61.10,60.00,61.00,60.70,60.81,432249,262.85,-,40949,9.47
ADANIEXPO,EQ,20-Jan-2006,60.70,61.25,61.90,60.10,61.25,61.35,61.16,526301,321.90,-,83588,15.88
ADANIEXPO,EQ,23-Jan-2006,61.35,60.25,61.50,60.20,60.20,60.20,60.63,375971,227.96,-,23211,6.17
ADANIEXPO,EQ,24-Jan-2006,60.20,60.80,60.90,60.30,60.50,60.60,60.57,420295,254.56,-,40893,9.73
ADANIEXPO,EQ,25-Jan-2006,60.60,58.00,60.60,58.00,60.00,60.10,59.99,435532,261.27,-,33916,7.79
ADANIEXPO,EQ,27-Jan-2006,60.10,60.00,61.00,59.80,60.05,60.10,60.29,409400,246.83,-,36147,8.83
ADANIEXPO,EQ,30-Jan-2006,60.10,60.95,61.95,60.00,60.20,60.25,60.38,399972,241.50,-,35691,8.92
ADANIEXPO,EQ,31-Jan-2006,60.25,60.25,60.45,60.00,60.00,60.00,60.17,312327,187.92,-,43889,14.05
ADANIEXPO,EQ,01-Feb-2006,60.00,60.00,60.50,59.25,59.45,59.80,59.75,359871,215.03,-,33277,9.25
ADANIEXPO,EQ,02-Feb-2006,59.80,59.45,59.90,57.90,58.10,58.10,58.66,409884,240.42,-,27354,6.67
ADANIEXPO,EQ,03-Feb-2006,58.10,58.40,58.45,57.35,57.75,57.75,57.79,368097,212.73,-,24835,6.75
ADANIEXPO,EQ,06-Feb-2006,57.75,57.20,60.45,57.20,59.45,59.50,59.43,379480,225.53,-,40945,10.79
ADANIEXPO,EQ,07-Feb-2006,59.50,59.90,60.35,58.30,58.40,58.55,59.04,425666,251.29,-,50625,11.89
ADANIEXPO,EQ,08-Feb-2006,58.55,58.00,58.20,57.40,57.80,57.70,57.79,417378,241.22,-,25665,6.15
ADANIEXPO,EQ,10-Feb-2006,57.70,58.30,60.40,57.50,57.65,57.75,58.06,425941,247.28,-,30604,7.19
ADANIEXPO,EQ,13-Feb-2006,57.75,58.20,58.55,57.60,58.05,58.05,58.19,457549,266.24,-,19665,4.30
ADANIEXPO,EQ,14-Feb-2006,58.05,59.00,59.00,57.70,57.90,57.95,58.00,378530,219.54,-,23694,6.26
ADANIEXPO,EQ,15-Feb-2006,57.95,58.45,58.60,57.70,57.75,57.95,57.99,402021,233.13,-,24092,5.99
ADANIEXPO,EQ,16-Feb-2006,57.95,58.45,64.00,57.75,60.00,59.95,61.03,483924,295.36,-,111758,23.09
ADANIEXPO,EQ,17-Feb-2006,59.95,59.95,61.70,57.75,58.00,58.00,59.61,428325,255.30,-,33757,7.88
ADANIEXPO,EQ,20-Feb-2006,58.00,58.05,58.30,57.10,57.95,57.50,57.82,450562,260.50,-,37977,8.43
ADANIEXPO,EQ,21-Feb-2006,57.50,58.00,58.95,57.55,58.00,57.90,58.17,561743,326.79,-,223308,39.75
ADANIEXPO,EQ,22-Feb-2006,57.90,57.80,59.55,57.75,57.85,58.05,58.06,505807,293.67,-,16111,3.19
ADANIEXPO,EQ,23-Feb-2006,58.05,58.05,58.70,57.15,57.15,57.45,57.60,451112,259.82,-,24443,5.42
ADANIEXPO,EQ,24-Feb-2006,57.45,57.75,58.05,57.00,57.40,57.45,57.47,549775,315.94,-,186661,33.95
ADANIEXPO,EQ,27-Feb-2006,57.45,57.65,58.90,57.40,57.75,57.55,57.81,415351,240.12,-,18457,4.44
ADANIEXPO,EQ,28-Feb-2006,57.55,58.35,59.00,57.05,57.05,57.60,57.96,432958,250.95,-,69844,16.13
ADANIEXPO,EQ,01-Mar-2006,57.60,57.10,60.00,57.10,57.75,57.85,58.09,480585,279.19,-,39135,8.14
ADANIEXPO,EQ,02-Mar-2006,57.85,58.00,58.50,57.30,57.45,57.70,57.72,618607,357.05,-,255374,41.28
ADANIEXPO,EQ,03-Mar-2006,57.70,58.20,58.50,57.05,57.05,57.35,57.45,460249,264.42,-,21084,4.58
ADANIEXPO,EQ,06-Mar-2006,57.35,58.50,58.55,56.70,57.00,57.05,57.09,439546,250.95,-,37165,8.46
ADANIEXPO,EQ,07-Mar-2006,57.05,57.60,57.60,55.00,55.00,56.30,56.86,420875,239.32,-,42027,9.99
ADANIEXPO,EQ,08-Mar-2006,56.30,56.95,58.00,56.15,56.40,56.60,56.77,595310,337.93,-,195686,32.87
ADANIEXPO,EQ,09-Mar-2006,56.60,57.35,57.35,55.50,56.85,56.90,56.04,538907,301.98,-,152700,28.34
ADANIEXPO,EQ,10-Mar-2006,56.90,56.25,57.40,56.20,56.70,56.45,56.77,396611,225.17,-,43330,10.93
ADANIEXPO,EQ,13-Mar-2006,56.45,56.50,57.25,56.05,56.10,56.25,56.35,548403,309.01,-,218780,39.89
ADANIEXPO,EQ,14-Mar-2006,56.25,56.20,56.55,55.60,55.75,56.05,56.16,433071,243.20,-,39122,9.03
ADANIEXPO,EQ,16-Mar-2006,56.05,56.85,56.90,55.25,56.00,55.75,55.81,552641,308.44,-,202524,36.65
ADANIEXPO,EQ,17-Mar-2006,55.75,55.20,56.00,55.10,55.75,55.75,55.44,513718,284.82,-,151132,29.42
ADANIEXPO,EQ,20-Mar-2006,55.75,56.50,60.00,56.05,56.05,56.30,56.55,414082,234.17,-,30164,7.28
ADANIEXPO,EQ,21-Mar-2006,56.30,56.95,57.00,55.70,55.95,55.75,55.89,392313,219.27,-,19394,4.94
ADANIEXPO,EQ,22-Mar-2006,55.75,56.85,56.85,55.00,55.25,55.20,55.33,338422,187.25,-,20156,5.96
