Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ADLABS,EQ,06-Apr-2015,180.00,162.20,194.60,155.20,191.50,192.65,184.91,9021323,16681.08,83906,1347958,14.94
ADLABS,EQ,07-Apr-2015,192.65,192.25,207.00,184.80,185.40,185.80,194.94,1743051,3397.85,24090,393121,22.55
ADLABS,EQ,08-Apr-2015,185.80,187.00,188.00,176.70,178.50,178.80,181.40,353582,641.39,6101,97695,27.63
ADLABS,EQ,09-Apr-2015,178.80,179.00,180.85,170.15,171.90,172.25,174.34,216767,377.91,3955,68729,31.71
ADLABS,EQ,10-Apr-2015,172.25,171.00,183.80,165.05,175.50,177.55,173.62,561701,975.20,7766,106043,18.88
ADLABS,EQ,13-Apr-2015,177.55,179.55,179.90,173.10,174.95,174.95,177.27,166933,295.92,2853,56868,34.07
ADLABS,EQ,15-Apr-2015,174.95,174.95,184.00,170.35,175.05,175.90,178.18,344759,614.29,6170,61814,17.93
ADLABS,EQ,16-Apr-2015,175.90,174.40,177.90,171.20,172.05,172.50,174.25,100236,174.66,1974,35752,35.67
ADLABS,EQ,17-Apr-2015,172.50,171.00,174.95,165.60,166.75,167.00,170.19,108023,183.84,2574,33523,31.03
ADLABS,EQ,20-Apr-2015,167.00,166.80,168.90,158.80,160.05,159.80,163.26,75271,122.89,2113,31966,42.47
ADLABS,EQ,21-Apr-2015,159.80,161.00,163.60,155.75,157.75,157.75,158.99,89290,141.96,2218,24467,27.40
ADLABS,EQ,22-Apr-2015,157.75,158.00,164.45,156.00,160.00,159.45,160.95,134378,216.28,2841,32805,24.41
ADLABS,EQ,23-Apr-2015,159.45,159.90,163.85,157.00,157.50,159.15,159.75,99392,158.78,2171,37798,38.03
ADLABS,EQ,24-Apr-2015,159.15,158.50,159.40,141.00,143.00,144.45,148.58,143358,213.00,2576,74215,51.77
ADLABS,EQ,27-Apr-2015,144.45,143.10,143.90,134.05,135.60,135.70,138.88,140731,195.45,2912,72877,51.78
ADLABS,EQ,28-Apr-2015,135.70,135.95,139.80,131.95,136.00,137.30,134.97,444326,599.72,2756,370104,83.30
ADLABS,EQ,29-Apr-2015,137.30,136.25,145.40,134.70,139.70,140.15,140.32,175135,245.74,3489,39707,22.67
ADLABS,EQ,30-Apr-2015,140.15,143.00,143.95,136.00,140.70,140.65,141.73,88393,125.28,2828,37303,42.20
ADLABS,EQ,04-May-2015,140.65,142.00,150.00,141.00,142.30,143.95,144.93,109865,159.23,2528,42122,38.34
ADLABS,EQ,05-May-2015,143.95,142.30,148.35,138.10,146.40,146.95,141.34,339292,479.54,3137,237696,70.06
