Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ALANKIT,EQ,30-Jun-2015,219.40,220.10,226.00,220.10,224.40,224.00,224.63,185431,416.53,997,22245,12.00
ALANKIT,EQ,01-Jul-2015,224.00,224.05,227.30,224.05,226.20,225.50,225.57,103133,232.64,914,20899,20.26
ALANKIT,EQ,02-Jul-2015,225.50,225.05,225.90,224.75,224.90,224.90,225.14,127117,286.19,994,32902,25.88
ALANKIT,EQ,03-Jul-2015,224.90,227.00,227.00,222.00,226.00,226.00,226.33,106622,241.32,895,20845,19.55
ALANKIT,EQ,06-Jul-2015,226.00,223.00,230.40,220.90,230.40,229.10,223.66,119432,267.13,693,27304,22.86
ALANKIT,EQ,07-Jul-2015,229.10,230.70,231.45,223.60,224.05,224.40,229.34,123385,282.97,972,19996,16.21
ALANKIT,EQ,08-Jul-2015,224.40,223.90,223.90,221.10,221.95,221.20,222.40,104354,232.09,873,21801,20.89
ALANKIT,EQ,09-Jul-2015,221.20,221.55,222.00,215.75,215.75,217.35,220.13,154033,339.07,610,39692,25.77
ALANKIT,EQ,10-Jul-2015,217.35,217.50,218.70,215.70,215.70,216.35,216.80,162349,351.97,683,39612,24.40
ALANKIT,EQ,13-Jul-2015,216.35,216.80,217.20,210.10,215.00,215.05,215.85,157943,340.92,696,38968,24.67
ALANKIT,EQ,14-Jul-2015,215.05,215.05,215.90,212.70,212.70,213.65,213.61,117003,249.93,674,19992,17.09
ALANKIT,EQ,15-Jul-2015,213.65,214.00,215.90,213.05,215.90,215.20,215.38,119484,257.34,666,21783,18.23
ALANKIT,EQ,16-Jul-2015,215.20,215.90,217.30,214.90,215.20,215.55,215.97,148237,320.15,670,31491,21.24
ALANKIT,EQ,17-Jul-2015,215.55,215.10,216.20,214.50,215.60,215.85,215.57,129208,278.54,564,25738,19.92
ALANKIT,EQ,20-Jul-2015,215.85,215.85,217.90,215.20,217.00,217.40,216.18,125981,272.35,504,20968,16.64
ALANKIT,EQ,21-Jul-2015,217.40,217.40,217.90,215.10,215.10,216.65,216.94,115236,250.00,517,21000,18.22
ALANKIT,EQ,22-Jul-2015,216.65,216.60,218.90,215.60,217.20,217.95,216.64,142822,309.41,658,23741,16.62
ALANKIT,EQ,23-Jul-2015,217.95,219.30,219.40,217.60,218.50,218.40,218.38,156004,340.68,762,33305,21.35
ALANKIT,EQ,24-Jul-2015,218.40,219.50,219.90,217.60,218.35,218.30,218.48,185862,406.07,1031,39820,21.42
ALANKIT,EQ,27-Jul-2015,218.30,218.00,219.75,216.50,216.60,216.60,217.61,141284,307.45,1321,27320,19.34
ALANKIT,EQ,28-Jul-2015,216.60,215.70,217.40,215.00,215.00,215.40,216.55,165459,358.30,1173,35587,21.51
