Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ALCHEM,EQ,31-Jul-2007,10.00,95.00,107.90,85.05,90.00,90.65,90.38,199168,180.01,-,23818,11.96
ALCHEM,EQ,01-Aug-2007,90.65,88.90,91.00,86.20,90.00,90.15,89.12,49313,43.95,-,26560,53.86
ALCHEM,EQ,02-Aug-2007,90.15,94.00,95.00,82.60,86.40,86.75,87.58,22595,19.79,-,7762,34.35
ALCHEM,EQ,03-Aug-2007,86.75,87.95,87.95,83.60,83.60,84.30,85.35,14956,12.76,-,8587,57.42
ALCHEM,EQ,06-Aug-2007,84.30,81.00,83.00,78.65,82.00,82.00,81.41,19914,16.21,-,10117,50.80
ALCHEM,EQ,07-Aug-2007,82.00,83.00,90.25,82.30,89.25,89.20,87.67,36387,31.90,-,11512,31.64
ALCHEM,EQ,08-Aug-2007,89.20,85.00,90.40,85.00,90.00,90.00,89.46,38675,34.60,-,17597,45.50
ALCHEM,EQ,09-Aug-2007,90.00,88.50,90.00,85.05,85.05,85.85,88.01,13550,11.93,-,9259,68.33
ALCHEM,EQ,10-Aug-2007,85.85,81.15,88.55,81.15,86.50,86.80,86.32,22600,19.51,-,9583,42.40
ALCHEM,EQ,13-Aug-2007,86.80,88.50,88.90,86.15,87.50,87.65,87.79,17102,15.01,-,8318,48.64
ALCHEM,EQ,14-Aug-2007,87.65,86.10,88.40,85.05,85.60,86.15,87.07,6776,5.90,-,4844,71.49
ALCHEM,EQ,16-Aug-2007,86.15,82.45,92.00,82.45,88.50,89.35,88.44,30437,26.92,-,14069,46.22
ALCHEM,EQ,17-Aug-2007,89.35,86.10,87.00,76.00,82.50,82.75,84.56,20114,17.01,-,10593,52.66
ALCHEM,EQ,20-Aug-2007,82.75,83.00,87.70,83.00,83.50,83.55,84.27,6667,5.62,-,3465,51.97
ALCHEM,EQ,21-Aug-2007,83.55,84.10,84.50,76.15,77.10,78.70,80.78,13746,11.10,-,8692,63.23
ALCHEM,EQ,22-Aug-2007,78.70,80.00,91.80,77.05,86.00,85.65,87.19,59019,51.46,-,16810,28.48
ALCHEM,EQ,23-Aug-2007,85.65,88.55,88.55,81.75,81.90,82.75,85.25,17921,15.28,-,6273,35.00
ALCHEM,EQ,24-Aug-2007,82.75,80.05,98.00,80.05,86.15,86.35,85.30,22028,18.79,-,9757,44.29
ALCHEM,EQ,27-Aug-2007,86.35,87.50,88.90,86.10,86.50,87.00,87.10,9504,8.28,-,5610,59.03
ALCHEM,EQ,28-Aug-2007,87.00,85.00,87.50,85.00,87.00,86.55,86.56,5733,4.96,-,3077,53.67
ALCHEM,EQ,29-Aug-2007,86.55,90.00,90.00,83.00,84.60,85.35,85.43,2947,2.52,-,2224,75.47
ALCHEM,EQ,30-Aug-2007,85.35,84.60,87.90,84.60,87.55,86.95,86.30,12807,11.05,-,8236,64.31
ALCHEM,EQ,31-Aug-2007,86.95,83.20,104.35,83.20,104.35,104.35,100.42,142209,142.80,-,69347,48.76
