Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ENKEI,EQ,03-Oct-2006,312.35,306.00,311.00,306.00,311.00,311.00,308.98,84,0.26,-,84,100.00
ENKEI,EQ,04-Oct-2006,311.00,320.00,320.00,310.25,310.25,310.25,317.21,35,0.11,-,35,100.00
ENKEI,EQ,10-Oct-2006,310.25,328.50,335.00,328.50,335.00,335.00,330.00,31,0.10,-,31,100.00
ENKEI,EQ,11-Oct-2006,335.00,350.00,350.00,350.00,350.00,350.00,350.00,50,0.18,-,50,100.00
ENKEI,EQ,12-Oct-2006,350.00,352.00,352.00,352.00,352.00,352.00,352.00,100,0.35,-,100,100.00
ENKEI,EQ,13-Oct-2006,352.00,356.00,360.00,344.00,359.20,354.80,352.58,276,0.97,-,251,90.94
ENKEI,EQ,16-Oct-2006,354.80,370.00,375.00,365.00,375.00,375.00,370.75,200,0.74,-,200,100.00
ENKEI,EQ,17-Oct-2006,375.00,352.05,375.00,352.05,354.00,368.60,361.71,120,0.43,-,120,100.00
ENKEI,EQ,18-Oct-2006,368.60,368.55,368.55,358.00,358.00,358.00,358.50,21,0.08,-,21,100.00
ENKEI,EQ,19-Oct-2006,358.00,345.00,360.00,345.00,360.00,360.00,346.36,11,0.04,-,11,100.00
ENKEI,EQ,20-Oct-2006,360.00,360.00,360.00,360.00,360.00,360.00,360.00,10,0.04,-,10,100.00
ENKEI,EQ,21-Oct-2006,360.00,365.00,370.00,365.00,370.00,367.65,367.63,19,0.07,-,19,100.00
ENKEI,EQ,23-Oct-2006,367.65,370.00,370.00,370.00,370.00,370.00,370.00,3,0.01,-,3,100.00
ENKEI,EQ,26-Oct-2006,370.00,357.00,371.00,357.00,357.00,366.40,363.51,1319,4.79,-,1008,76.42
ENKEI,EQ,27-Oct-2006,366.40,370.00,375.00,370.00,375.00,375.00,372.73,130,0.48,-,130,100.00
