Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ALKYLAMINE,EQ,26-Nov-2007,9.10,109.25,113.65,84.05,113.65,109.50,99.48,115722,115.12,-,10128,8.75
ALKYLAMINE,EQ,27-Nov-2007,109.50,110.00,110.00,93.20,93.20,97.25,101.81,7937,8.08,-,4084,51.46
ALKYLAMINE,EQ,28-Nov-2007,97.25,108.30,108.30,96.90,98.00,97.35,100.79,3853,3.88,-,2309,59.93
ALKYLAMINE,EQ,29-Nov-2007,97.35,110.00,110.00,83.25,97.15,98.60,97.29,7600,7.39,-,1851,24.36
ALKYLAMINE,EQ,30-Nov-2007,98.60,92.05,104.00,92.05,96.00,98.05,96.87,4631,4.49,-,1119,24.16
ALKYLAMINE,EQ,03-Dec-2007,98.05,106.70,106.70,97.05,101.50,101.25,103.06,497,0.51,-,339,68.21
ALKYLAMINE,EQ,04-Dec-2007,101.25,109.80,109.80,86.00,97.00,97.00,95.80,11,0.01,-,5,45.45
ALKYLAMINE,EQ,05-Dec-2007,97.00,109.80,109.80,91.30,100.85,101.25,101.59,3230,3.28,-,1340,41.49
ALKYLAMINE,EQ,06-Dec-2007,101.25,100.50,105.00,97.00,103.00,103.00,101.65,2393,2.43,-,1343,56.12
ALKYLAMINE,EQ,07-Dec-2007,103.00,108.50,108.50,86.70,99.50,99.65,100.57,1142,1.15,-,939,82.22
ALKYLAMINE,EQ,10-Dec-2007,99.65,97.00,97.90,95.50,96.00,96.10,96.23,901,0.87,-,560,62.15
ALKYLAMINE,EQ,11-Dec-2007,96.10,102.00,102.00,93.00,96.30,96.30,95.69,2255,2.16,-,1057,46.87
ALKYLAMINE,EQ,12-Dec-2007,96.30,95.00,101.00,93.00,98.00,98.00,97.23,429,0.42,-,378,88.11
ALKYLAMINE,EQ,13-Dec-2007,98.00,99.95,101.00,96.50,99.00,99.20,99.80,896,0.89,-,507,56.58
ALKYLAMINE,EQ,14-Dec-2007,99.20,100.00,100.90,96.00,99.00,99.00,98.86,279,0.28,-,239,85.66
ALKYLAMINE,EQ,17-Dec-2007,99.00,102.00,102.00,94.10,99.00,99.00,99.83,2050,2.05,-,2010,98.05
ALKYLAMINE,EQ,18-Dec-2007,99.00,96.20,100.50,96.20,99.90,96.75,97.23,342,0.33,-,243,71.05
ALKYLAMINE,EQ,19-Dec-2007,96.75,100.00,100.00,95.00,96.00,96.45,98.50,997,0.98,-,707,70.91
ALKYLAMINE,EQ,20-Dec-2007,96.45,95.00,97.25,95.00,97.20,97.20,97.01,120,0.12,-,100,83.33
ALKYLAMINE,EQ,24-Dec-2007,97.20,98.10,98.10,98.10,98.10,98.10,98.10,52,0.05,-,52,100.00
ALKYLAMINE,EQ,26-Dec-2007,98.10,96.00,103.00,96.00,103.00,100.85,99.85,242,0.24,-,221,91.32
ALKYLAMINE,EQ,27-Dec-2007,100.85,98.60,109.00,98.60,106.85,106.85,104.56,3064,3.20,-,1632,53.26
ALKYLAMINE,EQ,28-Dec-2007,106.85,109.00,116.50,105.00,110.00,108.15,111.85,3668,4.10,-,2533,69.06
ALKYLAMINE,EQ,31-Dec-2007,108.15,119.00,120.95,114.00,119.80,119.25,118.54,1555,1.84,-,1200,77.17
ALKYLAMINE,EQ,01-Jan-2008,119.25,106.15,124.95,106.15,118.00,115.25,117.36,2115,2.48,-,1860,87.94
ALKYLAMINE,EQ,02-Jan-2008,115.25,117.00,123.00,111.10,121.90,121.90,120.97,22835,27.62,-,22047,96.55
ALKYLAMINE,EQ,03-Jan-2008,121.90,123.15,137.70,120.00,126.00,126.55,127.33,16405,20.89,-,14713,89.69
ALKYLAMINE,EQ,04-Jan-2008,126.55,132.00,133.00,126.05,131.50,129.70,128.93,7747,9.99,-,3115,40.21
ALKYLAMINE,EQ,07-Jan-2008,129.70,132.00,136.90,130.15,133.00,133.00,133.00,2528,3.36,-,1603,63.41
ALKYLAMINE,EQ,08-Jan-2008,133.00,133.50,134.00,124.60,124.60,124.60,127.54,1597,2.04,-,1244,77.90
ALKYLAMINE,EQ,09-Jan-2008,124.60,112.00,126.00,112.00,121.00,121.00,118.52,1335,1.58,-,761,57.00
ALKYLAMINE,EQ,10-Jan-2008,121.00,117.00,118.25,117.00,117.50,117.50,118.05,1340,1.58,-,1340,100.00
ALKYLAMINE,EQ,11-Jan-2008,117.50,115.20,116.05,115.20,116.05,116.05,115.29,556,0.64,-,556,100.00
ALKYLAMINE,EQ,14-Jan-2008,116.05,112.50,115.35,112.10,115.35,115.35,112.42,660,0.74,-,610,92.42
ALKYLAMINE,EQ,15-Jan-2008,115.35,112.30,113.00,112.30,113.00,113.00,112.65,100,0.11,-,50,50.00
ALKYLAMINE,EQ,16-Jan-2008,113.00,109.00,118.00,103.30,117.70,117.70,108.65,261,0.28,-,183,70.11
ALKYLAMINE,EQ,17-Jan-2008,117.70,105.30,125.00,105.30,119.45,119.90,119.99,791,0.95,-,576,72.82
ALKYLAMINE,EQ,18-Jan-2008,119.90,118.05,121.00,118.00,121.00,120.50,119.41,500,0.60,-,300,60.00
ALKYLAMINE,EQ,21-Jan-2008,120.50,115.00,115.00,115.00,115.00,115.00,115.00,782,0.90,-,782,100.00
ALKYLAMINE,EQ,23-Jan-2008,115.00,93.05,115.00,93.05,115.00,115.00,112.56,225,0.25,-,200,88.89
ALKYLAMINE,EQ,24-Jan-2008,115.00,93.00,135.00,93.00,98.00,98.00,106.44,335,0.36,-,188,56.12
ALKYLAMINE,EQ,25-Jan-2008,98.00,111.90,111.90,98.00,100.30,100.30,102.05,1012,1.03,-,307,30.34
ALKYLAMINE,EQ,28-Jan-2008,100.30,89.00,115.00,89.00,109.75,102.40,101.56,1381,1.40,-,1241,89.86
ALKYLAMINE,EQ,29-Jan-2008,102.40,96.30,115.85,96.30,97.00,110.50,108.30,63,0.07,-,33,52.38
ALKYLAMINE,EQ,30-Jan-2008,110.50,117.00,117.00,97.10,115.00,99.05,98.39,1675,1.65,-,915,54.63
ALKYLAMINE,EQ,31-Jan-2008,99.05,87.25,105.00,87.25,103.00,103.00,100.75,418,0.42,-,366,87.56
ALKYLAMINE,EQ,01-Feb-2008,103.00,99.00,99.00,95.15,99.00,99.00,98.62,241,0.24,-,221,91.70
ALKYLAMINE,EQ,04-Feb-2008,99.00,101.80,106.00,100.40,105.00,105.00,102.77,573,0.59,-,568,99.13
ALKYLAMINE,EQ,05-Feb-2008,105.00,87.15,115.00,87.15,109.95,106.45,108.52,2064,2.24,-,769,37.26
ALKYLAMINE,EQ,06-Feb-2008,106.45,96.00,119.50,96.00,111.90,111.90,108.92,1749,1.90,-,744,42.54
ALKYLAMINE,EQ,07-Feb-2008,111.90,131.00,131.00,102.00,110.95,110.00,116.00,1600,1.86,-,428,26.75
ALKYLAMINE,EQ,08-Feb-2008,110.00,101.00,101.00,101.00,101.00,101.00,101.00,30,0.03,-,30,100.00
ALKYLAMINE,EQ,11-Feb-2008,101.00,98.00,99.00,98.00,99.00,99.00,98.01,115,0.11,-,114,99.13
ALKYLAMINE,EQ,12-Feb-2008,99.00,83.20,103.75,83.20,94.00,94.00,93.13,293,0.27,-,253,86.35
ALKYLAMINE,EQ,13-Feb-2008,94.00,94.00,94.00,86.00,91.45,91.15,88.67,474,0.42,-,356,75.11
ALKYLAMINE,EQ,14-Feb-2008,91.15,94.00,104.80,94.00,104.00,104.00,100.48,32,0.03,-,3,9.38
ALKYLAMINE,EQ,15-Feb-2008,104.00,100.00,100.00,93.25,95.00,95.00,96.27,42,0.04,-,5,11.90
ALKYLAMINE,EQ,18-Feb-2008,95.00,107.90,108.50,94.75,102.55,105.20,106.84,366,0.39,-,200,54.64
ALKYLAMINE,EQ,19-Feb-2008,105.20,102.00,104.00,96.50,103.20,103.20,98.83,298,0.29,-,226,75.84
ALKYLAMINE,EQ,20-Feb-2008,103.20,103.20,104.00,95.00,100.50,98.85,99.85,393,0.39,-,316,80.41
ALKYLAMINE,EQ,21-Feb-2008,98.85,95.00,104.75,94.30,95.45,97.95,95.93,5197,4.99,-,5134,98.79
ALKYLAMINE,EQ,22-Feb-2008,97.95,93.00,96.85,88.00,96.85,89.10,94.69,19090,18.08,-,18717,98.05
ALKYLAMINE,EQ,25-Feb-2008,89.10,89.20,96.25,88.25,96.25,92.85,91.28,3543,3.23,-,3350,94.55
ALKYLAMINE,EQ,26-Feb-2008,92.85,95.00,100.00,90.35,90.80,90.80,95.23,264,0.25,-,227,85.98
ALKYLAMINE,EQ,27-Feb-2008,90.80,103.70,108.90,91.30,95.00,94.25,99.70,643,0.64,-,417,64.85
ALKYLAMINE,EQ,03-Mar-2008,94.25,95.00,95.00,89.00,89.00,89.00,90.16,55,0.05,-,50,90.91
ALKYLAMINE,EQ,04-Mar-2008,89.00,92.00,92.00,85.10,90.00,90.00,91.42,2353,2.15,-,2290,97.32
ALKYLAMINE,EQ,05-Mar-2008,90.00,90.00,90.00,90.00,90.00,90.00,90.00,2000,1.80,-,2000,100.00
ALKYLAMINE,EQ,07-Mar-2008,90.00,86.00,107.90,77.50,93.90,93.80,89.52,577,0.52,-,219,37.95
ALKYLAMINE,EQ,10-Mar-2008,93.80,83.00,95.00,83.00,84.00,84.00,86.46,400,0.35,-,50,12.50
ALKYLAMINE,EQ,11-Mar-2008,84.00,68.20,99.00,68.20,98.90,94.55,93.27,149,0.14,-,32,21.48
ALKYLAMINE,EQ,12-Mar-2008,94.55,104.90,104.90,77.10,101.00,97.45,91.31,561,0.51,-,185,32.98
ALKYLAMINE,EQ,13-Mar-2008,97.45,81.10,96.95,81.10,91.70,91.70,87.05,15209,13.24,-,15132,99.49
ALKYLAMINE,EQ,14-Mar-2008,91.70,81.15,86.00,81.15,86.00,86.00,84.87,30,0.03,-,25,83.33
ALKYLAMINE,EQ,17-Mar-2008,86.00,75.00,90.90,75.00,89.55,89.55,75.06,5532,4.15,-,5510,99.60
ALKYLAMINE,EQ,19-Mar-2008,89.55,95.50,95.50,79.20,83.00,83.00,87.61,9731,8.53,-,131,1.35
