Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ANSALINFRA,EQ,27-Jan-2006,12.50,445.00,445.00,402.00,436.00,438.60,432.05,34099,147.33,-,7025,20.60
ANSALINFRA,EQ,30-Jan-2006,438.60,439.90,457.40,429.00,434.00,434.30,441.29,39120,172.63,-,16722,42.75
ANSALINFRA,EQ,31-Jan-2006,434.30,430.05,452.00,430.05,448.05,446.00,444.16,16643,73.92,-,9756,58.62
ANSALINFRA,EQ,01-Feb-2006,446.00,451.95,465.00,433.65,445.00,439.25,451.33,60233,271.85,-,27562,45.76
ANSALINFRA,EQ,02-Feb-2006,439.25,449.90,452.00,435.00,443.45,438.70,444.61,8770,38.99,-,4476,51.04
ANSALINFRA,EQ,03-Feb-2006,438.70,450.00,450.00,434.20,440.00,436.40,439.85,10840,47.68,-,7415,68.40
ANSALINFRA,EQ,06-Feb-2006,436.40,437.00,456.40,436.05,445.05,445.20,445.74,30271,134.93,-,19434,64.20
ANSALINFRA,EQ,07-Feb-2006,445.20,460.00,460.00,442.00,447.00,446.05,449.56,12377,55.64,-,7412,59.89
ANSALINFRA,EQ,08-Feb-2006,446.05,441.05,446.50,435.00,435.10,437.20,439.94,7577,33.33,-,5195,68.56
ANSALINFRA,EQ,10-Feb-2006,437.20,442.50,450.00,437.00,445.05,442.60,442.31,22289,98.59,-,11213,50.31
ANSALINFRA,EQ,13-Feb-2006,442.60,444.50,459.00,433.00,440.00,439.70,442.74,47873,211.95,-,23662,49.43
ANSALINFRA,EQ,14-Feb-2006,439.70,435.25,449.00,435.25,440.00,442.10,443.32,11369,50.40,-,5425,47.72
ANSALINFRA,EQ,15-Feb-2006,442.10,438.00,449.50,432.00,442.10,442.40,443.60,16410,72.79,-,6592,40.17
ANSALINFRA,EQ,16-Feb-2006,442.40,438.10,448.45,438.10,440.00,443.35,444.84,5229,23.26,-,3202,61.24
ANSALINFRA,EQ,17-Feb-2006,443.35,449.00,449.00,428.25,431.00,430.75,442.06,22157,97.95,-,17701,79.89
ANSALINFRA,EQ,20-Feb-2006,430.75,430.00,441.00,429.90,440.00,438.05,436.26,14913,65.06,-,11045,74.06
ANSALINFRA,EQ,21-Feb-2006,438.05,441.00,442.95,435.00,436.00,436.15,439.98,5956,26.20,-,4150,69.68
ANSALINFRA,EQ,22-Feb-2006,436.15,441.95,479.80,435.05,479.80,479.80,469.32,150329,705.52,-,70969,47.21
ANSALINFRA,EQ,23-Feb-2006,479.80,493.25,493.25,456.00,464.00,459.30,467.64,42133,197.03,-,21012,49.87
ANSALINFRA,EQ,24-Feb-2006,459.30,454.00,476.90,453.05,475.80,472.60,468.26,15492,72.54,-,7857,50.72
ANSALINFRA,EQ,27-Feb-2006,472.60,481.00,519.90,481.00,519.90,519.90,512.39,181917,932.13,-,126478,69.53
ANSALINFRA,EQ,28-Feb-2006,519.90,525.85,571.90,525.85,571.90,565.85,553.85,210885,1167.99,-,68381,32.43
