Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ANSALHSG,EQ,06-Oct-2006,216.30,246.00,261.70,242.00,261.70,261.70,257.57,155103,399.50,-,62552,40.33
ANSALHSG,EQ,09-Oct-2006,261.70,264.00,273.80,241.15,243.00,244.75,257.23,109814,282.47,-,49951,45.49
ANSALHSG,EQ,10-Oct-2006,244.75,249.00,269.00,233.45,240.10,241.55,249.87,78957,197.29,-,33317,42.20
ANSALHSG,EQ,11-Oct-2006,241.55,246.00,249.40,217.40,222.50,221.05,229.28,74543,170.91,-,25555,34.28
ANSALHSG,EQ,12-Oct-2006,221.05,222.00,233.80,214.65,232.50,232.10,227.45,174349,396.56,-,39033,22.39
ANSALHSG,EQ,13-Oct-2006,232.10,244.85,255.35,233.05,245.30,249.60,250.63,383330,960.76,-,109761,28.63
ANSALHSG,EQ,16-Oct-2006,249.60,248.00,249.40,230.35,242.70,242.55,241.13,114922,277.12,-,44954,39.12
ANSALHSG,EQ,17-Oct-2006,242.55,247.00,253.80,238.10,246.30,247.00,247.11,157341,388.81,-,67908,43.16
ANSALHSG,EQ,18-Oct-2006,247.00,247.00,249.60,241.10,241.25,242.15,245.04,28726,70.39,-,10648,37.07
ANSALHSG,EQ,19-Oct-2006,242.15,243.35,247.70,237.95,242.80,240.15,242.00,36788,89.03,-,15294,41.57
ANSALHSG,EQ,20-Oct-2006,240.15,243.00,259.95,242.80,256.00,254.20,251.56,142237,357.81,-,75340,52.97
ANSALHSG,EQ,21-Oct-2006,254.20,257.00,257.85,252.10,253.90,255.00,255.25,24201,61.77,-,13740,56.77
ANSALHSG,EQ,23-Oct-2006,255.00,253.00,273.00,248.50,265.00,267.55,264.57,225034,595.37,-,82693,36.75
ANSALHSG,EQ,26-Oct-2006,267.55,268.00,294.35,266.00,293.00,293.00,284.46,541741,1541.04,-,147513,27.23
ANSALHSG,EQ,27-Oct-2006,293.00,294.00,307.65,294.00,301.25,301.30,303.29,507754,1539.94,-,176747,34.81
ANSALHSG,EQ,30-Oct-2006,301.30,302.00,303.50,287.00,288.40,288.30,294.02,210602,619.22,-,82837,39.33
ANSALHSG,EQ,31-Oct-2006,288.30,293.00,295.00,276.70,281.00,281.40,285.62,114879,328.12,-,51336,44.69
ANSALHSG,EQ,01-Nov-2006,281.40,285.00,286.00,272.00,275.05,274.45,278.54,93475,260.37,-,38622,41.32
ANSALHSG,EQ,02-Nov-2006,274.45,273.00,288.20,273.00,288.20,288.20,286.09,221081,632.49,-,98365,44.49
ANSALHSG,EQ,03-Nov-2006,288.20,294.00,297.90,281.00,281.55,283.45,290.86,147819,429.95,-,71481,48.36
ANSALHSG,EQ,06-Nov-2006,283.45,283.00,291.50,282.10,283.70,284.15,287.51,77150,221.81,-,31297,40.57
ANSALHSG,EQ,07-Nov-2006,284.15,288.70,297.00,284.00,285.55,285.10,290.69,127691,371.19,-,52568,41.17
ANSALHSG,EQ,08-Nov-2006,285.10,290.00,299.40,284.60,299.40,299.40,297.38,422746,1257.18,-,174103,41.18
ANSALHSG,EQ,09-Nov-2006,299.40,305.90,314.40,305.90,314.40,314.40,314.30,129985,408.54,-,111763,85.98
ANSALHSG,EQ,10-Nov-2006,314.40,330.15,330.15,316.00,330.15,330.15,328.91,564416,1856.42,-,221815,39.30
ANSALHSG,EQ,13-Nov-2006,330.15,340.00,346.70,340.00,346.70,346.70,346.23,348607,1206.99,-,230725,66.18
ANSALHSG,EQ,14-Nov-2006,346.70,363.90,364.05,344.00,364.05,364.05,361.67,693509,2508.19,-,281638,40.61
ANSALHSG,EQ,15-Nov-2006,364.05,376.70,379.50,345.85,348.00,349.30,362.55,455582,1651.71,-,180287,39.57
ANSALHSG,EQ,16-Nov-2006,349.30,352.00,366.80,345.00,351.70,353.30,360.69,688299,2482.60,-,247504,35.96
ANSALHSG,EQ,17-Nov-2006,353.30,354.10,359.55,335.65,340.00,339.40,342.66,256203,877.91,-,118766,46.36
ANSALHSG,EQ,20-Nov-2006,339.40,335.00,349.00,322.45,346.30,343.50,332.55,167574,557.27,-,49078,29.29
ANSALHSG,EQ,21-Nov-2006,343.50,347.00,356.90,336.50,338.00,341.25,348.86,276740,965.44,-,98113,35.45
ANSALHSG,EQ,22-Nov-2006,341.25,355.00,358.35,332.10,338.95,339.05,346.66,362945,1258.17,-,222346,61.26
ANSALHSG,EQ,23-Nov-2006,339.05,345.00,351.00,334.95,335.00,336.75,341.57,208862,713.40,-,64528,30.90
ANSALHSG,BE,24-Nov-2006,336.75,336.00,339.50,319.95,334.00,329.25,332.76,27680,92.11,-,-,-
ANSALHSG,BE,27-Nov-2006,329.25,335.80,345.70,313.00,320.00,318.95,329.36,96294,317.15,-,-,-
ANSALHSG,BE,28-Nov-2006,318.95,310.30,321.90,303.00,315.00,310.25,309.32,131571,406.97,-,-,-
ANSALHSG,BE,29-Nov-2006,310.25,321.90,325.00,311.00,316.00,317.95,317.59,34872,110.75,-,-,-
ANSALHSG,BE,30-Nov-2006,317.95,328.90,328.90,305.00,310.00,307.45,311.06,42729,132.91,-,-,-
ANSALHSG,BE,01-Dec-2006,307.45,316.00,322.85,306.00,318.15,320.55,316.07,32462,102.60,-,-,-
ANSALHSG,BE,04-Dec-2006,320.55,329.75,336.60,319.00,336.60,335.30,330.43,48483,160.20,-,-,-
ANSALHSG,BE,05-Dec-2006,335.30,342.95,352.10,337.00,352.10,352.10,350.13,62171,217.68,-,-,-
ANSALHSG,BE,06-Dec-2006,352.10,365.00,369.00,345.00,353.50,357.00,357.65,82065,293.51,-,-,-
ANSALHSG,BE,07-Dec-2006,357.00,345.00,354.50,343.00,350.00,346.05,348.18,29150,101.50,-,-,-
ANSALHSG,BE,08-Dec-2006,346.05,350.00,350.00,334.00,344.50,338.95,340.06,19482,66.25,-,-,-
ANSALHSG,BE,11-Dec-2006,338.95,330.00,347.50,322.00,331.50,331.80,326.56,109025,356.03,-,-,-
ANSALHSG,BE,12-Dec-2006,331.80,317.25,335.00,315.25,318.00,316.00,319.28,33083,105.63,-,-,-
ANSALHSG,BE,13-Dec-2006,316.00,327.00,327.00,301.00,323.80,317.75,312.68,37494,117.23,-,-,-
ANSALHSG,BE,14-Dec-2006,317.75,320.50,333.65,320.50,333.65,333.65,332.50,12200,40.57,-,-,-
ANSALHSG,BE,15-Dec-2006,333.65,345.00,350.00,335.00,335.00,337.60,342.13,20462,70.01,-,-,-
ANSALHSG,BE,18-Dec-2006,337.60,337.00,354.45,323.00,345.00,347.40,335.26,61735,206.97,-,-,-
ANSALHSG,BE,19-Dec-2006,347.40,336.00,351.90,336.00,345.00,345.10,345.97,37173,128.61,-,-,-
ANSALHSG,BE,20-Dec-2006,345.10,345.00,354.00,331.20,335.00,334.60,339.82,38386,130.44,-,-,-
ANSALHSG,BE,21-Dec-2006,334.60,322.00,335.00,318.00,331.00,325.10,325.19,26605,86.52,-,-,-
ANSALHSG,BE,22-Dec-2006,325.10,329.00,338.00,315.95,322.00,320.50,325.21,19225,62.52,-,-,-
ANSALHSG,BE,26-Dec-2006,320.50,331.00,336.55,331.00,336.55,336.55,336.14,4777,16.06,-,-,-
ANSALHSG,BE,27-Dec-2006,336.55,352.80,353.40,352.80,353.40,353.40,353.39,9225,32.60,-,-,-
ANSALHSG,BE,28-Dec-2006,353.40,371.10,371.10,352.50,357.00,356.15,361.82,74000,267.75,-,-,-
ANSALHSG,BE,29-Dec-2006,356.15,358.90,359.90,345.15,355.00,350.95,355.33,33241,118.11,-,-,-
ANSALHSG,BE,02-Jan-2007,350.95,355.00,358.00,342.40,345.05,346.65,346.74,100483,348.41,-,-,-
ANSALHSG,BE,03-Jan-2007,346.65,350.00,354.00,340.20,345.00,343.80,345.48,17168,59.31,-,-,-
ANSALHSG,BE,04-Jan-2007,343.80,348.00,361.00,345.00,353.00,354.55,355.85,149827,533.16,-,-,-
ANSALHSG,BE,05-Jan-2007,354.55,365.00,372.00,349.50,367.00,366.65,360.52,74875,269.94,-,-,-
ANSALHSG,BE,08-Jan-2007,366.65,358.00,365.00,355.00,360.25,360.30,360.14,83940,302.30,-,-,-
ANSALHSG,BE,09-Jan-2007,360.30,356.00,367.00,356.00,360.00,361.00,359.89,31999,115.16,-,-,-
ANSALHSG,BE,10-Jan-2007,361.00,360.00,360.00,352.00,354.00,354.00,354.08,23531,83.32,-,-,-
ANSALHSG,BE,11-Jan-2007,354.00,354.00,360.00,348.10,355.90,354.55,352.53,25009,88.16,-,-,-
ANSALHSG,BE,12-Jan-2007,354.55,359.00,372.00,355.00,365.25,363.15,363.56,48321,175.68,-,-,-
ANSALHSG,BE,15-Jan-2007,363.15,369.75,376.00,358.25,376.00,373.35,370.40,45790,169.60,-,-,-
ANSALHSG,BE,16-Jan-2007,373.35,385.00,385.00,366.50,375.00,375.85,376.27,29194,109.85,-,-,-
ANSALHSG,BE,17-Jan-2007,375.85,375.00,391.40,375.00,383.00,381.80,386.15,57366,221.52,-,-,-
ANSALHSG,BE,18-Jan-2007,381.80,389.00,389.90,370.00,380.00,380.00,380.14,37284,141.73,-,-,-
ANSALHSG,BE,19-Jan-2007,380.00,365.00,383.00,365.00,380.00,381.05,377.06,15908,59.98,-,-,-
ANSALHSG,BE,22-Jan-2007,381.05,384.00,384.00,367.00,379.00,378.45,379.16,13023,49.38,-,-,-
ANSALHSG,BE,23-Jan-2007,378.45,382.00,385.00,372.00,384.00,379.75,378.66,82042,310.66,-,-,-
ANSALHSG,BE,24-Jan-2007,379.75,385.00,390.00,374.05,382.70,382.40,382.91,34537,132.25,-,-,-
ANSALHSG,BE,25-Jan-2007,382.40,388.00,388.00,372.05,379.90,379.20,380.50,68636,261.16,-,-,-
ANSALHSG,BE,29-Jan-2007,379.20,380.00,396.00,375.00,390.00,386.85,387.68,57120,221.45,-,-,-
ANSALHSG,BE,31-Jan-2007,386.85,405.00,405.00,372.00,385.00,384.90,380.31,87923,334.38,-,-,-
ANSALHSG,BE,01-Feb-2007,384.90,383.00,395.00,371.30,395.00,385.20,379.46,25702,97.53,-,-,-
ANSALHSG,BE,02-Feb-2007,385.20,390.00,395.00,376.00,390.00,390.10,389.35,37035,144.20,-,-,-
ANSALHSG,BE,05-Feb-2007,390.10,397.90,397.90,377.00,386.00,388.35,380.61,36196,137.77,-,-,-
ANSALHSG,BE,06-Feb-2007,388.35,390.00,390.00,378.05,378.25,379.70,384.39,27080,104.09,-,-,-
