Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
APCOTEXLAT,EQ,02-Jan-2006,60.75,60.20,69.85,60.20,66.00,66.65,66.62,9486,6.32,-,3972,41.87
APCOTEXLAT,EQ,03-Jan-2006,66.65,68.70,68.70,65.00,66.45,65.85,67.48,3783,2.55,-,3157,83.45
APCOTEXLAT,EQ,04-Jan-2006,65.85,64.90,65.20,63.85,64.90,64.80,64.58,1703,1.10,-,1313,77.10
APCOTEXLAT,EQ,05-Jan-2006,64.80,69.90,69.90,61.20,65.50,65.45,65.92,9432,6.22,-,1979,20.98
APCOTEXLAT,EQ,06-Jan-2006,65.45,64.95,64.95,62.55,64.00,64.10,63.69,2429,1.55,-,1791,73.73
APCOTEXLAT,EQ,09-Jan-2006,64.10,65.00,65.35,63.00,63.00,63.35,64.01,4847,3.10,-,3231,66.66
APCOTEXLAT,EQ,10-Jan-2006,63.35,63.00,63.10,62.05,63.00,63.00,62.65,2303,1.44,-,703,30.53
APCOTEXLAT,EQ,12-Jan-2006,63.00,62.95,63.00,61.00,63.00,63.00,62.25,1871,1.16,-,1766,94.39
APCOTEXLAT,EQ,13-Jan-2006,63.00,63.55,63.90,61.25,62.50,62.50,62.76,352,0.22,-,321,91.19
APCOTEXLAT,EQ,16-Jan-2006,62.50,61.35,62.00,61.00,62.00,62.00,61.64,950,0.59,-,750,78.95
APCOTEXLAT,EQ,17-Jan-2006,62.00,62.00,62.00,59.80,60.00,60.00,60.25,1080,0.65,-,877,81.20
APCOTEXLAT,EQ,18-Jan-2006,60.00,57.45,61.00,56.75,58.00,58.00,58.04,1698,0.99,-,1223,72.03
APCOTEXLAT,EQ,19-Jan-2006,58.00,60.00,61.60,59.15,61.00,60.55,60.31,2300,1.39,-,1729,75.17
APCOTEXLAT,EQ,20-Jan-2006,60.55,59.00,61.50,58.80,61.00,61.00,60.46,858,0.52,-,682,79.49
APCOTEXLAT,EQ,23-Jan-2006,61.00,58.50,64.00,58.00,61.45,61.40,59.88,4017,2.41,-,3115,77.55
APCOTEXLAT,EQ,24-Jan-2006,61.40,59.50,61.55,58.20,60.75,59.80,59.76,2000,1.20,-,1395,69.75
APCOTEXLAT,EQ,25-Jan-2006,59.80,58.30,61.00,58.30,60.00,60.00,59.90,5604,3.36,-,2359,42.09
APCOTEXLAT,EQ,27-Jan-2006,60.00,60.20,66.90,60.00,63.95,63.30,63.81,6406,4.09,-,4929,76.94
APCOTEXLAT,EQ,30-Jan-2006,63.30,63.00,63.00,60.50,60.80,61.85,61.80,1229,0.76,-,910,74.04
APCOTEXLAT,EQ,31-Jan-2006,61.85,60.20,61.45,59.55,60.00,60.00,60.03,11685,7.01,-,11621,99.45
APCOTEXLAT,EQ,01-Feb-2006,60.00,59.00,65.50,59.00,63.00,63.70,63.43,244465,155.06,-,78681,32.18
APCOTEXLAT,EQ,02-Feb-2006,63.70,65.00,65.70,53.05,57.50,57.05,59.84,278372,166.57,-,90432,32.49
APCOTEXLAT,EQ,03-Feb-2006,57.05,57.95,58.80,57.10,57.30,57.60,57.83,14688,8.49,-,7060,48.07
APCOTEXLAT,EQ,06-Feb-2006,57.60,57.05,58.60,57.05,57.50,57.60,57.72,6005,3.47,-,3411,56.80
APCOTEXLAT,EQ,07-Feb-2006,57.60,54.10,58.75,54.10,55.50,56.15,56.09,12509,7.02,-,9250,73.95
APCOTEXLAT,EQ,08-Feb-2006,56.15,56.75,56.75,55.60,55.60,55.95,55.99,3379,1.89,-,3109,92.01
APCOTEXLAT,EQ,10-Feb-2006,55.95,61.10,61.10,55.10,55.15,55.60,55.72,4156,2.32,-,3393,81.64
APCOTEXLAT,EQ,13-Feb-2006,55.60,56.65,57.25,55.05,56.20,56.70,56.18,6290,3.53,-,4875,77.50
APCOTEXLAT,EQ,14-Feb-2006,56.70,56.00,56.95,55.30,56.00,56.50,56.29,2951,1.66,-,2465,83.53
APCOTEXLAT,EQ,15-Feb-2006,56.50,59.10,59.10,55.05,56.40,56.05,55.75,1363,0.76,-,1315,96.48
APCOTEXLAT,EQ,16-Feb-2006,56.05,57.00,58.45,55.65,55.80,56.45,56.91,3707,2.11,-,1754,47.32
APCOTEXLAT,EQ,17-Feb-2006,56.45,55.90,56.60,54.10,55.00,55.25,55.58,2252,1.25,-,2145,95.25
APCOTEXLAT,EQ,20-Feb-2006,55.25,54.00,56.00,53.50,55.70,55.65,54.97,2457,1.35,-,2053,83.56
APCOTEXLAT,EQ,21-Feb-2006,55.65,54.05,55.85,54.05,54.60,55.00,55.02,3300,1.82,-,2250,68.18
APCOTEXLAT,EQ,22-Feb-2006,55.00,54.05,55.00,52.20,54.70,53.35,53.82,1589,0.86,-,1101,69.29
