Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
APTECHT,EQ,02-Jan-2006,138.80,139.15,139.15,135.65,136.45,136.40,136.92,570705,781.43,-,170704,29.91
APTECHT,EQ,03-Jan-2006,136.40,126.55,141.85,126.55,141.20,141.10,140.36,1273764,1787.91,-,323091,25.37
APTECHT,EQ,04-Jan-2006,141.10,142.70,143.40,139.10,140.70,140.90,141.24,863542,1219.64,-,195466,22.64
APTECHT,EQ,05-Jan-2006,140.90,141.00,141.80,137.00,137.50,137.45,138.46,668611,925.75,-,183451,27.44
APTECHT,EQ,06-Jan-2006,137.45,138.50,140.90,137.25,138.10,138.25,138.77,708148,982.67,-,146899,20.74
APTECHT,EQ,09-Jan-2006,138.25,138.95,139.70,137.20,138.00,138.40,138.66,539288,747.79,-,142825,26.48
APTECHT,EQ,10-Jan-2006,138.40,140.00,140.00,134.05,134.05,135.05,136.29,444080,605.21,-,191967,43.23
APTECHT,EQ,12-Jan-2006,135.05,135.50,135.50,131.50,133.15,133.15,133.37,402659,537.04,-,120125,29.83
APTECHT,EQ,13-Jan-2006,133.15,135.90,135.90,133.05,133.35,133.35,134.33,300382,403.50,-,85514,28.47
APTECHT,EQ,16-Jan-2006,133.35,131.55,134.50,128.00,129.10,128.50,130.09,361333,470.06,-,147857,40.92
APTECHT,EQ,17-Jan-2006,128.50,129.80,132.40,126.00,126.45,126.60,129.58,548659,710.96,-,155396,28.32
APTECHT,EQ,18-Jan-2006,126.60,127.10,127.35,121.75,123.25,123.60,123.99,404399,501.43,-,134797,33.33
APTECHT,EQ,19-Jan-2006,123.60,124.85,132.95,124.55,132.95,131.85,129.25,786831,1016.97,-,209770,26.66
APTECHT,EQ,20-Jan-2006,131.85,135.80,135.80,129.25,131.10,130.35,132.33,546548,723.26,-,210935,38.59
APTECHT,EQ,23-Jan-2006,130.35,131.10,131.10,125.55,126.05,126.55,127.17,412924,525.12,-,165685,40.12
APTECHT,EQ,24-Jan-2006,126.55,127.45,130.10,125.80,126.00,126.80,128.15,353137,452.55,-,80445,22.78
APTECHT,EQ,25-Jan-2006,126.80,129.00,134.75,126.00,128.65,128.10,130.68,1200021,1568.22,-,259838,21.65
APTECHT,EQ,27-Jan-2006,128.10,128.30,131.80,126.65,127.10,127.30,128.98,520341,671.11,-,152066,29.22
APTECHT,EQ,30-Jan-2006,127.30,127.90,128.70,121.20,122.60,122.35,124.05,552869,685.83,-,238795,43.19
APTECHT,EQ,31-Jan-2006,122.35,123.50,125.45,122.50,123.85,123.75,123.92,282366,349.90,-,79648,28.21
APTECHT,EQ,01-Feb-2006,123.75,124.20,124.70,116.30,118.00,117.70,120.86,410524,496.17,-,180612,44.00
APTECHT,EQ,02-Feb-2006,117.70,118.95,122.00,116.20,116.20,117.20,119.02,566914,674.74,-,139961,24.69
APTECHT,EQ,03-Feb-2006,117.20,117.00,125.80,115.25,121.50,121.00,120.75,951632,1149.14,-,195973,20.59
APTECHT,EQ,06-Feb-2006,121.00,121.50,123.70,119.10,121.00,120.90,121.46,412504,501.04,-,124102,30.09
APTECHT,EQ,07-Feb-2006,120.90,121.50,123.50,118.30,119.00,119.20,120.39,380689,458.33,-,139341,36.60
APTECHT,EQ,08-Feb-2006,119.20,119.50,121.50,117.60,117.65,118.15,119.43,483246,577.12,-,149261,30.89
APTECHT,EQ,10-Feb-2006,118.15,119.00,123.20,119.00,120.10,120.35,121.21,566999,687.29,-,123808,21.84
APTECHT,EQ,13-Feb-2006,120.35,120.90,123.75,118.10,123.00,122.50,121.23,610330,739.92,-,237672,38.94
APTECHT,EQ,14-Feb-2006,122.50,123.50,136.25,123.00,135.50,134.35,131.85,3356095,4424.93,-,904899,26.96
APTECHT,EQ,15-Feb-2006,134.35,136.10,138.90,131.10,132.45,132.55,134.98,2100734,2835.49,-,585206,27.86
APTECHT,EQ,16-Feb-2006,132.55,133.40,133.45,128.60,129.00,129.35,130.95,754400,987.87,-,217463,28.83
APTECHT,EQ,17-Feb-2006,129.35,130.00,132.20,120.55,121.20,122.10,127.07,1144909,1454.86,-,354079,30.93
APTECHT,EQ,20-Feb-2006,122.10,121.75,122.50,118.35,121.50,121.10,120.69,593093,715.78,-,111165,18.74
APTECHT,EQ,21-Feb-2006,121.10,122.75,131.60,121.30,131.40,129.70,127.29,1352206,1721.19,-,390237,28.86
APTECHT,EQ,22-Feb-2006,129.70,131.00,131.85,125.10,126.15,126.45,127.98,952728,1219.34,-,196839,20.66
APTECHT,EQ,23-Feb-2006,126.45,127.30,128.00,121.50,123.00,122.55,124.73,486712,607.09,-,155427,31.93
APTECHT,EQ,24-Feb-2006,122.55,123.00,125.40,122.00,122.60,122.55,123.65,483133,597.38,-,127838,26.46
APTECHT,EQ,27-Feb-2006,122.55,123.00,125.80,122.75,123.90,123.60,124.08,393808,488.66,-,149718,38.02
APTECHT,EQ,28-Feb-2006,123.60,126.00,126.00,118.50,122.10,122.15,122.16,602550,736.09,-,132765,22.03
APTECHT,EQ,01-Mar-2006,122.15,123.45,129.00,121.30,127.15,127.15,126.54,1117546,1414.17,-,240738,21.54
APTECHT,EQ,02-Mar-2006,127.15,127.50,130.90,125.50,125.80,126.40,128.28,970405,1244.87,-,272128,28.04
APTECHT,EQ,03-Mar-2006,126.40,126.95,128.90,124.95,125.50,125.30,126.62,456890,578.53,-,158537,34.70
APTECHT,EQ,06-Mar-2006,125.30,125.95,130.70,125.00,130.50,130.10,128.37,681822,875.22,-,294352,43.17
APTECHT,EQ,07-Mar-2006,130.10,130.50,133.65,128.10,128.30,128.85,130.28,620416,808.26,-,186280,30.03
APTECHT,EQ,08-Mar-2006,128.85,128.50,133.25,126.10,126.75,126.70,130.02,803170,1044.30,-,203578,25.35
APTECHT,EQ,09-Mar-2006,126.70,127.60,133.90,124.60,132.35,132.25,129.99,915895,1190.54,-,251896,27.50
APTECHT,EQ,10-Mar-2006,132.25,133.00,136.00,130.25,130.50,130.95,133.60,965498,1289.86,-,236857,24.53
APTECHT,EQ,13-Mar-2006,130.95,130.50,132.70,128.25,128.90,129.15,130.74,436745,570.99,-,117396,26.88
APTECHT,EQ,14-Mar-2006,129.15,129.90,131.80,126.25,126.50,126.80,128.93,452241,583.07,-,161090,35.62
APTECHT,EQ,16-Mar-2006,126.80,127.00,135.00,126.50,134.00,133.80,131.26,756790,993.38,-,321400,42.47
APTECHT,EQ,17-Mar-2006,133.80,134.90,137.90,131.00,131.00,131.50,134.73,1724712,2323.76,-,280834,16.28
APTECHT,EQ,20-Mar-2006,131.50,132.00,134.40,130.15,130.35,131.65,132.13,478310,631.98,-,119547,24.99
APTECHT,EQ,21-Mar-2006,131.65,131.95,132.65,127.10,128.60,128.20,130.37,458768,598.09,-,157363,34.30
APTECHT,EQ,22-Mar-2006,128.20,128.50,129.75,125.00,125.85,126.10,127.17,385232,489.89,-,119300,30.97
APTECHT,EQ,23-Mar-2006,126.10,126.25,128.20,123.80,124.00,125.35,126.16,417584,526.82,-,100932,24.17
APTECHT,EQ,24-Mar-2006,125.35,126.00,129.00,125.00,126.00,126.20,126.67,440478,557.97,-,153560,34.86
APTECHT,EQ,27-Mar-2006,126.20,121.50,127.30,120.00,126.50,126.05,125.12,555527,695.05,-,243207,43.78
APTECHT,EQ,28-Mar-2006,126.05,126.50,127.40,124.65,125.00,125.00,125.32,441065,552.72,-,261960,59.39
APTECHT,EQ,29-Mar-2006,125.00,125.95,126.80,124.25,125.00,125.00,125.27,241358,302.35,-,137657,57.03
APTECHT,EQ,30-Mar-2006,125.00,125.00,127.00,125.00,125.00,125.10,125.63,247099,310.44,-,136988,55.44
APTECHT,EQ,31-Mar-2006,125.10,125.95,132.95,125.00,130.50,130.00,130.07,712431,926.65,-,217718,30.56
APTECHT,EQ,03-Apr-2006,130.00,131.00,134.40,130.80,132.00,132.00,132.67,454085,602.46,-,139616,30.75
APTECHT,EQ,04-Apr-2006,132.00,132.00,133.65,127.25,128.65,128.90,130.05,354590,461.14,-,120845,34.08
APTECHT,EQ,05-Apr-2006,128.90,129.00,143.00,129.00,139.30,139.90,138.60,2654785,3679.63,-,785018,29.57
APTECHT,EQ,07-Apr-2006,139.90,140.65,145.00,132.65,134.85,134.00,140.58,2523056,3547.02,-,574680,22.78
APTECHT,EQ,10-Apr-2006,134.00,134.50,135.80,131.60,133.20,133.80,133.74,578448,773.59,-,130605,22.58
APTECHT,EQ,12-Apr-2006,133.80,133.05,138.00,127.10,128.00,128.65,133.85,602381,806.27,-,207504,34.45
APTECHT,EQ,13-Apr-2006,128.65,130.40,130.40,122.10,123.10,123.00,125.15,460992,576.95,-,166585,36.14
APTECHT,EQ,17-Apr-2006,123.00,123.85,127.45,123.85,125.05,125.50,125.82,360470,453.56,-,116983,32.45
APTECHT,EQ,18-Apr-2006,125.50,126.40,129.80,125.35,125.75,126.35,127.08,405539,515.34,-,113001,27.86
