Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ARMANFIN,EQ,14-Jun-2016,229.95,249.55,249.55,217.10,234.95,234.95,238.35,407,0.97,18,367,90.17
ARMANFIN,EQ,15-Jun-2016,234.95,239.95,249.00,220.10,237.00,229.30,239.65,1216,2.91,27,963,79.19
ARMANFIN,EQ,16-Jun-2016,229.30,244.95,244.95,231.05,231.05,231.05,241.87,14,0.03,5,12,85.71
ARMANFIN,EQ,17-Jun-2016,231.05,240.00,240.00,229.50,229.50,229.50,231.91,139,0.32,15,137,98.56
ARMANFIN,EQ,20-Jun-2016,229.50,249.95,249.95,230.15,238.95,238.95,238.35,714,1.70,22,323,45.24
ARMANFIN,EQ,21-Jun-2016,238.95,239.00,239.45,234.95,238.95,238.95,236.14,519,1.23,13,519,100.00
ARMANFIN,EQ,22-Jun-2016,238.95,242.85,242.85,235.00,235.00,235.00,237.23,140,0.33,3,140,100.00
ARMANFIN,EQ,23-Jun-2016,235.00,230.30,248.95,230.00,237.95,237.95,232.79,862,2.01,30,696,80.74
ARMANFIN,EQ,24-Jun-2016,237.95,221.15,234.00,198.30,228.00,228.00,224.49,4043,9.08,87,3155,78.04
ARMANFIN,EQ,27-Jun-2016,228.00,230.00,241.00,230.00,235.00,235.05,235.59,3857,9.09,53,3497,90.67
ARMANFIN,EQ,28-Jun-2016,235.05,238.00,244.75,238.00,241.95,241.10,240.69,5888,14.17,47,5605,95.19
ARMANFIN,EQ,29-Jun-2016,241.10,243.00,244.80,240.00,243.00,243.00,242.16,4177,10.11,62,3865,92.53
ARMANFIN,EQ,30-Jun-2016,243.00,244.00,291.00,224.00,280.00,260.80,248.81,365789,910.11,3226,158297,43.28
ARMANFIN,EQ,01-Jul-2016,260.80,278.40,289.50,256.35,269.90,267.60,269.10,324207,872.46,4547,165131,50.93
ARMANFIN,EQ,04-Jul-2016,267.60,268.00,270.00,256.90,260.20,260.35,264.35,76073,201.10,1607,52357,68.82
ARMANFIN,EQ,05-Jul-2016,260.35,260.35,268.00,252.10,258.90,261.80,257.44,39972,102.90,986,19991,50.01
ARMANFIN,EQ,07-Jul-2016,261.80,259.90,265.50,255.05,257.50,256.40,263.02,27671,72.78,533,20250,73.18
ARMANFIN,EQ,08-Jul-2016,256.40,256.00,263.80,250.55,251.50,251.90,255.80,17054,43.62,563,9308,54.58
ARMANFIN,EQ,11-Jul-2016,251.90,255.05,264.70,255.00,263.00,263.00,260.86,38010,99.15,627,26710,70.27
ARMANFIN,EQ,12-Jul-2016,263.00,265.00,270.00,265.00,265.55,266.80,267.92,35832,96.00,722,24917,69.54
ARMANFIN,EQ,13-Jul-2016,266.80,269.50,270.00,264.15,266.10,266.50,267.43,30540,81.67,406,23816,77.98
ARMANFIN,EQ,14-Jul-2016,266.50,265.10,266.40,255.40,262.50,262.65,261.28,13955,36.46,400,8572,61.43
ARMANFIN,EQ,15-Jul-2016,262.65,262.50,264.95,257.75,258.00,258.30,260.43,7398,19.27,225,4018,54.31
ARMANFIN,EQ,18-Jul-2016,258.30,259.10,262.45,255.10,256.00,256.00,259.44,12492,32.41,278,6874,55.03
ARMANFIN,EQ,19-Jul-2016,256.00,255.05,259.90,252.55,256.00,255.95,255.38,5632,14.38,144,4217,74.88
ARMANFIN,EQ,20-Jul-2016,255.95,259.85,262.00,256.00,258.30,258.45,259.30,12862,33.35,208,9117,70.88
ARMANFIN,EQ,21-Jul-2016,258.45,258.05,262.00,257.00,259.95,257.90,258.98,6009,15.56,121,4827,80.33
ARMANFIN,EQ,22-Jul-2016,257.90,262.45,286.30,261.95,276.00,277.70,276.17,136513,377.01,2709,77452,56.74
ARMANFIN,EQ,25-Jul-2016,277.70,279.90,300.00,275.00,289.80,293.55,290.79,128241,372.91,2229,83826,65.37
ARMANFIN,EQ,26-Jul-2016,293.55,292.15,297.00,276.00,280.50,285.15,289.86,62042,179.84,1213,40915,65.95
ARMANFIN,EQ,27-Jul-2016,285.15,285.30,300.00,272.05,295.00,294.95,294.33,89676,263.94,1619,65962,73.56
ARMANFIN,EQ,28-Jul-2016,294.95,303.50,325.00,284.35,291.00,289.65,310.56,358009,1111.83,5474,235037,65.65
ARMANFIN,EQ,29-Jul-2016,289.65,290.00,298.95,287.00,288.10,289.65,291.21,50752,147.80,1208,33211,65.44
ARMANFIN,EQ,01-Aug-2016,289.65,294.50,298.00,273.60,280.00,279.55,289.38,50707,146.74,1021,35116,69.25
ARMANFIN,EQ,02-Aug-2016,279.55,282.00,294.50,271.10,271.10,276.20,281.74,39874,112.34,996,24585,61.66
ARMANFIN,EQ,03-Aug-2016,276.20,277.00,277.00,256.50,262.00,261.60,264.60,71925,190.31,1280,57556,80.02
ARMANFIN,EQ,04-Aug-2016,261.60,262.10,268.90,253.00,258.30,259.80,259.88,18584,48.30,495,12456,67.03
ARMANFIN,EQ,05-Aug-2016,259.80,263.25,274.00,261.00,270.00,269.40,268.92,27569,74.14,655,16433,59.61
ARMANFIN,EQ,08-Aug-2016,269.40,278.00,286.00,262.10,283.00,282.10,280.40,61222,171.67,844,48967,79.98
ARMANFIN,EQ,09-Aug-2016,282.10,286.00,286.00,272.00,278.95,277.85,276.24,15525,42.89,388,9584,61.73
ARMANFIN,EQ,10-Aug-2016,277.85,278.00,281.85,258.00,262.05,261.50,265.84,31975,85.00,711,23212,72.59
ARMANFIN,EQ,11-Aug-2016,261.50,284.00,284.00,256.20,256.50,257.90,263.66,30249,79.76,1018,17824,58.92
ARMANFIN,EQ,12-Aug-2016,257.90,258.25,269.30,255.30,258.55,261.40,262.93,13430,35.31,376,9534,70.99
ARMANFIN,EQ,16-Aug-2016,261.40,267.95,269.00,255.30,257.55,256.65,261.30,11829,30.91,433,7635,64.54
ARMANFIN,EQ,17-Aug-2016,256.65,264.40,264.40,251.00,253.00,253.65,255.55,17578,44.92,226,14382,81.82
ARMANFIN,EQ,18-Aug-2016,253.65,250.00,265.00,250.00,260.00,263.10,260.12,29161,75.85,469,23208,79.59
ARMANFIN,EQ,19-Aug-2016,263.10,257.00,265.75,257.00,258.00,260.05,262.02,22750,59.61,385,17174,75.49
ARMANFIN,EQ,22-Aug-2016,260.05,258.00,259.80,250.05,253.00,253.70,254.66,13307,33.89,262,11486,86.32
ARMANFIN,EQ,23-Aug-2016,253.70,255.00,258.45,250.00,255.00,254.50,253.26,24506,62.06,387,17562,71.66
ARMANFIN,EQ,24-Aug-2016,254.50,258.00,262.80,254.00,259.00,258.40,258.04,14235,36.73,150,12093,84.95
ARMANFIN,EQ,25-Aug-2016,258.40,259.95,266.00,258.00,262.95,260.25,261.15,25821,67.43,527,21734,84.17
ARMANFIN,EQ,26-Aug-2016,260.25,267.00,267.00,260.00,260.00,261.10,260.93,12706,33.15,404,9347,73.56
ARMANFIN,EQ,29-Aug-2016,261.10,262.95,262.95,260.00,260.00,260.20,260.19,7267,18.91,177,6065,83.46
ARMANFIN,EQ,30-Aug-2016,260.20,258.00,272.40,252.10,265.10,269.95,264.89,17509,46.38,492,13981,79.85
ARMANFIN,EQ,31-Aug-2016,269.95,267.00,272.00,255.50,259.05,264.10,263.58,21049,55.48,427,16465,78.22
ARMANFIN,EQ,01-Sep-2016,264.10,267.40,270.00,260.00,260.00,261.15,263.90,14299,37.73,355,10597,74.11
ARMANFIN,EQ,02-Sep-2016,261.15,260.00,267.60,259.60,263.15,264.15,261.65,13977,36.57,268,11564,82.74
ARMANFIN,EQ,06-Sep-2016,264.15,272.00,272.00,260.10,261.00,260.55,261.84,8763,22.94,184,6916,78.92
ARMANFIN,EQ,07-Sep-2016,260.55,260.15,261.95,253.50,257.00,256.45,258.23,4625,11.94,241,3570,77.19
ARMANFIN,EQ,08-Sep-2016,256.45,252.10,264.00,250.10,257.70,255.15,256.78,42383,108.83,830,32928,77.69
