Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ASAL,EQ,02-Jan-2006,127.00,125.05,127.50,125.05,125.35,125.35,126.29,1007,1.27,-,861,85.50
ASAL,EQ,03-Jan-2006,125.35,128.90,128.95,125.00,125.00,125.05,126.01,2527,3.18,-,1710,67.67
ASAL,EQ,04-Jan-2006,125.05,125.00,128.00,125.00,127.65,126.15,126.34,3838,4.85,-,3330,86.76
ASAL,EQ,05-Jan-2006,126.15,119.10,126.20,119.00,126.00,125.60,124.82,874,1.09,-,545,62.36
ASAL,EQ,06-Jan-2006,125.60,128.40,133.00,126.65,128.90,128.30,129.53,4943,6.40,-,2385,48.25
ASAL,EQ,09-Jan-2006,128.30,126.55,127.00,125.00,127.00,126.85,125.92,1371,1.73,-,1235,90.08
ASAL,EQ,10-Jan-2006,126.85,125.35,129.15,125.35,127.00,127.00,127.44,1805,2.30,-,1359,75.29
ASAL,EQ,12-Jan-2006,127.00,127.00,127.00,124.00,124.35,125.20,125.68,1218,1.53,-,1066,87.52
ASAL,EQ,13-Jan-2006,125.20,128.80,139.70,126.00,133.15,132.00,135.39,35732,48.38,-,16648,46.59
ASAL,EQ,16-Jan-2006,132.00,134.00,146.60,132.00,142.50,141.15,142.54,57305,81.68,-,24965,43.57
ASAL,EQ,17-Jan-2006,141.15,143.90,145.50,135.05,135.45,136.40,141.94,17088,24.26,-,6655,38.95
ASAL,EQ,18-Jan-2006,136.40,137.00,138.00,132.00,134.65,133.60,134.36,2329,3.13,-,1294,55.56
ASAL,EQ,19-Jan-2006,133.60,137.85,144.80,135.00,139.00,141.70,141.43,15947,22.55,-,10770,67.54
ASAL,EQ,20-Jan-2006,141.70,142.00,142.90,137.05,139.10,139.55,140.04,2954,4.14,-,1957,66.25
ASAL,EQ,23-Jan-2006,139.55,137.00,139.00,134.20,134.30,134.75,135.79,2373,3.22,-,2003,84.41
ASAL,EQ,24-Jan-2006,134.75,138.95,138.95,130.20,130.20,133.90,135.31,1642,2.22,-,1384,84.29
ASAL,EQ,25-Jan-2006,133.90,133.00,133.00,122.35,128.00,126.85,130.39,4975,6.49,-,4286,86.15
ASAL,EQ,27-Jan-2006,126.85,135.00,135.00,124.05,125.00,126.35,127.37,4142,5.28,-,3920,94.64
ASAL,EQ,30-Jan-2006,126.35,126.35,128.00,120.00,125.00,125.40,123.96,6338,7.86,-,4578,72.23
ASAL,EQ,31-Jan-2006,125.40,122.65,126.00,120.00,120.95,120.30,122.03,3089,3.77,-,2595,84.01
ASAL,EQ,01-Feb-2006,120.30,120.95,123.95,117.50,122.00,121.45,120.82,8575,10.36,-,7651,89.22
ASAL,EQ,02-Feb-2006,121.45,119.30,121.60,119.30,120.00,120.00,120.02,1523,1.83,-,1343,88.18
ASAL,EQ,03-Feb-2006,120.00,124.00,124.00,120.00,123.00,123.00,122.25,1052,1.29,-,937,89.07
ASAL,EQ,06-Feb-2006,123.00,121.00,128.90,121.00,122.00,122.00,122.22,415,0.51,-,340,81.93
ASAL,EQ,07-Feb-2006,122.00,120.00,121.50,119.00,121.50,121.50,120.06,1325,1.59,-,1125,84.91
ASAL,EQ,08-Feb-2006,121.50,121.50,125.00,120.00,122.00,122.00,121.75,3050,3.71,-,1600,52.46
ASAL,EQ,10-Feb-2006,122.00,121.15,137.00,121.10,128.70,126.55,130.16,7339,9.55,-,3783,51.55
ASAL,EQ,13-Feb-2006,126.55,126.00,126.15,126.00,126.00,126.00,126.03,660,0.83,-,635,96.21
ASAL,EQ,14-Feb-2006,126.00,129.80,129.80,120.50,120.50,121.70,122.95,4081,5.02,-,2867,70.25
ASAL,EQ,15-Feb-2006,121.70,129.50,129.50,120.40,121.50,122.10,121.64,1897,2.31,-,1782,93.94
ASAL,EQ,16-Feb-2006,122.10,122.00,122.00,119.65,120.00,120.00,120.86,244,0.29,-,243,99.59
ASAL,EQ,17-Feb-2006,120.00,120.15,126.00,120.00,120.00,120.00,122.21,1062,1.30,-,960,90.40
ASAL,EQ,20-Feb-2006,120.00,113.00,122.00,113.00,119.10,119.10,118.57,373,0.44,-,257,68.90
ASAL,EQ,21-Feb-2006,119.10,119.05,124.00,119.00,122.00,122.00,120.76,1243,1.50,-,1150,92.52
ASAL,EQ,22-Feb-2006,122.00,134.95,134.95,121.00,122.05,122.05,124.03,804,1.00,-,800,99.50
