Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ASIANPAINT,EQ,02-Jan-2006,578.75,583.90,595.00,579.00,590.00,589.95,589.01,13474,79.36,-,10342,76.76
ASIANPAINT,EQ,03-Jan-2006,589.95,595.00,597.00,585.00,595.00,594.35,592.31,15731,93.18,-,10489,66.68
ASIANPAINT,EQ,04-Jan-2006,594.35,611.00,611.00,589.95,593.00,590.45,590.76,26183,154.68,-,23667,90.39
ASIANPAINT,EQ,05-Jan-2006,590.45,599.95,600.00,586.00,590.00,590.00,591.73,8316,49.21,-,5844,70.27
ASIANPAINT,EQ,06-Jan-2006,590.00,596.90,600.00,585.70,597.95,590.60,594.19,8564,50.89,-,5880,68.66
ASIANPAINT,EQ,09-Jan-2006,590.60,594.75,597.00,588.00,588.00,588.15,590.57,3369,19.90,-,2193,65.09
ASIANPAINT,EQ,10-Jan-2006,588.15,598.00,598.00,575.05,582.00,579.40,588.59,16422,96.66,-,12470,75.93
ASIANPAINT,EQ,12-Jan-2006,579.40,590.00,591.00,578.00,590.00,585.55,583.90,11384,66.47,-,8168,71.75
ASIANPAINT,EQ,13-Jan-2006,585.55,588.00,591.00,585.00,585.60,586.80,588.08,8007,47.09,-,7072,88.32
ASIANPAINT,EQ,16-Jan-2006,586.80,587.00,591.00,582.50,582.50,586.00,586.84,41457,243.29,-,39511,95.31
ASIANPAINT,EQ,17-Jan-2006,586.00,592.95,592.95,573.50,573.85,575.30,580.02,3912,22.69,-,2865,73.24
ASIANPAINT,EQ,18-Jan-2006,575.30,575.00,590.00,574.00,586.00,586.60,586.51,13789,80.87,-,9244,67.04
ASIANPAINT,EQ,19-Jan-2006,586.60,588.50,595.00,586.65,592.00,592.00,590.91,18542,109.57,-,16610,89.58
ASIANPAINT,EQ,20-Jan-2006,592.00,592.00,597.90,567.00,567.00,590.80,594.30,60852,361.64,-,45617,74.96
ASIANPAINT,EQ,23-Jan-2006,590.80,590.00,600.95,585.00,600.00,599.75,597.95,80506,481.39,-,76475,94.99
ASIANPAINT,EQ,24-Jan-2006,599.75,600.10,605.00,598.00,598.00,598.20,598.81,12759,76.40,-,8141,63.81
ASIANPAINT,EQ,25-Jan-2006,598.20,598.00,605.00,593.00,595.00,597.00,599.87,47049,282.23,-,41914,89.09
ASIANPAINT,EQ,27-Jan-2006,597.00,567.00,624.95,567.00,606.00,605.90,606.74,22545,136.79,-,18579,82.41
ASIANPAINT,EQ,30-Jan-2006,605.90,607.35,611.00,598.00,598.00,598.15,602.38,10728,64.62,-,7054,65.75
ASIANPAINT,EQ,31-Jan-2006,598.15,608.00,621.00,603.10,614.45,614.35,613.56,32604,200.05,-,24380,74.78
ASIANPAINT,EQ,01-Feb-2006,614.35,620.00,625.00,610.05,622.00,620.40,619.36,27878,172.67,-,20756,74.45
ASIANPAINT,EQ,02-Feb-2006,620.40,619.95,655.00,619.95,650.00,650.10,633.07,59435,376.26,-,49717,83.65
ASIANPAINT,EQ,03-Feb-2006,650.10,651.00,675.00,650.00,670.00,666.60,661.96,51875,343.39,-,43320,83.51
ASIANPAINT,EQ,06-Feb-2006,666.60,670.10,721.00,670.10,711.00,708.80,695.98,45238,314.85,-,29811,65.90
ASIANPAINT,EQ,07-Feb-2006,708.80,740.00,800.00,685.00,685.00,695.55,711.86,65796,468.37,-,42435,64.49
ASIANPAINT,EQ,08-Feb-2006,695.55,715.00,715.00,680.00,680.00,682.35,692.74,15075,104.43,-,7594,50.37
ASIANPAINT,EQ,10-Feb-2006,682.35,682.35,702.00,671.50,680.00,677.75,687.15,29904,205.49,-,16205,54.19
ASIANPAINT,EQ,13-Feb-2006,677.75,696.75,699.00,671.00,675.00,675.25,677.59,24731,167.57,-,17132,69.27
ASIANPAINT,EQ,14-Feb-2006,675.25,684.75,684.75,670.00,670.05,670.40,674.01,13176,88.81,-,6285,47.70
ASIANPAINT,EQ,15-Feb-2006,670.40,675.50,680.00,668.00,675.00,674.65,672.76,25354,170.57,-,22288,87.91
ASIANPAINT,EQ,16-Feb-2006,674.65,680.00,680.00,670.00,670.00,674.15,674.12,7003,47.21,-,3005,42.91
ASIANPAINT,EQ,17-Feb-2006,674.15,675.00,677.00,663.00,665.00,665.50,668.28,10990,73.44,-,6931,63.07
ASIANPAINT,EQ,20-Feb-2006,665.50,665.00,666.00,653.00,661.15,662.65,661.41,6279,41.53,-,5150,82.02
