Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AVANTIFEED,EQ,15-Apr-2015,1805.00,1825.00,1860.00,1751.00,1760.00,1776.25,1800.78,2188,39.40,203,1887,86.24
AVANTIFEED,EQ,16-Apr-2015,1776.25,1780.10,1835.00,1421.00,1724.75,1715.60,1716.41,962,16.51,64,802,83.37
AVANTIFEED,EQ,17-Apr-2015,1715.60,1710.00,1729.75,1690.00,1700.00,1696.75,1711.32,1684,28.82,75,1592,94.54
AVANTIFEED,EQ,20-Apr-2015,1696.75,1756.75,1756.75,1628.00,1652.00,1680.60,1670.19,634,10.59,76,595,93.85
AVANTIFEED,EQ,21-Apr-2015,1680.60,1690.00,1690.00,1584.00,1598.05,1598.05,1607.40,1874,30.12,138,1652,88.15
AVANTIFEED,EQ,22-Apr-2015,1598.05,1600.00,1618.00,1570.05,1605.00,1599.90,1594.63,1442,22.99,121,1078,74.76
AVANTIFEED,EQ,23-Apr-2015,1599.90,1620.00,1620.00,1560.00,1560.00,1571.30,1592.56,3001,47.79,163,1621,54.02
AVANTIFEED,EQ,24-Apr-2015,1571.30,1571.30,1587.90,1510.05,1540.00,1527.55,1540.14,2745,42.28,201,2085,75.96
AVANTIFEED,EQ,27-Apr-2015,1527.55,1527.55,1573.45,1470.15,1560.00,1557.75,1529.98,7273,111.28,395,6198,85.22
AVANTIFEED,EQ,28-Apr-2015,1557.75,1550.00,1588.75,1481.00,1520.00,1527.70,1541.62,6917,106.63,334,5024,72.63
AVANTIFEED,EQ,29-Apr-2015,1527.70,1577.00,1629.00,1531.00,1600.00,1606.90,1578.05,3959,62.47,279,3608,91.13
AVANTIFEED,EQ,30-Apr-2015,1606.90,1591.00,1799.00,1579.00,1736.10,1733.45,1726.43,10123,174.77,1052,5815,57.44
AVANTIFEED,EQ,04-May-2015,1733.45,1788.00,1819.00,1751.00,1809.00,1786.40,1790.29,4573,81.87,492,3370,73.69
AVANTIFEED,EQ,05-May-2015,1786.40,1790.00,1844.95,1766.15,1800.00,1804.05,1816.50,4102,74.51,425,2649,64.58
AVANTIFEED,EQ,06-May-2015,1804.05,1810.00,1810.00,1720.00,1728.10,1726.20,1742.58,2986,52.03,272,2032,68.05
AVANTIFEED,EQ,07-May-2015,1726.20,1721.40,1723.00,1575.00,1671.00,1647.80,1642.50,6532,107.29,464,4370,66.90
AVANTIFEED,EQ,08-May-2015,1647.80,1630.00,1718.95,1630.00,1685.00,1686.85,1681.81,2285,38.43,235,1694,74.14
AVANTIFEED,EQ,11-May-2015,1686.85,1700.00,1723.95,1601.00,1684.00,1681.95,1685.87,9384,158.20,893,5679,60.52
AVANTIFEED,EQ,12-May-2015,1681.95,1683.95,1691.00,1649.15,1670.00,1674.70,1669.94,6389,106.69,365,5805,90.86
AVANTIFEED,EQ,13-May-2015,1674.70,1704.95,1705.00,1657.05,1660.00,1669.15,1683.10,1481,24.93,162,1028,69.41
AVANTIFEED,EQ,14-May-2015,1669.15,1698.95,1698.95,1654.00,1690.00,1681.80,1680.69,1581,26.57,145,1135,71.79
AVANTIFEED,EQ,15-May-2015,1681.80,1713.95,1713.95,1620.50,1645.00,1665.25,1659.08,4099,68.01,368,3106,75.77
AVANTIFEED,EQ,18-May-2015,1665.25,1670.40,1680.00,1635.00,1670.00,1665.75,1655.40,3315,54.88,300,2441,73.63
AVANTIFEED,EQ,19-May-2015,1665.75,1665.00,1686.00,1640.10,1651.00,1666.90,1672.54,4682,78.31,330,3779,80.71
AVANTIFEED,EQ,20-May-2015,1666.90,1665.55,1687.90,1659.00,1665.00,1666.05,1666.53,2086,34.76,178,1886,90.41
AVANTIFEED,EQ,21-May-2015,1666.05,1680.00,1680.00,1610.00,1613.00,1617.80,1629.48,3510,57.19,521,2610,74.36
AVANTIFEED,EQ,22-May-2015,1617.80,1659.75,1659.80,1610.00,1610.00,1618.35,1626.10,2655,43.17,275,1930,72.69
AVANTIFEED,EQ,25-May-2015,1618.35,1636.50,1649.75,1570.00,1570.00,1586.15,1608.91,2932,47.17,419,2181,74.39
AVANTIFEED,EQ,26-May-2015,1586.15,1595.00,1658.40,1570.05,1613.40,1599.80,1613.63,3597,58.04,422,2620,72.84
AVANTIFEED,EQ,27-May-2015,1599.80,1643.85,1643.90,1580.15,1586.00,1593.75,1590.47,1370,21.79,166,937,68.39
AVANTIFEED,EQ,28-May-2015,1593.75,1608.95,1609.00,1579.95,1584.00,1587.70,1590.06,1067,16.97,159,865,81.07
AVANTIFEED,EQ,29-May-2015,1587.70,1587.05,1639.00,1572.00,1590.00,1591.75,1598.26,1870,29.89,237,1309,70.00
AVANTIFEED,EQ,01-Jun-2015,1591.75,1594.05,1623.70,1574.40,1601.00,1601.40,1605.62,3272,52.54,574,2488,76.04
AVANTIFEED,EQ,02-Jun-2015,1601.40,1592.25,1610.00,1580.10,1583.00,1583.30,1592.45,1016,16.18,145,857,84.35
AVANTIFEED,EQ,03-Jun-2015,1583.30,1575.20,1588.55,1530.05,1556.00,1558.75,1552.15,4227,65.61,431,3525,83.39
AVANTIFEED,EQ,04-Jun-2015,1558.75,1558.80,1569.90,1545.10,1550.00,1552.30,1553.78,1964,30.52,237,1759,89.56
AVANTIFEED,EQ,05-Jun-2015,1552.30,1530.15,1576.90,1530.15,1555.00,1550.50,1552.39,2263,35.13,312,1815,80.20
AVANTIFEED,EQ,08-Jun-2015,1550.50,1572.00,1590.00,1540.00,1559.50,1551.30,1550.74,3630,56.29,242,3303,90.99
AVANTIFEED,EQ,09-Jun-2015,1551.30,1550.05,1574.80,1531.00,1539.00,1543.30,1546.58,1613,24.95,209,1284,79.60
AVANTIFEED,EQ,10-Jun-2015,1543.30,1575.50,1575.85,1535.25,1535.25,1543.40,1548.81,2485,38.49,299,1875,75.45
AVANTIFEED,EQ,11-Jun-2015,1543.40,1550.05,1555.00,1500.00,1509.00,1508.60,1511.97,8018,121.23,475,7402,92.32
AVANTIFEED,EQ,12-Jun-2015,1508.60,1500.00,1500.05,1479.00,1490.55,1490.95,1490.15,3829,57.06,326,3429,89.55
AVANTIFEED,EQ,15-Jun-2015,1490.95,1510.00,1518.80,1489.00,1509.95,1499.75,1502.37,2921,43.88,211,2632,90.11
AVANTIFEED,EQ,16-Jun-2015,1499.75,1500.05,1514.95,1482.60,1512.00,1509.40,1499.51,2081,31.20,345,1566,75.25
AVANTIFEED,EQ,17-Jun-2015,1509.40,1511.00,1557.00,1500.00,1532.00,1531.10,1530.87,2283,34.95,324,1588,69.56
AVANTIFEED,EQ,18-Jun-2015,1531.10,1520.60,1599.00,1516.00,1575.00,1575.00,1568.37,3150,49.40,499,2458,78.03
AVANTIFEED,EQ,19-Jun-2015,1575.00,1578.25,1610.00,1572.45,1580.00,1580.65,1586.16,1721,27.30,440,1396,81.12
AVANTIFEED,EQ,22-Jun-2015,1580.65,1649.00,1649.00,1567.05,1570.00,1576.25,1591.24,2206,35.10,271,1867,84.63
AVANTIFEED,EQ,23-Jun-2015,1576.25,1590.30,1628.85,1554.45,1554.45,1559.75,1578.00,2860,45.13,318,2158,75.45
AVANTIFEED,EQ,24-Jun-2015,1559.75,1561.20,1580.00,1560.00,1560.00,1560.15,1563.06,1494,23.35,150,1374,91.97
AVANTIFEED,EQ,25-Jun-2015,1560.15,1566.05,1590.35,1536.00,1555.00,1558.30,1553.61,1417,22.01,186,1151,81.23
AVANTIFEED,EQ,26-Jun-2015,1558.30,1583.95,1589.95,1548.00,1560.00,1561.00,1567.66,4288,67.22,359,3441,80.25
AVANTIFEED,EQ,29-Jun-2015,1561.00,1550.05,1550.05,1500.00,1534.00,1533.80,1519.34,4469,67.90,578,3384,75.72
AVANTIFEED,EQ,30-Jun-2015,1533.80,1554.00,1554.00,1518.00,1535.05,1540.50,1540.64,1895,29.20,185,1692,89.29
AVANTIFEED,EQ,01-Jul-2015,1540.50,1530.05,1549.70,1502.60,1530.00,1534.65,1533.58,3398,52.11,466,2253,66.30
AVANTIFEED,EQ,02-Jul-2015,1534.65,1532.40,1606.30,1526.20,1580.00,1576.85,1567.60,4705,73.76,629,2808,59.68
AVANTIFEED,EQ,03-Jul-2015,1576.85,1577.00,1709.50,1562.15,1690.00,1678.25,1669.54,16561,276.49,1815,8830,53.32
AVANTIFEED,EQ,06-Jul-2015,1678.25,1680.00,1797.50,1656.05,1788.00,1790.20,1754.21,17206,301.83,2138,10534,61.22
AVANTIFEED,EQ,07-Jul-2015,1790.20,1785.00,1869.50,1757.05,1780.00,1781.50,1817.12,9485,172.35,1138,5457,57.53
AVANTIFEED,EQ,08-Jul-2015,1781.50,1757.00,1950.00,1724.95,1935.00,1921.70,1879.05,26950,506.40,3238,12743,47.28
AVANTIFEED,EQ,09-Jul-2015,1921.70,1960.00,2055.00,1959.95,2025.00,2022.65,2027.68,44302,898.30,4840,18552,41.88
AVANTIFEED,EQ,10-Jul-2015,2022.65,2044.00,2148.90,2020.00,2080.00,2080.20,2091.74,33477,700.25,3966,12826,38.31
AVANTIFEED,EQ,13-Jul-2015,2080.20,2137.00,2265.00,2101.00,2260.00,2236.55,2192.46,36634,803.19,4425,15796,43.12
AVANTIFEED,EQ,14-Jul-2015,2236.55,2275.00,2348.90,2220.00,2244.00,2241.70,2285.12,21832,498.89,3302,10195,46.70
AVANTIFEED,EQ,15-Jul-2015,2241.70,2225.00,2263.95,2136.00,2180.00,2200.95,2196.24,17908,393.30,2400,8893,49.66
AVANTIFEED,EQ,16-Jul-2015,2200.95,2201.35,2310.00,2163.10,2270.00,2284.05,2245.69,18863,423.60,1687,11361,60.23
AVANTIFEED,EQ,17-Jul-2015,2284.05,2298.85,2324.00,2232.50,2233.50,2256.70,2271.39,8133,184.73,1099,5360,65.90
AVANTIFEED,EQ,20-Jul-2015,2256.70,2256.70,2263.60,2162.05,2193.00,2178.50,2208.69,8303,183.39,1185,5473,65.92
AVANTIFEED,EQ,21-Jul-2015,2178.50,2200.00,2222.30,2110.00,2110.00,2121.95,2164.66,3091,66.91,815,2119,68.55
AVANTIFEED,EQ,22-Jul-2015,2121.95,2121.95,2140.00,2075.00,2090.00,2091.60,2097.59,6051,126.93,1035,4545,75.11
AVANTIFEED,EQ,23-Jul-2015,2091.60,2089.55,2160.05,2051.10,2070.00,2064.20,2103.31,5166,108.66,1174,3656,70.77
AVANTIFEED,EQ,24-Jul-2015,2064.20,2064.25,2160.00,2057.55,2133.10,2138.25,2125.23,7446,158.24,1794,3060,41.10
AVANTIFEED,EQ,27-Jul-2015,2138.25,2187.00,2248.00,2155.00,2210.00,2205.20,2208.17,8958,197.81,1536,6094,68.03
AVANTIFEED,EQ,28-Jul-2015,2205.20,2210.05,2250.00,2190.00,2200.00,2201.05,2220.64,3899,86.58,814,2124,54.48
AVANTIFEED,EQ,29-Jul-2015,2201.05,2222.95,2321.50,2198.00,2300.00,2308.65,2264.89,8426,190.84,1278,6282,74.55
AVANTIFEED,EQ,30-Jul-2015,2308.65,2320.00,2418.00,2308.00,2325.00,2338.50,2368.85,10885,257.85,1905,6728,61.81
AVANTIFEED,EQ,31-Jul-2015,2338.50,2380.00,2435.00,2340.00,2392.00,2405.75,2396.86,9718,232.93,1664,5467,56.26
AVANTIFEED,EQ,03-Aug-2015,2405.75,2440.60,2525.00,2435.00,2510.00,2509.70,2485.16,15118,375.71,1942,8401,55.57
AVANTIFEED,EQ,04-Aug-2015,2509.70,2522.00,2590.00,2510.00,2575.00,2568.05,2552.53,13325,340.12,2249,8046,60.38
AVANTIFEED,EQ,05-Aug-2015,2568.05,2597.00,2682.00,2559.95,2560.00,2561.75,2604.71,17698,460.98,2147,12557,70.95
AVANTIFEED,EQ,06-Aug-2015,2561.75,2562.00,2591.80,2401.00,2419.00,2430.75,2450.81,10132,248.32,2599,5158,50.91
AVANTIFEED,EQ,07-Aug-2015,2430.75,2429.90,2563.60,2341.00,2544.00,2548.60,2511.93,16715,419.87,2912,7900,47.26
AVANTIFEED,EQ,10-Aug-2015,2548.60,2820.00,3058.30,2815.00,2932.05,2936.35,2999.46,134658,4039.02,12547,47208,35.06
AVANTIFEED,EQ,11-Aug-2015,2936.35,2950.00,2954.00,2780.00,2794.00,2794.35,2828.47,17153,485.17,2396,9487,55.31
