Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BAGFILMS,EQ,02-Jan-2006,10.90,11.15,13.10,11.15,13.10,13.10,12.66,1859798,235.49,-,732572,39.39
BAGFILMS,EQ,03-Jan-2006,13.10,13.65,13.65,12.75,12.75,12.85,13.07,1258967,164.52,-,685241,54.43
BAGFILMS,EQ,04-Jan-2006,12.85,12.95,13.75,12.10,12.75,12.75,13.07,1026397,134.12,-,361045,35.18
BAGFILMS,EQ,05-Jan-2006,12.75,12.95,13.10,12.30,12.35,12.40,12.59,249182,31.36,-,125287,50.28
BAGFILMS,EQ,06-Jan-2006,12.40,12.60,12.60,11.65,12.20,12.30,12.26,579657,71.08,-,270799,46.72
BAGFILMS,EQ,09-Jan-2006,12.30,12.60,12.60,11.75,12.10,12.10,12.09,317030,38.32,-,189209,59.68
BAGFILMS,EQ,10-Jan-2006,12.10,12.00,12.30,11.90,12.20,12.10,12.13,201761,24.47,-,118381,58.67
BAGFILMS,EQ,12-Jan-2006,12.10,11.60,12.30,11.60,12.15,12.15,12.00,125995,15.12,-,84883,67.37
BAGFILMS,EQ,13-Jan-2006,12.15,12.15,13.10,12.15,12.75,12.60,12.69,658527,83.57,-,356163,54.08
BAGFILMS,EQ,16-Jan-2006,12.60,12.75,14.00,12.65,13.65,13.65,13.62,1410430,192.07,-,724151,51.34
BAGFILMS,EQ,17-Jan-2006,13.65,13.95,13.95,12.95,13.05,13.05,13.42,634219,85.09,-,381055,60.08
BAGFILMS,EQ,18-Jan-2006,13.05,13.05,13.10,12.55,13.00,12.90,12.85,190975,24.54,-,108042,56.57
BAGFILMS,EQ,19-Jan-2006,12.90,12.60,13.90,12.60,13.30,13.35,13.25,219386,29.08,-,143296,65.32
BAGFILMS,EQ,20-Jan-2006,13.35,13.60,13.65,12.65,12.75,12.85,12.92,374088,48.34,-,205685,54.98
BAGFILMS,EQ,23-Jan-2006,12.85,12.60,13.05,12.60,12.90,12.85,12.80,160610,20.56,-,123710,77.03
BAGFILMS,EQ,24-Jan-2006,12.85,13.05,13.20,12.95,13.10,13.10,13.07,187774,24.54,-,134276,71.51
BAGFILMS,EQ,25-Jan-2006,13.10,13.15,13.40,12.55,12.75,12.65,12.91,155162,20.03,-,108358,69.84
BAGFILMS,EQ,27-Jan-2006,12.65,13.00,13.30,12.60,12.75,12.80,12.81,212767,27.25,-,140595,66.08
BAGFILMS,EQ,30-Jan-2006,12.80,12.50,13.00,12.10,12.20,12.20,12.35,259899,32.11,-,146590,56.40
BAGFILMS,EQ,31-Jan-2006,12.20,12.50,12.50,11.65,11.80,11.75,12.10,240942,29.14,-,125766,52.20
BAGFILMS,EQ,01-Feb-2006,11.75,11.95,12.25,11.50,11.85,11.65,11.73,221475,25.99,-,147278,66.50
BAGFILMS,EQ,02-Feb-2006,11.65,11.65,11.95,11.40,11.60,11.70,11.62,140705,16.35,-,107495,76.40
BAGFILMS,EQ,03-Feb-2006,11.70,11.80,11.80,11.25,11.45,11.35,11.53,76459,8.82,-,43616,57.04
BAGFILMS,EQ,06-Feb-2006,11.35,11.75,11.90,11.20,11.55,11.50,11.49,103927,11.94,-,73702,70.92
BAGFILMS,EQ,07-Feb-2006,11.50,11.80,11.90,11.20,11.35,11.45,11.44,146257,16.73,-,108194,73.98
BAGFILMS,EQ,08-Feb-2006,11.45,11.80,11.80,11.20,11.35,11.30,11.43,193568,22.12,-,115885,59.87
BAGFILMS,EQ,10-Feb-2006,11.30,11.45,12.70,11.30,12.45,12.60,12.23,761103,93.11,-,287414,37.76
BAGFILMS,EQ,13-Feb-2006,12.60,13.00,13.00,11.85,11.95,12.00,12.19,409954,49.96,-,225060,54.90
BAGFILMS,EQ,14-Feb-2006,12.00,12.00,12.80,12.00,12.40,12.40,12.47,706886,88.15,-,297656,42.11
BAGFILMS,EQ,15-Feb-2006,12.40,12.60,12.95,11.80,12.40,12.35,12.39,919981,113.98,-,471517,51.25
BAGFILMS,EQ,16-Feb-2006,12.35,12.45,14.75,12.40,14.60,14.50,14.05,5145466,722.97,-,1743042,33.88
