Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BAJAUTOFIN,EQ,02-Jan-2006,442.00,435.10,451.80,432.00,450.00,450.05,446.78,18678,83.45,-,13233,70.85
BAJAUTOFIN,EQ,03-Jan-2006,450.05,455.00,455.00,440.00,450.00,445.90,449.97,19522,87.84,-,16987,87.01
BAJAUTOFIN,EQ,04-Jan-2006,445.90,441.20,450.00,441.20,448.10,444.35,449.09,14762,66.29,-,13600,92.13
BAJAUTOFIN,EQ,05-Jan-2006,444.35,449.90,452.00,439.65,439.65,441.10,444.17,6974,30.98,-,4605,66.03
BAJAUTOFIN,EQ,06-Jan-2006,441.10,449.50,450.95,438.00,438.00,438.85,447.07,18440,82.44,-,15526,84.20
BAJAUTOFIN,EQ,09-Jan-2006,438.85,440.00,446.80,430.10,430.50,435.30,437.24,9839,43.02,-,8882,90.27
BAJAUTOFIN,EQ,10-Jan-2006,435.30,438.95,438.95,415.00,416.10,417.55,423.32,16804,71.14,-,13214,78.64
BAJAUTOFIN,EQ,12-Jan-2006,417.55,440.00,440.00,403.00,421.10,422.15,418.53,23122,96.77,-,13720,59.34
BAJAUTOFIN,EQ,13-Jan-2006,422.15,425.00,459.90,402.00,450.00,442.40,423.30,91908,389.04,-,80135,87.19
BAJAUTOFIN,EQ,16-Jan-2006,442.40,420.40,459.00,420.40,450.50,450.25,449.64,14105,63.42,-,11379,80.67
BAJAUTOFIN,EQ,17-Jan-2006,450.25,450.00,460.00,449.25,457.05,459.25,454.40,34573,157.10,-,31163,90.14
BAJAUTOFIN,EQ,18-Jan-2006,459.25,449.75,458.90,444.00,450.10,450.35,450.01,57388,258.25,-,54679,95.28
BAJAUTOFIN,EQ,19-Jan-2006,450.35,434.00,456.00,434.00,454.00,455.30,451.75,8077,36.49,-,5001,61.92
BAJAUTOFIN,EQ,20-Jan-2006,455.30,459.90,459.90,450.00,452.75,454.25,453.28,9783,44.34,-,8960,91.59
BAJAUTOFIN,EQ,23-Jan-2006,454.25,454.00,455.80,450.00,452.25,454.05,452.40,12226,55.31,-,11180,91.44
BAJAUTOFIN,EQ,24-Jan-2006,454.05,452.50,462.00,452.50,453.00,453.15,456.34,9746,44.47,-,8184,83.97
BAJAUTOFIN,EQ,25-Jan-2006,453.15,453.00,457.40,452.00,455.00,454.75,454.83,15808,71.90,-,14088,89.12
BAJAUTOFIN,EQ,27-Jan-2006,454.75,454.00,478.00,450.00,478.00,471.65,466.02,28567,133.13,-,25128,87.96
BAJAUTOFIN,EQ,30-Jan-2006,471.65,461.10,518.85,461.10,518.85,518.80,496.29,65669,325.91,-,51660,78.67
BAJAUTOFIN,EQ,31-Jan-2006,518.80,544.90,544.90,509.00,511.75,513.25,517.06,15761,81.49,-,8323,52.81
BAJAUTOFIN,EQ,01-Feb-2006,513.25,478.00,515.00,469.70,512.95,510.95,510.36,26600,135.76,-,22904,86.11
