Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BERGEPAINT,EQ,02-Jan-2006,72.55,71.50,73.20,61.00,72.50,72.45,72.30,41762,30.19,-,21160,50.67
BERGEPAINT,EQ,03-Jan-2006,72.45,72.95,72.95,71.60,72.00,72.00,72.09,75511,54.43,-,55880,74.00
BERGEPAINT,EQ,04-Jan-2006,72.00,72.00,75.80,72.00,75.10,74.70,74.48,248181,184.85,-,161513,65.08
BERGEPAINT,EQ,05-Jan-2006,74.70,74.70,75.50,72.50,73.65,73.70,73.68,93965,69.23,-,46894,49.91
BERGEPAINT,EQ,06-Jan-2006,73.70,74.00,75.50,73.05,74.65,75.05,74.69,178125,133.04,-,122448,68.74
BERGEPAINT,EQ,09-Jan-2006,75.05,75.75,75.90,74.40,74.50,74.60,74.98,77996,58.48,-,47480,60.87
BERGEPAINT,EQ,10-Jan-2006,74.60,75.35,75.35,72.20,72.80,72.55,72.97,112038,81.76,-,64888,57.92
BERGEPAINT,EQ,12-Jan-2006,72.55,74.95,74.95,71.00,73.05,73.05,73.09,68392,49.99,-,49351,72.16
BERGEPAINT,EQ,13-Jan-2006,73.05,73.00,75.35,73.00,74.50,73.90,74.48,129921,96.77,-,66948,51.53
BERGEPAINT,EQ,16-Jan-2006,73.90,74.35,74.80,73.00,74.45,74.15,73.77,62026,45.75,-,38207,61.60
BERGEPAINT,EQ,17-Jan-2006,74.15,74.85,75.00,72.60,73.85,73.00,73.77,65017,47.96,-,43040,66.20
BERGEPAINT,EQ,18-Jan-2006,73.00,73.00,73.00,71.45,72.50,72.30,72.18,44396,32.05,-,29928,67.41
BERGEPAINT,EQ,19-Jan-2006,72.30,72.30,74.00,72.05,73.10,73.15,73.33,32612,23.91,-,20907,64.11
BERGEPAINT,EQ,20-Jan-2006,73.15,72.75,74.45,72.50,72.50,72.95,73.22,62249,45.58,-,36971,59.39
BERGEPAINT,EQ,23-Jan-2006,72.95,73.10,73.55,72.50,73.35,73.15,73.10,53539,39.14,-,39312,73.43
BERGEPAINT,EQ,24-Jan-2006,73.15,73.00,73.95,72.25,73.50,72.95,73.13,65630,48.00,-,50846,77.47
BERGEPAINT,EQ,25-Jan-2006,72.95,73.85,76.50,73.15,74.20,74.40,75.05,216318,162.35,-,115394,53.34
BERGEPAINT,EQ,27-Jan-2006,74.40,75.10,76.00,71.80,73.50,72.95,73.40,173221,127.14,-,108341,62.54
BERGEPAINT,EQ,30-Jan-2006,72.95,73.50,73.80,71.50,71.95,71.90,72.65,62326,45.28,-,51292,82.30
BERGEPAINT,EQ,31-Jan-2006,71.90,72.80,73.50,71.25,73.00,73.10,72.95,75158,54.82,-,60829,80.93
BERGEPAINT,EQ,01-Feb-2006,73.10,72.05,73.10,72.00,73.10,72.55,72.60,91812,66.66,-,68944,75.09
BERGEPAINT,EQ,02-Feb-2006,72.55,72.65,74.65,72.00,72.95,73.00,73.02,78030,56.97,-,57111,73.19
BERGEPAINT,EQ,03-Feb-2006,73.00,73.25,74.90,72.40,72.85,73.10,73.70,118720,87.50,-,81282,68.47
BERGEPAINT,EQ,06-Feb-2006,73.10,73.00,73.70,72.50,72.55,72.90,72.96,35662,26.02,-,28895,81.02
BERGEPAINT,EQ,07-Feb-2006,72.90,73.75,74.50,72.70,74.00,73.90,73.91,86337,63.81,-,70182,81.29
BERGEPAINT,EQ,08-Feb-2006,73.90,73.90,74.50,72.50,73.00,72.95,72.92,63592,46.37,-,49710,78.17
BERGEPAINT,EQ,10-Feb-2006,72.95,72.00,73.70,70.25,70.80,70.70,71.39,120881,86.30,-,100863,83.44
BERGEPAINT,EQ,13-Feb-2006,70.70,70.10,73.45,68.10,73.45,72.80,72.09,95209,68.64,-,75008,78.78
BERGEPAINT,EQ,14-Feb-2006,72.80,73.40,73.40,72.75,73.10,73.00,72.99,75920,55.41,-,65487,86.26
BERGEPAINT,EQ,15-Feb-2006,73.00,73.50,74.80,72.70,73.05,73.15,73.38,296768,217.77,-,257928,86.91
BERGEPAINT,EQ,16-Feb-2006,73.15,73.75,73.95,71.25,71.70,71.50,72.40,75274,54.50,-,63399,84.22
BERGEPAINT,EQ,17-Feb-2006,71.50,72.00,72.80,71.65,72.25,72.00,72.06,45225,32.59,-,38575,85.30
BERGEPAINT,EQ,20-Feb-2006,72.00,72.00,73.50,71.20,73.20,72.75,72.53,75727,54.92,-,53306,70.39
BERGEPAINT,EQ,21-Feb-2006,72.75,73.50,73.50,71.85,73.00,72.80,72.78,44749,32.57,-,32746,73.18
BERGEPAINT,EQ,22-Feb-2006,72.80,73.00,74.50,72.30,73.60,74.00,73.47,97310,71.49,-,81865,84.13
BERGEPAINT,EQ,23-Feb-2006,74.00,74.00,75.90,73.80,75.00,75.30,74.98,191274,143.41,-,141288,73.87
BERGEPAINT,EQ,24-Feb-2006,75.30,77.90,77.90,74.00,75.00,75.05,75.41,110121,83.04,-,58774,53.37
BERGEPAINT,EQ,27-Feb-2006,75.05,75.00,75.00,72.80,72.95,73.00,73.22,66123,48.42,-,55396,83.78
BERGEPAINT,EQ,28-Feb-2006,73.00,73.50,73.70,72.75,73.00,73.00,73.05,23965,17.51,-,20172,84.17
BERGEPAINT,EQ,01-Mar-2006,73.00,73.15,73.40,72.50,73.40,73.20,73.03,24584,17.95,-,20134,81.90
BERGEPAINT,EQ,02-Mar-2006,73.20,74.00,74.00,72.15,73.25,73.00,72.98,61919,45.19,-,51097,82.52
BERGEPAINT,EQ,03-Mar-2006,73.00,73.00,73.60,72.00,72.50,72.25,72.66,62798,45.63,-,51450,81.93
BERGEPAINT,EQ,06-Mar-2006,72.25,72.25,72.95,71.70,71.75,72.05,72.05,63381,45.67,-,54386,85.81
