Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BINDALAGRO,EQ,02-Jan-2006,36.90,38.65,38.75,37.50,38.75,38.75,38.64,2645248,1022.02,-,1344528,50.83
BINDALAGRO,EQ,03-Jan-2006,38.75,39.25,40.15,37.55,38.70,38.30,39.03,1265121,493.79,-,840290,66.42
BINDALAGRO,EQ,04-Jan-2006,38.30,38.75,38.90,36.40,36.40,36.70,37.38,652070,243.74,-,476704,73.11
BINDALAGRO,EQ,05-Jan-2006,36.70,36.70,38.55,36.25,38.55,38.55,38.02,625597,237.87,-,443961,70.97
BINDALAGRO,EQ,06-Jan-2006,38.55,40.50,40.50,39.45,40.50,40.50,40.40,3346767,1352.05,-,1901562,56.82
BINDALAGRO,EQ,09-Jan-2006,40.50,42.55,42.55,40.05,42.00,42.15,41.88,3038728,1272.58,-,1725190,56.77
BINDALAGRO,EQ,10-Jan-2006,42.15,42.50,42.50,40.05,40.35,40.60,40.61,3493672,1418.62,-,1887364,54.02
BINDALAGRO,EQ,12-Jan-2006,40.60,40.00,42.65,38.80,42.65,42.65,41.35,4087681,1690.41,-,2561933,62.67
BINDALAGRO,EQ,13-Jan-2006,42.65,43.25,44.80,42.50,43.75,43.50,44.05,2827829,1245.69,-,1800843,63.68
BINDALAGRO,EQ,16-Jan-2006,43.50,44.00,45.00,42.70,42.75,43.00,43.52,1211820,527.44,-,900505,74.31
BINDALAGRO,EQ,17-Jan-2006,43.00,43.40,45.15,42.80,45.15,45.15,44.96,1431245,643.49,-,1097441,76.68
BINDALAGRO,EQ,18-Jan-2006,45.15,45.95,45.95,43.50,44.75,44.85,44.77,2015978,902.64,-,1558333,77.30
BINDALAGRO,EQ,19-Jan-2006,44.85,45.20,46.80,45.20,45.35,45.50,45.82,1020621,467.65,-,538533,52.77
BINDALAGRO,EQ,20-Jan-2006,45.50,45.95,46.50,44.60,45.65,45.90,45.56,909534,414.36,-,670979,73.77
