Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BIRLAERIC,EQ,02-Jan-2006,32.20,32.30,32.85,31.80,32.00,31.90,32.27,44790,14.45,-,19390,43.29
BIRLAERIC,EQ,03-Jan-2006,31.90,33.00,35.50,32.15,34.60,34.40,34.08,215726,73.52,-,105029,48.69
BIRLAERIC,EQ,04-Jan-2006,34.40,34.95,34.95,33.70,33.85,33.80,34.07,51785,17.65,-,27973,54.02
BIRLAERIC,EQ,05-Jan-2006,33.80,34.15,34.15,32.30,33.05,33.25,33.26,26648,8.86,-,15034,56.42
BIRLAERIC,EQ,06-Jan-2006,33.25,33.35,34.80,32.85,34.40,34.30,33.85,81883,27.72,-,46230,56.46
BIRLAERIC,EQ,09-Jan-2006,34.30,35.00,39.90,35.00,38.70,38.80,37.42,690135,258.27,-,233924,33.90
BIRLAERIC,EQ,10-Jan-2006,38.80,39.20,40.25,37.65,37.70,37.85,39.10,487826,190.72,-,180044,36.91
BIRLAERIC,EQ,12-Jan-2006,37.85,37.45,38.40,36.20,37.75,37.65,37.77,116756,44.10,-,57708,49.43
BIRLAERIC,EQ,13-Jan-2006,37.65,38.10,38.90,36.50,37.00,37.25,38.09,103275,39.34,-,51603,49.97
BIRLAERIC,EQ,16-Jan-2006,37.25,37.35,37.50,36.50,36.95,36.95,36.93,50949,18.81,-,33889,66.52
BIRLAERIC,EQ,17-Jan-2006,36.95,35.50,37.65,35.50,35.50,35.75,36.73,59543,21.87,-,26775,44.97
BIRLAERIC,EQ,18-Jan-2006,35.75,35.00,35.60,34.35,34.55,34.65,34.86,36544,12.74,-,21092,57.72
BIRLAERIC,EQ,19-Jan-2006,34.65,34.90,36.50,34.90,35.95,35.50,35.70,43149,15.40,-,21384,49.56
BIRLAERIC,EQ,20-Jan-2006,35.50,37.75,37.75,35.15,35.65,35.65,36.12,57140,20.64,-,34817,60.93
BIRLAERIC,EQ,23-Jan-2006,35.65,36.00,37.70,36.00,36.65,36.80,36.91,91239,33.68,-,38245,41.92
BIRLAERIC,EQ,24-Jan-2006,36.80,37.80,38.00,35.35,37.05,37.00,37.58,85278,32.04,-,39641,46.48
BIRLAERIC,EQ,25-Jan-2006,37.00,37.80,38.40,36.05,36.40,36.25,37.56,91428,34.34,-,40668,44.48
BIRLAERIC,EQ,27-Jan-2006,36.25,36.90,36.90,35.10,35.25,35.25,35.63,44797,15.96,-,29172,65.12
BIRLAERIC,EQ,30-Jan-2006,35.25,35.50,35.50,32.80,33.10,33.30,33.91,39953,13.55,-,27414,68.62
BIRLAERIC,EQ,31-Jan-2006,33.30,34.20,34.25,33.00,33.55,33.30,33.27,32848,10.93,-,17345,52.80
BIRLAERIC,EQ,01-Feb-2006,33.30,33.25,33.60,30.80,31.00,31.15,31.84,43476,13.84,-,30946,71.18
BIRLAERIC,EQ,02-Feb-2006,31.15,32.50,32.50,30.30,30.50,30.60,31.03,46113,14.31,-,27417,59.46
