Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BPCL,EQ,02-Jan-2006,435.15,435.15,443.00,426.10,443.00,439.35,434.62,144555,628.27,-,63142,43.68
BPCL,EQ,03-Jan-2006,439.35,440.00,443.45,436.50,439.30,440.05,440.62,173705,765.38,-,104446,60.13
BPCL,EQ,04-Jan-2006,440.05,440.15,455.00,440.00,453.50,452.20,447.34,770912,3448.58,-,582657,75.58
BPCL,EQ,05-Jan-2006,452.20,452.00,464.00,445.25,463.00,460.80,453.60,650649,2951.31,-,461151,70.88
BPCL,EQ,06-Jan-2006,460.80,454.00,467.00,446.00,466.10,465.25,464.32,469476,2179.89,-,313500,66.78
BPCL,EQ,09-Jan-2006,465.25,460.00,470.00,455.00,470.00,466.50,462.58,518521,2398.57,-,379617,73.21
BPCL,EQ,10-Jan-2006,466.50,466.00,466.00,455.00,461.00,459.70,460.51,105925,487.79,-,42905,40.51
BPCL,EQ,12-Jan-2006,459.70,458.00,460.95,443.50,445.50,447.95,451.17,212021,956.57,-,106787,50.37
BPCL,EQ,13-Jan-2006,447.95,450.00,453.00,443.20,445.00,444.80,446.01,141192,629.72,-,68180,48.29
BPCL,EQ,16-Jan-2006,444.80,444.75,451.50,440.00,442.70,442.50,447.42,145573,651.33,-,90450,62.13
BPCL,EQ,17-Jan-2006,442.50,444.00,444.00,432.00,434.80,434.00,436.97,59490,259.95,-,17745,29.83
BPCL,EQ,18-Jan-2006,434.00,432.00,471.10,425.00,434.00,438.30,432.75,91604,396.42,-,29598,32.31
BPCL,EQ,19-Jan-2006,438.30,436.00,440.00,428.00,431.10,428.90,431.48,176766,762.71,-,122106,69.08
BPCL,EQ,20-Jan-2006,428.90,435.00,443.00,428.00,437.40,439.40,432.71,467964,2024.93,-,397095,84.86
BPCL,EQ,23-Jan-2006,439.40,438.00,469.05,431.80,435.00,434.45,435.91,356593,1554.41,-,269747,75.65
BPCL,EQ,24-Jan-2006,434.45,438.00,438.00,432.00,433.00,433.00,433.70,109637,475.49,-,71506,65.22
BPCL,EQ,25-Jan-2006,433.00,438.00,438.00,421.00,421.10,423.90,425.58,151706,645.63,-,71781,47.32
BPCL,EQ,27-Jan-2006,423.90,429.90,439.50,418.00,430.00,430.70,430.60,187655,808.03,-,73543,39.19
BPCL,EQ,30-Jan-2006,430.70,430.00,430.00,416.25,420.50,420.65,422.66,73493,310.63,-,19808,26.95
BPCL,EQ,31-Jan-2006,420.65,417.00,419.80,412.05,414.00,414.25,415.33,107805,447.75,-,70269,65.18
BPCL,EQ,01-Feb-2006,414.25,414.25,416.00,400.00,414.00,414.00,412.22,389378,1605.09,-,307033,78.85
BPCL,EQ,02-Feb-2006,414.00,414.00,437.10,408.00,437.10,433.00,427.99,324529,1388.97,-,212189,65.38
BPCL,EQ,03-Feb-2006,433.00,438.00,446.00,427.00,431.05,434.75,439.80,659612,2900.97,-,433957,65.79
BPCL,EQ,06-Feb-2006,434.75,430.00,443.00,427.20,441.00,440.65,437.46,90692,396.74,-,40733,44.91
BPCL,EQ,07-Feb-2006,440.65,442.00,443.00,431.00,432.25,439.30,438.89,184029,807.69,-,122897,66.78
BPCL,EQ,08-Feb-2006,439.30,440.70,440.70,425.00,426.30,427.95,429.16,440535,1890.60,-,354901,80.56
BPCL,EQ,10-Feb-2006,427.95,427.00,440.00,425.00,440.00,433.85,429.69,307408,1320.90,-,210492,68.47
BPCL,EQ,13-Feb-2006,433.85,427.25,445.90,427.25,443.00,443.80,439.44,127569,560.59,-,61880,48.51
BPCL,EQ,14-Feb-2006,443.80,445.00,451.40,440.10,441.00,444.55,449.17,342413,1538.01,-,236783,69.15
BPCL,EQ,15-Feb-2006,444.55,445.90,452.40,442.00,447.00,449.80,449.43,415923,1869.29,-,268708,64.61
BPCL,EQ,16-Feb-2006,449.80,453.00,460.00,451.30,454.00,455.30,457.06,821927,3756.69,-,591643,71.98
BPCL,EQ,17-Feb-2006,455.30,454.40,457.90,442.25,443.10,443.55,448.44,128378,575.70,-,83084,64.72
BPCL,EQ,20-Feb-2006,443.55,444.00,454.00,432.50,440.10,440.15,437.82,316166,1384.24,-,221774,70.14
BPCL,EQ,21-Feb-2006,440.15,439.80,445.00,433.00,440.00,440.20,439.95,286492,1260.43,-,179726,62.73
BPCL,EQ,22-Feb-2006,440.20,436.05,448.80,436.05,444.00,445.70,445.37,664789,2960.77,-,518856,78.05
BPCL,EQ,23-Feb-2006,445.70,448.80,450.00,442.15,446.05,446.30,446.45,614510,2743.48,-,451962,73.55
BPCL,EQ,24-Feb-2006,446.30,450.00,451.00,443.10,448.50,449.35,448.57,410269,1840.33,-,249242,60.75
BPCL,EQ,27-Feb-2006,449.35,443.10,452.00,443.10,449.50,448.80,448.58,447172,2005.93,-,334043,74.70
BPCL,EQ,28-Feb-2006,448.80,452.00,458.95,418.30,435.00,435.50,440.00,784494,3451.74,-,276331,35.22
BPCL,EQ,01-Mar-2006,435.50,425.00,440.80,422.00,439.30,438.65,436.42,603893,2635.53,-,470330,77.88
BPCL,EQ,02-Mar-2006,438.65,439.00,439.00,424.00,425.75,426.20,428.13,234319,1003.18,-,163103,69.61
BPCL,EQ,03-Mar-2006,426.20,425.80,439.00,417.30,426.70,425.10,425.97,337415,1437.28,-,154399,45.76
BPCL,EQ,06-Mar-2006,425.10,424.80,430.95,424.00,424.95,424.95,428.79,111687,478.90,-,84750,75.88
BPCL,EQ,07-Mar-2006,424.95,425.00,428.70,417.00,423.45,421.55,421.15,239992,1010.74,-,118635,49.43
BPCL,EQ,08-Mar-2006,421.55,425.00,428.00,418.00,419.30,419.75,422.62,436167,1843.31,-,297429,68.19
BPCL,EQ,09-Mar-2006,419.75,422.00,427.00,416.20,417.05,418.95,419.86,188835,792.85,-,127117,67.32
BPCL,EQ,10-Mar-2006,418.95,421.40,422.00,413.50,414.95,414.95,417.72,152559,637.27,-,92588,60.69
BPCL,EQ,13-Mar-2006,414.95,421.75,421.75,412.00,414.00,415.50,416.05,315313,1311.87,-,203708,64.61
BPCL,EQ,14-Mar-2006,415.50,417.00,417.00,408.60,412.75,411.65,414.06,312035,1292.03,-,204722,65.61
BPCL,EQ,16-Mar-2006,411.65,415.00,422.50,411.00,414.00,414.75,416.27,309253,1287.32,-,222664,72.00
BPCL,EQ,17-Mar-2006,414.75,411.80,415.95,410.00,412.00,411.80,412.22,178432,735.53,-,115049,64.48
BPCL,EQ,20-Mar-2006,411.80,416.00,419.70,412.25,418.70,418.35,417.32,100377,418.90,-,50128,49.94
BPCL,EQ,21-Mar-2006,418.35,419.70,422.90,416.50,419.00,418.30,420.11,68928,289.57,-,35971,52.19
BPCL,EQ,22-Mar-2006,418.30,418.50,428.30,415.10,427.00,427.05,422.89,118407,500.74,-,44867,37.89
BPCL,EQ,23-Mar-2006,427.05,428.30,442.00,428.30,442.00,438.85,434.12,390468,1695.12,-,261539,66.98
BPCL,EQ,24-Mar-2006,438.85,435.00,441.50,432.00,434.20,435.20,436.26,117911,514.39,-,72387,61.39
BPCL,EQ,27-Mar-2006,435.20,438.95,438.95,427.00,428.60,428.10,430.05,125478,539.62,-,96937,77.25
BPCL,EQ,28-Mar-2006,428.10,431.00,432.50,417.00,418.30,419.70,423.71,339468,1438.35,-,267526,78.81
BPCL,EQ,29-Mar-2006,419.70,420.00,421.40,386.10,419.00,417.10,419.02,195825,820.55,-,117640,60.07
BPCL,EQ,30-Mar-2006,417.10,419.00,424.00,413.05,418.00,419.00,419.73,225226,945.34,-,142741,63.38
BPCL,EQ,31-Mar-2006,419.00,419.05,427.90,414.15,425.00,425.30,423.59,168476,713.65,-,137983,81.90
BPCL,EQ,03-Apr-2006,425.30,427.00,439.00,425.15,436.50,437.50,434.84,73121,317.96,-,35901,49.10
BPCL,EQ,04-Apr-2006,437.50,436.00,464.50,436.00,456.20,458.35,452.47,463072,2095.25,-,228128,49.26
BPCL,EQ,05-Apr-2006,458.35,459.00,464.00,454.25,462.00,459.95,459.40,353981,1626.17,-,241019,68.09
BPCL,EQ,07-Apr-2006,459.95,453.00,474.00,451.00,454.95,455.70,460.41,238019,1095.86,-,122672,51.54
