Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CELEBRITY,EQ,12-Jan-2006,180.00,236.30,269.90,215.00,226.70,228.90,228.42,6773498,15471.76,-,1280043,18.90
CELEBRITY,EQ,13-Jan-2006,228.90,227.10,239.70,220.75,222.00,223.45,232.10,3001318,6966.16,-,462751,15.42
CELEBRITY,EQ,16-Jan-2006,223.45,224.45,238.70,221.60,228.80,228.95,231.18,2538158,5867.61,-,355035,13.99
CELEBRITY,EQ,17-Jan-2006,228.95,230.80,235.80,224.30,228.85,227.25,231.00,1167418,2696.79,-,231519,19.83
CELEBRITY,EQ,18-Jan-2006,227.25,227.25,232.40,217.50,222.90,222.25,225.99,1510306,3413.17,-,206344,13.66
CELEBRITY,EQ,19-Jan-2006,222.25,225.00,232.05,224.00,231.10,229.55,227.58,612932,1394.94,-,171675,28.01
CELEBRITY,EQ,20-Jan-2006,229.55,234.15,234.40,226.75,227.25,228.15,230.78,449255,1036.80,-,93358,20.78
CELEBRITY,EQ,23-Jan-2006,228.15,228.10,232.00,223.10,223.15,224.90,227.80,327971,747.12,-,78915,24.06
CELEBRITY,EQ,24-Jan-2006,224.90,225.50,244.40,225.50,236.60,236.00,237.61,1093730,2598.81,-,224391,20.52
CELEBRITY,EQ,25-Jan-2006,236.00,240.00,241.20,223.40,226.00,225.70,231.39,371510,859.63,-,93203,25.09
CELEBRITY,EQ,27-Jan-2006,225.70,228.25,229.40,211.35,212.50,215.30,220.46,278992,615.06,-,112362,40.27
CELEBRITY,EQ,30-Jan-2006,215.30,217.10,217.60,198.50,199.20,199.50,204.42,609823,1246.60,-,261745,42.92
CELEBRITY,EQ,31-Jan-2006,199.50,200.20,236.00,200.20,228.40,231.95,227.07,4277799,9713.81,-,300692,7.03
CELEBRITY,EQ,01-Feb-2006,231.95,229.00,229.00,208.60,214.00,212.35,220.19,1392788,3066.72,-,205300,14.74
CELEBRITY,EQ,02-Feb-2006,212.35,214.80,221.00,208.00,211.50,210.85,214.35,626849,1343.67,-,79735,12.72
CELEBRITY,EQ,03-Feb-2006,210.85,211.50,212.60,201.10,204.95,204.10,207.05,397308,822.62,-,122382,30.80
CELEBRITY,EQ,06-Feb-2006,204.10,205.00,213.95,204.00,209.25,209.25,208.91,308716,644.94,-,36968,11.97
CELEBRITY,EQ,07-Feb-2006,209.25,208.10,215.65,207.40,212.55,212.50,211.35,317863,671.80,-,64548,20.31
CELEBRITY,EQ,08-Feb-2006,212.50,213.65,214.20,205.15,209.65,210.10,210.80,260448,549.03,-,40898,15.70
CELEBRITY,EQ,10-Feb-2006,210.10,211.25,221.95,210.05,216.30,215.95,216.79,512038,1110.07,-,70428,13.75
CELEBRITY,EQ,13-Feb-2006,215.95,217.00,219.30,215.50,219.00,218.30,217.53,206646,449.52,-,55895,27.05
CELEBRITY,EQ,14-Feb-2006,218.30,216.15,226.70,210.00,212.00,212.70,218.87,593067,1298.03,-,254596,42.93
CELEBRITY,EQ,15-Feb-2006,212.70,213.95,216.50,206.95,207.15,208.10,210.87,282875,596.50,-,126371,44.67
CELEBRITY,EQ,16-Feb-2006,208.10,209.90,210.60,200.15,201.00,201.65,204.23,272832,557.20,-,132416,48.53
CELEBRITY,EQ,17-Feb-2006,201.65,202.50,206.90,185.25,187.60,187.65,194.29,514305,999.22,-,300455,58.42
CELEBRITY,EQ,20-Feb-2006,187.65,189.00,205.00,188.00,198.25,197.85,198.44,563898,1119.01,-,101632,18.02
CELEBRITY,EQ,21-Feb-2006,197.85,199.00,203.35,196.05,199.25,198.95,199.52,208165,415.33,-,45723,21.96
CELEBRITY,EQ,22-Feb-2006,198.95,198.00,199.90,194.00,195.25,195.95,195.90,155983,305.57,-,73909,47.38
CELEBRITY,EQ,23-Feb-2006,195.95,197.75,197.75,188.00,188.90,189.20,191.41,70579,135.09,-,22207,31.46
CELEBRITY,EQ,24-Feb-2006,189.20,190.75,191.70,187.30,190.00,188.75,189.36,53164,100.67,-,15941,29.98
CELEBRITY,EQ,27-Feb-2006,188.75,189.95,190.75,186.50,186.60,187.10,188.52,39474,74.42,-,18982,48.09
CELEBRITY,EQ,28-Feb-2006,187.10,187.10,188.75,182.00,182.50,183.15,184.93,56081,103.71,-,17828,31.79
CELEBRITY,EQ,01-Mar-2006,183.15,182.00,187.80,180.05,182.40,182.00,184.21,69943,128.84,-,17295,24.73
CELEBRITY,EQ,02-Mar-2006,182.00,182.00,187.70,181.10,181.45,182.10,184.42,73587,135.71,-,18622,25.31
CELEBRITY,EQ,03-Mar-2006,182.10,184.40,184.40,182.00,183.90,182.35,182.82,53840,98.43,-,29497,54.79
CELEBRITY,EQ,06-Mar-2006,182.35,183.00,186.95,178.10,179.40,179.15,182.23,78939,143.85,-,27754,35.16
CELEBRITY,EQ,07-Mar-2006,179.15,181.95,181.95,176.20,176.50,177.30,178.61,59647,106.53,-,22043,36.96
CELEBRITY,EQ,08-Mar-2006,177.30,179.50,182.00,174.00,174.10,174.70,178.12,92455,164.68,-,24557,26.56
CELEBRITY,EQ,09-Mar-2006,174.70,175.00,179.10,168.00,169.50,169.40,170.81,43544,74.38,-,20500,47.08
CELEBRITY,EQ,10-Mar-2006,169.40,172.75,172.75,167.85,170.00,168.55,169.59,40400,68.52,-,17165,42.49
CELEBRITY,EQ,13-Mar-2006,168.55,170.30,180.70,169.00,180.45,179.10,176.14,189491,333.77,-,92219,48.67
CELEBRITY,EQ,14-Mar-2006,179.10,181.00,202.00,181.00,200.05,199.00,195.55,616843,1206.25,-,165001,26.75
CELEBRITY,EQ,16-Mar-2006,199.00,202.85,206.80,202.00,205.55,204.70,204.43,296631,606.42,-,81164,27.36
CELEBRITY,EQ,17-Mar-2006,204.70,206.40,206.40,190.00,196.65,196.65,195.84,96130,188.26,-,46298,48.16
CELEBRITY,EQ,20-Mar-2006,196.65,198.00,208.40,194.00,201.00,202.00,203.95,174903,356.72,-,45031,25.75
CELEBRITY,EQ,21-Mar-2006,202.00,204.60,204.80,195.00,197.00,197.25,198.93,66438,132.16,-,32459,48.86
CELEBRITY,EQ,22-Mar-2006,197.25,197.50,204.85,191.50,200.45,200.35,197.81,103644,205.02,-,36146,34.88
CELEBRITY,EQ,23-Mar-2006,200.35,201.90,201.90,195.10,196.60,197.40,198.37,32702,64.87,-,16301,49.85
CELEBRITY,EQ,24-Mar-2006,197.40,194.00,204.85,194.00,200.35,200.70,200.67,99142,198.95,-,28248,28.49
CELEBRITY,EQ,27-Mar-2006,200.70,201.65,203.00,195.05,196.00,196.80,198.67,46816,93.01,-,19053,40.70
CELEBRITY,EQ,28-Mar-2006,196.80,196.00,207.50,190.00,190.00,195.95,202.48,206575,418.27,-,61041,29.55
CELEBRITY,EQ,29-Mar-2006,195.95,196.00,201.00,190.15,190.15,191.05,194.58,84441,164.30,-,51891,61.45
CELEBRITY,EQ,30-Mar-2006,191.05,195.85,199.85,192.00,195.00,195.10,195.35,43990,85.94,-,18027,40.98
CELEBRITY,EQ,31-Mar-2006,195.10,196.00,204.00,194.10,200.00,200.05,200.24,113323,226.92,-,69584,61.40
CELEBRITY,EQ,03-Apr-2006,200.05,203.00,207.45,200.10,202.05,202.00,204.07,93878,191.57,-,22546,24.02
CELEBRITY,EQ,04-Apr-2006,202.00,204.95,206.00,198.00,204.00,203.70,203.26,84208,171.16,-,32030,38.04
CELEBRITY,EQ,05-Apr-2006,203.70,202.50,205.80,200.60,205.00,204.60,203.71,39826,81.13,-,22645,56.86
CELEBRITY,EQ,07-Apr-2006,204.60,190.50,206.50,190.50,202.05,202.10,203.72,48189,98.17,-,21831,45.30
CELEBRITY,EQ,10-Apr-2006,202.10,200.00,204.00,196.00,197.00,198.10,199.21,21357,42.55,-,8213,38.46
CELEBRITY,EQ,12-Apr-2006,198.10,200.00,202.40,198.65,200.00,199.85,200.23,27948,55.96,-,18527,66.29
CELEBRITY,EQ,13-Apr-2006,199.85,196.55,201.00,190.05,192.00,191.80,194.35,15343,29.82,-,7991,52.08
CELEBRITY,EQ,17-Apr-2006,191.80,194.20,197.80,193.00,197.50,196.85,196.29,10575,20.76,-,7210,68.18
CELEBRITY,EQ,18-Apr-2006,196.85,202.00,202.00,193.10,200.00,200.10,199.82,18229,36.43,-,12768,70.04
CELEBRITY,EQ,19-Apr-2006,200.10,202.00,215.75,200.00,205.70,206.55,208.05,116468,242.31,-,37660,32.34
CELEBRITY,EQ,20-Apr-2006,206.55,207.00,213.70,204.00,205.15,207.00,209.37,63229,132.38,-,30441,48.14
CELEBRITY,EQ,21-Apr-2006,207.00,207.00,218.85,205.30,215.00,216.05,213.58,123309,263.36,-,61701,50.04
CELEBRITY,EQ,24-Apr-2006,216.05,216.95,220.00,205.00,215.00,215.00,215.15,72393,155.76,-,49761,68.74
CELEBRITY,EQ,25-Apr-2006,215.00,215.00,216.00,210.00,210.00,212.25,213.05,53298,113.55,-,45547,85.46
CELEBRITY,EQ,26-Apr-2006,212.25,215.00,217.00,206.20,209.00,208.45,212.32,95556,202.88,-,30062,31.46
CELEBRITY,EQ,27-Apr-2006,208.45,209.00,215.00,206.00,213.00,211.95,211.83,85391,180.88,-,41777,48.92
CELEBRITY,EQ,28-Apr-2006,211.95,203.00,207.75,194.00,205.00,205.45,204.50,19243,39.35,-,9146,47.53
CELEBRITY,EQ,29-Apr-2006,205.45,208.50,213.75,206.00,207.00,206.75,208.63,8563,17.87,-,4936,57.64
CELEBRITY,EQ,02-May-2006,206.75,212.00,212.00,204.00,204.30,205.00,206.11,10844,22.35,-,6310,58.19
CELEBRITY,EQ,03-May-2006,205.00,207.00,207.00,201.00,202.90,201.75,203.53,13176,26.82,-,9985,75.78
CELEBRITY,EQ,04-May-2006,201.75,205.00,212.70,198.00,200.00,199.75,202.21,14337,28.99,-,8471,59.08
CELEBRITY,EQ,05-May-2006,199.75,199.05,206.35,197.00,200.00,202.45,201.41,22125,44.56,-,9553,43.18
CELEBRITY,EQ,08-May-2006,202.45,200.00,201.50,193.00,195.05,195.40,197.25,19249,37.97,-,11565,60.08
CELEBRITY,EQ,09-May-2006,195.40,195.65,201.00,194.95,199.30,197.90,198.44,19313,38.33,-,12954,67.07
CELEBRITY,EQ,10-May-2006,197.90,198.00,212.00,198.00,205.00,205.30,205.27,95681,196.41,-,43780,45.76
CELEBRITY,EQ,11-May-2006,205.30,206.10,209.00,200.00,204.00,202.65,203.42,17097,34.78,-,11358,66.43
CELEBRITY,EQ,12-May-2006,202.65,200.95,202.90,199.00,201.00,201.30,200.80,9293,18.66,-,7952,85.57
