Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CHAMBLFERT,EQ,02-Jan-2006,39.00,39.30,42.45,39.00,42.45,42.00,41.03,4338355,1779.96,-,2174310,50.12
CHAMBLFERT,EQ,03-Jan-2006,42.00,42.70,42.80,41.00,41.15,41.20,41.85,4000943,1674.20,-,1367699,34.18
CHAMBLFERT,EQ,04-Jan-2006,41.20,41.90,42.00,40.70,40.90,40.95,41.16,1007105,414.49,-,408804,40.59
CHAMBLFERT,EQ,05-Jan-2006,40.95,41.00,42.25,40.00,41.10,41.05,41.27,1182838,488.12,-,408822,34.56
CHAMBLFERT,EQ,06-Jan-2006,41.05,41.00,41.75,40.05,40.60,40.70,40.95,790225,323.61,-,285245,36.10
CHAMBLFERT,EQ,09-Jan-2006,40.70,40.50,42.00,40.50,41.40,41.40,41.52,1230313,510.87,-,476346,38.72
CHAMBLFERT,EQ,10-Jan-2006,41.40,41.40,41.65,40.30,40.40,40.40,40.89,806670,329.89,-,386581,47.92
CHAMBLFERT,EQ,12-Jan-2006,40.40,40.00,40.80,39.65,40.35,40.30,40.34,492297,198.57,-,195461,39.70
CHAMBLFERT,EQ,13-Jan-2006,40.30,40.45,41.20,39.65,39.80,39.90,40.53,635853,257.68,-,230656,36.28
CHAMBLFERT,EQ,16-Jan-2006,39.90,40.50,40.50,38.10,38.75,38.70,38.81,878045,340.78,-,426202,48.54
CHAMBLFERT,EQ,17-Jan-2006,38.70,39.00,39.10,37.05,37.60,37.50,38.02,920704,350.01,-,519026,56.37
CHAMBLFERT,EQ,18-Jan-2006,37.50,37.50,37.90,36.40,37.70,37.60,37.12,852052,316.29,-,481252,56.48
CHAMBLFERT,EQ,19-Jan-2006,37.60,38.15,39.00,37.75,38.35,38.50,38.44,760008,292.15,-,259087,34.09
CHAMBLFERT,EQ,20-Jan-2006,38.50,38.80,39.10,38.55,38.55,38.65,38.80,304917,118.31,-,171202,56.15
CHAMBLFERT,EQ,23-Jan-2006,38.65,38.45,38.45,38.05,38.10,38.15,38.24,208461,79.72,-,121909,58.48
