Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CHOLAINV,EQ,02-Jan-2006,187.05,188.90,205.80,188.90,205.80,205.80,202.14,60105,121.50,-,47426,78.91
CHOLAINV,EQ,03-Jan-2006,205.80,223.00,226.40,210.05,226.40,226.40,220.56,203255,448.31,-,70105,34.49
CHOLAINV,EQ,04-Jan-2006,226.40,234.00,237.75,220.00,226.30,227.75,234.55,290172,680.61,-,110813,38.19
CHOLAINV,EQ,05-Jan-2006,227.75,226.00,237.10,225.15,226.90,227.20,231.24,199907,462.26,-,52235,26.13
CHOLAINV,EQ,06-Jan-2006,227.20,227.00,229.20,217.50,219.75,220.20,222.05,59390,131.88,-,26662,44.89
CHOLAINV,EQ,09-Jan-2006,220.20,222.75,231.25,220.30,223.45,222.70,226.50,45365,102.75,-,14824,32.68
CHOLAINV,EQ,10-Jan-2006,222.70,223.00,229.00,215.10,217.70,216.50,222.11,40118,89.11,-,20084,50.06
CHOLAINV,EQ,12-Jan-2006,216.50,216.55,221.00,210.30,214.00,214.90,217.29,26622,57.85,-,13081,49.14
CHOLAINV,EQ,13-Jan-2006,214.90,217.20,222.70,212.00,215.55,215.50,218.10,25879,56.44,-,14127,54.59
CHOLAINV,EQ,16-Jan-2006,215.50,215.00,217.95,213.00,213.10,213.25,215.27,21533,46.35,-,16007,74.34
CHOLAINV,EQ,17-Jan-2006,213.25,215.00,215.00,209.00,211.00,210.00,211.08,16459,34.74,-,13231,80.39
CHOLAINV,EQ,18-Jan-2006,210.00,211.00,212.00,201.00,201.15,201.75,203.50,23388,47.59,-,15911,68.03
CHOLAINV,EQ,19-Jan-2006,201.75,201.75,211.00,201.75,207.10,207.55,206.36,28204,58.20,-,13273,47.06
CHOLAINV,EQ,20-Jan-2006,207.55,208.50,214.50,204.20,207.90,207.25,210.43,15336,32.27,-,8399,54.77
CHOLAINV,EQ,23-Jan-2006,207.25,203.00,207.80,202.10,204.00,204.05,204.62,11940,24.43,-,8146,68.22
CHOLAINV,EQ,24-Jan-2006,204.05,208.00,209.40,202.00,202.00,202.85,204.31,13183,26.93,-,9034,68.53
CHOLAINV,EQ,25-Jan-2006,202.85,204.00,207.60,201.00,201.25,201.70,204.35,17282,35.32,-,14095,81.56
CHOLAINV,EQ,27-Jan-2006,201.70,202.15,204.75,195.50,199.95,198.80,201.05,13185,26.51,-,9543,72.38
CHOLAINV,EQ,30-Jan-2006,198.80,199.00,199.25,188.90,195.00,194.05,192.13,22481,43.19,-,12401,55.16
CHOLAINV,EQ,31-Jan-2006,194.05,190.15,201.90,190.10,201.00,200.45,199.54,23296,46.48,-,16041,68.86
CHOLAINV,EQ,01-Feb-2006,200.45,200.00,204.90,198.50,200.50,199.85,199.95,31459,62.90,-,30604,97.28
CHOLAINV,EQ,02-Feb-2006,199.85,201.00,201.80,195.00,196.00,195.65,197.32,14710,29.03,-,11986,81.48
CHOLAINV,EQ,03-Feb-2006,195.65,195.00,201.95,191.00,197.00,196.80,198.50,14722,29.22,-,9569,65.00
CHOLAINV,EQ,06-Feb-2006,196.80,199.45,206.65,194.20,206.65,206.65,202.40,21161,42.83,-,16509,78.02
CHOLAINV,EQ,07-Feb-2006,206.65,217.00,217.00,204.10,207.00,209.40,208.90,26479,55.31,-,17951,67.79
CHOLAINV,EQ,08-Feb-2006,209.40,204.50,213.50,204.50,210.90,209.60,209.19,19590,40.98,-,11606,59.24
CHOLAINV,EQ,10-Feb-2006,209.60,210.75,230.60,208.50,230.60,230.60,223.91,62724,140.45,-,45152,71.99
CHOLAINV,EQ,13-Feb-2006,230.60,234.85,243.00,231.50,236.05,236.60,236.30,68099,160.92,-,41279,60.62
CHOLAINV,EQ,14-Feb-2006,236.60,235.00,243.00,232.15,234.55,235.60,238.82,41027,97.98,-,26369,64.27
CHOLAINV,EQ,15-Feb-2006,235.60,236.00,238.40,223.85,225.00,226.05,227.72,39447,89.83,-,27150,68.83
