Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CMICABLES,EQ,29-Nov-2016,148.15,153.90,154.00,140.10,144.50,145.35,146.19,97556,142.62,636,17492,17.93
CMICABLES,EQ,30-Nov-2016,145.35,149.70,149.70,143.10,143.90,144.15,145.94,20286,29.61,186,10605,52.28
CMICABLES,EQ,01-Dec-2016,144.15,145.00,151.00,141.10,143.00,143.95,146.20,69435,101.52,631,20438,29.43
CMICABLES,EQ,02-Dec-2016,143.95,141.10,146.00,135.00,143.50,140.95,142.43,7824,11.14,177,4910,62.76
CMICABLES,EQ,05-Dec-2016,140.95,145.00,145.00,135.00,144.00,143.10,140.19,6942,9.73,146,3871,55.76
CMICABLES,EQ,06-Dec-2016,143.10,144.00,145.00,139.00,140.00,141.05,141.28,5451,7.70,104,4068,74.63
CMICABLES,EQ,07-Dec-2016,141.05,143.70,143.70,138.95,140.00,140.15,139.86,3930,5.50,77,2319,59.01
CMICABLES,EQ,08-Dec-2016,140.15,142.00,143.00,139.00,139.05,139.15,140.45,6983,9.81,106,5725,81.98
CMICABLES,EQ,09-Dec-2016,139.15,142.00,144.95,136.45,140.00,140.00,140.30,12207,17.13,103,6696,54.85
CMICABLES,EQ,12-Dec-2016,140.00,141.05,142.85,137.60,137.95,138.20,138.95,3378,4.69,59,2812,83.24
CMICABLES,EQ,13-Dec-2016,138.20,137.10,140.00,137.10,140.00,140.00,139.03,6111,8.50,81,2859,46.78
CMICABLES,EQ,14-Dec-2016,140.00,141.00,141.00,139.00,139.50,139.50,139.83,2516,3.52,57,2248,89.35
CMICABLES,EQ,15-Dec-2016,139.50,138.00,142.00,136.00,140.00,139.35,139.10,2819,3.92,71,1700,60.31
CMICABLES,EQ,16-Dec-2016,139.35,138.00,140.00,135.55,136.00,136.95,138.12,4445,6.14,117,3388,76.22
CMICABLES,EQ,19-Dec-2016,136.95,140.00,140.00,135.90,137.90,137.10,137.00,10836,14.85,159,9983,92.13
CMICABLES,EQ,20-Dec-2016,137.10,139.90,140.00,135.00,138.00,137.90,137.92,7858,10.84,126,5001,63.64
CMICABLES,EQ,21-Dec-2016,137.90,142.80,146.00,138.10,139.35,138.95,140.71,99344,139.78,1217,17131,17.24
CMICABLES,EQ,22-Dec-2016,138.95,141.00,141.00,132.00,135.35,134.90,135.88,12670,17.22,360,5268,41.58
CMICABLES,EQ,23-Dec-2016,134.90,141.75,141.75,135.00,139.90,139.55,138.58,8933,12.38,176,5989,67.04
CMICABLES,EQ,26-Dec-2016,139.55,141.50,141.50,134.15,135.50,135.35,135.90,16689,22.68,156,14248,85.37
CMICABLES,EQ,27-Dec-2016,135.35,139.90,139.90,134.05,134.95,134.60,135.52,10893,14.76,91,8979,82.43
CMICABLES,EQ,28-Dec-2016,134.60,137.90,137.90,131.20,136.50,135.55,134.40,2199,2.96,67,1534,69.76
CMICABLES,EQ,29-Dec-2016,135.55,131.60,138.40,131.60,137.00,135.40,135.36,12158,16.46,103,7587,62.40
CMICABLES,EQ,30-Dec-2016,135.40,138.40,139.90,134.00,136.00,135.90,137.07,31216,42.79,536,6960,22.30
