Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
COMPINFO,EQ,07-Jul-2016,144.30,146.00,149.50,145.00,146.00,147.20,146.09,1244,1.82,27,909,73.07
COMPINFO,EQ,08-Jul-2016,147.20,145.00,149.45,145.00,148.50,148.50,147.01,558,0.82,13,355,63.62
COMPINFO,EQ,11-Jul-2016,148.50,132.25,149.95,132.20,149.85,146.45,145.90,2179,3.18,41,337,15.47
COMPINFO,EQ,12-Jul-2016,146.45,146.00,148.50,133.70,147.00,147.00,147.02,2591,3.81,38,556,21.46
COMPINFO,EQ,13-Jul-2016,147.00,145.50,155.70,145.50,151.05,153.00,150.58,6688,10.07,71,2211,33.06
COMPINFO,EQ,14-Jul-2016,153.00,152.50,154.00,140.00,150.00,150.00,149.79,2705,4.05,41,101,3.73
COMPINFO,EQ,15-Jul-2016,150.00,150.00,151.00,148.00,150.90,150.90,150.01,3224,4.84,19,0,0.00
COMPINFO,EQ,18-Jul-2016,150.90,150.00,150.00,137.35,145.00,144.80,146.00,5847,8.54,67,312,5.34
COMPINFO,EQ,19-Jul-2016,144.80,145.50,147.00,140.00,147.00,143.00,143.46,5756,8.26,30,818,14.21
COMPINFO,EQ,20-Jul-2016,143.00,143.00,146.00,143.00,146.00,146.00,144.03,7971,11.48,28,1530,19.19
COMPINFO,EQ,21-Jul-2016,146.00,146.00,147.20,143.00,143.00,143.00,146.02,8057,11.76,43,11,0.14
COMPINFO,EQ,22-Jul-2016,143.00,145.00,167.90,144.00,156.00,157.30,151.38,13966,21.14,195,3990,28.57
COMPINFO,EQ,25-Jul-2016,157.30,160.00,166.00,151.50,155.55,160.00,160.43,13037,20.92,169,1692,12.98
COMPINFO,EQ,26-Jul-2016,160.00,162.00,169.75,146.00,146.00,148.95,161.43,13673,22.07,126,1483,10.85
COMPINFO,EQ,27-Jul-2016,148.95,151.00,174.40,151.00,173.00,168.30,166.33,30342,50.47,380,4935,16.26
COMPINFO,EQ,28-Jul-2016,168.30,173.00,178.00,168.10,175.00,174.60,172.75,12999,22.46,131,1292,9.94
COMPINFO,EQ,29-Jul-2016,174.60,175.00,177.00,156.50,176.00,172.25,170.16,12419,21.13,133,599,4.82
COMPINFO,EQ,01-Aug-2016,172.25,172.00,177.10,160.40,169.50,169.25,170.01,11465,19.49,120,609,5.31
COMPINFO,EQ,02-Aug-2016,169.25,168.00,170.00,159.40,170.00,165.30,165.32,11321,18.72,86,723,6.39
COMPINFO,EQ,03-Aug-2016,165.30,164.50,165.00,156.20,161.70,159.10,162.03,10765,17.44,78,300,2.79
COMPINFO,EQ,04-Aug-2016,159.10,160.50,168.90,156.05,167.50,164.75,160.80,11350,18.25,87,1000,8.81
COMPINFO,EQ,05-Aug-2016,164.75,164.00,176.70,157.00,175.00,170.75,165.74,11654,19.32,117,1080,9.27
COMPINFO,EQ,08-Aug-2016,170.75,173.00,173.50,160.05,163.80,164.00,166.87,12284,20.50,115,1689,13.75
COMPINFO,EQ,09-Aug-2016,164.00,164.50,169.20,159.00,164.95,163.30,164.11,10680,17.53,115,214,2.00
COMPINFO,EQ,10-Aug-2016,163.30,164.00,164.50,157.00,164.00,163.90,163.34,10328,16.87,108,100,0.97
COMPINFO,EQ,11-Aug-2016,163.90,164.00,168.00,154.10,168.00,160.70,162.10,10308,16.71,108,15,0.15
COMPINFO,EQ,12-Aug-2016,160.70,161.00,164.00,158.00,162.40,161.00,162.00,10095,16.35,118,12,0.12
COMPINFO,EQ,16-Aug-2016,161.00,162.00,173.00,159.00,172.80,167.05,161.43,11115,17.94,167,822,7.40
COMPINFO,EQ,17-Aug-2016,167.05,168.00,172.50,162.10,170.00,168.35,167.00,12767,21.32,148,2259,17.69
COMPINFO,EQ,18-Aug-2016,168.35,168.50,202.00,162.00,189.40,188.55,172.48,12997,22.42,170,1290,9.93
COMPINFO,EQ,19-Aug-2016,188.55,189.20,193.30,181.45,192.90,192.70,189.73,11963,22.70,280,575,4.81
COMPINFO,EQ,22-Aug-2016,192.70,192.00,193.00,177.10,189.00,189.95,186.08,10818,20.13,139,464,4.29
COMPINFO,EQ,23-Aug-2016,189.95,190.00,190.00,177.25,184.00,184.00,186.91,10198,19.06,174,49,0.48
COMPINFO,EQ,24-Aug-2016,184.00,184.00,189.90,183.55,187.95,185.75,185.04,10182,18.84,73,2,0.02
COMPINFO,EQ,25-Aug-2016,185.75,186.00,188.90,181.50,188.00,187.45,186.04,10497,19.53,115,300,2.86
COMPINFO,EQ,26-Aug-2016,187.45,187.00,187.00,181.10,185.00,185.00,184.64,11067,20.43,131,3,0.03
COMPINFO,EQ,29-Aug-2016,185.00,185.10,190.90,183.50,190.00,190.00,186.49,10434,19.46,70,410,3.93
COMPINFO,EQ,30-Aug-2016,190.00,190.00,190.00,181.00,188.00,185.55,187.73,10247,19.24,104,101,0.99
COMPINFO,EQ,31-Aug-2016,185.55,184.00,184.80,180.00,181.00,181.90,183.39,11378,20.87,143,350,3.08
COMPINFO,EQ,01-Sep-2016,181.90,183.00,187.80,178.00,187.00,182.75,182.32,10403,18.97,178,128,1.23
COMPINFO,EQ,02-Sep-2016,182.75,183.00,214.40,183.00,195.00,193.20,192.13,11843,22.75,250,1245,10.51
COMPINFO,EQ,06-Sep-2016,193.20,192.00,197.00,190.10,190.10,191.05,193.92,10194,19.77,151,130,1.28
COMPINFO,EQ,07-Sep-2016,191.05,192.00,194.90,189.00,190.50,190.50,192.47,10088,19.42,130,52,0.52
COMPINFO,EQ,08-Sep-2016,190.50,191.00,194.80,177.70,187.00,187.95,190.69,11238,21.43,196,355,3.16
COMPINFO,EQ,09-Sep-2016,187.95,190.00,191.10,182.10,182.50,184.95,189.62,10359,19.64,167,212,2.05
COMPINFO,EQ,12-Sep-2016,184.95,184.50,191.00,176.00,177.00,177.00,183.99,12970,23.86,181,996,7.68
COMPINFO,EQ,14-Sep-2016,177.00,180.00,189.95,163.00,182.00,181.75,180.73,10928,19.75,143,280,2.56
COMPINFO,EQ,15-Sep-2016,181.75,181.50,215.00,174.55,195.00,192.40,184.95,12257,22.67,217,1176,9.59
COMPINFO,EQ,16-Sep-2016,192.40,197.00,197.50,185.00,185.00,185.50,193.42,10821,20.93,135,54,0.50
COMPINFO,EQ,19-Sep-2016,185.50,186.50,188.00,184.00,184.00,184.00,186.09,10392,19.34,135,0,0.00
COMPINFO,EQ,20-Sep-2016,184.00,184.00,185.50,176.00,177.25,178.00,183.73,10508,19.31,157,139,1.32
COMPINFO,EQ,21-Sep-2016,178.00,178.00,189.90,178.00,189.00,189.45,180.21,10084,18.17,159,43,0.43
COMPINFO,EQ,22-Sep-2016,189.45,190.00,190.00,176.20,177.50,181.45,185.76,10657,19.80,178,279,2.62
COMPINFO,EQ,23-Sep-2016,181.45,181.50,195.00,175.00,177.00,177.35,180.27,21487,38.73,289,8676,40.38
COMPINFO,EQ,26-Sep-2016,177.35,177.50,180.00,171.30,179.90,179.45,178.58,26016,46.46,229,15143,58.21
COMPINFO,EQ,27-Sep-2016,179.45,178.80,179.00,172.65,173.50,174.25,178.03,26830,47.77,206,15169,56.54
COMPINFO,EQ,28-Sep-2016,174.25,174.50,175.50,171.00,172.25,172.20,174.05,10861,18.90,189,468,4.31
COMPINFO,EQ,29-Sep-2016,172.20,172.50,185.00,160.00,180.00,176.55,171.59,12316,21.13,197,1485,12.06
COMPINFO,EQ,30-Sep-2016,176.55,182.20,187.00,170.10,187.00,180.50,179.27,11415,20.46,159,58,0.51
COMPINFO,EQ,03-Oct-2016,180.50,180.50,187.70,173.00,185.00,183.45,177.33,11210,19.88,216,440,3.93
COMPINFO,EQ,04-Oct-2016,183.45,184.00,188.00,180.00,181.00,181.00,184.20,10238,18.86,167,102,1.00
COMPINFO,EQ,05-Oct-2016,181.00,181.00,187.95,180.15,185.00,185.55,183.60,10329,18.96,166,35,0.34
COMPINFO,EQ,06-Oct-2016,185.55,186.00,187.50,175.25,187.30,182.10,183.98,10876,20.01,168,153,1.41
COMPINFO,EQ,07-Oct-2016,182.10,182.25,183.00,176.00,176.00,176.00,180.93,12501,22.62,178,2436,19.49
COMPINFO,EQ,10-Oct-2016,176.00,177.50,203.90,177.00,193.95,192.05,186.01,288389,536.42,805,107606,37.31
COMPINFO,EQ,13-Oct-2016,192.05,192.05,199.00,187.00,191.50,190.00,191.38,13475,25.79,274,517,3.84
COMPINFO,EQ,14-Oct-2016,190.00,190.00,198.00,186.50,193.00,190.00,189.58,15557,29.49,219,262,1.68
COMPINFO,EQ,17-Oct-2016,190.00,190.25,212.00,181.20,183.00,184.65,190.74,12577,23.99,248,1407,11.19
COMPINFO,EQ,18-Oct-2016,184.65,182.00,187.70,181.60,187.60,185.75,185.38,10642,19.73,106,587,5.52
COMPINFO,EQ,19-Oct-2016,185.75,185.50,191.90,176.10,176.20,176.90,184.96,12060,22.31,191,1214,10.07
COMPINFO,EQ,20-Oct-2016,176.90,178.80,212.25,176.50,212.25,204.15,188.06,19184,36.08,303,7228,37.68
COMPINFO,EQ,21-Oct-2016,204.15,220.00,220.05,190.25,220.00,218.95,215.68,31757,68.49,362,12352,38.90
COMPINFO,EQ,24-Oct-2016,218.95,218.50,240.00,208.15,237.70,238.65,230.60,31793,73.31,307,6213,19.54
COMPINFO,EQ,25-Oct-2016,238.65,240.70,244.45,230.10,238.50,238.60,239.73,12766,30.60,204,1769,13.86
COMPINFO,EQ,26-Oct-2016,238.60,233.80,240.90,217.15,239.90,225.45,234.42,10753,25.21,121,238,2.21
COMPINFO,EQ,27-Oct-2016,225.45,225.00,233.80,225.00,226.00,226.00,228.50,10101,23.08,71,95,0.94
COMPINFO,EQ,28-Oct-2016,226.00,226.00,262.00,226.00,246.90,249.50,249.31,160374,399.82,581,127407,79.44
COMPINFO,EQ,30-Oct-2016,249.50,274.00,284.05,270.60,271.55,276.10,278.89,17412,48.56,321,4699,26.99
COMPINFO,EQ,01-Nov-2016,276.10,287.50,287.50,238.70,250.10,253.40,274.69,16898,46.42,450,3275,19.38
COMPINFO,EQ,02-Nov-2016,253.40,245.70,260.00,245.30,246.25,252.10,253.17,137465,348.02,312,104628,76.11
COMPINFO,EQ,03-Nov-2016,252.10,252.45,253.40,244.40,244.40,251.40,251.87,63224,159.24,220,52445,82.95
COMPINFO,EQ,04-Nov-2016,251.40,251.00,251.00,234.20,235.00,238.85,241.83,11510,27.83,205,602,5.23
COMPINFO,EQ,07-Nov-2016,238.85,238.50,243.00,234.00,234.00,234.00,239.10,10621,25.39,168,477,4.49
COMPINFO,EQ,08-Nov-2016,234.00,234.00,239.95,220.00,230.00,229.35,233.94,11896,27.83,233,380,3.19
COMPINFO,EQ,09-Nov-2016,229.35,183.50,230.00,183.50,212.25,212.25,217.97,11140,24.28,169,313,2.81
COMPINFO,EQ,10-Nov-2016,212.25,215.00,248.00,215.00,238.90,237.95,230.61,11751,27.10,208,372,3.17
COMPINFO,EQ,11-Nov-2016,237.95,237.75,259.80,230.00,230.00,234.90,236.26,11101,26.23,152,567,5.11
COMPINFO,EQ,15-Nov-2016,234.90,235.00,235.00,195.75,195.75,202.85,228.30,10968,25.04,215,576,5.25
COMPINFO,EQ,16-Nov-2016,202.85,195.00,232.85,185.00,211.15,227.80,219.57,34801,76.41,313,21701,62.36
COMPINFO,EQ,17-Nov-2016,227.80,228.50,228.50,205.25,213.95,208.95,214.67,13153,28.24,292,942,7.16
COMPINFO,EQ,18-Nov-2016,208.95,209.00,219.90,204.80,219.00,217.00,208.75,12212,25.49,212,984,8.06
COMPINFO,EQ,21-Nov-2016,217.00,217.00,220.95,197.60,200.25,202.55,214.12,11060,23.68,189,309,2.79
COMPINFO,EQ,22-Nov-2016,202.55,202.50,223.95,196.00,211.05,223.90,209.45,112551,235.74,292,693,0.62
COMPINFO,EQ,23-Nov-2016,223.90,223.50,245.00,184.00,193.80,199.05,217.81,197854,430.94,1118,34703,17.54
COMPINFO,EQ,24-Nov-2016,199.05,196.60,196.60,185.00,194.00,191.45,192.01,16968,32.58,320,4018,23.68
COMPINFO,EQ,25-Nov-2016,191.45,195.00,198.00,191.00,194.00,195.65,194.31,12060,23.43,259,1481,12.28
COMPINFO,EQ,28-Nov-2016,195.65,197.00,202.35,190.00,195.50,195.75,198.40,13251,26.29,262,2187,16.50
COMPINFO,EQ,29-Nov-2016,195.75,196.00,211.00,196.00,200.00,199.15,199.53,13026,25.99,316,2133,16.37
COMPINFO,EQ,30-Nov-2016,199.15,199.00,202.80,196.00,196.00,196.00,199.52,11425,22.79,112,352,3.08
COMPINFO,EQ,01-Dec-2016,196.00,196.00,204.80,196.00,202.45,201.65,198.78,10543,20.96,204,412,3.91
COMPINFO,EQ,02-Dec-2016,201.65,202.00,218.90,200.30,207.40,205.75,202.95,10899,22.12,199,555,5.09
COMPINFO,EQ,05-Dec-2016,205.75,205.50,230.00,198.10,227.45,229.20,225.41,63293,142.67,452,50193,79.30
COMPINFO,EQ,06-Dec-2016,229.20,230.00,259.00,223.30,241.00,240.95,239.10,68161,162.97,463,35142,51.56
COMPINFO,EQ,07-Dec-2016,240.95,257.00,257.00,230.00,230.00,231.35,238.28,18220,43.41,336,3524,19.34
COMPINFO,EQ,08-Dec-2016,231.35,235.00,240.00,230.00,236.90,233.40,235.25,20236,47.60,280,5076,25.08
COMPINFO,EQ,09-Dec-2016,233.40,242.00,242.00,230.00,232.00,232.55,233.11,11272,26.28,245,841,7.46
COMPINFO,EQ,12-Dec-2016,232.55,233.00,236.95,225.00,226.00,226.90,227.65,46788,106.51,222,18792,40.16
COMPINFO,EQ,13-Dec-2016,226.90,227.00,230.00,223.10,225.00,224.90,224.87,32377,72.81,240,6343,19.59
COMPINFO,EQ,14-Dec-2016,224.90,233.90,238.95,218.00,218.20,219.25,223.89,12824,28.71,268,1497,11.67
COMPINFO,EQ,15-Dec-2016,219.25,220.00,225.00,220.00,222.95,223.85,221.38,10904,24.14,249,470,4.31
COMPINFO,EQ,16-Dec-2016,223.85,237.95,237.95,216.00,217.05,217.80,220.87,12632,27.90,212,1449,11.47
COMPINFO,EQ,19-Dec-2016,217.80,215.00,219.00,215.00,215.20,215.50,217.97,10825,23.60,174,646,5.97
COMPINFO,EQ,20-Dec-2016,215.50,217.00,218.90,210.05,217.75,217.75,216.32,10299,22.28,148,205,1.99
COMPINFO,EQ,21-Dec-2016,217.75,217.80,221.80,210.05,214.00,219.80,218.74,28494,62.33,242,9017,31.65
COMPINFO,EQ,22-Dec-2016,219.80,219.00,219.45,204.30,217.00,215.90,215.54,10915,23.53,226,583,5.34
COMPINFO,EQ,23-Dec-2016,215.90,220.00,220.00,210.10,215.00,219.10,214.80,11232,24.13,185,947,8.43
COMPINFO,EQ,26-Dec-2016,219.10,219.00,219.00,205.25,215.00,213.35,213.55,11488,24.53,201,1108,9.64
