Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CONCOR,EQ,02-Jan-2006,1449.40,1438.40,1455.00,1438.40,1441.30,1447.65,1447.17,272,3.94,-,204,75.00
CONCOR,EQ,03-Jan-2006,1447.65,1438.50,1458.85,1425.00,1449.90,1445.85,1442.17,762,10.99,-,551,72.31
CONCOR,EQ,04-Jan-2006,1445.85,1440.05,1455.00,1425.00,1425.00,1425.65,1428.26,4387,62.66,-,3731,85.05
CONCOR,EQ,05-Jan-2006,1425.65,1449.00,1525.00,1426.10,1512.50,1503.00,1462.20,8034,117.47,-,3063,38.13
CONCOR,EQ,06-Jan-2006,1503.00,1460.00,1475.00,1420.00,1428.00,1427.45,1434.76,32490,466.15,-,30549,94.03
CONCOR,EQ,09-Jan-2006,1427.45,1428.00,1430.00,1402.10,1405.00,1414.60,1414.76,6831,96.64,-,5276,77.24
CONCOR,EQ,10-Jan-2006,1414.60,1451.00,1451.00,1400.00,1409.95,1403.00,1409.88,23271,328.09,-,22730,97.68
CONCOR,EQ,12-Jan-2006,1403.00,1400.00,1405.00,1330.00,1335.10,1340.10,1350.39,16322,220.41,-,15546,95.25
CONCOR,EQ,13-Jan-2006,1340.10,1360.00,1374.00,1320.00,1320.10,1321.30,1350.51,5455,73.67,-,4290,78.64
CONCOR,EQ,16-Jan-2006,1321.30,1330.00,1350.00,1270.15,1294.45,1283.90,1291.63,6190,79.95,-,5322,85.98
CONCOR,EQ,17-Jan-2006,1283.90,1315.00,1340.00,1271.00,1287.15,1294.30,1281.93,49429,633.64,-,47238,95.57
CONCOR,EQ,18-Jan-2006,1294.30,1299.95,1300.00,1275.00,1275.00,1281.35,1286.98,3113,40.06,-,2683,86.19
CONCOR,EQ,19-Jan-2006,1281.35,1338.90,1338.90,1280.00,1299.80,1290.15,1291.77,11674,150.80,-,11027,94.46
CONCOR,EQ,20-Jan-2006,1290.15,1348.90,1348.90,1297.25,1320.00,1330.25,1302.11,23537,306.48,-,21189,90.02
CONCOR,EQ,23-Jan-2006,1330.25,1336.00,1350.00,1305.00,1322.00,1310.00,1310.24,57159,748.92,-,56397,98.67
CONCOR,EQ,24-Jan-2006,1310.00,1310.00,1319.50,1275.00,1310.00,1307.70,1302.27,4985,64.92,-,4298,86.22
CONCOR,EQ,25-Jan-2006,1307.70,1329.00,1335.00,1312.00,1322.00,1322.80,1323.16,2395,31.69,-,1976,82.51
CONCOR,EQ,27-Jan-2006,1322.80,1310.00,1335.00,1310.00,1330.00,1331.25,1324.55,1160,15.36,-,820,70.69
CONCOR,EQ,30-Jan-2006,1331.25,1340.00,1344.75,1320.00,1336.50,1331.30,1325.14,67740,897.65,-,66978,98.88
CONCOR,EQ,31-Jan-2006,1331.30,1345.00,1345.00,1320.25,1340.00,1336.50,1333.98,1177,15.70,-,929,78.93
CONCOR,EQ,01-Feb-2006,1336.50,1341.00,1344.90,1310.00,1310.00,1320.70,1328.92,884,11.75,-,644,72.85
CONCOR,EQ,02-Feb-2006,1320.70,1333.00,1365.00,1311.05,1359.00,1347.95,1341.32,2322,31.15,-,1987,85.57
CONCOR,EQ,03-Feb-2006,1347.95,1345.00,1355.00,1332.00,1345.00,1343.85,1345.32,30679,412.73,-,30327,98.85
CONCOR,EQ,06-Feb-2006,1343.85,1325.00,1390.00,1321.15,1390.00,1366.25,1338.65,2750,36.81,-,2523,91.75
CONCOR,EQ,07-Feb-2006,1366.25,1366.00,1375.00,1325.00,1350.00,1351.80,1348.59,1164,15.70,-,858,73.71
CONCOR,EQ,08-Feb-2006,1351.80,1331.00,1380.00,1331.00,1350.00,1350.20,1350.20,81636,1102.25,-,81092,99.33
CONCOR,EQ,10-Feb-2006,1350.20,1335.00,1375.00,1335.00,1370.00,1366.85,1364.89,4912,67.04,-,4466,90.92
CONCOR,EQ,13-Feb-2006,1366.85,1370.00,1455.00,1360.00,1455.00,1448.25,1423.59,5059,72.02,-,4746,93.81
CONCOR,EQ,14-Feb-2006,1448.25,1455.00,1508.90,1436.25,1505.00,1500.00,1484.18,20946,310.88,-,20318,97.00
CONCOR,EQ,15-Feb-2006,1500.00,1550.00,1550.00,1455.80,1471.00,1506.40,1488.19,4782,71.17,-,4183,87.47
CONCOR,EQ,16-Feb-2006,1506.40,1450.00,1520.00,1450.00,1490.00,1486.75,1482.57,2859,42.39,-,2262,79.12
