Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
COROMNFERT,EQ,02-Jan-2006,356.20,72.05,73.50,68.10,73.00,72.65,71.44,429587,306.89,-,-,-
COROMNFERT,EQ,03-Jan-2006,72.65,72.85,76.50,72.80,74.00,73.80,75.04,328875,246.78,-,-,-
COROMNFERT,EQ,04-Jan-2006,73.80,74.40,75.40,72.00,72.50,72.60,73.66,97202,71.60,-,-,-
COROMNFERT,EQ,05-Jan-2006,72.60,72.10,73.00,70.00,70.80,70.55,70.87,224641,159.20,-,-,-
COROMNFERT,EQ,06-Jan-2006,70.55,71.50,73.50,70.50,73.00,73.15,72.23,105193,75.99,-,-,-
COROMNFERT,EQ,09-Jan-2006,73.15,73.00,77.00,72.60,75.80,75.85,75.24,330627,248.77,-,690872,45.57
COROMNFERT,EQ,10-Jan-2006,75.85,75.50,76.90,73.00,74.00,73.95,74.19,154539,114.65,-,128778,83.33
COROMNFERT,EQ,12-Jan-2006,73.95,74.00,76.00,73.50,75.55,75.45,74.46,112109,83.48,-,97479,86.95
COROMNFERT,EQ,13-Jan-2006,75.45,72.80,76.75,72.00,72.25,72.60,73.77,102337,75.49,-,79275,77.46
COROMNFERT,EQ,16-Jan-2006,72.60,68.00,75.40,68.00,72.10,72.20,72.34,80335,58.11,-,66999,83.40
COROMNFERT,EQ,17-Jan-2006,72.20,72.15,73.65,72.00,73.00,72.55,73.22,161384,118.17,-,152194,94.31
COROMNFERT,EQ,18-Jan-2006,72.55,70.80,71.50,69.20,71.00,71.10,70.36,117796,82.88,-,83594,70.97
COROMNFERT,EQ,19-Jan-2006,71.10,71.20,73.50,71.20,72.25,72.55,72.78,137750,100.26,-,102051,74.08
COROMNFERT,EQ,20-Jan-2006,72.55,73.00,73.00,70.10,70.50,70.65,71.24,27653,19.70,-,22695,82.07
COROMNFERT,EQ,23-Jan-2006,70.65,72.50,72.50,68.25,70.00,70.00,70.90,165545,117.37,-,144150,87.08
COROMNFERT,EQ,24-Jan-2006,70.00,70.00,71.90,69.25,69.75,69.95,70.34,25719,18.09,-,18325,71.25
COROMNFERT,EQ,25-Jan-2006,69.95,70.15,71.10,68.90,70.15,70.30,70.18,53658,37.66,-,41210,76.80
COROMNFERT,EQ,27-Jan-2006,70.30,70.10,72.00,70.00,70.00,70.90,70.95,260879,185.11,-,245195,93.99
COROMNFERT,EQ,30-Jan-2006,70.90,71.95,72.50,69.15,70.30,69.95,70.82,63069,44.66,-,53780,85.27
COROMNFERT,EQ,31-Jan-2006,69.95,69.00,71.50,68.75,68.75,69.05,69.41,21060,14.62,-,16515,78.42
COROMNFERT,EQ,01-Feb-2006,69.05,70.00,70.00,66.85,67.75,67.20,68.15,20715,14.12,-,15929,76.90
COROMNFERT,EQ,02-Feb-2006,67.20,68.00,71.00,66.20,66.75,67.20,67.74,23979,16.24,-,16069,67.01
COROMNFERT,EQ,03-Feb-2006,67.20,66.50,66.80,63.90,66.40,66.05,65.64,31567,20.72,-,19128,60.59
COROMNFERT,EQ,06-Feb-2006,66.05,66.00,69.00,62.25,68.40,68.25,68.03,27882,18.97,-,24772,88.85
COROMNFERT,EQ,07-Feb-2006,68.25,67.25,69.85,67.25,69.00,68.95,68.87,54299,37.40,-,45249,83.33
COROMNFERT,EQ,08-Feb-2006,68.95,69.00,69.90,68.00,68.50,68.45,68.59,10636,7.30,-,8102,76.18
