Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CROMPTON,BE,13-May-2016,155.30,129.00,135.45,125.00,135.45,135.45,131.91,8052683,10622.49,6387,-,-
CROMPTON,BE,16-May-2016,135.45,140.70,141.00,135.00,140.50,140.20,140.05,4533559,6349.27,19202,-,-
CROMPTON,BE,17-May-2016,140.20,141.00,141.00,134.00,139.10,139.00,138.99,5502478,7647.98,13254,-,-
CROMPTON,BE,18-May-2016,139.00,137.25,145.95,137.25,145.95,145.95,144.97,2127900,3084.75,2659,-,-
CROMPTON,BE,19-May-2016,145.95,147.20,149.00,140.15,141.55,142.60,143.11,7733437,11066.94,3796,-,-
CROMPTON,BE,20-May-2016,142.60,143.10,146.00,136.55,138.90,138.05,139.85,4687190,6555.02,2219,-,-
CROMPTON,BE,23-May-2016,138.05,137.00,138.50,132.05,135.65,136.55,135.74,3453429,4687.86,1303,-,-
CROMPTON,BE,24-May-2016,136.55,133.50,137.95,131.80,132.65,132.75,134.47,3208507,4314.51,4090,-,-
CROMPTON,BE,25-May-2016,132.75,134.00,134.00,128.15,132.95,133.65,130.60,2014257,2630.54,7318,-,-
CROMPTON,BE,26-May-2016,133.65,133.90,135.05,131.60,134.00,133.30,133.76,1405951,1880.62,895,-,-
CROMPTON,EQ,27-May-2016,133.30,135.95,136.95,132.10,132.20,132.45,133.48,237478,316.98,1334,195598,82.36
CROMPTON,EQ,30-May-2016,132.45,133.95,134.00,127.00,130.10,130.00,130.00,1885482,2451.04,9637,1722921,91.38
CROMPTON,EQ,31-May-2016,130.00,129.00,135.20,126.50,133.95,132.30,129.89,2344185,3044.89,11314,2046104,87.28
CROMPTON,EQ,01-Jun-2016,132.30,132.00,135.00,132.00,134.50,134.60,134.25,688492,924.31,4903,566627,82.30
CROMPTON,EQ,02-Jun-2016,134.60,133.05,140.00,133.05,138.05,138.60,137.42,3197895,4394.56,40032,2688691,84.08
CROMPTON,EQ,03-Jun-2016,138.60,136.70,138.90,134.00,135.00,135.00,135.56,434481,588.98,5874,347543,79.99
CROMPTON,EQ,06-Jun-2016,135.00,134.55,135.15,130.10,132.25,133.05,133.52,619297,826.89,8649,512991,82.83
CROMPTON,EQ,07-Jun-2016,133.05,131.35,135.50,131.35,133.15,133.55,133.74,869424,1162.74,12996,682263,78.47
CROMPTON,EQ,08-Jun-2016,133.55,132.55,133.50,130.20,133.15,132.85,132.57,1740052,2306.71,8509,1649593,94.80
CROMPTON,EQ,09-Jun-2016,132.85,132.20,134.00,131.75,133.05,133.55,132.85,322333,428.22,7533,293912,91.18
CROMPTON,EQ,10-Jun-2016,133.55,131.60,139.35,131.60,132.60,133.50,136.85,1003831,1373.74,4750,848621,84.54
CROMPTON,EQ,13-Jun-2016,133.50,132.00,134.00,131.50,133.45,133.25,132.75,1687277,2239.85,6905,1634229,96.86
CROMPTON,EQ,14-Jun-2016,133.25,134.00,137.50,132.95,136.20,136.55,134.71,1142547,1539.16,4352,1022736,89.51
CROMPTON,EQ,15-Jun-2016,136.55,135.00,137.00,133.30,134.00,135.05,135.25,278110,376.15,5458,203376,73.13
CROMPTON,EQ,16-Jun-2016,135.05,135.00,135.75,132.75,133.00,133.05,133.71,677301,905.62,6126,432829,63.90
CROMPTON,EQ,17-Jun-2016,133.05,133.10,136.00,133.05,134.40,134.00,134.40,1235817,1660.88,7228,1055331,85.40
CROMPTON,EQ,20-Jun-2016,134.00,134.00,135.50,132.95,134.05,133.60,133.80,969444,1297.11,9172,747842,77.14
CROMPTON,EQ,21-Jun-2016,133.60,135.00,144.00,135.00,138.00,137.75,139.11,714207,993.55,5438,414235,58.00
CROMPTON,EQ,22-Jun-2016,137.75,137.30,143.90,137.00,138.20,138.55,138.73,519549,720.75,3941,393258,75.69
CROMPTON,EQ,23-Jun-2016,138.55,137.55,138.60,137.05,138.05,138.15,138.00,920115,1269.80,3195,889848,96.71
CROMPTON,EQ,24-Jun-2016,138.15,133.00,141.05,130.00,138.00,136.70,133.66,1693185,2263.04,4673,1583365,93.51
CROMPTON,EQ,27-Jun-2016,136.70,134.05,137.90,133.35,136.50,135.20,134.17,1927203,2585.72,17322,1761857,91.42
CROMPTON,EQ,28-Jun-2016,135.20,138.00,139.00,133.50,134.00,134.35,134.22,829459,1113.33,7202,753445,90.84
CROMPTON,EQ,29-Jun-2016,134.35,135.00,139.75,134.15,138.00,138.85,137.60,4406576,6063.54,9056,3966560,90.01
CROMPTON,EQ,30-Jun-2016,138.85,139.00,145.90,137.50,142.80,143.75,140.89,1650763,2325.70,12333,1496760,90.67
CROMPTON,EQ,01-Jul-2016,143.75,142.00,144.25,141.00,143.45,142.85,142.50,220114,313.67,2846,138123,62.75
CROMPTON,EQ,04-Jul-2016,142.85,145.00,147.70,141.00,142.60,142.65,143.56,491518,705.62,6870,254373,51.75
CROMPTON,EQ,05-Jul-2016,142.65,142.50,143.15,139.05,139.95,140.00,141.98,2512301,3567.09,3725,2324947,92.54
CROMPTON,EQ,07-Jul-2016,140.00,138.35,143.45,138.35,139.90,139.55,142.70,3142207,4484.02,6588,2960367,94.21
CROMPTON,EQ,08-Jul-2016,139.55,140.05,143.00,138.85,142.45,142.30,141.17,459970,649.35,3270,302563,65.78
CROMPTON,EQ,11-Jul-2016,142.30,143.00,143.25,140.60,142.00,142.10,142.29,706372,1005.09,6108,629885,89.17
CROMPTON,EQ,12-Jul-2016,142.10,142.00,142.95,139.90,142.00,141.10,140.75,556895,783.81,7077,470446,84.48
CROMPTON,EQ,13-Jul-2016,141.10,141.20,143.50,140.80,141.00,142.90,142.83,951344,1358.82,4807,900548,94.66
CROMPTON,EQ,14-Jul-2016,142.90,141.35,145.90,140.05,142.00,141.55,142.26,946494,1346.50,11453,804955,85.05
CROMPTON,EQ,15-Jul-2016,141.55,142.95,145.00,142.35,143.65,143.80,143.77,445949,641.14,14792,314531,70.53
CROMPTON,EQ,18-Jul-2016,143.80,144.00,145.00,139.60,140.70,140.30,141.14,426696,602.24,11913,350667,82.18
CROMPTON,EQ,19-Jul-2016,140.30,142.70,143.55,140.80,142.20,141.10,141.91,473807,672.39,6240,311751,65.80
CROMPTON,EQ,20-Jul-2016,141.10,142.00,155.10,141.80,152.05,152.50,146.25,3472955,5079.07,11312,2536313,73.03
CROMPTON,EQ,21-Jul-2016,152.50,153.00,153.90,147.45,150.40,150.25,150.57,221588,333.65,3093,124732,56.29
CROMPTON,EQ,22-Jul-2016,150.25,150.30,152.30,145.75,148.15,148.60,149.34,377959,564.45,9449,275312,72.84
CROMPTON,EQ,25-Jul-2016,148.60,150.45,154.00,148.60,153.20,153.60,151.99,260824,396.44,4440,149015,57.13
CROMPTON,EQ,26-Jul-2016,153.60,152.55,155.20,152.55,153.60,154.05,154.12,515814,794.97,4648,423870,82.17
CROMPTON,EQ,27-Jul-2016,154.05,155.05,157.45,148.00,149.60,150.05,152.94,443652,678.52,15118,261679,58.98
CROMPTON,EQ,28-Jul-2016,150.05,151.50,157.90,150.25,153.00,153.40,154.61,355759,550.04,4476,234776,65.99
CROMPTON,EQ,29-Jul-2016,153.40,154.00,159.00,151.00,156.90,157.00,156.37,392183,613.26,3960,208389,53.14
CROMPTON,EQ,01-Aug-2016,157.00,179.90,179.90,162.20,165.55,165.80,165.95,4518575,7498.41,15373,3881552,85.90
CROMPTON,EQ,02-Aug-2016,165.80,168.10,168.10,161.60,162.00,162.00,164.46,484129,796.17,8655,345538,71.37
CROMPTON,EQ,03-Aug-2016,162.00,162.90,164.95,159.90,162.00,161.35,160.42,2414384,3873.06,4736,2298711,95.21
CROMPTON,EQ,04-Aug-2016,161.35,164.00,166.00,160.35,162.00,161.95,162.35,648431,1052.71,6504,539171,83.15
CROMPTON,EQ,05-Aug-2016,161.95,163.00,166.00,162.30,163.90,164.80,164.65,3697540,6088.06,10389,3490683,94.41
CROMPTON,EQ,08-Aug-2016,164.80,164.40,172.50,163.55,171.00,171.75,168.33,2981931,5019.58,20266,2741932,91.95
CROMPTON,EQ,09-Aug-2016,171.75,171.50,175.50,171.00,172.00,172.00,173.20,1173915,2033.26,33189,1029399,87.69
CROMPTON,EQ,10-Aug-2016,172.00,173.50,175.00,166.25,166.95,168.45,170.00,819514,1393.15,13607,712121,86.90
CROMPTON,EQ,11-Aug-2016,168.45,167.50,172.75,165.00,170.00,170.00,169.80,1444653,2452.99,13160,1322222,91.53
CROMPTON,EQ,12-Aug-2016,170.00,171.00,173.70,167.35,173.00,173.05,169.94,517552,879.51,3296,458429,88.58
CROMPTON,EQ,16-Aug-2016,173.05,173.05,173.10,168.05,168.90,169.25,169.83,166371,282.54,5449,126099,75.79
CROMPTON,EQ,17-Aug-2016,169.25,170.90,170.95,163.60,164.80,164.65,166.83,274060,457.21,15977,202116,73.75
CROMPTON,EQ,18-Aug-2016,164.65,165.00,167.20,164.05,166.85,166.50,165.57,235518,389.95,3343,152492,64.75
CROMPTON,EQ,19-Aug-2016,166.50,166.50,168.65,161.00,168.10,166.85,165.29,409967,677.63,6836,356442,86.94
CROMPTON,EQ,22-Aug-2016,166.85,167.80,167.80,164.15,166.50,165.85,165.46,382292,632.56,7599,230347,60.25
CROMPTON,EQ,23-Aug-2016,165.85,166.00,166.25,164.05,165.95,165.50,165.19,96815,159.93,3081,81425,84.10
CROMPTON,EQ,24-Aug-2016,165.50,166.95,166.95,164.25,165.45,165.25,165.34,285268,471.66,7326,233505,81.85
CROMPTON,EQ,25-Aug-2016,165.25,166.35,167.20,164.05,165.00,164.95,165.26,2888065,4772.70,10803,2732339,94.61
CROMPTON,EQ,26-Aug-2016,164.95,165.25,165.70,163.65,164.50,164.55,164.33,167366,275.03,1575,144213,86.17
CROMPTON,EQ,29-Aug-2016,164.55,164.40,166.85,162.10,165.10,165.00,164.85,253648,418.15,2207,212558,83.80
CROMPTON,EQ,30-Aug-2016,165.00,166.60,166.60,164.25,165.20,165.00,165.38,203548,336.64,2822,151771,74.56
CROMPTON,EQ,31-Aug-2016,165.00,166.75,166.75,164.20,165.95,164.75,164.96,488807,806.33,10126,438930,89.80
CROMPTON,EQ,01-Sep-2016,164.75,165.85,171.95,165.50,167.05,167.00,168.27,585568,985.32,6392,411991,70.36
CROMPTON,EQ,02-Sep-2016,167.00,166.80,175.05,166.80,174.65,173.75,172.82,878234,1517.77,20686,613360,69.84
CROMPTON,EQ,06-Sep-2016,173.75,174.00,175.45,172.05,173.95,173.05,173.03,1710780,2960.16,9833,1644710,96.14
CROMPTON,EQ,07-Sep-2016,173.05,173.00,173.90,165.40,168.75,167.60,167.30,1508869,2524.30,20645,1195397,79.22
CROMPTON,EQ,08-Sep-2016,167.60,169.70,169.70,163.00,164.35,164.05,164.97,960679,1584.85,14618,858532,89.37
CROMPTON,EQ,09-Sep-2016,164.05,170.00,173.95,163.60,164.55,164.60,166.26,1303662,2167.51,16640,833717,63.95
CROMPTON,EQ,12-Sep-2016,164.60,163.90,166.50,160.25,161.90,161.75,162.90,408520,665.48,6357,283837,69.48
CROMPTON,EQ,14-Sep-2016,161.75,161.20,162.85,157.40,159.75,158.95,158.72,662901,1052.16,17164,540248,81.50
CROMPTON,EQ,15-Sep-2016,158.95,160.15,162.00,158.65,160.80,160.45,159.31,881881,1404.96,10660,793149,89.94
CROMPTON,EQ,16-Sep-2016,160.45,162.00,165.50,154.35,156.35,155.80,160.82,1688565,2715.61,12170,1436078,85.05
CROMPTON,EQ,19-Sep-2016,155.80,157.40,160.50,155.20,155.50,155.70,158.54,772348,1224.48,18342,647317,83.81
CROMPTON,EQ,20-Sep-2016,155.70,156.95,157.55,155.90,156.20,156.35,156.64,279402,437.66,5620,245793,87.97
CROMPTON,EQ,21-Sep-2016,156.35,156.60,161.85,156.00,160.00,159.75,160.31,1367207,2191.81,11598,1286923,94.13
CROMPTON,EQ,22-Sep-2016,159.75,160.95,163.40,158.00,159.00,158.55,159.88,578828,925.41,5179,511678,88.40
CROMPTON,EQ,23-Sep-2016,158.55,160.45,160.65,156.15,156.95,156.70,159.37,879651,1401.90,11464,828104,94.14
CROMPTON,EQ,26-Sep-2016,156.70,158.85,160.00,156.80,158.50,158.20,158.40,451451,715.08,6920,249968,55.37
CROMPTON,EQ,27-Sep-2016,158.20,158.70,159.65,154.30,155.60,156.10,156.48,332876,520.87,7177,271767,81.64
CROMPTON,EQ,28-Sep-2016,156.10,156.45,157.20,152.25,153.55,153.30,153.20,596510,913.83,8261,470883,78.94
CROMPTON,EQ,29-Sep-2016,153.30,154.30,157.40,135.25,153.45,152.05,153.73,2278210,3502.27,8538,2052918,90.11
CROMPTON,EQ,30-Sep-2016,152.05,153.05,154.80,150.50,154.75,153.95,152.22,392186,596.98,8179,318708,81.26
CROMPTON,EQ,03-Oct-2016,153.95,154.70,159.00,153.65,158.40,157.70,155.23,3321781,5156.53,10769,3169277,95.41
CROMPTON,EQ,04-Oct-2016,157.70,158.95,167.65,158.10,165.40,163.90,162.69,665639,1082.94,11044,419773,63.06
CROMPTON,EQ,05-Oct-2016,163.90,165.95,175.00,164.10,170.00,170.35,167.89,2064435,3466.02,26559,1739709,84.27
CROMPTON,EQ,06-Oct-2016,170.35,171.80,175.75,170.45,172.70,172.60,172.33,1167418,2011.77,12626,960645,82.29
CROMPTON,EQ,07-Oct-2016,172.60,173.60,173.60,170.00,171.95,171.60,171.64,534553,917.50,3392,446851,83.59
CROMPTON,EQ,10-Oct-2016,171.60,172.55,174.90,170.75,173.30,173.25,172.39,575965,992.92,3659,525777,91.29
CROMPTON,EQ,13-Oct-2016,173.25,172.70,180.90,171.20,178.00,179.95,175.11,3443468,6029.81,22086,3142964,91.27
CROMPTON,EQ,14-Oct-2016,179.95,180.45,182.85,176.60,177.00,177.70,179.36,911543,1634.97,22937,635148,69.68
CROMPTON,EQ,17-Oct-2016,177.70,178.00,182.35,177.95,181.15,181.80,180.24,849313,1530.78,6252,632906,74.52
CROMPTON,EQ,18-Oct-2016,181.80,182.00,185.60,178.15,179.05,180.10,182.34,1475336,2690.12,16586,1355910,91.91
CROMPTON,EQ,19-Oct-2016,180.10,180.95,181.00,177.00,179.40,178.50,178.70,1523864,2723.17,2514,1464267,96.09
CROMPTON,EQ,20-Oct-2016,178.50,179.25,185.00,179.00,183.35,183.95,183.03,923132,1689.61,19167,829570,89.86
CROMPTON,EQ,21-Oct-2016,183.95,186.00,186.80,182.05,183.15,183.80,184.01,774859,1425.85,11286,697096,89.96
CROMPTON,EQ,24-Oct-2016,183.80,180.55,189.20,178.50,189.00,186.60,183.29,646387,1184.73,4850,561001,86.79
CROMPTON,EQ,25-Oct-2016,186.60,187.80,191.35,185.10,187.45,188.75,188.77,1524453,2877.78,5438,1382767,90.71
CROMPTON,EQ,26-Oct-2016,188.75,184.00,188.45,181.25,183.40,183.95,184.24,1305804,2405.87,18843,1107872,84.84
CROMPTON,EQ,27-Oct-2016,183.95,184.00,186.90,175.50,185.00,183.90,182.98,2917093,5337.56,8283,2764991,94.79
