Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFOTECENT,EQ,02-Jan-2006,531.20,536.60,536.60,525.00,525.00,528.95,529.95,46136,244.50,-,26182,56.75
INFOTECENT,EQ,03-Jan-2006,528.95,526.00,533.00,515.25,518.50,517.90,523.60,21773,114.00,-,11777,54.09
INFOTECENT,EQ,04-Jan-2006,517.90,525.50,535.00,521.10,521.10,525.95,526.40,21838,114.95,-,9048,41.43
INFOTECENT,EQ,05-Jan-2006,525.95,534.00,535.00,520.00,520.00,522.50,525.50,12975,68.18,-,4426,34.11
INFOTECENT,EQ,06-Jan-2006,522.50,525.25,543.90,515.00,534.00,538.25,530.94,31022,164.71,-,13167,42.44
INFOTECENT,EQ,09-Jan-2006,538.25,448.00,552.00,448.00,531.00,536.00,540.48,21882,118.27,-,8853,40.46
INFOTECENT,EQ,10-Jan-2006,536.00,533.00,535.00,521.55,525.00,524.10,526.56,13888,73.13,-,7588,54.64
INFOTECENT,EQ,12-Jan-2006,524.10,521.55,525.00,500.10,514.00,512.50,518.82,23295,120.86,-,9576,41.11
INFOTECENT,EQ,13-Jan-2006,512.50,517.05,524.50,506.00,508.00,511.85,517.20,13877,71.77,-,6493,46.79
INFOTECENT,EQ,16-Jan-2006,511.85,508.00,539.55,506.40,539.55,534.00,525.80,36428,191.54,-,18479,50.73
INFOTECENT,EQ,17-Jan-2006,534.00,532.10,539.55,513.00,513.00,517.70,527.63,19605,103.44,-,6885,35.12
INFOTECENT,EQ,18-Jan-2006,517.70,517.00,529.00,515.00,522.00,520.85,521.78,12199,63.65,-,4665,38.24
INFOTECENT,EQ,19-Jan-2006,520.85,525.00,536.90,506.65,512.00,513.75,525.14,89288,468.89,-,23516,26.34
INFOTECENT,EQ,20-Jan-2006,513.75,522.00,594.00,522.00,567.50,569.40,564.89,286390,1617.80,-,72016,25.15
INFOTECENT,EQ,23-Jan-2006,569.40,570.00,594.00,560.00,567.10,569.60,578.18,75459,436.29,-,24535,32.51
INFOTECENT,EQ,24-Jan-2006,569.60,573.90,583.00,571.00,571.05,575.15,577.67,32055,185.17,-,12634,39.41
INFOTECENT,EQ,25-Jan-2006,575.15,577.00,578.00,565.00,570.00,572.15,571.14,21103,120.53,-,7505,35.56
INFOTECENT,EQ,27-Jan-2006,572.15,579.90,580.50,550.00,558.00,556.40,568.24,25350,144.05,-,15572,61.43
INFOTECENT,EQ,30-Jan-2006,556.40,576.00,576.00,560.00,565.00,564.80,564.98,12707,71.79,-,6989,55.00
INFOTECENT,EQ,31-Jan-2006,564.80,566.00,568.90,551.55,568.00,562.20,559.72,9939,55.63,-,4436,44.63
INFOTECENT,EQ,01-Feb-2006,562.20,572.65,572.65,546.05,554.90,549.40,556.81,7644,42.56,-,3503,45.83
INFOTECENT,EQ,02-Feb-2006,549.40,550.00,559.00,540.05,542.00,543.65,549.20,12934,71.03,-,8262,63.88
INFOTECENT,EQ,03-Feb-2006,543.65,535.20,545.00,525.00,526.10,527.65,533.21,14007,74.69,-,8855,63.22
INFOTECENT,EQ,06-Feb-2006,527.65,532.70,560.00,528.15,555.00,552.75,546.61,20069,109.70,-,10272,51.18
INFOTECENT,EQ,07-Feb-2006,552.75,556.00,558.90,538.00,550.00,546.70,545.90,11982,65.41,-,5534,46.19
INFOTECENT,EQ,08-Feb-2006,546.70,540.50,557.90,538.00,550.00,554.30,550.09,9822,54.03,-,6008,61.17
INFOTECENT,EQ,10-Feb-2006,554.30,552.00,558.90,550.00,551.70,555.95,555.01,9552,53.01,-,4768,49.92
INFOTECENT,EQ,13-Feb-2006,555.95,560.00,560.00,535.00,542.00,546.75,551.28,12693,69.97,-,7355,57.95
INFOTECENT,EQ,14-Feb-2006,546.75,553.00,560.00,536.00,542.50,540.75,549.44,13652,75.01,-,6329,46.36
INFOTECENT,EQ,15-Feb-2006,540.75,553.00,554.70,526.10,538.00,540.20,533.98,47977,256.19,-,36823,76.75
INFOTECENT,EQ,16-Feb-2006,540.20,542.00,546.00,528.00,535.00,535.65,538.13,9201,49.51,-,5230,56.84
INFOTECENT,EQ,17-Feb-2006,535.65,544.10,547.00,512.50,530.00,527.50,533.06,9649,51.43,-,6080,63.01
INFOTECENT,EQ,20-Feb-2006,527.50,542.90,542.90,512.00,520.10,518.20,521.34,12549,65.42,-,7479,59.60
INFOTECENT,EQ,21-Feb-2006,518.20,523.05,534.95,515.00,515.00,520.60,524.14,2841,14.89,-,1477,51.99
INFOTECENT,EQ,22-Feb-2006,520.60,516.10,533.45,512.00,518.00,524.35,522.92,19613,102.56,-,10870,55.42
INFOTECENT,EQ,23-Feb-2006,524.35,522.00,533.00,516.50,527.05,528.80,527.77,29497,155.68,-,24473,82.97
INFOTECENT,EQ,24-Feb-2006,528.80,527.00,527.00,515.15,515.15,516.70,520.20,15199,79.07,-,12160,80.01
INFOTECENT,EQ,27-Feb-2006,516.70,522.00,523.90,512.00,513.10,517.30,518.02,7558,39.15,-,4137,54.74
INFOTECENT,EQ,28-Feb-2006,517.30,520.00,524.00,508.00,515.00,513.60,515.99,12513,64.57,-,6385,51.03
INFOTECENT,EQ,01-Mar-2006,513.60,513.60,554.00,490.00,535.50,537.85,536.72,29461,158.12,-,19365,65.73
INFOTECENT,EQ,02-Mar-2006,537.85,539.40,554.00,530.50,540.00,541.05,541.39,21877,118.44,-,11353,51.89
INFOTECENT,EQ,03-Mar-2006,541.05,540.00,553.00,526.10,527.00,536.00,542.70,15680,85.10,-,8717,55.59
INFOTECENT,EQ,06-Mar-2006,536.00,542.40,561.00,542.00,555.90,558.55,554.95,24134,133.93,-,13730,56.89
