Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DALMIABEL,BE,27-Jan-2011,266.00,190.00,227.00,150.00,220.00,220.45,210.58,342029,720.23,-,-,-
DALMIABEL,BE,28-Jan-2011,220.45,220.00,225.00,210.50,217.90,212.60,218.53,193234,422.28,-,-,-
DALMIABEL,BE,31-Jan-2011,212.60,202.00,209.95,202.00,204.00,205.30,202.88,9737,19.75,-,-,-
DALMIABEL,BE,01-Feb-2011,205.30,205.00,214.95,197.00,202.00,200.80,203.56,8512,17.33,-,-,-
DALMIABEL,BE,02-Feb-2011,200.80,192.50,204.95,190.80,197.25,195.20,194.55,4923,9.58,-,-,-
DALMIABEL,BE,03-Feb-2011,195.20,188.00,194.95,185.50,185.50,187.85,188.75,2004,3.78,-,-,-
DALMIABEL,BE,04-Feb-2011,187.85,189.95,191.00,178.50,179.90,179.90,179.97,2342,4.21,-,-,-
DALMIABEL,BE,07-Feb-2011,179.90,171.00,177.25,170.90,171.20,171.40,171.29,586,1.00,-,-,-
DALMIABEL,BE,08-Feb-2011,171.40,175.00,179.90,171.00,177.80,177.20,176.18,9445,16.64,-,-,-
DALMIABEL,BE,09-Feb-2011,177.20,175.00,180.00,172.00,175.00,175.00,174.85,2430,4.25,-,-,-
DALMIABEL,EQ,10-Feb-2011,175.00,171.60,171.60,142.85,170.90,162.00,163.02,4639,7.56,-,3567,76.89
DALMIABEL,EQ,11-Feb-2011,162.00,135.10,173.90,135.10,166.90,165.55,163.64,1956,3.20,-,1618,82.72
DALMIABEL,EQ,14-Feb-2011,165.55,162.00,186.00,155.00,165.50,164.75,163.28,4116,6.72,-,2866,69.63
DALMIABEL,EQ,15-Feb-2011,164.75,171.00,180.00,170.00,180.00,176.60,175.95,12006,21.12,-,11469,95.53
DALMIABEL,EQ,16-Feb-2011,176.60,180.00,180.00,171.00,179.50,175.30,172.43,1232,2.12,-,957,77.68
DALMIABEL,EQ,17-Feb-2011,175.30,163.40,175.05,163.40,173.50,171.90,172.07,861,1.48,-,378,43.90
DALMIABEL,EQ,18-Feb-2011,171.90,168.05,173.55,143.90,164.45,159.60,155.42,1579,2.45,-,1054,66.75
DALMIABEL,EQ,21-Feb-2011,159.60,160.00,161.00,146.75,156.95,153.65,153.07,2891,4.43,-,2174,75.20
DALMIABEL,EQ,22-Feb-2011,153.65,149.00,150.95,147.00,150.00,150.00,149.80,1031,1.54,-,966,93.70
DALMIABEL,EQ,23-Feb-2011,150.00,150.05,159.90,150.05,155.00,155.00,157.39,1939,3.05,-,1482,76.43
DALMIABEL,EQ,24-Feb-2011,155.00,150.45,155.00,150.00,155.00,155.00,151.89,603,0.92,-,536,88.89
DALMIABEL,EQ,25-Feb-2011,155.00,154.75,164.00,150.00,160.00,160.00,156.94,1042,1.64,-,990,95.01
DALMIABEL,EQ,28-Feb-2011,160.00,164.95,166.50,153.05,166.00,163.80,157.53,2026,3.19,-,1118,55.18
DALMIABEL,EQ,01-Mar-2011,163.80,157.85,170.00,157.85,168.00,166.15,165.45,7893,13.06,-,7382,93.53
DALMIABEL,EQ,03-Mar-2011,166.15,160.25,168.80,160.25,165.00,165.00,163.15,242,0.39,-,226,93.39
DALMIABEL,EQ,04-Mar-2011,165.00,164.00,168.75,164.00,165.00,165.10,164.67,798,1.31,-,684,85.71
DALMIABEL,EQ,07-Mar-2011,165.10,160.05,166.95,141.60,166.95,165.75,158.82,933,1.48,-,757,81.14
DALMIABEL,EQ,08-Mar-2011,165.75,165.00,169.10,165.00,165.05,165.25,165.08,5556,9.17,-,5309,95.55
DALMIABEL,EQ,09-Mar-2011,165.25,165.25,172.50,164.95,172.50,171.80,169.46,7797,13.21,-,6015,77.15
DALMIABEL,EQ,10-Mar-2011,171.80,170.00,181.00,170.00,180.00,180.25,179.58,21706,38.98,-,20212,93.12
DALMIABEL,EQ,11-Mar-2011,180.25,165.20,186.00,165.20,186.00,185.00,183.71,24974,45.88,-,24145,96.68
DALMIABEL,EQ,14-Mar-2011,185.00,185.00,191.00,175.30,191.00,189.95,186.43,14910,27.80,-,14486,97.16
DALMIABEL,EQ,15-Mar-2011,189.95,192.00,192.00,182.00,190.00,190.00,189.92,22009,41.80,-,21510,97.73
