Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DATATECH,EQ,02-Jan-2006,91.65,91.90,93.00,90.25,90.95,90.70,91.65,71580,65.61,-,36825,51.45
DATATECH,EQ,03-Jan-2006,90.70,91.80,93.00,91.10,91.70,91.70,91.93,66250,60.91,-,35136,53.04
DATATECH,EQ,04-Jan-2006,91.70,92.05,94.15,92.05,93.50,93.40,93.34,95280,88.94,-,45276,47.52
DATATECH,EQ,05-Jan-2006,93.40,94.25,94.25,91.65,91.75,91.90,92.37,60438,55.83,-,28438,47.05
DATATECH,EQ,06-Jan-2006,91.90,92.90,93.00,90.40,92.60,91.80,91.56,77154,70.64,-,42150,54.63
DATATECH,EQ,09-Jan-2006,91.80,92.65,93.50,91.85,92.75,92.55,92.61,47844,44.31,-,29545,61.75
DATATECH,EQ,10-Jan-2006,92.55,92.15,92.70,90.00,90.40,90.10,91.05,78289,71.28,-,57680,73.68
DATATECH,EQ,12-Jan-2006,90.10,90.10,90.95,89.10,89.40,89.55,89.88,61280,55.08,-,40127,65.48
DATATECH,EQ,13-Jan-2006,89.55,90.50,91.00,89.50,90.90,90.35,90.30,45803,41.36,-,24542,53.58
DATATECH,EQ,16-Jan-2006,90.35,90.10,91.00,89.10,89.10,89.60,90.05,29666,26.71,-,15371,51.81
DATATECH,EQ,17-Jan-2006,89.60,90.10,90.90,87.40,88.00,88.05,89.03,34942,31.11,-,23764,68.01
DATATECH,EQ,18-Jan-2006,88.05,88.20,88.45,87.10,87.75,87.50,87.61,53648,47.00,-,34984,65.21
DATATECH,EQ,19-Jan-2006,87.50,88.50,89.90,88.50,88.90,89.20,89.20,30792,27.47,-,15912,51.68
DATATECH,EQ,20-Jan-2006,89.20,90.35,91.00,88.20,89.00,88.90,89.10,74918,66.75,-,53194,71.00
DATATECH,EQ,23-Jan-2006,88.90,89.00,90.00,87.10,87.20,87.60,88.37,53086,46.91,-,32150,60.56
DATATECH,EQ,24-Jan-2006,87.60,88.00,88.95,86.15,86.50,86.80,87.54,62589,54.79,-,38615,61.70
DATATECH,EQ,25-Jan-2006,86.80,88.00,88.00,85.10,85.10,85.45,85.79,85773,73.58,-,66410,77.43
DATATECH,EQ,27-Jan-2006,85.45,86.65,87.00,82.35,84.50,84.20,83.62,155997,130.45,-,121693,78.01
DATATECH,EQ,30-Jan-2006,84.20,84.50,85.50,81.60,82.40,82.05,83.02,55460,46.04,-,42781,77.14
DATATECH,EQ,31-Jan-2006,82.05,82.55,85.80,82.05,82.65,82.90,83.52,58089,48.52,-,24056,41.41
DATATECH,EQ,01-Feb-2006,82.90,82.20,82.90,80.50,80.55,80.60,81.52,41763,34.05,-,25915,62.05
DATATECH,EQ,02-Feb-2006,80.60,80.10,81.80,80.05,80.25,80.20,80.46,30453,24.50,-,22020,72.31
DATATECH,EQ,03-Feb-2006,80.20,80.10,80.20,78.50,78.50,78.70,79.21,34409,27.25,-,23369,67.92
DATATECH,EQ,06-Feb-2006,78.70,79.95,80.25,78.10,78.80,78.70,78.81,33909,26.72,-,20862,61.52
DATATECH,EQ,07-Feb-2006,78.70,79.00,79.35,77.60,77.60,77.85,78.19,28121,21.99,-,18820,66.93
DATATECH,EQ,08-Feb-2006,77.85,77.60,78.00,75.25,76.00,75.85,76.69,50827,38.98,-,33370,65.65
DATATECH,EQ,10-Feb-2006,75.85,76.10,81.60,75.65,78.00,78.25,78.65,80356,63.20,-,28616,35.61
DATATECH,EQ,13-Feb-2006,78.25,79.00,81.80,78.40,79.80,80.50,80.56,54762,44.12,-,23062,42.11
DATATECH,EQ,14-Feb-2006,80.50,81.40,81.50,79.10,79.75,79.55,80.11,27396,21.95,-,14414,52.61
DATATECH,EQ,15-Feb-2006,79.55,79.00,80.65,77.50,77.75,78.05,78.51,21531,16.90,-,13272,61.64
DATATECH,EQ,16-Feb-2006,78.05,79.00,79.00,78.00,78.10,78.15,78.45,21362,16.76,-,15428,72.22
DATATECH,EQ,17-Feb-2006,78.15,79.00,79.00,76.10,76.20,76.40,77.23,22339,17.25,-,15854,70.97
DATATECH,EQ,20-Feb-2006,76.40,76.20,76.25,72.25,73.35,72.85,73.92,50878,37.61,-,39660,77.95
DATATECH,EQ,21-Feb-2006,72.85,73.65,75.00,73.05,74.50,73.90,74.16,35855,26.59,-,17677,49.30
DATATECH,EQ,22-Feb-2006,73.90,74.50,77.40,72.60,74.85,74.50,74.59,37449,27.93,-,20741,55.38
DATATECH,EQ,23-Feb-2006,74.50,76.00,79.00,74.75,75.45,75.15,76.44,48063,36.74,-,12089,25.15
DATATECH,EQ,24-Feb-2006,75.15,74.75,75.90,72.80,74.55,74.30,73.85,29483,21.77,-,17090,57.97
DATATECH,EQ,27-Feb-2006,74.30,74.30,75.30,72.90,74.45,74.15,74.04,36295,26.87,-,19287,53.14
