Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DEEPAKNTR,EQ,29-Sep-2010,182.35,184.90,184.90,176.20,177.25,177.30,180.16,2314,4.17,-,1200,51.86
DEEPAKNTR,EQ,30-Sep-2010,177.30,174.15,183.00,174.15,180.15,179.60,177.90,1058,1.88,-,664,62.76
DEEPAKNTR,EQ,01-Oct-2010,179.60,176.15,180.00,176.15,178.00,178.05,178.25,236,0.42,-,235,99.58
DEEPAKNTR,EQ,04-Oct-2010,178.05,190.00,199.00,178.90,180.00,179.85,184.54,480,0.89,-,65,13.54
DEEPAKNTR,EQ,05-Oct-2010,179.85,190.00,190.00,171.50,180.50,180.45,180.74,1035,1.87,-,935,90.34
DEEPAKNTR,EQ,06-Oct-2010,180.45,186.00,186.00,178.55,184.00,183.20,181.56,1248,2.27,-,937,75.08
DEEPAKNTR,EQ,07-Oct-2010,183.20,183.20,184.75,179.50,179.50,179.55,181.41,237,0.43,-,212,89.45
DEEPAKNTR,EQ,08-Oct-2010,179.55,175.05,184.00,175.05,184.00,184.00,177.12,130,0.23,-,130,100.00
DEEPAKNTR,EQ,11-Oct-2010,184.00,184.00,184.75,181.10,184.75,184.75,184.21,422,0.78,-,422,100.00
DEEPAKNTR,EQ,12-Oct-2010,184.75,182.00,182.00,182.00,182.00,182.00,182.00,25,0.05,-,25,100.00
DEEPAKNTR,EQ,13-Oct-2010,182.00,183.00,184.00,183.00,184.00,184.00,183.86,7,0.01,-,7,100.00
DEEPAKNTR,EQ,14-Oct-2010,184.00,180.25,185.75,180.15,180.15,180.15,182.75,150,0.27,-,0,0.00
DEEPAKNTR,EQ,15-Oct-2010,180.15,183.00,192.00,180.15,191.00,190.85,189.42,4067,7.70,-,2967,72.95
DEEPAKNTR,EQ,18-Oct-2010,190.85,186.95,192.75,186.95,191.95,191.55,191.02,2366,4.52,-,2035,86.01
DEEPAKNTR,EQ,19-Oct-2010,191.55,184.00,192.00,184.00,187.55,187.55,190.58,1679,3.20,-,1427,84.99
DEEPAKNTR,EQ,21-Oct-2010,187.55,190.00,191.00,187.60,188.10,188.10,190.07,600,1.14,-,500,83.33
DEEPAKNTR,EQ,22-Oct-2010,188.10,185.00,191.95,185.00,190.30,190.30,191.23,120,0.23,-,110,91.67
DEEPAKNTR,EQ,25-Oct-2010,190.30,188.00,199.30,188.00,190.00,190.75,193.80,467,0.91,-,449,96.15
DEEPAKNTR,EQ,26-Oct-2010,190.75,194.70,194.85,189.00,189.60,189.60,190.70,53,0.10,-,25,47.17
DEEPAKNTR,EQ,27-Oct-2010,189.60,191.00,196.00,190.05,195.95,195.95,191.72,226,0.43,-,182,80.53
DEEPAKNTR,EQ,28-Oct-2010,195.95,197.00,197.00,192.05,194.00,192.65,194.09,302,0.59,-,250,82.78
DEEPAKNTR,EQ,29-Oct-2010,192.65,191.10,193.50,191.10,192.50,192.50,192.76,303,0.58,-,293,96.70
DEEPAKNTR,EQ,01-Nov-2010,192.50,192.00,194.95,187.25,191.80,191.50,191.23,16747,32.03,-,16705,99.75
DEEPAKNTR,EQ,02-Nov-2010,191.50,189.95,192.00,187.00,191.50,191.50,189.67,9782,18.55,-,9763,99.81
DEEPAKNTR,EQ,03-Nov-2010,191.50,188.50,195.00,187.20,195.00,194.95,193.01,3865,7.46,-,3600,93.14
DEEPAKNTR,EQ,04-Nov-2010,194.95,192.00,195.00,191.60,191.60,191.95,192.74,627,1.21,-,326,51.99
DEEPAKNTR,EQ,08-Nov-2010,191.95,192.00,199.00,192.00,197.00,196.15,194.51,1563,3.04,-,1560,99.81
DEEPAKNTR,EQ,09-Nov-2010,196.15,197.00,197.00,192.00,193.00,193.70,192.87,401,0.77,-,202,50.37
DEEPAKNTR,EQ,10-Nov-2010,193.70,198.00,203.00,192.80,199.00,198.80,199.18,1089,2.17,-,842,77.32
DEEPAKNTR,EQ,11-Nov-2010,198.80,199.00,202.00,198.00,198.00,198.10,198.82,418,0.83,-,311,74.40
DEEPAKNTR,EQ,12-Nov-2010,198.10,198.80,200.35,196.60,197.55,197.50,197.44,498,0.98,-,416,83.53
DEEPAKNTR,EQ,15-Nov-2010,197.50,192.00,198.00,192.00,194.55,195.85,195.34,658,1.29,-,509,77.36
DEEPAKNTR,EQ,16-Nov-2010,195.85,192.50,195.00,185.00,194.00,194.00,193.71,5435,10.53,-,5364,98.69
DEEPAKNTR,EQ,18-Nov-2010,194.00,190.05,190.05,190.05,190.05,190.05,190.05,55,0.10,-,55,100.00
DEEPAKNTR,EQ,19-Nov-2010,190.05,190.05,195.00,190.05,192.00,192.30,192.28,204,0.39,-,200,98.04
DEEPAKNTR,EQ,22-Nov-2010,192.30,192.00,194.00,192.00,192.10,192.10,193.33,769,1.49,-,769,100.00
DEEPAKNTR,EQ,23-Nov-2010,192.10,191.00,191.00,189.00,189.00,189.00,189.73,91,0.17,-,91,100.00
DEEPAKNTR,EQ,24-Nov-2010,189.00,193.95,193.95,189.00,190.25,190.25,190.65,1009,1.92,-,450,44.60
DEEPAKNTR,EQ,25-Nov-2010,190.25,195.00,195.00,176.05,188.50,188.50,188.38,466,0.88,-,434,93.13
DEEPAKNTR,EQ,26-Nov-2010,188.50,187.00,190.00,187.00,188.15,188.15,187.94,1676,3.15,-,1676,100.00
DEEPAKNTR,EQ,29-Nov-2010,188.15,188.50,220.00,188.00,192.00,194.55,195.64,1416,2.77,-,391,27.61
DEEPAKNTR,EQ,30-Nov-2010,194.55,194.55,194.55,185.00,185.00,185.00,193.46,87,0.17,-,82,94.25
DEEPAKNTR,EQ,02-Dec-2010,185.00,194.95,197.90,194.00,194.05,194.05,194.26,494,0.96,-,481,97.37
DEEPAKNTR,EQ,06-Dec-2010,194.05,195.00,195.00,195.00,195.00,195.00,195.00,301,0.59,-,301,100.00
DEEPAKNTR,EQ,07-Dec-2010,195.00,195.00,195.00,194.00,194.50,194.50,194.85,1269,2.47,-,1269,100.00
DEEPAKNTR,EQ,08-Dec-2010,194.50,194.05,194.05,194.00,194.00,194.00,194.00,60,0.12,-,60,100.00
DEEPAKNTR,EQ,09-Dec-2010,194.00,195.00,197.00,194.00,197.00,194.00,194.39,565,1.10,-,565,100.00
DEEPAKNTR,EQ,10-Dec-2010,194.00,192.00,194.00,192.00,194.00,194.00,193.97,668,1.30,-,667,99.85
DEEPAKNTR,EQ,13-Dec-2010,194.00,194.00,202.00,194.00,195.05,195.35,196.12,678,1.33,-,591,87.17
DEEPAKNTR,EQ,14-Dec-2010,195.35,192.30,193.00,192.30,193.00,192.65,192.65,4,0.01,-,2,50.00
DEEPAKNTR,EQ,15-Dec-2010,192.65,190.00,190.00,190.00,190.00,190.00,190.00,100,0.19,-,100,100.00
DEEPAKNTR,EQ,16-Dec-2010,190.00,192.00,199.00,192.00,193.00,193.25,193.86,1995,3.87,-,1560,78.20
DEEPAKNTR,EQ,20-Dec-2010,193.25,194.00,194.05,194.00,194.00,194.00,194.00,407,0.79,-,407,100.00
DEEPAKNTR,EQ,21-Dec-2010,194.00,193.00,197.90,193.00,197.90,195.95,195.15,654,1.28,-,477,72.94
DEEPAKNTR,EQ,22-Dec-2010,195.95,193.50,200.00,193.50,195.00,198.40,197.53,3420,6.76,-,3150,92.11
DEEPAKNTR,EQ,23-Dec-2010,198.40,195.00,199.00,195.00,195.10,195.15,197.93,2228,4.41,-,2010,90.22
DEEPAKNTR,EQ,24-Dec-2010,195.15,200.00,200.00,194.40,195.10,195.10,195.75,312,0.61,-,310,99.36
DEEPAKNTR,EQ,27-Dec-2010,195.10,195.50,195.50,195.00,195.00,195.00,195.07,750,1.46,-,750,100.00
DEEPAKNTR,EQ,28-Dec-2010,195.00,200.00,200.00,195.00,195.00,195.00,195.28,20,0.04,-,10,50.00
DEEPAKNTR,EQ,29-Dec-2010,195.00,196.10,196.10,195.00,195.00,195.00,195.09,435,0.85,-,285,65.52
DEEPAKNTR,EQ,30-Dec-2010,195.00,195.00,195.00,195.00,195.00,195.00,195.00,25,0.05,-,25,100.00
DEEPAKNTR,EQ,31-Dec-2010,195.00,195.00,195.00,195.00,195.00,195.00,195.00,120,0.23,-,60,50.00
DEEPAKNTR,EQ,03-Jan-2011,195.00,195.00,195.00,195.00,195.00,195.00,195.00,50,0.10,-,50,100.00
DEEPAKNTR,EQ,04-Jan-2011,195.00,195.50,199.95,195.00,199.95,197.60,197.92,375,0.74,-,175,46.67
DEEPAKNTR,EQ,06-Jan-2011,197.60,195.00,195.00,195.00,195.00,195.00,195.00,945,1.84,-,945,100.00
DEEPAKNTR,EQ,07-Jan-2011,195.00,195.00,195.20,195.00,195.05,195.05,195.04,1386,2.70,-,1386,100.00
DEEPAKNTR,EQ,10-Jan-2011,195.05,195.00,195.05,195.00,195.00,195.00,195.04,1538,3.00,-,1538,100.00
DEEPAKNTR,EQ,11-Jan-2011,195.00,195.05,195.05,195.05,195.05,195.05,195.05,1001,1.95,-,1001,100.00
DEEPAKNTR,EQ,12-Jan-2011,195.05,195.25,199.00,195.00,198.90,198.90,195.68,1559,3.05,-,1559,100.00
DEEPAKNTR,EQ,13-Jan-2011,198.90,195.50,198.00,195.50,198.00,197.65,196.99,1200,2.36,-,1200,100.00
DEEPAKNTR,EQ,14-Jan-2011,197.65,195.05,201.90,195.05,195.75,200.30,197.04,145,0.29,-,145,100.00
DEEPAKNTR,EQ,17-Jan-2011,200.30,224.00,239.00,195.00,195.10,197.00,205.87,1485,3.06,-,775,52.19
DEEPAKNTR,EQ,18-Jan-2011,197.00,196.00,199.00,196.00,199.00,197.15,196.79,1280,2.52,-,1280,100.00
DEEPAKNTR,EQ,20-Jan-2011,197.15,195.50,195.50,195.50,195.50,195.50,195.50,5,0.01,-,5,100.00
DEEPAKNTR,EQ,21-Jan-2011,195.50,195.05,199.00,195.00,195.10,195.15,195.77,943,1.85,-,773,81.97
DEEPAKNTR,EQ,24-Jan-2011,195.15,195.10,201.00,195.00,195.00,195.00,200.01,12,0.02,-,11,91.67
DEEPAKNTR,EQ,25-Jan-2011,195.00,195.05,201.00,195.05,200.95,199.30,197.90,1301,2.57,-,1200,92.24
DEEPAKNTR,EQ,27-Jan-2011,199.30,195.05,200.00,195.00,200.00,199.90,196.92,1732,3.41,-,1732,100.00
DEEPAKNTR,EQ,28-Jan-2011,199.90,195.05,198.00,195.05,198.00,197.40,195.06,1782,3.48,-,1782,100.00
DEEPAKNTR,EQ,31-Jan-2011,197.40,190.00,204.80,190.00,196.15,196.15,198.93,1585,3.15,-,1335,84.23
DEEPAKNTR,EQ,01-Feb-2011,196.15,195.05,195.55,195.05,195.50,195.50,195.41,101,0.20,-,63,62.38
DEEPAKNTR,EQ,02-Feb-2011,195.50,195.05,195.05,195.05,195.05,195.05,195.05,33,0.06,-,33,100.00
DEEPAKNTR,EQ,03-Feb-2011,195.05,197.00,197.00,195.00,195.00,195.00,196.94,516,1.02,-,516,100.00
DEEPAKNTR,EQ,04-Feb-2011,195.00,195.50,195.50,195.50,195.50,195.50,195.50,50,0.10,-,50,100.00
DEEPAKNTR,EQ,07-Feb-2011,195.50,196.00,196.00,194.00,195.00,195.00,194.52,2017,3.92,-,2017,100.00
DEEPAKNTR,EQ,09-Feb-2011,195.00,195.00,195.00,195.00,195.00,195.00,195.00,102,0.20,-,102,100.00
DEEPAKNTR,EQ,10-Feb-2011,195.00,195.00,195.00,194.00,195.00,195.00,194.99,2348,4.58,-,2348,100.00
DEEPAKNTR,EQ,11-Feb-2011,195.00,193.15,196.00,193.15,196.00,196.00,193.34,580,1.12,-,580,100.00
DEEPAKNTR,EQ,14-Feb-2011,196.00,195.00,195.05,195.00,195.00,195.00,195.01,7050,13.75,-,7050,100.00
DEEPAKNTR,EQ,15-Feb-2011,195.00,195.00,205.00,195.00,205.00,197.35,196.68,1800,3.54,-,1800,100.00
DEEPAKNTR,EQ,17-Feb-2011,197.35,196.00,200.00,195.00,195.00,195.50,195.74,840,1.64,-,420,50.00
DEEPAKNTR,EQ,18-Feb-2011,195.50,196.85,205.00,195.50,195.50,195.50,199.09,844,1.68,-,500,59.24
DEEPAKNTR,EQ,21-Feb-2011,195.50,195.65,195.65,195.00,195.00,195.00,195.53,335,0.66,-,335,100.00
DEEPAKNTR,EQ,24-Feb-2011,195.00,195.00,195.00,195.00,195.00,195.00,195.00,1000,1.95,-,1000,100.00
DEEPAKNTR,EQ,25-Feb-2011,195.00,195.00,195.05,195.00,195.00,195.00,195.00,2780,5.42,-,2730,98.20
DEEPAKNTR,EQ,28-Feb-2011,195.00,195.00,195.75,194.00,194.00,194.00,194.85,6200,12.08,-,6100,98.39
DEEPAKNTR,EQ,01-Mar-2011,194.00,186.10,195.50,181.00,185.00,184.60,183.03,5278,9.66,-,4074,77.19
DEEPAKNTR,EQ,07-Mar-2011,184.60,190.00,190.00,190.00,190.00,190.00,190.00,50,0.10,-,50,100.00
DEEPAKNTR,EQ,09-Mar-2011,190.00,182.05,184.05,182.00,184.05,184.00,183.16,185,0.34,-,135,72.97
DEEPAKNTR,EQ,10-Mar-2011,184.00,180.00,180.00,180.00,180.00,180.00,180.00,50,0.09,-,50,100.00
DEEPAKNTR,EQ,14-Mar-2011,180.00,180.00,180.00,175.15,180.00,180.00,179.51,245,0.44,-,245,100.00
DEEPAKNTR,EQ,22-Mar-2011,180.00,185.00,185.00,185.00,185.00,185.00,185.00,14967,27.69,-,14967,100.00
DEEPAKNTR,EQ,23-Mar-2011,185.00,175.00,175.00,175.00,175.00,175.00,175.00,50,0.09,-,50,100.00
DEEPAKNTR,EQ,25-Mar-2011,175.00,176.15,176.15,176.15,176.15,176.15,176.15,3367,5.93,-,3367,100.00
DEEPAKNTR,EQ,28-Mar-2011,176.15,162.50,184.90,162.20,184.90,174.50,173.07,1700,2.94,-,200,11.76
DEEPAKNTR,EQ,29-Mar-2011,174.50,175.10,196.40,175.10,181.70,176.25,180.58,6511,11.76,-,2511,38.57
DEEPAKNTR,EQ,31-Mar-2011,176.25,176.60,176.60,176.60,176.60,176.60,176.60,25,0.04,-,25,100.00
DEEPAKNTR,EQ,01-Apr-2011,176.60,191.00,191.00,176.00,188.00,188.00,183.80,25,0.05,-,0,0.00
DEEPAKNTR,EQ,04-Apr-2011,188.00,180.00,189.00,180.00,185.00,185.00,184.96,4788,8.86,-,4788,100.00
DEEPAKNTR,EQ,05-Apr-2011,185.00,185.10,185.10,185.00,185.00,185.00,185.00,3390,6.27,-,3290,97.05
DEEPAKNTR,EQ,06-Apr-2011,185.00,204.00,204.00,181.00,182.00,183.10,187.44,70,0.13,-,20,28.57
DEEPAKNTR,EQ,07-Apr-2011,183.10,190.00,190.00,190.00,190.00,190.00,190.00,100,0.19,-,100,100.00
DEEPAKNTR,EQ,08-Apr-2011,190.00,185.00,195.95,185.00,195.95,195.95,189.74,63,0.12,-,13,20.63
DEEPAKNTR,EQ,11-Apr-2011,195.95,189.90,189.90,189.90,189.90,189.90,189.90,15,0.03,-,15,100.00
DEEPAKNTR,EQ,13-Apr-2011,189.90,185.00,197.70,185.00,185.70,185.70,185.19,5192,9.62,-,5012,96.53
DEEPAKNTR,EQ,18-Apr-2011,185.70,173.40,194.40,173.25,185.00,185.00,183.81,3959,7.28,-,3849,97.22
DEEPAKNTR,EQ,19-Apr-2011,185.00,184.00,198.85,179.95,189.95,189.95,182.32,12235,22.31,-,11730,95.87
DEEPAKNTR,EQ,21-Apr-2011,189.95,177.50,188.80,177.50,180.00,183.95,181.49,252,0.46,-,151,59.92
DEEPAKNTR,EQ,25-Apr-2011,183.95,194.75,199.00,185.05,187.90,187.90,191.82,2372,4.55,-,128,5.40
DEEPAKNTR,EQ,26-Apr-2011,187.90,181.50,187.50,180.00,184.90,184.90,181.45,4435,8.05,-,3035,68.43
DEEPAKNTR,EQ,27-Apr-2011,184.90,181.00,190.00,181.00,185.90,185.90,185.50,401,0.74,-,1,0.25
DEEPAKNTR,EQ,28-Apr-2011,185.90,185.00,190.00,185.00,185.00,185.00,186.00,253,0.47,-,250,98.81
DEEPAKNTR,EQ,29-Apr-2011,185.00,180.00,189.00,180.00,180.00,183.60,183.60,250,0.46,-,50,20.00
DEEPAKNTR,EQ,02-May-2011,183.60,175.00,189.00,175.00,180.00,184.00,184.01,1880,3.46,-,300,15.96
DEEPAKNTR,EQ,03-May-2011,184.00,187.60,188.00,177.20,177.20,177.20,187.76,402,0.75,-,400,99.50
DEEPAKNTR,EQ,04-May-2011,177.20,178.10,178.10,178.10,178.10,178.10,178.10,2,0.00,-,2,100.00
DEEPAKNTR,EQ,05-May-2011,178.10,179.00,179.00,179.00,179.00,179.00,179.00,325,0.58,-,325,100.00
DEEPAKNTR,EQ,06-May-2011,179.00,178.80,185.00,178.80,185.00,184.70,184.46,198,0.37,-,136,68.69
DEEPAKNTR,EQ,06-May-2011,179.00,178.80,185.00,178.80,185.00,184.70,184.46,198,0.37,-,136,68.69
DEEPAKNTR,EQ,09-May-2011,184.70,188.00,190.95,187.05,187.05,187.05,188.53,269,0.51,-,262,97.40
DEEPAKNTR,EQ,10-May-2011,187.05,184.05,187.00,184.05,187.00,187.00,184.89,42,0.08,-,42,100.00
DEEPAKNTR,EQ,11-May-2011,187.00,199.80,199.80,186.00,192.50,189.45,189.95,947,1.80,-,122,12.88
DEEPAKNTR,EQ,12-May-2011,189.45,183.00,183.00,183.00,183.00,183.00,183.00,7,0.01,-,7,100.00
DEEPAKNTR,EQ,13-May-2011,183.00,197.00,197.00,195.00,195.00,195.00,196.00,2,0.00,-,1,50.00
DEEPAKNTR,EQ,16-May-2011,195.00,195.00,198.00,188.00,189.00,189.00,192.86,123,0.24,-,118,95.93
DEEPAKNTR,EQ,17-May-2011,189.00,189.00,194.50,188.00,188.00,188.00,188.32,351,0.66,-,351,100.00
DEEPAKNTR,EQ,18-May-2011,188.00,183.55,183.55,183.55,183.55,183.55,183.55,16,0.03,-,16,100.00
DEEPAKNTR,EQ,19-May-2011,183.55,198.90,198.90,184.00,185.00,185.00,191.33,133,0.25,-,31,23.31
DEEPAKNTR,EQ,20-May-2011,185.00,176.70,199.40,176.70,185.50,185.95,184.22,439,0.81,-,389,88.61
DEEPAKNTR,EQ,23-May-2011,185.95,190.00,190.00,181.75,181.75,184.20,185.89,488,0.91,-,369,75.61
DEEPAKNTR,EQ,26-May-2011,184.20,178.75,185.00,176.00,185.00,185.00,182.48,517,0.94,-,409,79.11
DEEPAKNTR,EQ,27-May-2011,185.00,189.80,189.80,182.00,182.00,182.00,185.33,413,0.77,-,304,73.61
DEEPAKNTR,EQ,30-May-2011,182.00,189.00,189.00,181.00,186.00,186.00,185.86,350,0.65,-,150,42.86
DEEPAKNTR,EQ,31-May-2011,186.00,180.30,180.50,180.00,180.50,180.50,180.34,621,1.12,-,621,100.00
DEEPAKNTR,EQ,01-Jun-2011,180.50,185.00,187.00,185.00,187.00,187.00,185.01,352,0.65,6,352,100.00
DEEPAKNTR,EQ,02-Jun-2011,187.00,186.00,186.00,186.00,186.00,186.00,186.00,6,0.01,1,6,100.00
DEEPAKNTR,EQ,03-Jun-2011,186.00,180.15,187.85,177.60,187.85,187.85,181.48,645,1.17,6,485,75.19
DEEPAKNTR,EQ,06-Jun-2011,187.85,179.10,182.00,178.00,180.90,180.90,179.55,180,0.32,7,170,94.44
DEEPAKNTR,EQ,07-Jun-2011,180.90,185.45,185.45,179.05,180.00,180.00,180.38,264,0.48,6,264,100.00
DEEPAKNTR,EQ,08-Jun-2011,180.00,183.90,183.90,183.90,183.90,183.90,183.90,5,0.01,1,5,100.00
DEEPAKNTR,EQ,09-Jun-2011,183.90,180.00,180.00,178.00,178.00,178.00,179.67,600,1.08,2,600,100.00
DEEPAKNTR,EQ,10-Jun-2011,178.00,180.00,180.00,180.00,180.00,180.00,180.00,500,0.90,1,500,100.00
DEEPAKNTR,EQ,14-Jun-2011,180.00,179.40,179.40,179.40,179.40,179.40,179.40,25,0.04,1,25,100.00
DEEPAKNTR,EQ,15-Jun-2011,179.40,176.00,176.00,176.00,176.00,176.00,176.00,100,0.18,3,100,100.00
DEEPAKNTR,EQ,16-Jun-2011,176.00,174.20,175.00,174.20,175.00,174.90,174.90,57,0.10,2,57,100.00
DEEPAKNTR,EQ,17-Jun-2011,174.90,184.90,184.90,168.20,168.20,170.75,173.04,4827,8.35,182,4515,93.54
DEEPAKNTR,EQ,20-Jun-2011,170.75,168.00,176.90,161.00,174.20,174.20,173.60,793,1.38,58,703,88.65
DEEPAKNTR,EQ,21-Jun-2011,174.20,177.90,177.90,174.00,174.95,174.95,174.86,660,1.15,15,660,100.00
DEEPAKNTR,EQ,22-Jun-2011,174.95,179.95,179.95,175.00,177.95,176.25,176.27,990,1.75,23,970,97.98
DEEPAKNTR,EQ,23-Jun-2011,176.25,172.00,175.00,170.10,172.95,172.95,171.36,2085,3.57,77,2067,99.14
DEEPAKNTR,EQ,24-Jun-2011,172.95,175.90,175.90,170.00,175.00,174.70,170.46,5027,8.57,93,4973,98.93
DEEPAKNTR,EQ,27-Jun-2011,174.70,172.00,179.95,172.00,175.05,175.05,175.97,435,0.77,13,335,77.01
DEEPAKNTR,EQ,28-Jun-2011,175.05,176.00,176.00,172.00,172.00,172.00,174.00,126,0.22,2,63,50.00
DEEPAKNTR,EQ,29-Jun-2011,172.00,178.80,186.00,175.00,184.95,184.95,180.50,1598,2.88,39,1574,98.50
DEEPAKNTR,EQ,30-Jun-2011,184.95,185.00,188.00,176.00,185.00,185.00,185.43,474,0.88,15,209,44.09
