Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DHARSUGAR,EQ,02-Jan-2006,44.60,46.50,46.50,43.55,44.30,44.15,44.51,36730,16.35,-,23989,65.31
DHARSUGAR,EQ,03-Jan-2006,44.15,45.35,45.70,44.05,45.10,45.25,45.15,58127,26.25,-,33723,58.02
DHARSUGAR,EQ,04-Jan-2006,45.25,45.90,47.55,45.50,45.90,45.95,47.00,72389,34.02,-,47408,65.49
DHARSUGAR,EQ,05-Jan-2006,45.95,45.90,48.20,44.55,45.15,45.20,46.07,38145,17.57,-,25462,66.75
DHARSUGAR,EQ,06-Jan-2006,45.20,46.95,47.50,45.30,47.50,47.50,47.41,38287,18.15,-,35612,93.01
DHARSUGAR,EQ,09-Jan-2006,47.50,49.90,49.90,48.35,49.40,49.20,49.43,113833,56.26,-,48696,42.78
DHARSUGAR,EQ,10-Jan-2006,49.20,50.40,51.50,48.20,48.50,48.60,49.43,63224,31.25,-,37517,59.34
DHARSUGAR,EQ,12-Jan-2006,48.60,48.00,51.05,47.00,51.05,51.05,50.28,110975,55.80,-,80072,72.15
DHARSUGAR,EQ,13-Jan-2006,51.05,52.00,53.60,52.00,53.60,53.60,53.06,303477,161.02,-,152295,50.18
DHARSUGAR,EQ,16-Jan-2006,53.60,54.90,56.30,54.05,55.05,55.45,55.37,236692,131.07,-,101459,42.87
DHARSUGAR,EQ,17-Jan-2006,55.45,55.45,58.25,54.00,58.25,58.05,57.94,196618,113.92,-,81568,41.49
DHARSUGAR,EQ,18-Jan-2006,58.05,60.00,60.95,56.15,60.95,60.25,58.94,168071,99.07,-,71997,42.84
DHARSUGAR,EQ,19-Jan-2006,60.25,61.00,63.30,61.00,63.30,63.30,63.20,23630,14.93,-,23500,99.45
DHARSUGAR,EQ,20-Jan-2006,63.30,66.50,66.50,66.50,66.50,66.50,66.50,22044,14.66,-,22044,100.00
DHARSUGAR,EQ,23-Jan-2006,66.50,69.40,69.70,63.25,64.50,64.75,66.98,289682,194.03,-,118271,40.83
DHARSUGAR,EQ,24-Jan-2006,64.75,67.00,68.00,62.00,64.05,63.85,65.69,137575,90.38,-,49321,35.85
DHARSUGAR,EQ,25-Jan-2006,63.85,64.50,64.50,60.70,60.70,60.70,61.19,70036,42.86,-,48968,69.92
DHARSUGAR,EQ,27-Jan-2006,60.70,57.75,63.75,57.70,57.75,58.30,60.58,292490,177.19,-,60440,20.66
DHARSUGAR,EQ,30-Jan-2006,58.30,57.90,58.00,55.40,55.55,55.45,56.01,64968,36.39,-,27731,42.68
DHARSUGAR,EQ,31-Jan-2006,55.45,54.00,55.90,52.70,53.05,53.20,54.02,170122,91.90,-,77762,45.71
DHARSUGAR,EQ,01-Feb-2006,53.20,52.10,54.45,50.55,50.55,50.55,51.48,55109,28.37,-,19430,35.26
DHARSUGAR,EQ,02-Feb-2006,50.55,51.00,53.10,48.05,53.10,52.00,49.85,128276,63.94,-,44272,34.51
DHARSUGAR,EQ,03-Feb-2006,52.00,54.00,54.60,52.10,54.60,54.30,54.33,214755,116.69,-,85631,39.87
DHARSUGAR,EQ,06-Feb-2006,54.30,56.10,57.05,55.75,57.05,57.05,56.66,115008,65.17,-,53717,46.71
DHARSUGAR,EQ,07-Feb-2006,57.05,59.00,59.60,54.20,57.80,58.60,57.25,193098,110.54,-,62034,32.13
DHARSUGAR,EQ,08-Feb-2006,58.60,58.00,59.80,56.20,56.50,56.80,57.97,86011,49.86,-,33809,39.31
DHARSUGAR,EQ,10-Feb-2006,56.80,58.90,60.00,55.55,55.60,56.15,57.08,62334,35.58,-,22162,35.55
DHARSUGAR,EQ,13-Feb-2006,56.15,57.65,58.75,54.05,54.70,55.05,55.93,70229,39.28,-,27266,38.82
DHARSUGAR,EQ,14-Feb-2006,55.05,56.30,57.50,53.10,54.60,54.30,56.05,117184,65.68,-,28545,24.36
DHARSUGAR,EQ,15-Feb-2006,54.30,55.70,55.75,51.20,51.55,51.80,53.19,37294,19.83,-,21068,56.49
DHARSUGAR,EQ,16-Feb-2006,51.80,50.20,53.50,50.20,52.40,52.40,52.55,46752,24.57,-,14258,30.50
DHARSUGAR,EQ,17-Feb-2006,52.40,53.00,54.00,48.60,49.65,49.45,50.31,34439,17.33,-,21871,63.51
DHARSUGAR,EQ,20-Feb-2006,49.45,48.00,52.05,47.95,50.80,50.95,50.20,56167,28.19,-,17616,31.36
DHARSUGAR,EQ,21-Feb-2006,50.95,51.00,52.90,50.00,50.50,50.65,51.60,64806,33.44,-,19819,30.58
DHARSUGAR,EQ,22-Feb-2006,50.65,51.00,51.00,47.50,48.45,47.95,49.07,35662,17.50,-,16434,46.08
DHARSUGAR,EQ,23-Feb-2006,47.95,50.75,50.75,48.00,48.00,48.35,49.34,49828,24.58,-,17871,35.87
DHARSUGAR,EQ,24-Feb-2006,48.35,48.25,48.80,44.10,44.35,45.45,46.53,37714,17.55,-,26398,70.00
DHARSUGAR,EQ,27-Feb-2006,45.45,45.70,46.75,45.00,45.25,45.35,45.83,19055,8.73,-,11927,62.59
DHARSUGAR,EQ,28-Feb-2006,45.35,44.15,47.00,44.15,45.20,45.50,45.56,25007,11.39,-,13126,52.49
DHARSUGAR,EQ,01-Mar-2006,45.50,45.60,46.60,44.50,44.80,44.85,45.67,54713,24.99,-,17026,31.12
DHARSUGAR,EQ,02-Mar-2006,44.85,45.65,45.85,43.55,43.55,43.80,44.53,23700,10.55,-,12900,54.43
DHARSUGAR,EQ,03-Mar-2006,43.80,44.95,44.95,39.60,41.05,41.45,42.13,21561,9.08,-,13937,64.64
DHARSUGAR,EQ,06-Mar-2006,41.45,40.60,45.60,40.60,45.60,45.25,43.41,62015,26.92,-,26193,42.24
DHARSUGAR,EQ,07-Mar-2006,45.25,49.50,49.50,45.25,45.80,46.15,46.84,94496,44.26,-,32712,34.62
DHARSUGAR,EQ,08-Mar-2006,46.15,46.65,47.00,43.05,43.85,43.75,44.26,37339,16.53,-,27821,74.51
DHARSUGAR,EQ,09-Mar-2006,43.75,43.80,46.00,42.05,44.35,44.90,44.64,46775,20.88,-,16733,35.77
DHARSUGAR,EQ,10-Mar-2006,44.90,44.45,46.00,44.35,44.65,44.70,44.91,13416,6.03,-,7177,53.50
DHARSUGAR,EQ,13-Mar-2006,44.70,43.90,47.50,43.90,45.90,45.90,46.04,30936,14.24,-,9906,32.02
DHARSUGAR,EQ,14-Mar-2006,45.90,46.00,46.50,44.60,44.60,45.25,45.65,20797,9.49,-,7243,34.83
DHARSUGAR,EQ,16-Mar-2006,45.25,43.05,45.40,43.05,44.40,44.70,44.34,12628,5.60,-,7221,57.18
DHARSUGAR,EQ,17-Mar-2006,44.70,45.95,45.95,43.00,43.25,43.30,43.37,12400,5.38,-,8766,70.69
DHARSUGAR,EQ,20-Mar-2006,43.30,43.35,44.00,42.45,42.50,42.60,43.28,10469,4.53,-,4753,45.40
DHARSUGAR,EQ,21-Mar-2006,42.60,43.40,45.80,42.85,43.50,43.80,44.30,45534,20.17,-,13269,29.14
DHARSUGAR,EQ,22-Mar-2006,43.80,45.75,45.75,43.75,44.00,44.15,44.73,40396,18.07,-,17594,43.55
DHARSUGAR,EQ,23-Mar-2006,44.15,43.80,44.40,41.60,42.05,42.20,42.78,18771,8.03,-,15962,85.04
DHARSUGAR,EQ,24-Mar-2006,42.20,42.90,42.90,41.00,41.60,41.55,41.62,12717,5.29,-,8503,66.86
DHARSUGAR,EQ,27-Mar-2006,41.55,41.90,42.80,40.00,41.05,41.10,41.74,27116,11.32,-,13174,48.58
DHARSUGAR,EQ,28-Mar-2006,41.10,41.50,43.35,40.50,42.25,42.05,41.94,103931,43.59,-,64963,62.51
DHARSUGAR,EQ,29-Mar-2006,42.05,43.90,46.30,43.00,46.30,46.30,45.53,92439,42.09,-,41597,45.00
DHARSUGAR,EQ,30-Mar-2006,46.30,50.75,50.95,49.65,50.95,50.95,50.85,58613,29.81,-,44031,75.12
DHARSUGAR,EQ,31-Mar-2006,50.95,53.50,53.50,53.50,53.50,53.50,53.50,31153,16.67,-,31153,100.00
DHARSUGAR,EQ,03-Apr-2006,53.50,56.15,56.20,56.10,56.20,56.20,56.18,83834,47.10,-,67783,80.85
DHARSUGAR,EQ,04-Apr-2006,56.20,59.00,59.05,58.00,59.05,59.05,58.85,64994,38.25,-,58145,89.46
DHARSUGAR,EQ,05-Apr-2006,59.05,62.00,62.00,60.00,61.85,61.50,61.69,276909,170.82,-,191057,69.00
DHARSUGAR,EQ,07-Apr-2006,61.50,62.90,64.60,62.50,62.50,63.10,63.95,202865,129.72,-,124096,61.17
DHARSUGAR,EQ,10-Apr-2006,63.10,64.35,65.35,60.15,64.35,64.60,63.40,96142,60.96,-,57892,60.22
DHARSUGAR,EQ,12-Apr-2006,64.60,64.00,66.00,61.40,62.00,61.60,63.85,69384,44.30,-,43990,63.40
DHARSUGAR,EQ,13-Apr-2006,61.60,61.10,61.10,58.55,58.55,59.10,59.19,33738,19.97,-,23016,68.22
DHARSUGAR,EQ,17-Apr-2006,59.10,60.00,60.00,56.15,56.15,56.35,57.45,33867,19.46,-,21719,64.13
DHARSUGAR,EQ,18-Apr-2006,56.35,59.00,59.10,55.55,55.75,55.90,56.75,63467,36.02,-,34758,54.77
DHARSUGAR,EQ,19-Apr-2006,55.90,58.20,58.70,56.00,58.30,58.20,57.76,150495,86.93,-,66240,44.01
DHARSUGAR,EQ,20-Apr-2006,58.20,59.60,61.00,57.15,58.00,58.05,59.38,114239,67.84,-,42252,36.99
DHARSUGAR,EQ,21-Apr-2006,58.05,58.60,59.45,57.10,57.30,57.85,58.02,63538,36.86,-,33819,53.23
DHARSUGAR,EQ,24-Apr-2006,57.85,59.95,60.75,58.30,60.75,60.75,60.59,140735,85.28,-,87417,62.11
DHARSUGAR,EQ,25-Apr-2006,60.75,63.60,63.80,61.10,62.55,61.60,62.99,169043,106.48,-,112319,66.44
DHARSUGAR,EQ,26-Apr-2006,61.60,64.70,64.70,61.55,61.55,62.50,62.99,51979,32.74,-,34559,66.49
DHARSUGAR,EQ,27-Apr-2006,62.50,64.80,64.80,61.40,61.75,62.05,63.35,59507,37.70,-,39577,66.51
DHARSUGAR,EQ,28-Apr-2006,62.05,62.50,62.65,59.00,62.00,60.90,60.75,32768,19.91,-,15101,46.08
DHARSUGAR,EQ,29-Apr-2006,60.90,62.85,62.85,60.10,60.50,60.80,61.22,10354,6.34,-,6970,67.32
DHARSUGAR,EQ,02-May-2006,60.80,62.50,63.50,61.00,62.00,61.75,62.53,33381,20.87,-,21154,63.37
DHARSUGAR,EQ,03-May-2006,61.75,62.90,62.90,59.40,61.00,60.45,60.80,35610,21.65,-,27391,76.92
DHARSUGAR,EQ,04-May-2006,60.45,59.00,61.60,59.00,59.50,59.70,60.22,21110,12.71,-,13574,64.30
DHARSUGAR,EQ,05-May-2006,59.70,58.15,61.00,57.65,59.40,58.35,59.00,28512,16.82,-,16112,56.51
DHARSUGAR,EQ,08-May-2006,58.35,58.70,61.30,58.70,61.30,61.30,60.81,44216,26.89,-,21386,48.37
DHARSUGAR,EQ,09-May-2006,61.30,61.80,64.00,60.00,62.20,62.85,62.94,78013,49.10,-,40440,51.84
DHARSUGAR,EQ,10-May-2006,62.85,63.00,64.00,61.10,61.75,61.95,62.45,27957,17.46,-,16286,58.25
DHARSUGAR,EQ,11-May-2006,61.95,62.50,65.05,60.50,61.00,62.00,63.31,95683,60.58,-,37239,38.92
DHARSUGAR,EQ,12-May-2006,62.00,62.95,63.95,59.50,59.70,59.90,61.61,20904,12.88,-,10700,51.19
DHARSUGAR,EQ,15-May-2006,59.90,57.10,61.00,56.95,56.95,56.95,57.80,26515,15.33,-,20380,76.86
DHARSUGAR,EQ,16-May-2006,56.95,57.00,57.00,54.10,54.15,54.30,54.36,18890,10.27,-,16099,85.22
DHARSUGAR,EQ,17-May-2006,54.30,55.00,56.85,54.35,55.80,56.10,55.71,13672,7.62,-,9263,67.75
DHARSUGAR,EQ,18-May-2006,56.10,53.65,54.70,53.30,53.30,53.30,53.53,8321,4.45,-,8061,96.88
DHARSUGAR,EQ,19-May-2006,53.30,51.50,52.95,50.65,50.65,50.65,50.95,5740,2.92,-,4617,80.44
DHARSUGAR,EQ,22-May-2006,50.65,50.50,50.50,48.15,48.15,48.15,48.57,2410,1.17,-,2270,94.19
DHARSUGAR,EQ,23-May-2006,48.15,45.75,49.00,45.75,49.00,46.70,46.13,15173,7.00,-,10939,72.10
DHARSUGAR,EQ,24-May-2006,46.70,49.00,49.00,44.40,44.70,44.50,47.42,23017,10.91,-,14986,65.11
DHARSUGAR,EQ,25-May-2006,44.50,42.35,44.95,42.35,44.00,43.80,43.82,6856,3.00,-,5579,81.37
DHARSUGAR,EQ,26-May-2006,43.80,44.90,46.00,44.90,45.90,46.00,45.80,11086,5.08,-,8666,78.17
DHARSUGAR,EQ,29-May-2006,46.00,46.20,48.00,46.20,47.00,47.20,47.19,12443,5.87,-,9818,78.90
DHARSUGAR,EQ,30-May-2006,47.20,47.90,47.90,46.10,46.75,46.85,47.04,7910,3.72,-,4385,55.44
DHARSUGAR,EQ,31-May-2006,46.85,46.45,46.45,44.55,45.35,45.25,44.92,5821,2.61,-,2510,43.12
DHARSUGAR,EQ,01-Jun-2006,45.25,44.35,44.85,43.00,43.00,43.00,43.62,3926,1.71,-,2493,63.50
DHARSUGAR,EQ,02-Jun-2006,43.00,42.10,43.75,40.85,41.00,41.30,41.31,9126,3.77,-,6354,69.63
DHARSUGAR,EQ,05-Jun-2006,41.30,41.30,43.40,39.25,39.25,39.35,40.98,14197,5.82,-,7330,51.63
DHARSUGAR,EQ,06-Jun-2006,39.35,38.00,38.00,37.40,37.40,37.40,37.50,3610,1.35,-,3510,97.23
DHARSUGAR,EQ,07-Jun-2006,37.40,36.00,36.00,35.55,35.55,35.55,35.63,3236,1.15,-,2845,87.92
DHARSUGAR,EQ,08-Jun-2006,35.55,33.80,33.80,33.80,33.80,33.80,33.80,101,0.03,-,101,100.00
DHARSUGAR,EQ,09-Jun-2006,33.80,32.15,33.75,32.15,32.35,32.15,32.53,16534,5.38,-,7310,44.21
DHARSUGAR,EQ,12-Jun-2006,32.15,32.55,33.05,30.50,30.50,31.10,32.12,17435,5.60,-,9911,56.85
DHARSUGAR,EQ,13-Jun-2006,31.10,30.00,30.00,29.75,29.85,29.85,29.87,1484,0.44,-,937,63.14
DHARSUGAR,EQ,14-Jun-2006,29.85,30.00,30.00,28.40,28.40,28.40,28.62,2020,0.58,-,1855,91.83
DHARSUGAR,EQ,15-Jun-2006,28.40,27.50,29.00,27.00,27.75,27.50,27.50,43139,11.86,-,30925,71.69
DHARSUGAR,EQ,16-Jun-2006,27.50,28.40,28.90,28.40,28.90,28.90,28.65,3375,0.97,-,3375,100.00
DHARSUGAR,EQ,19-Jun-2006,28.90,30.00,30.35,29.55,30.35,30.35,30.18,4520,1.36,-,4105,90.82
DHARSUGAR,EQ,20-Jun-2006,30.35,31.40,31.90,31.40,31.90,31.90,31.87,8040,2.56,-,7481,93.05
DHARSUGAR,EQ,21-Jun-2006,31.90,33.50,33.50,33.50,33.50,33.50,33.50,352,0.12,-,352,100.00
DHARSUGAR,EQ,22-Jun-2006,33.50,35.20,35.20,35.20,35.20,35.20,35.20,804,0.28,-,804,100.00
