Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EASTSILK,EQ,02-Jan-2006,217.75,224.00,224.80,218.05,224.80,220.55,220.19,41612,91.62,-,29150,70.05
EASTSILK,EQ,03-Jan-2006,220.55,225.00,236.95,223.00,236.90,236.10,232.54,190077,442.00,-,71424,37.58
EASTSILK,EQ,04-Jan-2006,236.10,234.00,242.00,228.05,232.00,234.10,235.46,146347,344.59,-,51097,34.91
EASTSILK,EQ,05-Jan-2006,234.10,235.80,241.05,231.15,240.00,239.15,237.50,164100,389.74,-,60304,36.75
EASTSILK,EQ,06-Jan-2006,239.15,241.00,253.40,240.00,245.85,246.70,247.07,309936,765.76,-,100832,32.53
EASTSILK,EQ,09-Jan-2006,246.70,248.70,259.70,248.70,254.00,254.90,253.97,343181,871.56,-,144515,42.11
EASTSILK,EQ,10-Jan-2006,254.90,252.00,256.70,248.00,250.00,250.10,252.19,86227,217.46,-,47501,55.09
EASTSILK,EQ,12-Jan-2006,250.10,251.00,251.00,232.60,243.05,244.80,245.58,45143,110.86,-,25481,56.45
EASTSILK,EQ,13-Jan-2006,244.80,245.85,259.40,245.05,252.50,252.70,253.86,130114,330.30,-,62528,48.06
EASTSILK,EQ,16-Jan-2006,252.70,257.80,257.80,250.00,250.05,250.65,252.62,74553,188.34,-,38343,51.43
EASTSILK,EQ,17-Jan-2006,250.65,252.85,256.50,248.00,249.00,249.60,252.17,92960,234.42,-,50637,54.47
EASTSILK,EQ,18-Jan-2006,249.60,243.00,249.80,240.00,241.20,242.00,245.15,56032,137.36,-,34997,62.46
EASTSILK,EQ,19-Jan-2006,242.00,242.00,252.70,242.00,252.50,251.10,249.86,42111,105.22,-,24494,58.17
EASTSILK,EQ,20-Jan-2006,251.10,254.95,254.95,251.05,251.20,252.50,253.17,39547,100.12,-,23855,60.32
EASTSILK,EQ,23-Jan-2006,252.50,250.00,267.00,250.00,262.45,259.65,260.59,116857,304.51,-,45479,38.92
EASTSILK,EQ,24-Jan-2006,259.65,263.90,274.95,256.00,257.00,257.80,262.46,106943,280.68,-,47605,44.51
EASTSILK,EQ,25-Jan-2006,257.80,262.45,267.20,255.00,256.25,255.60,259.40,82748,214.65,-,53863,65.09
EASTSILK,EQ,27-Jan-2006,255.60,257.00,261.00,254.00,257.00,257.90,257.48,55653,143.29,-,39413,70.82
EASTSILK,EQ,30-Jan-2006,257.90,258.90,259.90,250.30,255.95,252.25,255.64,56262,143.83,-,32709,58.14
EASTSILK,EQ,31-Jan-2006,252.25,255.00,256.00,252.05,254.10,254.70,254.70,52524,133.78,-,41364,78.75
EASTSILK,EQ,01-Feb-2006,254.70,254.50,256.00,242.20,244.95,244.45,249.45,27127,67.67,-,17055,62.87
EASTSILK,EQ,02-Feb-2006,244.45,245.00,246.85,235.00,236.00,236.15,241.42,56552,136.53,-,39968,70.67
EASTSILK,EQ,03-Feb-2006,236.15,237.70,242.00,233.00,235.00,236.50,238.43,61539,146.73,-,46382,75.37
EASTSILK,EQ,06-Feb-2006,236.50,238.50,244.00,236.00,238.10,238.85,239.88,39167,93.95,-,28676,73.21
EASTSILK,EQ,07-Feb-2006,238.85,239.90,242.00,232.00,236.00,236.10,236.49,39633,93.73,-,33324,84.08
EASTSILK,EQ,08-Feb-2006,236.10,237.90,249.00,232.00,237.95,237.65,242.37,57815,140.13,-,27064,46.81
EASTSILK,EQ,10-Feb-2006,237.65,241.90,243.00,234.05,234.25,236.40,238.61,29830,71.18,-,21509,72.11
EASTSILK,EQ,13-Feb-2006,236.40,236.30,238.50,233.00,235.70,234.40,235.86,9870,23.28,-,6553,66.39
EASTSILK,EQ,14-Feb-2006,234.40,237.90,238.00,226.50,230.00,227.80,231.03,16494,38.11,-,10715,64.96
EASTSILK,EQ,15-Feb-2006,227.80,230.00,230.00,222.05,223.50,224.30,225.53,18090,40.80,-,12827,70.91
EASTSILK,EQ,16-Feb-2006,224.30,220.05,227.00,220.05,220.90,220.65,223.58,15526,34.71,-,10619,68.39
EASTSILK,EQ,17-Feb-2006,220.65,221.00,224.95,215.50,216.05,216.35,219.33,29996,65.79,-,16330,54.44
EASTSILK,EQ,20-Feb-2006,216.35,215.00,228.65,207.95,222.40,224.35,219.16,86293,189.12,-,46095,53.42
EASTSILK,EQ,21-Feb-2006,224.35,227.00,229.85,223.10,224.35,226.00,226.49,61197,138.61,-,34822,56.90
EASTSILK,EQ,22-Feb-2006,226.00,228.00,228.00,215.00,216.30,218.55,220.88,40434,89.31,-,15095,37.33
EASTSILK,EQ,23-Feb-2006,218.55,220.00,220.00,205.15,205.95,207.25,211.20,42587,89.94,-,28335,66.53
EASTSILK,EQ,24-Feb-2006,207.25,210.00,221.80,206.25,215.00,214.20,215.17,100063,215.31,-,43066,43.04
EASTSILK,EQ,27-Feb-2006,214.20,215.10,220.00,211.50,214.45,213.55,216.50,34873,75.50,-,15623,44.80
EASTSILK,EQ,28-Feb-2006,213.55,215.70,227.90,213.00,223.10,223.35,221.47,111768,247.53,-,51167,45.78
EASTSILK,EQ,01-Mar-2006,223.35,224.20,230.00,222.50,224.00,226.85,226.32,86027,194.70,-,52336,60.84
EASTSILK,EQ,02-Mar-2006,226.85,227.75,227.75,221.00,222.25,224.80,224.46,57438,128.92,-,44035,76.67
EASTSILK,EQ,03-Mar-2006,224.80,225.75,226.00,220.00,221.00,222.30,221.81,30364,67.35,-,21215,69.87
EASTSILK,EQ,06-Mar-2006,222.30,227.00,234.95,227.00,232.10,230.95,230.30,67430,155.29,-,48465,71.87
EASTSILK,EQ,07-Mar-2006,230.95,229.00,231.90,223.75,225.00,225.95,227.23,41640,94.62,-,27864,66.92
EASTSILK,EQ,08-Mar-2006,225.95,227.70,239.00,224.35,228.00,227.40,230.29,63397,146.00,-,35362,55.78
EASTSILK,EQ,09-Mar-2006,227.40,225.00,232.00,219.90,231.20,231.35,226.14,74068,167.50,-,39514,53.35
EASTSILK,EQ,10-Mar-2006,231.35,232.00,234.50,228.25,229.30,229.35,230.68,16290,37.58,-,9626,59.09
EASTSILK,EQ,13-Mar-2006,229.35,232.80,236.85,229.30,229.30,229.85,232.25,25850,60.04,-,10285,39.79
EASTSILK,EQ,14-Mar-2006,229.85,228.00,234.00,227.10,232.00,231.05,230.25,35947,82.77,-,25784,71.73
EASTSILK,EQ,16-Mar-2006,231.05,230.50,235.00,229.00,234.25,234.20,233.33,33094,77.22,-,28276,85.44
EASTSILK,EQ,17-Mar-2006,234.20,235.00,236.30,231.25,234.00,234.35,233.75,18588,43.45,-,13922,74.90
EASTSILK,EQ,20-Mar-2006,234.35,236.00,236.50,230.20,233.15,233.90,233.71,31759,74.22,-,23805,74.96
EASTSILK,EQ,21-Mar-2006,233.90,230.00,234.85,230.00,234.20,234.10,233.11,19581,45.65,-,16106,82.25
EASTSILK,EQ,22-Mar-2006,234.10,233.00,237.95,231.50,232.10,234.15,234.25,34194,80.10,-,28599,83.64
EASTSILK,EQ,23-Mar-2006,234.15,234.00,235.00,231.50,234.45,234.15,234.12,111386,260.77,-,101693,91.30
EASTSILK,EQ,24-Mar-2006,234.15,236.00,243.95,234.30,235.05,235.10,238.60,45029,107.44,-,29593,65.72
EASTSILK,EQ,27-Mar-2006,235.10,240.00,241.25,227.00,238.40,239.10,236.31,19863,46.94,-,15014,75.59
EASTSILK,EQ,28-Mar-2006,239.10,236.00,238.85,230.00,230.00,231.85,234.67,11414,26.79,-,8428,73.84
EASTSILK,EQ,29-Mar-2006,231.85,234.00,236.00,228.00,228.00,229.30,231.33,19002,43.96,-,13795,72.60
EASTSILK,EQ,30-Mar-2006,229.30,230.20,243.00,230.20,237.05,236.70,238.71,27461,65.55,-,15596,56.79
EASTSILK,EQ,31-Mar-2006,236.70,239.30,243.00,234.10,235.35,236.70,239.46,13917,33.33,-,8911,64.03
EASTSILK,EQ,03-Apr-2006,236.70,246.40,246.40,230.55,244.00,241.10,240.17,29171,70.06,-,19603,67.20
EASTSILK,EQ,04-Apr-2006,241.10,244.25,257.00,239.50,254.85,251.65,247.90,58433,144.86,-,38753,66.32
EASTSILK,EQ,05-Apr-2006,251.65,254.35,264.80,252.00,262.15,262.55,258.96,89491,231.75,-,47586,53.17
EASTSILK,EQ,07-Apr-2006,262.55,267.30,268.00,250.25,258.00,256.50,262.27,86906,227.93,-,58053,66.80
EASTSILK,EQ,10-Apr-2006,256.50,256.60,260.00,247.65,253.00,252.10,252.38,18890,47.67,-,12522,66.29
EASTSILK,EQ,12-Apr-2006,252.10,252.65,258.45,238.00,246.00,242.45,248.50,84915,211.01,-,32218,37.94
EASTSILK,EQ,13-Apr-2006,242.45,245.00,245.00,229.00,235.00,234.00,236.61,40860,96.68,-,27762,67.94
EASTSILK,EQ,17-Apr-2006,234.00,232.25,234.45,225.20,225.20,227.40,228.39,25511,58.27,-,17864,70.02
EASTSILK,EQ,18-Apr-2006,227.40,227.90,229.50,224.10,224.30,224.90,226.07,15002,33.92,-,11369,75.78
EASTSILK,EQ,19-Apr-2006,224.90,228.00,229.00,220.25,222.00,221.95,224.37,13404,30.07,-,9270,69.16
EASTSILK,EQ,20-Apr-2006,221.95,222.40,227.00,220.80,225.50,225.10,224.19,15655,35.10,-,9893,63.19
EASTSILK,EQ,21-Apr-2006,225.10,226.00,227.00,223.25,225.05,225.85,224.94,16737,37.65,-,11431,68.30
EASTSILK,EQ,24-Apr-2006,225.85,225.00,234.60,224.05,232.50,231.50,229.76,12964,29.79,-,8019,61.86
EASTSILK,EQ,25-Apr-2006,231.50,232.50,232.50,223.00,223.00,225.05,228.27,10413,23.77,-,6960,66.84
EASTSILK,EQ,26-Apr-2006,225.05,230.95,231.00,221.50,227.00,223.15,223.95,15919,35.65,-,7738,48.61
EASTSILK,EQ,27-Apr-2006,223.15,224.60,226.60,212.00,220.90,221.35,221.85,9812,21.77,-,6536,66.61
EASTSILK,EQ,28-Apr-2006,221.35,201.10,221.00,201.00,217.50,218.20,216.26,7874,17.03,-,4785,60.77
EASTSILK,EQ,29-Apr-2006,218.20,217.50,226.00,217.50,224.00,222.70,222.11,12125,26.93,-,9531,78.61
EASTSILK,EQ,02-May-2006,222.70,228.00,228.00,216.00,217.90,216.95,219.76,32353,71.10,-,28129,86.94
EASTSILK,EQ,03-May-2006,216.95,202.10,227.00,202.10,225.00,225.55,223.13,15177,33.86,-,10189,67.13
EASTSILK,EQ,04-May-2006,225.55,215.10,252.50,215.10,238.00,236.70,238.01,43028,102.41,-,26761,62.19
EASTSILK,EQ,05-May-2006,236.70,239.80,240.00,230.05,231.10,231.45,233.17,17742,41.37,-,16188,91.24
EASTSILK,EQ,08-May-2006,231.45,232.00,234.90,228.00,228.25,229.65,230.11,11262,25.91,-,6838,60.72
EASTSILK,EQ,09-May-2006,229.65,226.00,238.90,226.00,227.50,228.30,229.28,8143,18.67,-,4800,58.95
EASTSILK,EQ,10-May-2006,228.30,230.00,274.00,230.00,274.00,272.50,264.70,211329,559.39,-,103685,49.06
EASTSILK,EQ,11-May-2006,272.50,278.00,299.40,267.00,291.00,291.75,286.50,281686,807.04,-,108721,38.60
EASTSILK,EQ,12-May-2006,291.75,290.80,314.00,280.55,290.00,292.35,297.85,162180,483.05,-,47186,29.09
EASTSILK,EQ,15-May-2006,292.35,291.70,294.00,263.15,263.15,263.90,281.91,51458,145.06,-,26449,51.40
EASTSILK,EQ,16-May-2006,263.90,264.00,264.00,240.50,259.90,258.85,256.58,29984,76.93,-,19242,64.17
EASTSILK,EQ,17-May-2006,258.85,264.00,284.75,264.00,284.75,283.05,279.94,33652,94.20,-,16190,48.11
EASTSILK,EQ,18-May-2006,283.05,285.00,285.00,255.00,255.00,258.95,264.97,32525,86.18,-,18506,56.90
EASTSILK,EQ,19-May-2006,258.95,270.00,270.00,233.05,233.10,233.10,245.41,26110,64.08,-,16506,63.22
EASTSILK,EQ,22-May-2006,233.10,235.00,244.00,221.45,221.45,221.45,226.15,12442,28.14,-,10126,81.39
EASTSILK,EQ,23-May-2006,221.45,211.50,230.90,211.00,226.00,226.95,223.77,15541,34.78,-,9358,60.21
EASTSILK,EQ,24-May-2006,226.95,227.00,238.15,225.00,230.00,227.80,230.49,8730,20.12,-,3996,45.77
EASTSILK,EQ,25-May-2006,227.80,223.20,230.00,219.00,221.50,219.85,223.55,13009,29.08,-,10261,78.88
EASTSILK,EQ,26-May-2006,219.85,230.00,230.65,221.00,221.00,222.55,226.90,13064,29.64,-,8453,64.70
EASTSILK,EQ,29-May-2006,222.55,226.00,231.00,223.15,226.00,225.20,227.23,8869,20.15,-,5125,57.79
EASTSILK,EQ,30-May-2006,225.20,227.00,227.00,220.00,220.00,221.55,224.72,4636,10.42,-,3056,65.92
EASTSILK,EQ,31-May-2006,221.55,216.00,219.50,210.50,212.90,211.80,211.60,6065,12.83,-,3498,57.68
EASTSILK,EQ,01-Jun-2006,211.80,217.00,222.00,201.50,202.00,202.90,210.70,10020,21.11,-,7220,72.06
EASTSILK,EQ,02-Jun-2006,202.90,202.00,202.00,192.80,197.00,197.45,197.70,11608,22.95,-,9028,77.77
EASTSILK,EQ,05-Jun-2006,197.45,201.95,207.35,194.60,207.35,203.30,199.58,7008,13.99,-,4903,69.96
EASTSILK,EQ,06-Jun-2006,203.30,200.00,209.00,193.15,207.50,205.55,200.52,16689,33.47,-,12067,72.31
EASTSILK,EQ,07-Jun-2006,205.55,200.00,204.00,195.30,195.30,195.30,198.09,4164,8.25,-,3400,81.65
EASTSILK,EQ,08-Jun-2006,195.30,186.05,186.05,185.55,185.55,185.55,185.71,1747,3.24,-,1747,100.00
EASTSILK,EQ,09-Jun-2006,185.55,176.30,179.00,176.30,177.95,176.45,176.65,16407,28.98,-,12514,76.27
EASTSILK,EQ,12-Jun-2006,176.45,177.00,177.00,158.90,158.90,160.85,165.87,12329,20.45,-,7389,59.93
EASTSILK,EQ,13-Jun-2006,160.85,152.90,152.90,152.90,152.90,152.90,152.90,2518,3.85,-,2515,99.88
EASTSILK,EQ,14-Jun-2006,152.90,150.00,155.00,145.25,145.25,145.25,147.00,9235,13.58,-,6636,71.86
EASTSILK,EQ,15-Jun-2006,145.25,146.00,152.55,141.25,152.55,149.70,147.36,40276,59.35,-,37271,92.54
EASTSILK,EQ,16-Jun-2006,149.70,151.00,157.20,151.00,157.20,157.15,155.78,6522,10.16,-,4834,74.12
EASTSILK,EQ,19-Jun-2006,157.15,158.00,165.05,158.00,165.05,165.05,162.21,3144,5.10,-,2650,84.29
EASTSILK,EQ,20-Jun-2006,165.05,165.00,173.30,165.00,173.30,173.30,172.08,9283,15.97,-,7905,85.16
EASTSILK,EQ,21-Jun-2006,173.30,179.00,182.00,179.00,182.00,182.00,181.23,3157,5.72,-,2757,87.33
EASTSILK,EQ,22-Jun-2006,182.00,190.00,191.10,187.00,191.10,191.10,190.63,5525,10.53,-,4703,85.12
EASTSILK,EQ,23-Jun-2006,191.10,196.00,196.10,185.00,195.00,194.45,191.24,11324,21.66,-,8234,72.71
EASTSILK,EQ,25-Jun-2006,194.45,190.00,193.75,190.00,190.00,191.45,190.91,710,1.36,-,575,80.99
EASTSILK,EQ,26-Jun-2006,191.45,196.00,196.00,181.90,182.00,181.95,185.99,8078,15.02,-,5277,65.33
EASTSILK,EQ,27-Jun-2006,181.95,190.00,190.00,172.90,174.50,173.90,175.18,3412,5.98,-,2416,70.81
EASTSILK,EQ,28-Jun-2006,173.90,175.00,175.00,165.40,170.00,171.70,170.68,3721,6.35,-,2966,79.71
EASTSILK,EQ,29-Jun-2006,171.70,177.00,177.00,173.10,177.00,174.60,174.86,2863,5.01,-,2511,87.71
EASTSILK,EQ,30-Jun-2006,174.60,179.00,182.25,174.00,177.00,176.70,177.63,36296,64.47,-,34411,94.81
