Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ECLERX,EQ,31-Dec-2007,315.00,370.00,467.50,340.00,448.40,449.65,420.44,9316883,39171.64,-,1133574,12.17
ECLERX,EQ,01-Jan-2008,449.65,475.00,515.00,441.55,473.00,477.25,487.20,4006769,19521.09,-,414578,10.35
ECLERX,EQ,02-Jan-2008,477.25,478.90,486.95,446.25,448.00,449.65,462.63,1128741,5221.86,-,226593,20.07
ECLERX,EQ,03-Jan-2008,449.65,465.00,465.00,407.00,414.00,412.45,434.75,594166,2583.16,-,171469,28.86
ECLERX,EQ,04-Jan-2008,412.45,427.40,445.00,413.10,422.00,420.50,427.78,570092,2438.71,-,190314,33.38
ECLERX,EQ,07-Jan-2008,420.50,416.00,435.00,406.35,423.00,421.10,423.60,331708,1405.13,-,115780,34.90
ECLERX,EQ,08-Jan-2008,421.10,425.70,429.90,399.00,405.00,403.50,413.02,231502,956.15,-,77328,33.40
ECLERX,EQ,09-Jan-2008,403.50,399.90,406.00,380.30,395.50,394.40,394.62,222380,877.56,-,54713,24.60
ECLERX,EQ,10-Jan-2008,394.40,408.00,408.70,355.00,363.00,363.45,386.47,98308,379.94,-,30609,31.14
ECLERX,EQ,11-Jan-2008,363.45,371.00,372.40,341.00,353.10,353.55,351.68,125444,441.16,-,47867,38.16
ECLERX,EQ,14-Jan-2008,353.55,356.85,363.00,350.00,353.95,353.80,354.46,73997,262.29,-,27362,36.98
ECLERX,EQ,15-Jan-2008,353.80,357.00,364.00,341.05,347.00,346.75,349.11,59708,208.45,-,25791,43.20
ECLERX,EQ,16-Jan-2008,346.75,352.00,359.80,315.05,322.00,326.35,330.97,44597,147.60,-,15810,35.45
ECLERX,EQ,17-Jan-2008,326.35,328.85,391.65,322.00,391.65,386.45,374.60,391024,1464.79,-,64056,16.38
ECLERX,EQ,18-Jan-2008,386.45,390.00,443.70,376.35,380.00,383.10,413.20,1553883,6420.63,-,133463,8.59
ECLERX,EQ,21-Jan-2008,383.10,380.00,388.75,310.10,315.00,318.30,341.10,228888,780.74,-,46194,20.18
ECLERX,EQ,22-Jan-2008,318.30,303.50,333.00,255.00,323.15,325.10,289.96,69219,200.71,-,35573,51.39
ECLERX,EQ,23-Jan-2008,325.10,336.00,370.00,300.00,350.20,351.45,338.89,70304,238.25,-,27822,39.57
ECLERX,EQ,24-Jan-2008,351.45,355.00,369.00,316.00,354.95,341.50,339.48,70373,238.90,-,33892,48.16
ECLERX,EQ,25-Jan-2008,341.50,354.30,364.00,322.55,338.50,341.75,342.08,30067,102.85,-,8390,27.90
ECLERX,EQ,28-Jan-2008,341.75,330.00,368.00,325.00,348.00,352.40,347.61,57614,200.27,-,13684,23.75
ECLERX,EQ,29-Jan-2008,352.40,351.00,361.80,330.25,334.00,336.60,343.31,36938,126.81,-,10163,27.51
ECLERX,EQ,30-Jan-2008,336.60,330.00,340.00,327.00,334.10,334.15,335.19,54397,182.33,-,40142,73.79
ECLERX,EQ,31-Jan-2008,334.15,338.00,348.80,322.00,337.90,338.25,337.33,40091,135.24,-,11398,28.43
