Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ELECTHERM,EQ,20-Aug-2007,60.00,544.90,544.90,466.00,498.00,484.00,481.25,105443,507.45,-,10465,9.92
ELECTHERM,EQ,21-Aug-2007,484.00,483.00,489.95,465.00,470.00,468.30,475.36,4401,20.92,-,1251,28.43
ELECTHERM,EQ,22-Aug-2007,468.30,482.00,487.00,445.00,475.00,472.45,466.87,586,2.74,-,350,59.73
ELECTHERM,EQ,23-Aug-2007,472.45,487.90,487.90,450.10,454.95,452.15,474.28,1196,5.67,-,960,80.27
ELECTHERM,EQ,24-Aug-2007,452.15,475.00,498.00,467.00,474.90,474.75,473.23,5296,25.06,-,3218,60.76
ELECTHERM,EQ,27-Aug-2007,474.75,484.00,499.00,484.00,499.00,490.70,489.81,2414,11.82,-,1370,56.75
ELECTHERM,EQ,28-Aug-2007,490.70,497.00,503.95,485.00,485.00,488.25,491.73,1105,5.43,-,473,42.81
ELECTHERM,EQ,29-Aug-2007,488.25,489.85,495.00,483.00,493.00,487.40,488.42,905,4.42,-,757,83.65
ELECTHERM,EQ,30-Aug-2007,487.40,493.00,527.00,489.00,497.10,501.65,506.83,6542,33.16,-,3905,59.69
ELECTHERM,EQ,31-Aug-2007,501.65,520.00,535.00,508.10,516.00,513.55,521.97,6002,31.33,-,4609,76.79
ELECTHERM,EQ,03-Sep-2007,513.55,533.00,533.00,500.00,503.00,503.30,510.21,3142,16.03,-,2162,68.81
ELECTHERM,EQ,04-Sep-2007,503.30,432.05,513.00,432.05,510.00,506.35,507.83,3921,19.91,-,3682,93.90
ELECTHERM,EQ,05-Sep-2007,506.35,521.00,521.00,495.00,495.00,495.00,499.38,4034,20.15,-,3546,87.90
ELECTHERM,EQ,06-Sep-2007,495.00,503.00,518.50,500.00,518.50,515.55,512.06,2101,10.76,-,1802,85.77
ELECTHERM,EQ,07-Sep-2007,515.55,538.00,538.00,506.00,514.00,506.50,512.67,1235,6.33,-,1174,95.06
ELECTHERM,EQ,10-Sep-2007,506.50,503.00,520.00,503.00,520.00,517.55,513.16,1829,9.39,-,1475,80.65
ELECTHERM,EQ,11-Sep-2007,517.55,524.00,528.00,507.00,511.50,508.20,513.21,1571,8.06,-,1185,75.43
ELECTHERM,EQ,12-Sep-2007,508.20,515.00,524.95,510.00,518.95,516.65,517.80,2116,10.96,-,1599,75.57
