Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EMCO,EQ,02-Jan-2006,473.50,480.00,483.95,472.80,480.00,476.55,477.71,1647,7.87,-,1432,86.95
EMCO,EQ,03-Jan-2006,476.55,481.00,483.00,474.00,476.50,476.70,477.71,1210,5.78,-,609,50.33
EMCO,EQ,04-Jan-2006,476.70,475.00,481.00,467.00,472.00,472.00,476.33,304,1.45,-,294,96.71
EMCO,EQ,05-Jan-2006,472.00,472.00,476.95,455.00,455.00,455.80,459.83,3186,14.65,-,2712,85.12
EMCO,EQ,06-Jan-2006,455.80,465.00,465.00,458.00,462.00,460.45,459.58,11017,50.63,-,10513,95.43
EMCO,EQ,09-Jan-2006,460.45,460.00,474.95,450.00,465.00,465.60,469.10,4448,20.87,-,2752,61.87
EMCO,EQ,10-Jan-2006,465.60,474.90,474.90,457.50,457.50,458.60,460.11,4820,22.18,-,4299,89.19
EMCO,EQ,12-Jan-2006,458.60,437.00,461.00,437.00,456.00,458.55,457.84,1332,6.10,-,1020,76.58
EMCO,EQ,13-Jan-2006,458.55,459.90,464.00,454.00,462.05,461.50,459.48,2753,12.65,-,1170,42.50
EMCO,EQ,16-Jan-2006,461.50,464.00,470.00,460.25,460.60,461.00,465.22,448,2.08,-,311,69.42
EMCO,EQ,17-Jan-2006,461.00,464.00,470.00,462.20,468.00,467.15,467.11,2326,10.87,-,2130,91.57
EMCO,EQ,18-Jan-2006,467.15,468.95,469.10,451.00,465.00,465.00,461.07,10211,47.08,-,10185,99.75
EMCO,EQ,19-Jan-2006,465.00,470.60,485.00,465.00,481.00,481.05,479.29,12386,59.37,-,9727,78.53
EMCO,EQ,20-Jan-2006,481.05,486.00,518.65,480.05,496.80,493.80,497.54,26611,132.40,-,10353,38.90
EMCO,EQ,23-Jan-2006,493.80,499.85,532.00,499.85,525.05,525.20,522.07,26849,140.17,-,11351,42.28
EMCO,EQ,24-Jan-2006,525.20,538.50,552.00,531.05,545.00,546.00,541.93,22222,120.43,-,15075,67.84
EMCO,EQ,25-Jan-2006,546.00,555.00,555.00,527.00,545.00,544.35,539.89,29435,158.92,-,24591,83.54
EMCO,EQ,27-Jan-2006,544.35,545.00,546.95,527.05,539.00,533.50,540.73,26181,141.57,-,22623,86.41
EMCO,EQ,30-Jan-2006,533.50,535.00,535.00,500.05,517.00,514.50,517.26,6023,31.15,-,4127,68.52
EMCO,EQ,31-Jan-2006,514.50,521.95,521.95,500.00,509.00,505.00,507.13,2142,10.86,-,1784,83.29
EMCO,EQ,01-Feb-2006,505.00,515.00,523.00,515.00,515.20,518.55,515.88,4766,24.59,-,4638,97.31
EMCO,EQ,02-Feb-2006,518.55,515.60,555.00,515.60,538.95,539.50,537.28,8301,44.60,-,5992,72.18
EMCO,EQ,03-Feb-2006,539.50,530.00,536.00,521.10,534.00,529.85,530.72,3304,17.53,-,1340,40.56
EMCO,EQ,06-Feb-2006,529.85,535.75,549.90,525.00,535.00,534.85,536.80,1679,9.01,-,1457,86.78
EMCO,EQ,07-Feb-2006,534.85,532.30,539.00,532.30,532.30,532.80,532.45,2103,11.20,-,2069,98.38
EMCO,EQ,08-Feb-2006,532.80,542.40,544.95,533.50,535.00,539.55,538.43,2716,14.62,-,2656,97.79
EMCO,EQ,10-Feb-2006,539.55,545.00,549.95,539.00,549.00,546.25,543.31,2705,14.70,-,2315,85.58
EMCO,EQ,13-Feb-2006,546.25,550.00,555.00,541.00,542.00,543.15,542.32,16554,89.78,-,16336,98.68
EMCO,EQ,14-Feb-2006,543.15,560.00,560.00,540.00,544.80,542.70,544.80,5692,31.01,-,5467,96.05
EMCO,EQ,15-Feb-2006,542.70,540.00,558.00,540.00,550.00,550.15,551.02,20897,115.15,-,19618,93.88
EMCO,EQ,16-Feb-2006,550.15,564.00,574.00,550.40,556.00,560.90,565.48,4292,24.27,-,3416,79.59
EMCO,EQ,17-Feb-2006,560.90,560.10,585.00,557.00,560.00,560.35,562.14,4925,27.69,-,3384,68.71
EMCO,EQ,20-Feb-2006,560.35,540.00,561.00,500.05,553.00,553.70,556.90,10225,56.94,-,7743,75.73
EMCO,EQ,21-Feb-2006,553.70,554.00,571.80,550.00,554.30,553.85,556.66,9595,53.41,-,7579,78.99
EMCO,EQ,22-Feb-2006,553.85,556.00,557.80,549.00,555.00,551.90,552.80,11020,60.92,-,10319,93.64
EMCO,EQ,23-Feb-2006,551.90,552.00,558.45,550.00,551.30,551.30,551.32,3383,18.65,-,3132,92.58
EMCO,EQ,24-Feb-2006,551.30,551.30,570.00,549.00,560.00,561.00,553.02,12606,69.71,-,11759,93.28
EMCO,EQ,27-Feb-2006,561.00,568.00,585.00,566.00,577.50,579.25,574.27,1698,9.75,-,1523,89.69
EMCO,EQ,28-Feb-2006,579.25,579.25,588.00,566.00,584.90,582.35,576.73,4821,27.80,-,3940,81.73
EMCO,EQ,01-Mar-2006,582.35,590.00,599.00,586.00,595.50,597.45,592.14,3121,18.48,-,2740,87.79
EMCO,EQ,02-Mar-2006,597.45,605.00,610.00,595.00,605.00,607.55,606.84,4219,25.60,-,3604,85.42
EMCO,EQ,03-Mar-2006,607.55,610.00,620.00,601.20,608.60,609.20,610.57,3609,22.04,-,2891,80.11
EMCO,EQ,06-Mar-2006,609.20,620.00,637.00,615.00,620.00,620.00,627.48,7666,48.10,-,5089,66.38
EMCO,EQ,07-Mar-2006,620.00,621.00,640.50,620.00,635.00,636.25,629.58,7677,48.33,-,4993,65.04
EMCO,EQ,08-Mar-2006,636.25,560.00,700.00,560.00,671.00,672.85,663.12,4670,30.97,-,3011,64.48
EMCO,EQ,09-Mar-2006,672.85,673.00,708.80,615.00,678.00,675.70,687.53,5998,41.24,-,4284,71.42
EMCO,EQ,10-Mar-2006,675.70,700.00,724.90,690.10,710.00,713.20,705.47,12019,84.79,-,7901,65.74
EMCO,EQ,13-Mar-2006,713.20,750.00,765.00,710.00,749.95,759.80,733.32,8864,65.00,-,6265,70.68
EMCO,EQ,14-Mar-2006,759.80,760.00,795.00,750.00,760.00,753.60,769.75,13258,102.05,-,9430,71.13
