Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EROSMEDIA,EQ,06-Oct-2010,175.00,205.45,213.95,177.65,189.00,190.25,191.93,36086829,69261.78,-,6629653,18.37
EROSMEDIA,EQ,07-Oct-2010,190.25,192.80,206.30,190.50,193.00,192.55,198.87,13882711,27608.98,-,2031624,14.63
EROSMEDIA,EQ,08-Oct-2010,192.55,193.00,195.80,184.45,187.50,188.00,189.46,3650396,6915.93,-,732273,20.06
EROSMEDIA,EQ,11-Oct-2010,188.00,189.80,194.00,186.20,191.00,191.25,190.91,2620083,5002.05,-,605928,23.13
EROSMEDIA,EQ,12-Oct-2010,191.25,191.25,191.25,182.80,183.15,183.70,185.81,668391,1241.97,-,312304,46.72
EROSMEDIA,EQ,13-Oct-2010,183.70,184.55,187.25,182.10,182.35,182.90,184.52,571826,1055.12,-,205946,36.02
EROSMEDIA,EQ,14-Oct-2010,182.90,184.40,184.40,174.50,176.80,177.30,177.51,1148876,2039.36,-,554178,48.24
EROSMEDIA,EQ,15-Oct-2010,177.30,178.00,184.40,174.90,175.25,175.55,179.66,768545,1380.76,-,249028,32.40
EROSMEDIA,EQ,18-Oct-2010,175.55,177.20,177.20,168.15,168.25,168.90,170.49,495151,844.17,-,230246,46.50
EROSMEDIA,EQ,19-Oct-2010,168.90,170.35,173.00,166.10,167.10,167.90,169.93,1444229,2454.14,-,449288,31.11
EROSMEDIA,EQ,20-Oct-2010,167.90,167.00,172.00,166.10,170.20,170.20,169.75,541446,919.13,-,221956,40.99
EROSMEDIA,EQ,21-Oct-2010,170.20,171.75,193.80,171.00,189.30,190.45,187.64,6869620,12889.92,-,1082306,15.75
EROSMEDIA,EQ,22-Oct-2010,190.45,191.00,192.00,182.10,184.25,183.90,186.81,1259468,2352.86,-,311388,24.72
EROSMEDIA,EQ,25-Oct-2010,183.90,185.65,191.00,184.30,184.95,185.40,187.18,842098,1576.22,-,241072,28.63
EROSMEDIA,EQ,26-Oct-2010,185.40,186.60,187.85,182.40,184.95,184.00,185.36,539691,1000.38,-,174531,32.34
EROSMEDIA,EQ,27-Oct-2010,184.00,185.45,192.00,182.20,189.00,189.60,188.13,936794,1762.38,-,365835,39.05
EROSMEDIA,EQ,28-Oct-2010,189.60,191.90,196.95,185.45,187.00,186.80,192.05,2037803,3913.69,-,424055,20.81
EROSMEDIA,EQ,29-Oct-2010,186.80,186.50,187.50,180.00,181.00,181.75,183.76,482587,886.80,-,152986,31.70
