Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EXIDEIND,EQ,02-Jan-2006,263.50,265.80,266.00,257.00,262.50,260.25,260.88,19901,51.92,-,14743,74.08
EXIDEIND,EQ,03-Jan-2006,260.25,261.95,267.00,261.90,266.00,265.75,265.55,48795,129.58,-,41390,84.82
EXIDEIND,EQ,04-Jan-2006,265.75,269.00,269.00,259.00,264.00,263.40,262.47,27239,71.49,-,15358,56.38
EXIDEIND,EQ,05-Jan-2006,263.40,261.85,264.50,260.05,263.50,263.00,262.80,31347,82.38,-,27217,86.82
EXIDEIND,EQ,06-Jan-2006,263.00,260.00,266.00,260.00,263.05,263.00,262.93,278251,731.59,-,269277,96.77
EXIDEIND,EQ,09-Jan-2006,263.00,263.15,265.00,261.00,263.00,262.35,263.24,13768,36.24,-,10287,74.72
EXIDEIND,EQ,10-Jan-2006,262.35,269.00,269.00,258.75,260.00,259.50,262.18,22388,58.70,-,15597,69.67
EXIDEIND,EQ,12-Jan-2006,259.50,269.00,269.15,250.05,258.10,259.85,259.41,49566,128.58,-,20942,42.25
EXIDEIND,EQ,13-Jan-2006,259.85,265.00,265.00,250.00,258.00,255.10,260.04,39630,103.05,-,29098,73.42
EXIDEIND,EQ,16-Jan-2006,255.10,259.60,259.60,249.00,259.00,256.70,254.92,40366,102.90,-,21881,54.21
EXIDEIND,EQ,17-Jan-2006,256.70,258.50,259.65,245.10,252.00,251.55,253.24,16886,42.76,-,11149,66.03
EXIDEIND,EQ,18-Jan-2006,251.55,253.45,253.70,237.00,245.10,245.05,245.03,29423,72.10,-,18586,63.17
EXIDEIND,EQ,19-Jan-2006,245.05,246.90,254.00,246.50,251.00,250.60,250.62,15072,37.77,-,4809,31.91
EXIDEIND,EQ,20-Jan-2006,250.60,245.00,256.10,243.00,243.00,245.00,247.86,589951,1462.27,-,545564,92.48
EXIDEIND,EQ,23-Jan-2006,245.00,246.00,249.95,240.50,240.50,241.75,243.16,25720,62.54,-,15053,58.53
EXIDEIND,EQ,24-Jan-2006,241.75,248.65,248.90,237.50,239.00,240.15,243.70,50104,122.10,-,16679,33.29
EXIDEIND,EQ,25-Jan-2006,240.15,245.00,245.00,239.00,242.00,240.35,242.34,24526,59.44,-,14691,59.90
EXIDEIND,EQ,27-Jan-2006,240.35,240.90,248.70,240.90,245.50,245.55,245.45,27228,66.83,-,16986,62.38
EXIDEIND,EQ,30-Jan-2006,245.55,252.00,252.00,239.50,251.90,246.10,245.12,246396,603.97,-,226554,91.95
EXIDEIND,EQ,31-Jan-2006,246.10,251.90,252.30,239.50,240.00,242.00,245.64,23587,57.94,-,18378,77.92
EXIDEIND,EQ,01-Feb-2006,242.00,246.90,246.90,238.00,240.00,239.60,242.82,274390,666.28,-,270176,98.46
EXIDEIND,EQ,02-Feb-2006,239.60,243.00,246.00,239.10,242.10,242.60,244.73,282087,690.35,-,268805,95.29
EXIDEIND,EQ,03-Feb-2006,242.60,245.00,248.40,239.15,246.60,246.10,244.23,8006,19.55,-,5060,63.20
EXIDEIND,EQ,06-Feb-2006,246.10,243.65,254.50,243.00,251.00,250.15,250.03,32079,80.21,-,14150,44.11
EXIDEIND,EQ,07-Feb-2006,250.15,253.05,254.80,246.00,248.50,246.20,249.91,130964,327.30,-,108410,82.78
EXIDEIND,EQ,08-Feb-2006,246.20,244.10,248.80,244.00,247.15,247.15,246.56,9626,23.73,-,6443,66.93
EXIDEIND,EQ,10-Feb-2006,247.15,259.90,259.90,242.00,250.20,251.20,250.08,17659,44.16,-,10758,60.92
EXIDEIND,EQ,13-Feb-2006,251.20,251.00,251.20,241.65,247.05,246.60,246.64,11164,27.53,-,9469,84.82
EXIDEIND,EQ,14-Feb-2006,246.60,252.80,252.90,246.05,247.00,246.95,247.86,7848,19.45,-,4587,58.45
EXIDEIND,EQ,15-Feb-2006,246.95,252.00,255.00,245.05,246.20,250.55,249.01,23334,58.10,-,13209,56.61
EXIDEIND,EQ,16-Feb-2006,250.55,247.10,250.00,243.00,243.00,246.05,247.63,13766,34.09,-,9585,69.63
EXIDEIND,EQ,17-Feb-2006,246.05,249.90,250.00,234.55,239.00,241.75,244.60,9561,23.39,-,7537,78.83
EXIDEIND,EQ,20-Feb-2006,241.75,240.00,241.50,229.10,230.25,231.25,236.01,13382,31.58,-,10787,80.61
EXIDEIND,EQ,21-Feb-2006,231.25,239.80,239.80,235.00,235.00,236.30,237.17,8600,20.40,-,3151,36.64
EXIDEIND,EQ,22-Feb-2006,236.30,237.60,239.00,228.00,229.75,229.35,231.88,18046,41.85,-,10773,59.70
EXIDEIND,EQ,23-Feb-2006,229.35,234.00,235.00,228.00,228.25,229.10,230.59,13644,31.46,-,7462,54.69
EXIDEIND,EQ,24-Feb-2006,229.10,229.50,263.00,227.00,263.00,254.75,248.48,145141,360.65,-,62192,42.85
EXIDEIND,EQ,27-Feb-2006,254.75,260.00,260.00,245.00,245.00,246.05,248.58,62112,154.40,-,20199,32.52
EXIDEIND,EQ,28-Feb-2006,246.05,249.95,249.95,240.00,242.00,241.30,245.57,20027,49.18,-,9763,48.75
EXIDEIND,EQ,01-Mar-2006,241.30,242.00,248.00,240.10,242.65,245.05,244.97,20555,50.35,-,9284,45.17
