Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
FORTIS,EQ,09-May-2007,108.00,110.00,110.00,98.05,100.00,100.15,102.92,22950815,23621.02,-,5322209,23.19
FORTIS,EQ,10-May-2007,100.15,101.60,105.90,100.10,101.55,101.65,103.54,6763044,7002.63,-,963917,14.25
FORTIS,EQ,11-May-2007,101.65,99.00,102.40,98.00,101.00,100.50,100.76,2991496,3014.28,-,490962,16.41
FORTIS,EQ,14-May-2007,100.50,103.00,103.30,100.50,100.85,100.90,101.74,1118231,1137.74,-,329364,29.45
FORTIS,EQ,15-May-2007,100.90,102.00,102.00,97.10,97.40,97.70,98.83,1479512,1462.16,-,642386,43.42
FORTIS,EQ,16-May-2007,97.70,99.00,99.00,96.60,96.95,97.15,97.73,674369,659.04,-,284804,42.23
FORTIS,EQ,17-May-2007,97.15,97.75,101.20,96.65,96.65,97.20,98.62,1439051,1419.23,-,406503,28.25
FORTIS,EQ,18-May-2007,97.20,97.50,97.50,94.55,94.60,95.00,95.98,706310,677.92,-,402876,57.04
FORTIS,EQ,21-May-2007,95.00,94.00,95.15,89.55,90.15,90.35,91.45,2486929,2274.40,-,1088871,43.78
FORTIS,EQ,22-May-2007,90.35,90.50,95.40,90.00,92.40,92.30,93.50,2758594,2579.15,-,807335,29.27
FORTIS,EQ,23-May-2007,92.30,92.90,94.45,91.00,91.40,91.30,92.70,1081075,1002.19,-,315744,29.21
FORTIS,EQ,24-May-2007,91.30,91.90,93.15,90.60,91.90,91.90,91.83,1054225,968.11,-,294509,27.94
FORTIS,EQ,25-May-2007,91.90,91.10,93.00,90.50,92.00,91.85,92.24,740830,683.32,-,257237,34.72
FORTIS,EQ,28-May-2007,91.85,93.95,96.70,92.85,93.30,93.10,94.22,874379,823.88,-,372271,42.58
FORTIS,EQ,29-May-2007,93.10,92.60,93.90,92.05,92.30,92.25,92.60,426051,394.54,-,182412,42.81
FORTIS,EQ,30-May-2007,92.25,91.20,93.40,87.70,88.00,88.45,90.48,852585,771.46,-,508569,59.65
FORTIS,EQ,31-May-2007,88.45,88.00,91.00,85.75,87.75,87.65,88.49,1036438,917.19,-,474073,45.74
FORTIS,EQ,01-Jun-2007,87.65,88.10,88.95,87.50,87.70,87.80,88.10,499479,440.02,-,195333,39.11
FORTIS,EQ,04-Jun-2007,87.80,88.25,98.45,88.00,92.80,93.00,94.19,3039862,2863.14,-,824702,27.13
FORTIS,EQ,05-Jun-2007,93.00,93.80,93.80,91.80,92.20,92.10,92.30,620458,572.71,-,265180,42.74
FORTIS,EQ,06-Jun-2007,92.10,92.95,93.05,90.00,90.50,90.25,91.36,447408,408.74,-,200035,44.71
FORTIS,EQ,07-Jun-2007,90.25,90.95,90.95,89.10,89.80,89.70,89.86,350570,315.02,-,142086,40.53
FORTIS,EQ,08-Jun-2007,89.70,86.00,89.25,86.00,88.95,88.65,88.74,268780,238.51,-,140971,52.45
FORTIS,EQ,11-Jun-2007,88.65,90.00,90.00,88.20,88.70,88.65,89.24,220018,196.34,-,118699,53.95
FORTIS,EQ,12-Jun-2007,88.65,88.65,89.90,86.55,89.80,89.10,87.95,334058,293.82,-,177650,53.18
FORTIS,EQ,13-Jun-2007,89.10,89.00,89.00,87.50,88.00,87.95,88.15,148456,130.86,-,78641,52.97
FORTIS,EQ,14-Jun-2007,87.95,89.10,89.85,88.05,88.50,88.55,88.80,243004,215.78,-,81809,33.67
FORTIS,EQ,15-Jun-2007,88.55,88.70,88.95,86.75,86.95,87.20,88.04,233522,205.59,-,130245,55.77
FORTIS,EQ,18-Jun-2007,87.20,87.55,88.20,86.05,86.05,86.45,87.08,254222,221.38,-,120795,47.52
FORTIS,EQ,19-Jun-2007,86.45,86.30,86.95,85.65,85.80,86.00,86.25,139526,120.35,-,75996,54.47
FORTIS,EQ,20-Jun-2007,86.00,86.85,86.85,85.75,86.20,85.90,86.14,196862,169.57,-,112131,56.96
FORTIS,EQ,21-Jun-2007,85.90,85.55,88.00,85.30,86.05,86.25,86.33,343938,296.92,-,128139,37.26
FORTIS,EQ,22-Jun-2007,86.25,88.00,88.00,85.40,85.55,85.55,85.79,167747,143.92,-,87830,52.36
FORTIS,EQ,25-Jun-2007,85.55,85.55,85.95,84.90,85.00,85.20,85.37,169507,144.70,-,112275,66.24
FORTIS,EQ,26-Jun-2007,85.20,85.95,86.50,84.50,84.50,84.70,85.06,129819,110.42,-,70832,54.56
FORTIS,EQ,27-Jun-2007,84.70,84.10,85.15,84.00,84.00,84.10,84.33,113028,95.31,-,68912,60.97
FORTIS,EQ,28-Jun-2007,84.10,83.50,84.00,82.05,82.15,82.25,82.75,265083,219.36,-,175406,66.17
FORTIS,EQ,29-Jun-2007,82.25,83.50,84.90,81.25,82.10,82.65,82.78,539825,446.85,-,242646,44.95
FORTIS,EQ,02-Jul-2007,82.65,83.00,83.70,82.40,82.60,82.65,83.06,224774,186.70,-,127575,56.76
FORTIS,EQ,03-Jul-2007,82.65,82.65,83.40,81.60,81.85,82.30,82.60,228022,188.35,-,131009,57.45
FORTIS,EQ,04-Jul-2007,82.30,82.10,83.90,81.80,82.00,82.20,82.74,592256,490.03,-,262855,44.38
FORTIS,EQ,05-Jul-2007,82.20,83.00,83.30,81.50,81.70,81.75,82.15,272273,223.67,-,149454,54.89
FORTIS,EQ,06-Jul-2007,81.75,84.00,84.00,81.45,81.65,81.60,81.95,218334,178.92,-,143710,65.82
FORTIS,EQ,09-Jul-2007,81.60,82.90,82.90,81.50,81.65,81.80,82.03,191660,157.22,-,106762,55.70
FORTIS,EQ,10-Jul-2007,81.80,82.00,82.40,81.10,81.15,81.25,81.55,132643,108.18,-,80865,60.96
FORTIS,EQ,11-Jul-2007,81.25,80.10,85.90,80.10,84.40,84.35,84.60,2156833,1824.70,-,879242,40.77
FORTIS,EQ,12-Jul-2007,84.35,85.50,91.90,84.95,91.25,91.10,89.66,3237370,2902.76,-,1128452,34.86
FORTIS,EQ,13-Jul-2007,91.10,92.00,94.00,91.50,92.30,92.10,92.65,2012458,1864.45,-,874357,43.45
FORTIS,EQ,16-Jul-2007,92.10,92.90,93.50,88.25,92.85,92.95,91.51,1136958,1040.38,-,477516,42.00
FORTIS,EQ,17-Jul-2007,92.95,93.70,93.80,92.25,92.60,92.65,92.95,803759,747.12,-,575630,71.62
FORTIS,EQ,18-Jul-2007,92.65,93.00,93.00,89.35,90.00,90.00,90.89,451645,410.49,-,263167,58.27
FORTIS,EQ,19-Jul-2007,90.00,104.00,104.00,89.55,91.80,91.60,91.80,595387,546.58,-,478441,80.36
FORTIS,EQ,20-Jul-2007,91.60,92.30,92.70,88.25,88.50,88.90,90.23,353106,318.62,-,238206,67.46
FORTIS,EQ,23-Jul-2007,88.90,88.90,89.50,88.05,89.15,88.90,88.78,237480,210.83,-,148959,62.72
FORTIS,EQ,24-Jul-2007,88.90,89.15,89.45,87.10,87.50,88.05,88.48,172211,152.38,-,115235,66.92
FORTIS,EQ,25-Jul-2007,88.05,87.10,87.90,86.00,86.70,86.50,86.75,178287,154.66,-,125047,70.14
FORTIS,EQ,26-Jul-2007,86.50,87.00,98.00,86.35,94.05,94.05,94.35,2216882,2091.59,-,857741,38.69
FORTIS,EQ,27-Jul-2007,94.05,91.50,94.20,89.05,91.25,91.00,92.39,1150996,1063.37,-,412646,35.85
FORTIS,EQ,30-Jul-2007,91.00,91.00,91.90,89.05,89.20,89.45,90.14,277916,250.51,-,114412,41.17
FORTIS,EQ,31-Jul-2007,89.45,91.90,97.70,89.00,92.40,93.25,92.13,534327,492.29,-,308580,57.75
FORTIS,EQ,01-Aug-2007,93.25,97.00,97.00,86.50,87.00,87.25,88.90,349985,311.12,-,222256,63.50
FORTIS,EQ,02-Aug-2007,87.25,88.05,90.00,86.55,88.20,88.15,88.14,175629,154.80,-,89343,50.87
FORTIS,EQ,03-Aug-2007,88.15,88.90,91.70,88.60,89.15,89.50,89.67,484737,434.68,-,268113,55.31
FORTIS,EQ,06-Aug-2007,89.50,87.90,91.50,86.15,90.25,90.25,90.29,294015,265.47,-,134545,45.76
FORTIS,EQ,07-Aug-2007,90.25,91.00,91.85,89.60,90.10,90.00,90.66,165469,150.01,-,83133,50.24
FORTIS,EQ,08-Aug-2007,90.00,90.00,91.55,90.00,90.50,90.40,90.85,222448,202.10,-,90905,40.87
FORTIS,EQ,09-Aug-2007,90.40,90.50,92.00,89.10,89.20,89.45,90.76,214988,195.12,-,104035,48.39
FORTIS,EQ,10-Aug-2007,89.45,87.45,89.00,86.15,89.00,88.60,88.14,150882,132.99,-,83331,55.23
FORTIS,EQ,13-Aug-2007,88.60,88.85,90.70,88.10,90.00,90.00,89.61,152377,136.55,-,75690,49.67
FORTIS,EQ,14-Aug-2007,90.00,90.00,90.50,89.20,90.05,89.90,89.89,110558,99.38,-,77828,70.40
FORTIS,EQ,16-Aug-2007,89.90,89.90,89.90,85.50,86.40,86.65,87.47,94316,82.50,-,58854,62.40
FORTIS,EQ,17-Aug-2007,86.65,86.30,87.50,85.00,85.00,85.45,85.87,136916,117.57,-,91837,67.08
FORTIS,EQ,20-Aug-2007,85.45,88.90,89.00,85.50,85.75,86.15,86.85,76111,66.11,-,38640,50.77
FORTIS,EQ,21-Aug-2007,86.15,86.50,87.50,82.00,84.00,83.70,84.73,124585,105.56,-,73950,59.36
FORTIS,EQ,22-Aug-2007,83.70,84.70,84.70,80.70,83.05,82.70,82.45,106377,87.70,-,60958,57.30
FORTIS,EQ,23-Aug-2007,82.70,85.45,85.75,82.20,82.75,82.55,83.65,92017,76.97,-,42061,45.71
FORTIS,EQ,24-Aug-2007,82.55,82.55,83.80,79.80,80.45,81.40,82.03,146150,119.89,-,109312,74.79
FORTIS,EQ,27-Aug-2007,81.40,82.80,88.40,82.00,85.65,85.55,84.73,928208,786.49,-,412991,44.49
FORTIS,EQ,28-Aug-2007,85.55,85.75,87.50,85.50,86.80,86.70,86.69,189260,164.08,-,61601,32.55
FORTIS,EQ,29-Aug-2007,86.70,86.00,88.60,84.50,87.00,87.05,86.91,221040,192.10,-,72030,32.59
FORTIS,EQ,30-Aug-2007,87.05,87.25,88.50,79.70,80.00,81.35,82.84,779909,646.10,-,660861,84.74
FORTIS,EQ,31-Aug-2007,81.35,82.00,86.00,81.65,84.75,85.05,84.03,724158,608.52,-,422169,58.30
FORTIS,EQ,03-Sep-2007,85.05,85.00,85.75,83.95,85.00,85.10,85.00,189083,160.72,-,99753,52.76
FORTIS,EQ,04-Sep-2007,85.10,85.90,86.00,84.65,85.20,85.25,85.25,132818,113.22,-,65872,49.60
FORTIS,EQ,05-Sep-2007,85.25,85.00,87.00,85.00,85.55,85.40,85.83,126109,108.24,-,64702,51.31
FORTIS,EQ,06-Sep-2007,85.40,85.00,86.75,85.00,86.20,85.75,86.09,154844,133.31,-,75329,48.65
FORTIS,EQ,07-Sep-2007,85.75,87.00,89.40,84.80,85.25,85.25,86.72,794760,689.24,-,321011,40.39
FORTIS,EQ,10-Sep-2007,85.25,84.90,86.45,83.60,84.45,84.15,84.97,372978,316.93,-,225613,60.49
FORTIS,EQ,11-Sep-2007,84.15,84.95,85.25,82.50,82.95,83.00,83.84,349075,292.66,-,259823,74.43
FORTIS,EQ,12-Sep-2007,83.00,83.95,85.00,83.60,84.60,84.45,84.42,419120,353.81,-,268884,64.15
FORTIS,EQ,13-Sep-2007,84.45,84.20,86.75,84.00,84.35,84.30,85.13,415352,353.60,-,201350,48.48
FORTIS,EQ,14-Sep-2007,84.30,85.30,85.30,84.00,84.10,84.10,84.40,265972,224.47,-,168212,63.24
FORTIS,EQ,17-Sep-2007,84.10,84.10,85.20,84.05,84.70,84.55,84.59,185865,157.23,-,123879,66.65
FORTIS,EQ,18-Sep-2007,84.55,83.50,88.00,83.25,87.00,87.15,86.53,609427,527.35,-,359621,59.01
FORTIS,EQ,19-Sep-2007,87.15,89.80,90.00,84.05,89.25,88.30,86.94,911374,792.36,-,493450,54.14
FORTIS,EQ,20-Sep-2007,88.30,89.30,91.35,85.90,86.10,86.25,88.56,694928,615.43,-,420340,60.49
FORTIS,EQ,21-Sep-2007,86.25,86.35,88.45,83.50,84.00,84.05,84.99,1046453,889.40,-,779634,74.50
FORTIS,EQ,24-Sep-2007,84.05,86.00,89.25,85.50,88.00,87.60,87.50,1305712,1142.45,-,692856,53.06
FORTIS,EQ,25-Sep-2007,87.60,88.10,88.85,85.50,86.35,86.40,86.62,360552,312.30,-,206302,57.22
FORTIS,EQ,26-Sep-2007,86.40,87.50,87.90,86.10,86.50,86.65,87.11,339385,295.63,-,195921,57.73
FORTIS,EQ,27-Sep-2007,86.65,87.50,87.70,85.55,86.20,86.15,86.52,256451,221.89,-,167263,65.22
FORTIS,EQ,28-Sep-2007,86.15,87.00,87.45,85.60,86.00,86.05,86.05,204524,176.00,-,125776,61.50
FORTIS,EQ,01-Oct-2007,86.05,86.00,86.60,85.50,85.60,85.90,86.08,183742,158.16,-,102738,55.91
FORTIS,EQ,03-Oct-2007,85.90,86.75,86.95,84.10,85.00,85.10,85.47,283353,242.18,-,162299,57.28
FORTIS,EQ,04-Oct-2007,85.10,84.05,85.90,84.05,85.50,85.40,85.41,183974,157.13,-,89627,48.72
FORTIS,EQ,05-Oct-2007,85.40,86.00,88.70,85.00,85.15,85.30,86.42,375859,324.83,-,151023,40.18
