Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
FSL,EQ,22-Feb-2007,64.00,90.10,90.10,76.55,79.50,79.55,81.82,53656750,43903.41,-,18811140,35.06
FSL,EQ,23-Feb-2007,79.55,80.90,82.20,78.65,80.20,80.05,80.44,17554890,14120.42,-,6423008,36.59
FSL,EQ,26-Feb-2007,80.05,80.70,85.50,78.10,81.15,81.85,82.48,13470061,11109.73,-,2409177,17.89
FSL,EQ,27-Feb-2007,81.85,82.00,84.35,80.20,82.10,82.60,82.90,8050388,6673.47,-,1516580,18.84
FSL,EQ,28-Feb-2007,82.60,78.90,80.70,74.10,79.25,78.40,78.90,4480363,3535.21,-,2184370,48.75
FSL,EQ,01-Mar-2007,78.40,80.50,80.55,77.80,78.10,78.05,78.53,3122780,2452.36,-,1663071,53.26
FSL,EQ,02-Mar-2007,78.05,86.30,86.30,77.05,79.00,79.00,79.02,2978973,2353.90,-,1949558,65.44
FSL,EQ,05-Mar-2007,79.00,76.50,77.90,68.60,71.00,70.75,73.38,2930744,2150.64,-,1295035,44.19
FSL,EQ,06-Mar-2007,70.75,74.15,75.00,68.65,71.75,70.90,72.06,3020075,2176.29,-,1584696,52.47
FSL,EQ,07-Mar-2007,70.90,72.90,72.90,64.00,64.70,64.65,67.12,2233027,1498.88,-,1143427,51.21
FSL,EQ,08-Mar-2007,64.65,68.45,68.45,61.15,65.00,65.40,64.82,2130798,1381.13,-,792189,37.18
FSL,EQ,09-Mar-2007,65.40,66.00,66.75,63.55,63.55,64.05,65.09,1594394,1037.78,-,817397,51.27
FSL,EQ,12-Mar-2007,64.05,64.70,70.20,63.75,69.55,69.55,68.37,2282968,1560.76,-,798129,34.96
FSL,EQ,13-Mar-2007,69.55,70.20,81.30,69.60,77.55,78.05,77.16,7450148,5748.69,-,1146815,15.39
FSL,EQ,14-Mar-2007,78.05,75.00,75.00,71.35,71.80,72.25,73.59,2599215,1912.79,-,659118,25.36
FSL,EQ,15-Mar-2007,72.25,82.00,82.00,73.45,74.00,74.35,75.22,2611703,1964.54,-,595660,22.81
FSL,EQ,16-Mar-2007,74.35,75.00,75.70,71.80,73.50,73.00,73.15,1024200,749.19,-,257030,25.10
FSL,EQ,19-Mar-2007,73.00,73.70,74.90,72.70,73.50,73.50,73.44,731335,537.12,-,300700,41.12
FSL,EQ,20-Mar-2007,73.50,74.10,75.00,71.80,72.30,72.20,73.79,899272,663.58,-,394311,43.85
FSL,EQ,21-Mar-2007,72.20,72.65,76.85,71.50,76.60,75.60,74.65,1334608,996.24,-,653022,48.93
FSL,EQ,22-Mar-2007,75.60,78.00,78.95,76.50,76.70,77.10,77.33,1475778,1141.25,-,727806,49.32
FSL,EQ,23-Mar-2007,77.10,78.00,78.00,73.40,74.25,73.95,74.83,870374,651.28,-,431612,49.59
FSL,EQ,26-Mar-2007,73.95,74.50,74.50,68.90,70.35,69.90,70.99,1055304,749.21,-,715534,67.80
FSL,EQ,28-Mar-2007,69.90,69.00,72.30,68.30,71.30,71.20,70.99,675802,479.78,-,264322,39.11
FSL,EQ,29-Mar-2007,71.20,70.95,74.00,70.50,73.75,73.70,72.35,638136,461.71,-,272517,42.71
FSL,EQ,30-Mar-2007,73.70,73.20,74.00,72.00,72.30,72.25,73.04,300215,219.27,-,118370,39.43
FSL,EQ,02-Apr-2007,72.25,71.00,72.00,70.00,70.25,70.20,70.72,211212,149.37,-,118840,56.27
FSL,EQ,03-Apr-2007,70.20,71.00,71.90,69.50,71.00,71.05,70.44,266046,187.40,-,145101,54.54
FSL,EQ,04-Apr-2007,71.05,71.40,73.00,70.55,71.55,71.30,71.57,358760,256.78,-,150174,41.86
FSL,EQ,05-Apr-2007,71.30,71.50,72.75,70.55,71.00,71.10,71.46,312766,223.51,-,124402,39.77
FSL,EQ,09-Apr-2007,71.10,71.90,73.50,71.55,72.00,72.10,72.32,421326,304.71,-,167540,39.76
FSL,EQ,10-Apr-2007,72.10,72.50,73.95,72.00,73.20,73.30,73.22,680905,498.59,-,234488,34.44
FSL,EQ,11-Apr-2007,73.30,73.40,74.85,72.85,73.70,73.80,73.86,565874,417.95,-,233057,41.19
FSL,EQ,12-Apr-2007,73.80,72.30,75.40,72.25,74.25,74.25,74.21,476789,353.83,-,183841,38.56
FSL,EQ,13-Apr-2007,74.25,75.50,76.70,74.00,75.20,75.40,75.55,952755,719.78,-,446256,46.84
FSL,EQ,16-Apr-2007,75.40,76.00,77.95,75.75,76.70,76.60,77.09,729585,562.44,-,297645,40.80
FSL,EQ,17-Apr-2007,76.60,76.75,81.70,74.65,78.80,78.75,79.15,2157772,1707.92,-,710240,32.92
FSL,EQ,18-Apr-2007,78.75,79.60,80.85,77.10,77.10,77.40,79.19,1148816,909.79,-,348933,30.37
FSL,EQ,19-Apr-2007,77.40,77.00,78.90,75.85,78.90,78.15,77.69,688076,534.58,-,222320,32.31
FSL,EQ,20-Apr-2007,78.15,78.95,80.50,78.00,78.00,78.45,78.88,492279,388.32,-,192596,39.12
FSL,EQ,23-Apr-2007,78.45,78.80,91.25,78.80,86.70,86.40,86.86,13295497,11549.03,-,2599005,19.55
FSL,EQ,24-Apr-2007,86.40,88.45,88.70,83.55,84.40,84.30,86.51,4198618,3632.15,-,1028486,24.50
FSL,EQ,25-Apr-2007,84.30,85.00,88.50,83.70,85.85,85.55,86.79,4905672,4257.42,-,1153530,23.51
FSL,EQ,26-Apr-2007,85.55,87.10,88.00,84.00,85.00,84.85,86.21,1692931,1459.45,-,567596,33.53
FSL,EQ,27-Apr-2007,84.85,87.25,87.90,81.10,82.50,82.40,84.75,3748311,3176.73,-,1269642,33.87
FSL,EQ,30-Apr-2007,82.40,82.50,83.60,80.75,82.00,81.65,82.17,2211708,1817.31,-,1129699,51.08
FSL,EQ,03-May-2007,81.65,82.80,91.45,82.50,88.85,89.15,88.92,9805125,8718.69,-,2144098,21.87
FSL,EQ,04-May-2007,89.15,90.00,92.40,87.15,88.15,88.00,89.79,6762900,6072.63,-,1254427,18.55
FSL,EQ,07-May-2007,88.00,89.00,91.30,88.00,88.20,88.45,89.58,4078224,3653.18,-,882081,21.63
FSL,EQ,08-May-2007,88.45,88.90,89.60,84.75,85.40,85.15,87.29,1737301,1516.56,-,589366,33.92
FSL,EQ,09-May-2007,85.15,85.55,87.20,84.00,86.15,86.15,85.78,1605104,1376.90,-,262973,16.38
FSL,EQ,10-May-2007,86.15,87.40,89.00,85.30,85.85,85.70,87.21,1856754,1619.36,-,519956,28.00
FSL,EQ,11-May-2007,85.70,85.00,86.30,83.50,84.95,85.05,85.25,1621701,1382.48,-,422727,26.07
FSL,EQ,14-May-2007,85.05,86.60,89.00,86.25,87.80,87.45,87.89,2160491,1898.82,-,553985,25.64
FSL,EQ,15-May-2007,87.45,88.35,93.20,86.75,91.55,91.85,91.55,8536158,7814.66,-,1548586,18.14
FSL,EQ,16-May-2007,91.85,92.00,92.75,89.20,89.80,89.60,90.85,2834721,2575.32,-,1141661,40.27
FSL,EQ,17-May-2007,89.60,90.30,92.30,89.10,90.00,89.90,90.91,2197910,1998.16,-,665105,30.26
FSL,EQ,18-May-2007,89.90,90.00,92.00,88.30,89.20,89.15,90.48,2397794,2169.52,-,534517,22.29
FSL,EQ,21-May-2007,89.15,90.10,91.40,88.50,88.80,88.75,89.76,1603687,1439.54,-,439133,27.38
FSL,EQ,22-May-2007,88.75,89.00,89.45,84.50,85.10,85.35,86.68,2343545,2031.27,-,1052963,44.93
FSL,EQ,23-May-2007,85.35,86.00,86.80,81.50,82.00,81.90,84.30,2839718,2393.83,-,1296388,45.65
FSL,EQ,24-May-2007,81.90,82.25,85.00,82.05,84.00,83.70,83.87,1907547,1599.82,-,510747,26.78
FSL,EQ,25-May-2007,83.70,83.15,85.40,82.05,85.40,84.60,83.92,1227045,1029.78,-,335271,27.32
FSL,EQ,28-May-2007,84.60,86.00,86.50,83.75,84.40,84.20,85.02,1232117,1047.53,-,507906,41.22
FSL,EQ,29-May-2007,84.20,85.25,85.25,83.05,83.70,83.45,83.78,764212,640.23,-,285017,37.30
FSL,EQ,30-May-2007,83.45,84.00,84.35,82.05,82.40,82.25,83.10,752070,624.95,-,312705,41.58
FSL,EQ,31-May-2007,82.25,83.00,83.40,82.05,82.80,82.55,82.84,550267,455.83,-,248482,45.16
FSL,EQ,01-Jun-2007,82.55,83.00,86.75,82.50,85.40,85.20,85.38,2722923,2324.77,-,911435,33.47
FSL,EQ,04-Jun-2007,85.20,86.00,87.80,84.00,84.65,84.55,86.17,1842583,1587.73,-,468630,25.43
FSL,EQ,05-Jun-2007,84.55,85.00,85.05,84.00,84.50,84.55,84.32,640674,540.21,-,194444,30.35
FSL,EQ,06-Jun-2007,84.55,85.00,88.30,84.00,84.00,84.20,86.25,3968416,3422.83,-,871575,21.96
