Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AREVA,EQ,30-Jun-2008,1230.00,1299.90,1329.00,1240.00,1251.00,1256.45,1289.40,5191,66.93,-,1379,26.57
AREVA,EQ,01-Jul-2008,1256.45,1295.00,1297.00,1195.00,1209.90,1205.50,1250.22,3789,47.37,-,2213,58.41
AREVA,EQ,02-Jul-2008,1205.50,1183.00,1319.00,1183.00,1312.85,1306.70,1271.27,3836,48.77,-,1783,46.48
AREVA,EQ,03-Jul-2008,1306.70,1310.00,1315.00,1240.00,1283.00,1294.10,1282.19,3331,42.71,-,1069,32.09
AREVA,EQ,04-Jul-2008,1294.10,1299.95,1474.85,1299.95,1412.00,1418.10,1411.33,20829,293.97,-,9468,45.46
AREVA,EQ,07-Jul-2008,1418.10,1485.00,1544.90,1466.00,1490.00,1486.75,1513.70,23995,363.21,-,8745,36.45
AREVA,EQ,08-Jul-2008,1486.75,1485.00,1623.00,1440.00,1567.00,1568.45,1583.73,55248,874.98,-,16435,29.75
AREVA,EQ,09-Jul-2008,1568.45,1620.00,1688.00,1581.00,1595.00,1590.65,1621.25,49135,796.60,-,22202,45.19
AREVA,EQ,10-Jul-2008,1590.65,1599.00,1625.00,1528.00,1549.95,1553.80,1563.99,17260,269.94,-,5556,32.19
AREVA,EQ,11-Jul-2008,1553.80,1560.00,1594.90,1480.05,1485.00,1494.05,1538.09,12670,194.88,-,5994,47.31
AREVAT&D,EQ,14-Jul-2008,1494.05,1494.00,1515.00,1405.10,1430.00,1443.85,1454.07,9063,131.78,-,3249,35.85
AREVAT&D,EQ,15-Jul-2008,1443.85,1420.00,1438.80,1350.10,1370.00,1368.00,1386.31,9673,134.10,-,5278,54.56
AREVAT&D,EQ,16-Jul-2008,1368.00,1380.00,1415.00,1337.15,1365.00,1355.55,1381.10,16622,229.57,-,6988,42.04
AREVAT&D,EQ,17-Jul-2008,1355.55,1398.00,1500.00,1371.00,1440.00,1438.10,1422.74,30375,432.16,-,15979,52.61
AREVAT&D,EQ,18-Jul-2008,1438.10,1449.00,1504.70,1449.00,1470.00,1470.80,1478.18,20040,296.23,-,11900,59.38
AREVAT&D,EQ,21-Jul-2008,1470.80,1480.00,1548.00,1438.00,1525.00,1518.40,1488.14,15573,231.75,-,5728,36.78
AREVAT&D,EQ,22-Jul-2008,1518.40,1540.00,1649.00,1540.00,1611.00,1607.40,1605.24,102051,1638.16,-,37600,36.84
AREVAT&D,EQ,23-Jul-2008,1607.40,1690.00,1800.00,1665.00,1693.80,1686.45,1709.56,136577,2334.87,-,88047,64.47
AREVAT&D,EQ,24-Jul-2008,1686.45,1699.00,1722.00,1628.00,1652.00,1661.55,1671.73,39221,655.67,-,18519,47.22
AREVAT&D,EQ,25-Jul-2008,1661.55,1635.00,1692.00,1605.10,1651.00,1648.60,1662.09,37712,626.81,-,19363,51.34
AREVAT&D,EQ,28-Jul-2008,1648.60,1625.00,1730.20,1625.00,1679.00,1679.85,1695.66,56289,954.47,-,31685,56.29
AREVAT&D,EQ,29-Jul-2008,1679.85,1670.00,1696.00,1625.00,1630.00,1631.40,1649.72,25417,419.31,-,13036,51.29
AREVAT&D,EQ,30-Jul-2008,1631.40,1651.00,1705.00,1651.00,1652.20,1656.20,1674.57,32564,545.31,-,18839,57.85
AREVAT&D,EQ,31-Jul-2008,1656.20,1685.00,1685.00,1640.00,1650.00,1648.40,1655.17,16895,279.64,-,10759,63.68
AREVAT&D,EQ,01-Aug-2008,1648.40,1632.00,1660.00,1606.10,1633.00,1640.00,1639.11,31903,522.93,-,17342,54.36
AREVAT&D,EQ,04-Aug-2008,1640.00,1664.00,1699.00,1652.10,1667.00,1670.75,1675.88,34284,574.56,-,16939,49.41
AREVAT&D,EQ,05-Aug-2008,1670.75,1670.00,1689.00,1646.05,1654.00,1653.95,1663.77,13097,217.90,-,6630,50.62
AREVAT&D,EQ,06-Aug-2008,1653.95,1680.00,1685.00,1638.00,1640.10,1648.60,1660.58,25796,428.36,-,14954,57.97
AREVAT&D,EQ,07-Aug-2008,1648.60,1575.00,1647.00,1566.60,1610.00,1614.70,1619.85,7912,128.16,-,3831,48.42
AREVAT&D,EQ,08-Aug-2008,1614.70,1610.00,1671.00,1581.15,1660.00,1654.20,1619.04,11055,178.99,-,5323,48.15
AREVAT&D,EQ,11-Aug-2008,1654.20,1661.00,1672.00,1641.00,1652.00,1655.50,1660.99,9976,165.70,-,6314,63.29
AREVAT&D,EQ,12-Aug-2008,1655.50,1650.00,1675.00,1630.15,1665.00,1660.45,1652.60,9778,161.59,-,4149,42.43
AREVAT&D,EQ,13-Aug-2008,1660.45,1660.00,1674.80,1642.10,1650.00,1662.75,1658.56,7650,126.88,-,3661,47.86
AREVAT&D,EQ,14-Aug-2008,1662.75,1639.00,1679.00,1632.05,1648.00,1655.35,1657.83,14407,238.84,-,7456,51.75
AREVAT&D,EQ,18-Aug-2008,1655.35,1660.00,1698.00,1635.00,1655.00,1658.00,1654.77,7284,120.53,-,3572,49.04
AREVAT&D,EQ,19-Aug-2008,1658.00,1645.00,1645.00,1608.50,1622.50,1624.85,1627.82,10522,171.28,-,6132,58.28
AREVAT&D,EQ,20-Aug-2008,1624.85,1645.00,1648.95,1607.50,1624.00,1623.40,1625.60,7663,124.57,-,5076,66.24
AREVAT&D,EQ,21-Aug-2008,1623.40,1634.80,1634.80,1550.00,1580.00,1582.75,1592.79,10937,174.20,-,4659,42.60
AREVAT&D,EQ,22-Aug-2008,1582.75,1570.00,1598.95,1544.00,1589.95,1573.35,1567.27,13165,206.33,-,7713,58.59
AREVAT&D,EQ,25-Aug-2008,1573.35,1580.00,1600.00,1545.00,1548.00,1548.20,1558.09,6408,99.84,-,3183,49.67
AREVAT&D,EQ,26-Aug-2008,1548.20,1530.00,1549.70,1518.00,1540.00,1530.35,1529.28,4032,61.66,-,2421,60.04
AREVAT&D,EQ,27-Aug-2008,1530.35,1533.10,1545.00,1470.00,1484.50,1487.00,1501.17,8676,130.24,-,5910,68.12
AREVAT&D,EQ,28-Aug-2008,1487.00,1486.00,1500.00,1470.00,1480.00,1480.95,1482.06,6990,103.60,-,4557,65.19
AREVAT&D,EQ,29-Aug-2008,1480.95,1514.00,1540.00,1456.00,1535.00,1525.75,1514.71,5311,80.45,-,3511,66.11
