Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GILLANDERS,EQ,14-Dec-2009,139.80,140.40,145.50,138.40,138.45,138.90,141.58,24081,34.09,-,3547,14.73
GILLANDERS,EQ,15-Dec-2009,138.90,140.40,152.50,140.40,144.00,143.80,149.01,149661,223.01,-,37423,25.01
GILLANDERS,EQ,16-Dec-2009,143.80,144.80,147.70,137.50,142.00,139.25,142.62,18815,26.83,-,10231,54.38
GILLANDERS,EQ,17-Dec-2009,139.25,143.30,148.80,140.40,144.00,144.50,146.24,64178,93.85,-,51799,80.71
GILLANDERS,EQ,18-Dec-2009,144.50,143.95,148.00,139.00,140.00,139.85,142.55,17013,24.25,-,9119,53.60
GILLANDERS,EQ,21-Dec-2009,139.85,141.80,144.00,137.35,137.75,140.60,142.10,14342,20.38,-,10003,69.75
GILLANDERS,EQ,22-Dec-2009,140.60,140.25,142.25,137.40,138.00,138.75,139.54,2178,3.04,-,1581,72.59
GILLANDERS,EQ,23-Dec-2009,138.75,136.00,141.50,135.10,138.60,138.80,139.54,2979,4.16,-,2002,67.20
GILLANDERS,EQ,24-Dec-2009,138.80,142.80,150.40,142.80,144.50,145.30,147.82,82499,121.95,-,26816,32.50
GILLANDERS,EQ,29-Dec-2009,145.30,148.00,151.90,145.00,145.10,145.80,148.87,26413,39.32,-,14539,55.04
GILLANDERS,EQ,30-Dec-2009,145.80,148.90,157.50,145.15,153.00,153.10,154.15,142278,219.32,-,48287,33.94
GILLANDERS,EQ,31-Dec-2009,153.10,154.20,157.50,150.70,151.00,151.65,154.39,30490,47.07,-,19949,65.43
GILLANDERS,EQ,04-Jan-2010,151.65,154.95,159.75,152.10,156.95,156.70,157.32,41221,64.85,-,24470,59.36
GILLANDERS,EQ,05-Jan-2010,156.70,158.00,168.20,155.75,162.70,161.60,163.70,255870,418.87,-,57706,22.55
GILLANDERS,EQ,06-Jan-2010,161.60,164.40,166.40,161.05,164.90,164.75,164.37,83464,137.19,-,41056,49.19
GILLANDERS,EQ,07-Jan-2010,164.75,166.35,168.90,164.00,166.00,165.60,166.38,46626,77.58,-,23514,50.43
GILLANDERS,EQ,08-Jan-2010,165.60,166.95,168.00,159.00,161.00,161.25,163.50,21769,35.59,-,12772,58.67
GILLANDERS,EQ,11-Jan-2010,161.25,162.00,174.80,160.05,168.75,167.90,169.40,106139,179.80,-,30693,28.92
GILLANDERS,EQ,12-Jan-2010,167.90,168.90,176.90,166.05,169.00,167.35,171.83,79138,135.98,-,35051,44.29
GILLANDERS,EQ,13-Jan-2010,167.35,164.30,171.80,164.30,169.00,169.90,168.19,18564,31.22,-,13804,74.36
