Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GITANJALI,EQ,10-Mar-2006,195.00,210.00,226.10,165.00,165.00,167.60,177.59,11680529,20743.09,-,2969864,25.43
GITANJALI,EQ,13-Mar-2006,167.60,168.00,175.35,167.00,169.00,168.50,170.80,2992750,5111.76,-,434429,14.52
GITANJALI,EQ,14-Mar-2006,168.50,169.95,172.90,165.10,166.00,166.10,169.53,1027925,1742.60,-,185918,18.09
GITANJALI,EQ,16-Mar-2006,166.10,166.05,169.00,155.00,156.50,156.10,160.61,897496,1441.45,-,356431,39.71
GITANJALI,EQ,17-Mar-2006,156.10,157.00,160.85,150.20,152.60,151.80,155.37,817395,1269.99,-,337252,41.26
GITANJALI,EQ,20-Mar-2006,151.80,153.00,164.30,151.65,160.20,160.50,160.30,1829572,2932.74,-,298814,16.33
GITANJALI,EQ,21-Mar-2006,160.50,162.40,175.90,160.00,167.00,165.35,168.83,3453197,5829.98,-,541348,15.68
GITANJALI,EQ,22-Mar-2006,165.35,165.95,168.40,158.40,158.75,159.35,162.92,833555,1358.06,-,208605,25.03
GITANJALI,EQ,23-Mar-2006,159.35,160.90,166.55,158.00,161.40,161.40,163.45,1976951,3231.32,-,212186,10.73
GITANJALI,EQ,24-Mar-2006,161.40,162.40,170.95,162.40,164.35,164.90,166.38,1680399,2795.80,-,236275,14.06
GITANJALI,EQ,27-Mar-2006,164.90,166.00,167.00,159.15,159.70,160.15,162.91,572241,932.25,-,193620,33.84
GITANJALI,EQ,28-Mar-2006,160.15,161.00,172.40,161.00,169.80,170.60,167.73,2391586,4011.38,-,692488,28.96
GITANJALI,EQ,29-Mar-2006,170.60,172.00,182.50,171.20,175.30,175.15,177.37,3976410,7052.80,-,638589,16.06
GITANJALI,EQ,30-Mar-2006,175.15,178.00,180.90,172.00,175.20,175.55,176.40,1155169,2037.71,-,269936,23.37
GITANJALI,EQ,31-Mar-2006,175.55,178.00,179.00,169.90,171.50,171.45,173.95,674462,1173.26,-,272096,40.34
GITANJALI,EQ,03-Apr-2006,171.45,172.00,175.00,171.00,173.00,173.10,173.18,529579,917.10,-,235482,44.47
GITANJALI,EQ,04-Apr-2006,173.10,173.90,174.45,171.35,172.05,172.20,172.67,316888,547.18,-,164746,51.99
GITANJALI,EQ,05-Apr-2006,172.20,173.60,179.45,172.00,173.50,173.95,175.32,422591,740.89,-,116423,27.55
GITANJALI,EQ,07-Apr-2006,173.95,175.00,186.00,173.70,175.50,175.55,179.59,2461382,4420.36,-,401800,16.32
GITANJALI,EQ,10-Apr-2006,175.55,178.80,181.75,175.15,178.00,178.15,178.79,947239,1693.56,-,194517,20.54
GITANJALI,EQ,12-Apr-2006,178.15,180.00,183.00,175.20,175.30,176.85,179.90,944639,1699.45,-,244016,25.83
GITANJALI,EQ,13-Apr-2006,176.85,178.90,184.70,173.20,182.50,181.60,180.17,1359051,2448.62,-,388614,28.59
GITANJALI,EQ,17-Apr-2006,181.60,183.00,188.85,181.20,182.50,182.65,184.97,839656,1553.09,-,220523,26.26
GITANJALI,EQ,18-Apr-2006,182.65,184.30,184.90,179.10,183.60,183.95,182.61,632179,1154.45,-,168746,26.69
GITANJALI,EQ,19-Apr-2006,183.95,186.00,186.10,179.10,181.05,181.35,181.88,451463,821.12,-,120949,26.79
GITANJALI,EQ,20-Apr-2006,181.35,181.00,182.90,177.25,178.00,179.00,179.84,283687,510.18,-,122095,43.04
GITANJALI,EQ,21-Apr-2006,179.00,178.65,179.80,174.50,175.10,176.10,178.02,560465,997.75,-,403325,71.96
GITANJALI,EQ,24-Apr-2006,176.10,176.50,178.40,174.20,175.00,175.00,175.54,312704,548.93,-,181048,57.90
GITANJALI,EQ,25-Apr-2006,175.00,176.40,182.50,173.75,175.50,175.10,177.29,564360,1000.57,-,262878,46.58
GITANJALI,EQ,26-Apr-2006,175.10,176.00,181.50,175.55,177.90,178.00,178.43,299845,535.00,-,102206,34.09
GITANJALI,EQ,27-Apr-2006,178.00,178.25,192.95,178.25,187.00,186.00,187.68,1677209,3147.80,-,470828,28.07
GITANJALI,EQ,28-Apr-2006,186.00,180.00,200.00,171.50,197.80,198.00,190.81,2321436,4429.53,-,766634,33.02
GITANJALI,EQ,29-Apr-2006,198.00,198.00,206.90,197.15,197.95,199.10,201.66,837111,1688.13,-,210717,25.17
GITANJALI,EQ,02-May-2006,199.10,200.20,218.90,200.20,213.00,212.20,210.61,2951956,6217.13,-,660490,22.37
GITANJALI,EQ,03-May-2006,212.20,213.50,224.80,213.50,219.00,218.55,219.38,2139126,4692.76,-,537500,25.13
GITANJALI,EQ,04-May-2006,218.55,220.00,224.00,208.05,212.40,211.90,217.01,1102480,2392.50,-,401104,36.38
GITANJALI,EQ,05-May-2006,211.90,214.00,216.70,208.15,214.60,213.85,212.99,872364,1858.09,-,218510,25.05
GITANJALI,EQ,08-May-2006,213.85,215.60,216.45,204.70,205.75,206.55,209.67,454120,952.15,-,197010,43.38
GITANJALI,EQ,09-May-2006,206.55,208.00,215.40,205.10,206.50,206.30,210.40,543556,1143.66,-,133288,24.52
GITANJALI,EQ,10-May-2006,206.30,207.50,211.50,205.10,206.00,205.90,208.04,271874,565.60,-,96695,35.57
GITANJALI,EQ,11-May-2006,205.90,210.85,216.60,202.00,211.50,211.30,211.83,757553,1604.69,-,229698,30.32
GITANJALI,EQ,12-May-2006,211.30,212.70,227.40,207.00,217.35,216.05,218.90,1712657,3748.96,-,408211,23.83
GITANJALI,EQ,15-May-2006,216.05,218.30,230.85,210.60,213.40,213.40,223.42,2096728,4684.60,-,503645,24.02
