Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GMRINFRA,EQ,21-Aug-2006,210.00,216.00,219.50,200.00,210.05,210.40,212.83,13777145,29321.63,-,3595942,26.10
GMRINFRA,EQ,22-Aug-2006,210.40,211.90,214.00,210.00,210.00,210.05,211.18,3013946,6364.84,-,917803,30.45
GMRINFRA,EQ,23-Aug-2006,210.05,211.00,211.00,210.00,210.00,210.00,210.16,2045718,4299.30,-,1212635,59.28
GMRINFRA,EQ,24-Aug-2006,210.00,210.05,222.25,210.05,222.00,220.35,216.83,3382785,7334.75,-,1078516,31.88
GMRINFRA,EQ,25-Aug-2006,220.35,225.00,230.50,220.70,225.00,225.05,226.54,4535140,10274.07,-,832609,18.36
GMRINFRA,EQ,28-Aug-2006,225.05,225.80,227.40,221.25,221.30,222.30,224.57,1072005,2407.41,-,295249,27.54
GMRINFRA,EQ,29-Aug-2006,222.30,224.00,227.35,222.00,224.00,223.35,224.86,1385158,3114.60,-,412169,29.76
GMRINFRA,EQ,30-Aug-2006,223.35,224.50,225.80,220.50,220.75,221.40,222.36,756615,1682.40,-,270238,35.72
GMRINFRA,EQ,31-Aug-2006,221.40,222.80,222.80,214.00,216.00,214.70,216.85,959952,2081.67,-,399513,41.62
GMRINFRA,EQ,01-Sep-2006,214.70,217.50,217.70,212.55,213.70,213.25,214.81,444118,954.03,-,171743,38.67
GMRINFRA,EQ,04-Sep-2006,213.25,214.90,222.00,213.30,221.75,221.40,219.01,1028122,2251.70,-,395107,38.43
GMRINFRA,EQ,05-Sep-2006,221.40,222.30,222.30,215.55,219.00,219.05,219.18,467217,1024.03,-,156649,33.53
GMRINFRA,EQ,06-Sep-2006,219.05,220.00,225.00,219.50,222.05,222.15,222.58,914871,2036.36,-,289252,31.62
GMRINFRA,EQ,07-Sep-2006,222.15,220.50,220.75,216.20,219.05,218.95,218.71,792502,1733.31,-,477415,60.24
GMRINFRA,EQ,08-Sep-2006,218.95,220.00,222.45,218.10,218.20,219.55,220.40,477616,1052.66,-,178361,37.34
GMRINFRA,EQ,11-Sep-2006,219.55,220.10,220.50,210.60,211.75,212.05,214.55,410782,881.33,-,174185,42.40
GMRINFRA,EQ,12-Sep-2006,212.05,212.00,214.30,210.35,213.00,212.85,212.14,331743,703.76,-,74328,22.41
GMRINFRA,EQ,13-Sep-2006,212.85,215.20,217.50,214.00,214.50,214.65,215.54,285366,615.08,-,90436,31.69
GMRINFRA,EQ,14-Sep-2006,214.65,215.80,219.45,214.25,217.00,217.15,216.55,459235,994.47,-,206069,44.87
GMRINFRA,EQ,15-Sep-2006,217.15,218.00,218.00,212.50,216.85,215.55,215.17,368626,793.19,-,232386,63.04
GMRINFRA,EQ,18-Sep-2006,215.55,215.60,218.35,214.10,216.00,216.40,216.74,452106,979.88,-,286637,63.40
GMRINFRA,EQ,19-Sep-2006,216.40,216.00,217.75,211.10,212.00,212.20,215.31,215139,463.22,-,93662,43.54
GMRINFRA,EQ,20-Sep-2006,212.20,212.80,214.00,211.05,213.55,213.15,213.02,136247,290.23,-,73798,54.16
GMRINFRA,EQ,21-Sep-2006,213.15,214.00,216.50,212.00,214.50,214.05,214.47,326976,701.27,-,164265,50.24
GMRINFRA,EQ,22-Sep-2006,214.05,214.50,214.50,210.25,211.10,211.80,212.24,346501,735.41,-,234027,67.54
GMRINFRA,EQ,25-Sep-2006,211.80,212.00,214.50,211.10,212.00,211.80,213.01,306464,652.79,-,146592,47.83
GMRINFRA,EQ,26-Sep-2006,211.80,212.50,213.50,210.65,212.00,212.50,211.80,379934,804.70,-,129212,34.01
GMRINFRA,EQ,27-Sep-2006,212.50,212.50,219.35,212.00,218.55,218.40,216.07,1151023,2487.04,-,591708,51.41
GMRINFRA,EQ,28-Sep-2006,218.40,220.00,227.20,215.65,226.00,225.55,221.61,2399872,5318.47,-,1223908,51.00
GMRINFRA,EQ,29-Sep-2006,225.55,232.00,238.95,225.50,235.75,235.45,233.81,3619210,8461.94,-,892676,24.66
GMRINFRA,EQ,03-Oct-2006,235.45,237.00,239.90,234.10,234.90,235.85,236.74,890511,2108.16,-,224643,25.23
GMRINFRA,EQ,04-Oct-2006,235.85,237.30,237.70,227.05,228.00,228.65,231.91,518449,1202.35,-,90855,17.52
GMRINFRA,EQ,05-Oct-2006,228.65,230.00,236.00,230.00,231.50,231.40,232.25,951707,2210.34,-,363370,38.18
GMRINFRA,EQ,06-Oct-2006,231.40,232.65,239.95,232.65,236.30,238.75,236.95,1418285,3360.67,-,460390,32.46
GMRINFRA,EQ,09-Oct-2006,238.75,235.40,257.40,234.05,255.40,255.25,249.20,3866873,9636.42,-,1315943,34.03
GMRINFRA,EQ,10-Oct-2006,255.25,258.00,258.00,245.65,253.10,251.50,251.88,1797967,4528.70,-,486138,27.04
GMRINFRA,EQ,11-Oct-2006,251.50,253.20,264.95,252.35,256.00,255.90,260.08,3387850,8811.27,-,983835,29.04
GMRINFRA,EQ,12-Oct-2006,255.90,256.50,266.95,255.00,262.00,263.05,262.51,2085433,5474.41,-,401337,19.24
GMRINFRA,EQ,13-Oct-2006,263.05,264.80,265.45,253.30,254.95,255.15,258.70,1938177,5014.12,-,846576,43.68
GMRINFRA,EQ,16-Oct-2006,255.15,257.75,260.00,252.00,258.30,254.85,255.90,611986,1566.08,-,144535,23.62
GMRINFRA,EQ,17-Oct-2006,254.85,256.80,261.50,252.25,257.25,257.70,257.55,1067801,2750.10,-,260006,24.35
GMRINFRA,EQ,18-Oct-2006,257.70,259.20,290.40,258.00,285.55,286.35,275.57,6729095,18543.04,-,2074016,30.82
GMRINFRA,EQ,19-Oct-2006,286.35,296.00,296.00,280.05,283.50,285.90,286.59,4479385,12837.27,-,1259336,28.11
GMRINFRA,EQ,20-Oct-2006,285.90,286.20,301.40,285.05,294.60,292.65,294.63,3688807,10868.39,-,691392,18.74
GMRINFRA,EQ,21-Oct-2006,292.65,297.90,301.55,295.00,301.05,299.35,298.67,1309333,3910.63,-,413894,31.61
GMRINFRA,EQ,23-Oct-2006,299.35,301.60,315.90,300.00,313.30,314.35,310.59,3826756,11885.50,-,848044,22.16
GMRINFRA,EQ,26-Oct-2006,314.35,315.00,324.70,313.20,316.25,317.75,318.17,4391167,13971.24,-,531627,12.11
GMRINFRA,EQ,27-Oct-2006,317.75,318.30,320.95,301.85,304.60,305.60,309.64,3048124,9438.18,-,759538,24.92
GMRINFRA,EQ,30-Oct-2006,305.60,304.70,319.90,299.20,310.00,310.15,312.27,3206182,10011.96,-,750405,23.40
GMRINFRA,EQ,31-Oct-2006,310.15,310.60,314.00,305.00,307.50,307.85,309.81,1221581,3784.63,-,174010,14.24
GMRINFRA,EQ,01-Nov-2006,307.85,309.40,334.90,307.55,334.35,331.70,323.44,5289134,17107.40,-,1431516,27.07
GMRINFRA,EQ,02-Nov-2006,331.70,336.00,347.10,331.35,340.00,340.60,339.77,5034323,17105.19,-,677319,13.45
GMRINFRA,EQ,03-Nov-2006,340.60,342.00,350.90,340.00,341.10,342.15,344.96,3093920,10672.78,-,449333,14.52
GMRINFRA,EQ,06-Nov-2006,342.15,343.70,349.30,335.35,345.10,346.45,343.06,3472630,11913.04,-,521890,15.03
GMRINFRA,EQ,07-Nov-2006,346.45,348.90,363.90,347.25,353.10,353.30,357.30,4751846,16978.26,-,834860,17.57
GMRINFRA,EQ,08-Nov-2006,353.30,356.00,364.50,345.25,356.10,354.45,354.33,4696396,16640.88,-,848411,18.07
