Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GOACARBON,EQ,05-Jun-2007,49.90,54.80,64.90,52.65,52.65,53.65,58.30,313627,182.83,-,68006,21.68
GOACARBON,EQ,06-Jun-2007,53.65,54.80,58.00,52.90,53.50,53.30,55.55,126340,70.18,-,44979,35.60
GOACARBON,EQ,07-Jun-2007,53.30,54.00,55.00,52.00,52.00,52.70,53.42,28992,15.49,-,13621,46.98
GOACARBON,EQ,08-Jun-2007,52.70,52.50,52.70,50.00,51.45,50.95,51.47,16037,8.25,-,10379,64.72
GOACARBON,EQ,11-Jun-2007,50.95,52.00,54.00,52.00,53.80,53.05,52.95,19219,10.18,-,9898,51.50
GOACARBON,EQ,12-Jun-2007,53.05,53.80,54.00,51.75,54.00,52.95,52.50,9786,5.14,-,4535,46.34
GOACARBON,EQ,13-Jun-2007,52.95,54.00,58.10,53.10,57.00,56.30,55.72,44372,24.72,-,16431,37.03
GOACARBON,EQ,14-Jun-2007,56.30,57.90,57.90,54.00,54.45,54.20,55.32,21746,12.03,-,11760,54.08
GOACARBON,EQ,15-Jun-2007,54.20,54.05,54.05,50.00,50.50,50.80,51.20,24740,12.67,-,12003,48.52
GOACARBON,EQ,18-Jun-2007,50.80,51.00,52.65,50.50,51.00,50.95,51.48,6349,3.27,-,2978,46.91
GOACARBON,EQ,19-Jun-2007,50.95,50.95,51.80,50.60,50.95,50.90,51.10,3144,1.61,-,2619,83.30
GOACARBON,EQ,20-Jun-2007,50.90,51.85,51.85,50.50,51.00,50.70,50.73,3269,1.66,-,2266,69.32
GOACARBON,EQ,21-Jun-2007,50.70,50.05,51.45,50.05,51.45,50.80,50.67,3197,1.62,-,2295,71.79
GOACARBON,EQ,22-Jun-2007,50.80,51.50,51.50,50.05,50.80,50.65,50.72,4029,2.04,-,2210,54.85
GOACARBON,EQ,25-Jun-2007,50.65,50.05,53.40,50.05,51.70,51.40,51.76,9431,4.88,-,6009,63.72
