Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GPPL,EQ,09-Sep-2010,46.00,56.10,58.00,52.00,53.85,54.05,54.47,109546200,59672.34,-,32745354,29.89
GPPL,EQ,13-Sep-2010,54.05,54.00,56.35,54.00,55.85,55.85,55.20,15915982,8785.63,-,6454679,40.55
GPPL,EQ,14-Sep-2010,55.85,56.00,56.30,54.15,54.55,54.45,55.02,7142409,3929.53,-,3974514,55.65
GPPL,EQ,15-Sep-2010,54.45,54.85,54.95,53.55,53.75,53.90,54.18,3470627,1880.30,-,2428291,69.97
GPPL,EQ,16-Sep-2010,53.90,53.75,54.50,53.40,53.80,53.85,53.82,2908802,1565.42,-,1880753,64.66
GPPL,EQ,17-Sep-2010,53.85,53.80,54.40,53.40,54.00,54.00,53.96,3447401,1860.22,-,2826786,82.00
GPPL,EQ,20-Sep-2010,54.00,54.80,55.85,54.00,54.75,54.85,54.94,2553146,1402.57,-,1310870,51.34
GPPL,EQ,21-Sep-2010,54.85,55.00,55.20,53.55,53.95,54.25,54.24,1392910,755.49,-,810882,58.21
GPPL,EQ,22-Sep-2010,54.25,54.00,55.50,53.60,54.55,54.60,54.48,2051594,1117.62,-,1196390,58.32
GPPL,EQ,23-Sep-2010,54.60,54.75,54.90,53.65,54.25,54.25,54.37,998060,542.64,-,550729,55.18
GPPL,EQ,24-Sep-2010,54.25,54.00,54.90,53.90,54.55,54.50,54.60,755400,412.46,-,421279,55.77
GPPL,EQ,27-Sep-2010,54.50,54.70,55.50,54.10,54.70,54.70,54.91,1183721,650.04,-,628108,53.06
GPPL,EQ,28-Sep-2010,54.70,54.50,61.15,54.20,60.15,60.30,58.91,16821639,9909.94,-,4686802,27.86
GPPL,EQ,29-Sep-2010,60.30,60.50,64.10,59.60,60.90,61.00,61.93,14031923,8690.25,-,4572012,32.58
GPPL,EQ,30-Sep-2010,61.00,61.50,61.50,58.50,60.80,60.55,60.06,2755568,1654.88,-,668072,24.24
GPPL,EQ,01-Oct-2010,60.55,61.00,61.65,59.00,59.25,59.55,60.43,1489435,900.05,-,724346,48.63
GPPL,EQ,04-Oct-2010,59.55,59.90,60.10,57.50,58.00,57.75,58.26,1855860,1081.31,-,1074481,57.90
GPPL,EQ,05-Oct-2010,57.75,58.00,60.70,57.00,59.25,59.15,59.64,2719162,1621.82,-,1350982,49.68
GPPL,EQ,06-Oct-2010,59.15,59.15,59.90,58.80,59.40,59.40,59.37,1497550,889.03,-,730550,48.78
GPPL,EQ,07-Oct-2010,59.40,59.65,62.25,58.90,59.50,59.75,60.83,4391457,2671.39,-,2609317,59.42
GPPL,EQ,08-Oct-2010,59.75,59.90,61.20,57.95,59.50,59.35,59.73,1878500,1121.97,-,1001839,53.33
GPPL,EQ,11-Oct-2010,59.35,60.00,60.00,57.70,57.80,58.00,58.63,1986243,1164.47,-,1503713,75.71
