Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HARITASEAT,EQ,06-Apr-2009,46.00,44.15,47.00,43.70,43.70,43.70,44.12,3776,1.67,-,2880,76.27
HARITASEAT,EQ,08-Apr-2009,43.70,45.80,45.80,43.50,43.70,43.85,44.08,458,0.20,-,443,96.72
HARITASEAT,EQ,09-Apr-2009,43.85,43.00,43.00,43.00,43.00,43.00,43.00,6,0.00,-,6,100.00
HARITASEAT,EQ,13-Apr-2009,43.00,43.00,44.35,42.70,44.35,44.35,43.42,250,0.11,-,200,80.00
HARITASEAT,EQ,15-Apr-2009,44.35,44.00,46.45,44.00,44.50,44.50,45.51,1383,0.63,-,983,71.08
HARITASEAT,EQ,16-Apr-2009,44.50,43.15,43.15,43.15,43.15,43.15,43.15,28,0.01,-,28,100.00
HARITASEAT,EQ,17-Apr-2009,43.15,41.00,45.35,41.00,42.05,42.05,43.08,1035,0.45,-,1035,100.00
HARITASEAT,EQ,23-Apr-2009,42.05,44.15,44.15,41.00,41.10,41.20,42.71,637,0.27,-,536,84.14
HARITASEAT,EQ,24-Apr-2009,41.20,41.10,43.00,41.10,43.00,43.00,41.24,108,0.04,-,100,92.59
HARITASEAT,EQ,27-Apr-2009,43.00,42.85,42.85,42.85,42.85,42.85,42.85,92,0.04,-,92,100.00
HARITASEAT,EQ,28-Apr-2009,42.85,42.75,42.75,42.75,42.75,42.75,42.75,100,0.04,-,100,100.00
HARITASEAT,EQ,06-May-2009,42.75,42.50,42.50,42.50,42.50,42.50,42.50,108,0.05,-,108,100.00
HARITASEAT,EQ,07-May-2009,42.50,41.00,41.00,41.00,41.00,41.00,41.00,1,0.00,-,1,100.00
HARITASEAT,EQ,14-May-2009,41.00,40.00,40.00,40.00,40.00,40.00,40.00,3,0.00,-,3,100.00
HARITASEAT,EQ,22-May-2009,40.00,42.00,42.00,42.00,42.00,42.00,42.00,18,0.01,-,18,100.00
HARITASEAT,EQ,26-May-2009,42.00,42.00,44.10,40.15,42.10,42.10,41.66,642,0.27,-,629,97.98
HARITASEAT,EQ,04-Jun-2009,42.10,44.25,44.25,44.25,44.25,44.25,44.25,200,0.09,-,200,100.00
HARITASEAT,EQ,05-Jun-2009,44.25,44.00,44.00,44.00,44.00,44.00,44.00,25,0.01,-,25,100.00
HARITASEAT,EQ,11-Jun-2009,44.00,45.00,45.00,45.00,45.00,45.00,45.00,200,0.09,-,200,100.00
HARITASEAT,EQ,16-Jun-2009,45.00,43.15,43.15,43.15,43.15,43.15,43.15,50,0.02,-,50,100.00
HARITASEAT,EQ,19-Jun-2009,43.15,41.05,41.05,41.05,41.05,41.05,41.05,2,0.00,-,2,100.00
