Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HATHWAY,EQ,25-Feb-2010,240.00,250.00,250.00,204.50,211.00,207.65,217.71,7443846,16206.09,-,838955,11.27
HATHWAY,EQ,26-Feb-2010,207.65,210.00,213.50,189.20,200.00,200.55,200.84,4525373,9088.63,-,1080084,23.87
HATHWAY,EQ,02-Mar-2010,200.55,202.50,206.00,194.65,201.60,201.15,201.23,1013273,2038.98,-,95252,9.40
HATHWAY,EQ,03-Mar-2010,201.15,202.00,203.50,198.10,200.00,200.15,200.77,220959,443.63,-,63301,28.65
HATHWAY,EQ,04-Mar-2010,200.15,202.00,217.50,199.10,214.45,213.50,213.16,1779334,3792.77,-,143507,8.07
HATHWAY,EQ,05-Mar-2010,213.50,215.10,216.90,207.25,216.05,214.60,212.09,360698,765.01,-,91405,25.34
HATHWAY,EQ,08-Mar-2010,214.60,217.00,224.80,212.65,222.35,223.20,222.07,784511,1742.13,-,116507,14.85
HATHWAY,EQ,09-Mar-2010,223.20,221.00,223.90,216.00,217.00,217.80,218.81,155642,340.56,-,52116,33.48
HATHWAY,EQ,10-Mar-2010,217.80,217.90,222.00,215.10,217.60,218.45,218.85,109894,240.51,-,30101,27.39
HATHWAY,EQ,11-Mar-2010,218.45,216.60,219.25,215.00,216.00,215.85,216.12,36358,78.58,-,14899,40.98
HATHWAY,EQ,12-Mar-2010,215.85,217.00,218.00,207.30,207.30,210.00,213.21,38835,82.80,-,15241,39.25
HATHWAY,EQ,15-Mar-2010,210.00,209.50,211.85,205.00,208.15,208.25,208.60,55970,116.75,-,20764,37.10
HATHWAY,EQ,16-Mar-2010,208.25,210.45,213.25,205.15,208.00,207.80,209.84,62478,131.10,-,17610,28.19
HATHWAY,EQ,17-Mar-2010,207.80,207.00,213.50,207.00,209.05,208.80,210.60,40180,84.62,-,11544,28.73
HATHWAY,EQ,18-Mar-2010,208.80,210.85,212.00,208.00,209.65,210.60,210.31,35363,74.37,-,19383,54.81
HATHWAY,EQ,19-Mar-2010,210.60,208.70,211.00,201.10,210.95,208.05,205.85,79772,164.21,-,43486,54.51
HATHWAY,EQ,22-Mar-2010,208.05,202.00,216.95,202.00,205.30,204.65,210.32,82347,173.19,-,24373,29.60
HATHWAY,EQ,23-Mar-2010,204.65,208.90,208.90,203.25,205.35,205.10,204.98,45476,93.21,-,28931,63.62
HATHWAY,EQ,25-Mar-2010,205.10,206.90,209.90,202.20,203.50,203.15,204.35,11946,24.41,-,6885,57.63
HATHWAY,EQ,26-Mar-2010,203.15,206.00,211.45,204.00,205.45,205.15,208.17,75227,156.60,-,36723,48.82
HATHWAY,EQ,29-Mar-2010,205.15,203.50,207.00,200.55,202.75,203.05,202.81,74292,150.67,-,54709,73.64
HATHWAY,EQ,30-Mar-2010,203.05,202.75,208.50,202.10,206.20,206.30,205.53,36626,75.28,-,22296,60.87
HATHWAY,EQ,31-Mar-2010,206.30,204.30,210.85,202.00,206.90,207.50,208.43,34677,72.28,-,11711,33.77
HATHWAY,EQ,01-Apr-2010,207.50,207.50,214.00,207.50,210.00,210.20,211.34,46925,99.17,-,17853,38.05
HATHWAY,EQ,05-Apr-2010,210.20,213.95,216.70,208.05,208.60,209.65,212.28,62304,132.26,-,39602,63.56
HATHWAY,EQ,06-Apr-2010,209.65,214.00,214.75,206.25,206.95,207.75,209.37,9990,20.92,-,4557,45.62
HATHWAY,EQ,07-Apr-2010,207.75,207.00,211.00,207.00,209.40,209.40,209.42,15413,32.28,-,8848,57.41
HATHWAY,EQ,08-Apr-2010,209.40,211.00,212.80,205.00,205.80,208.25,209.41,497528,1041.90,-,485605,97.60
