Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HAVELLS,EQ,02-Jan-2006,396.30,402.50,414.90,398.25,410.90,409.45,407.98,39631,161.69,-,22836,57.62
HAVELLS,EQ,03-Jan-2006,409.45,414.90,415.00,410.00,412.05,412.10,412.71,25875,106.79,-,15263,58.99
HAVELLS,EQ,04-Jan-2006,412.10,416.00,419.70,407.10,409.05,410.80,411.97,13225,54.48,-,9481,71.69
HAVELLS,EQ,05-Jan-2006,410.80,409.35,411.00,404.10,407.00,407.45,407.20,12524,51.00,-,7705,61.52
HAVELLS,EQ,06-Jan-2006,407.45,405.05,414.90,404.50,405.00,405.65,406.94,7666,31.20,-,4765,62.16
HAVELLS,EQ,09-Jan-2006,405.65,405.00,410.50,404.95,405.95,406.80,407.77,6008,24.50,-,4015,66.83
HAVELLS,EQ,10-Jan-2006,406.80,407.00,408.00,390.00,403.50,401.45,401.78,17563,70.56,-,9778,55.67
HAVELLS,EQ,12-Jan-2006,401.45,401.00,403.90,396.30,400.00,401.70,401.62,8181,32.86,-,5766,70.48
HAVELLS,EQ,13-Jan-2006,401.70,402.50,404.80,401.10,404.35,403.45,402.85,8175,32.93,-,4103,50.19
HAVELLS,EQ,16-Jan-2006,403.45,403.45,405.00,400.10,403.00,401.80,402.33,10190,41.00,-,8947,87.80
HAVELLS,EQ,17-Jan-2006,401.80,409.40,409.45,397.10,401.00,399.95,400.52,16169,64.76,-,11213,69.35
HAVELLS,EQ,18-Jan-2006,399.95,399.00,401.00,390.00,392.00,392.85,394.84,7487,29.56,-,5558,74.24
HAVELLS,EQ,19-Jan-2006,392.85,399.90,406.40,395.00,403.05,403.90,402.27,13061,52.54,-,8801,67.38
HAVELLS,EQ,20-Jan-2006,403.90,405.00,412.80,400.00,401.00,404.20,407.94,23046,94.01,-,10681,46.35
HAVELLS,EQ,23-Jan-2006,404.20,409.00,414.70,407.90,414.70,413.55,411.95,19045,78.46,-,13464,70.70
HAVELLS,EQ,24-Jan-2006,413.55,413.00,438.80,413.00,427.00,427.10,428.79,101283,434.29,-,42538,42.00
HAVELLS,EQ,25-Jan-2006,427.10,431.80,435.80,398.05,404.00,401.55,408.03,123114,502.34,-,71467,58.05
HAVELLS,EQ,27-Jan-2006,401.55,408.50,410.00,399.00,400.00,400.65,404.69,47451,192.03,-,27488,57.93
HAVELLS,EQ,30-Jan-2006,400.65,408.00,409.70,388.00,388.00,391.35,396.14,36222,143.49,-,27719,76.53
HAVELLS,EQ,31-Jan-2006,391.35,392.50,400.00,387.00,387.00,391.15,393.90,31468,123.95,-,14317,45.50
HAVELLS,EQ,01-Feb-2006,391.15,396.80,396.80,380.00,387.00,385.25,386.15,45091,174.12,-,27424,60.82
HAVELLS,EQ,02-Feb-2006,385.25,394.95,394.95,380.00,381.95,381.10,384.76,16022,61.65,-,10630,66.35
HAVELLS,EQ,03-Feb-2006,381.10,390.00,390.00,377.00,378.15,379.25,382.68,18649,71.37,-,12589,67.50
HAVELLS,EQ,06-Feb-2006,379.25,380.10,392.00,377.00,392.00,389.85,386.53,57342,221.64,-,48483,84.55
HAVELLS,EQ,07-Feb-2006,389.85,392.00,398.75,388.00,396.00,395.65,394.00,37054,145.99,-,30672,82.78
HAVELLS,EQ,08-Feb-2006,395.65,400.00,400.00,392.00,394.50,395.35,395.40,63008,249.13,-,58961,93.58
HAVELLS,EQ,10-Feb-2006,395.35,399.00,410.00,395.00,408.95,406.65,402.44,68884,277.22,-,42417,61.58
HAVELLS,EQ,13-Feb-2006,406.65,409.00,429.00,405.25,425.25,426.10,420.30,76732,322.50,-,54421,70.92
HAVELLS,EQ,14-Feb-2006,426.10,427.00,437.00,414.00,418.00,418.50,425.38,41576,176.86,-,17106,41.14
HAVELLS,EQ,15-Feb-2006,418.50,420.00,425.00,402.55,408.25,406.00,413.06,21664,89.49,-,13090,60.42
HAVELLS,EQ,16-Feb-2006,406.00,411.95,423.00,409.10,419.00,417.75,418.69,25175,105.41,-,17843,70.88
HAVELLS,EQ,17-Feb-2006,417.75,422.00,423.90,415.50,422.00,420.20,419.73,45454,190.78,-,37331,82.13
HAVELLS,EQ,20-Feb-2006,420.20,405.25,422.00,405.00,418.50,414.85,417.34,37091,154.80,-,28918,77.97
HAVELLS,EQ,21-Feb-2006,414.85,419.95,424.00,409.10,415.00,412.50,417.91,14441,60.35,-,6728,46.59
HAVELLS,EQ,22-Feb-2006,412.50,415.00,415.80,401.50,404.95,405.00,407.71,18923,77.15,-,16204,85.63
HAVELLS,EQ,23-Feb-2006,405.00,410.00,421.00,410.00,416.50,416.75,417.08,20551,85.71,-,15728,76.53
HAVELLS,EQ,24-Feb-2006,416.75,415.00,421.00,413.00,420.05,417.55,416.58,24470,101.94,-,21570,88.15
HAVELLS,EQ,27-Feb-2006,417.55,415.00,423.00,415.00,418.90,420.00,421.33,25626,107.97,-,16923,66.04
HAVELLS,EQ,28-Feb-2006,420.00,423.00,444.40,421.00,434.00,434.10,432.33,76145,329.20,-,45618,59.91
HAVELLS,EQ,01-Mar-2006,434.10,444.50,445.00,433.00,435.25,436.70,440.26,46884,206.41,-,30963,66.04
HAVELLS,EQ,02-Mar-2006,436.70,437.00,472.00,432.05,452.00,453.65,452.61,62427,282.55,-,26601,42.61
HAVELLS,EQ,03-Mar-2006,453.65,440.00,468.00,440.00,456.20,457.20,460.61,32079,147.76,-,16893,52.66
HAVELLS,EQ,06-Mar-2006,457.20,462.50,491.20,459.00,480.95,480.65,480.89,72859,350.37,-,26571,36.47
HAVELLS,EQ,07-Mar-2006,480.65,486.90,525.25,480.00,505.00,502.65,506.22,184222,932.58,-,78677,42.71
HAVELLS,EQ,08-Mar-2006,502.65,512.00,513.70,468.00,477.40,475.70,489.44,113219,554.14,-,59821,52.84
HAVELLS,EQ,09-Mar-2006,475.70,480.10,502.00,465.60,495.00,495.55,487.21,90433,440.60,-,24223,26.79
HAVELLS,EQ,10-Mar-2006,495.55,504.90,510.00,486.00,492.00,488.45,499.55,59867,299.07,-,30881,51.58
HAVELLS,EQ,13-Mar-2006,488.45,495.00,505.00,486.00,488.50,490.15,492.55,51040,251.40,-,35154,68.88
HAVELLS,EQ,14-Mar-2006,490.15,495.00,538.00,490.00,528.40,528.75,519.11,215027,1116.22,-,68296,31.76
HAVELLS,EQ,16-Mar-2006,528.75,567.40,567.40,520.00,530.20,527.05,539.79,201729,1088.91,-,80182,39.75
HAVELLS,EQ,17-Mar-2006,527.05,532.95,532.95,507.00,508.00,510.20,515.06,66413,342.07,-,30971,46.63
HAVELLS,EQ,20-Mar-2006,510.20,514.00,537.95,514.00,536.00,535.35,528.88,81883,433.06,-,39474,48.21
HAVELLS,EQ,21-Mar-2006,535.35,535.50,549.00,493.50,538.15,535.30,538.30,98041,527.75,-,40429,41.24
HAVELLS,EQ,22-Mar-2006,535.30,539.75,545.00,531.00,539.00,538.05,538.30,79433,427.59,-,45295,57.02
HAVELLS,EQ,23-Mar-2006,538.05,544.60,544.60,530.00,530.00,534.45,536.54,42291,226.91,-,25813,61.04
HAVELLS,EQ,24-Mar-2006,534.45,543.95,580.00,535.00,580.00,560.70,553.41,94728,524.24,-,51297,54.15
HAVELLS,EQ,27-Mar-2006,560.70,565.30,587.70,535.00,538.00,540.65,547.96,83434,457.19,-,54809,65.69
HAVELLS,EQ,28-Mar-2006,540.65,548.65,554.50,520.10,526.90,528.10,533.00,76752,409.09,-,43489,56.66
HAVELLS,EQ,29-Mar-2006,528.10,547.90,547.90,512.00,516.00,514.45,521.28,72000,375.32,-,44412,61.68
HAVELLS,EQ,30-Mar-2006,514.45,526.30,564.95,521.05,552.00,553.60,543.97,85707,466.22,-,56407,65.81
HAVELLS,EQ,31-Mar-2006,553.60,562.00,562.00,540.00,543.00,545.60,549.64,51311,282.03,-,17997,35.07
HAVELLS,EQ,03-Apr-2006,545.60,555.00,595.00,555.00,577.00,577.45,577.44,80033,462.14,-,37330,46.64
HAVELLS,EQ,04-Apr-2006,577.45,584.00,584.00,560.15,575.00,574.80,571.66,36157,206.70,-,15875,43.91
HAVELLS,EQ,05-Apr-2006,574.80,576.00,607.95,567.30,598.95,596.90,587.53,67014,393.73,-,27022,40.32
HAVELLS,EQ,07-Apr-2006,596.90,599.00,635.00,595.00,635.00,616.55,614.94,141127,867.85,-,69177,49.02
HAVELLS,EQ,10-Apr-2006,616.55,620.00,664.50,618.00,639.85,639.15,642.10,80811,518.89,-,40580,50.22
HAVELLS,EQ,12-Apr-2006,639.15,653.20,653.20,601.25,604.85,607.90,623.29,72918,454.49,-,36157,49.59
HAVELLS,EQ,13-Apr-2006,607.90,605.00,625.00,585.10,600.00,598.70,603.14,42973,259.19,-,14529,33.81
HAVELLS,EQ,17-Apr-2006,598.70,605.00,619.90,590.00,595.00,601.10,607.99,27735,168.63,-,13497,48.66
HAVELLS,EQ,18-Apr-2006,601.10,601.90,617.70,576.00,590.00,592.85,602.26,33837,203.79,-,16504,48.78
HAVELLS,EQ,19-Apr-2006,592.85,608.00,609.70,580.30,596.00,586.60,595.68,37001,220.41,-,17698,47.83
HAVELLS,EQ,20-Apr-2006,586.60,586.50,600.95,586.50,590.00,590.80,593.09,14213,84.30,-,7052,49.62
HAVELLS,EQ,21-Apr-2006,590.80,595.90,617.95,591.05,614.00,612.70,605.78,32721,198.22,-,17629,53.88
HAVELLS,EQ,24-Apr-2006,612.70,620.75,627.00,611.95,613.05,614.95,617.50,22693,140.13,-,8409,37.06
HAVELLS,EQ,25-Apr-2006,614.95,627.80,628.00,590.00,599.00,595.50,603.61,18388,110.99,-,9320,50.69
HAVELLS,EQ,26-Apr-2006,595.50,606.00,614.00,595.05,608.90,608.05,606.53,12490,75.76,-,5355,42.87
HAVELLS,EQ,27-Apr-2006,608.05,615.00,618.80,591.50,604.30,601.95,607.94,12045,73.23,-,5660,46.99
HAVELLS,EQ,28-Apr-2006,601.95,553.70,602.00,501.00,601.00,596.85,591.30,20908,123.63,-,9549,45.67
HAVELLS,EQ,29-Apr-2006,596.85,603.50,613.90,595.00,600.00,602.50,606.21,6186,37.50,-,3166,51.18
HAVELLS,EQ,02-May-2006,602.50,615.00,615.70,601.10,601.10,604.20,607.08,9788,59.42,-,4384,44.79
HAVELLS,EQ,03-May-2006,604.20,604.20,650.00,572.00,639.95,636.00,632.64,93429,591.07,-,23647,25.31
HAVELLS,EQ,04-May-2006,636.00,643.00,643.00,611.00,617.00,615.20,621.13,26079,161.98,-,12358,47.39
HAVELLS,EQ,05-May-2006,615.20,627.00,627.00,610.25,611.50,613.85,618.07,15179,93.82,-,7476,49.25
HAVELLS,EQ,08-May-2006,613.85,640.00,675.00,635.00,638.00,641.40,653.11,125706,820.99,-,66153,52.63
HAVELLS,EQ,09-May-2006,641.40,650.00,657.30,641.10,657.30,653.55,651.21,51074,332.60,-,23567,46.14
HAVELLS,EQ,10-May-2006,653.55,646.00,674.85,646.00,667.05,666.15,667.09,60961,406.67,-,25958,42.58
HAVELLS,EQ,11-May-2006,666.15,669.90,749.00,660.00,710.00,711.10,719.52,224466,1615.09,-,63080,28.10
HAVELLS,EQ,12-May-2006,711.10,717.00,744.00,662.20,715.00,716.70,730.30,103346,754.74,-,32395,31.35
HAVELLS,EQ,15-May-2006,716.70,725.00,748.00,714.00,723.05,721.75,733.16,83810,614.46,-,29640,35.37
HAVELLS,EQ,16-May-2006,721.75,735.00,745.00,650.00,707.35,704.70,699.11,79337,554.65,-,26883,33.88
HAVELLS,EQ,17-May-2006,704.70,710.00,774.00,710.00,751.05,751.00,745.32,172028,1282.16,-,63613,36.98
HAVELLS,EQ,18-May-2006,751.00,748.00,784.40,670.00,685.00,693.40,745.37,426214,3176.85,-,91812,21.54
HAVELLS,EQ,19-May-2006,693.40,738.00,755.25,665.65,683.30,677.35,712.76,182374,1299.90,-,73059,40.06
HAVELLS,EQ,22-May-2006,677.35,699.95,715.55,575.00,625.00,626.25,629.35,97916,616.23,-,43478,44.40
HAVELLS,EQ,23-May-2006,626.25,625.00,625.00,596.20,607.00,614.30,616.07,78956,486.42,-,45489,57.61
HAVELLS,EQ,24-May-2006,614.30,647.70,675.00,614.00,642.20,643.40,651.40,63002,410.40,-,26339,41.81
HAVELLS,EQ,25-May-2006,643.40,630.00,648.70,625.00,627.00,628.75,632.11,40349,255.05,-,19102,47.34
HAVELLS,EQ,26-May-2006,628.75,640.00,669.95,634.20,639.50,637.90,646.15,44323,286.39,-,20617,46.52
HAVELLS,EQ,29-May-2006,637.90,650.00,654.00,638.00,645.60,645.35,644.61,27626,178.08,-,8813,31.90
HAVELLS,EQ,30-May-2006,645.35,650.00,654.00,633.10,633.10,641.20,646.31,25748,166.41,-,10561,41.02
HAVELLS,EQ,31-May-2006,641.20,576.00,638.90,576.00,608.10,610.15,607.35,63148,383.53,-,28605,45.30
HAVELLS,EQ,01-Jun-2006,610.15,630.00,630.00,585.20,589.00,597.05,608.87,27866,169.67,-,10518,37.74
HAVELLS,EQ,02-Jun-2006,597.05,597.05,597.05,560.00,584.80,578.85,573.22,42900,245.91,-,18858,43.96
HAVELLS,EQ,05-Jun-2006,578.85,578.85,610.00,545.00,585.00,587.35,590.98,28234,166.86,-,9365,33.17
HAVELLS,EQ,06-Jun-2006,587.35,562.00,574.95,560.00,563.35,564.05,566.73,29024,164.49,-,11855,40.85
HAVELLS,EQ,07-Jun-2006,564.05,564.50,564.50,492.25,497.00,499.05,525.28,40491,212.69,-,18954,46.81
HAVELLS,EQ,08-Jun-2006,499.05,470.00,479.95,410.00,435.00,439.10,435.26,54229,236.04,-,25516,47.05
HAVELLS,EQ,09-Jun-2006,439.10,439.10,505.00,390.30,500.00,496.85,464.25,72449,336.34,-,27926,38.55
HAVELLS,EQ,12-Jun-2006,496.85,524.00,525.00,471.00,474.00,474.55,487.37,48981,238.72,-,22672,46.29
HAVELLS,EQ,13-Jun-2006,474.55,465.00,465.00,437.10,440.00,441.95,447.81,24602,110.17,-,10678,43.40
HAVELLS,EQ,14-Jun-2006,441.95,515.00,515.00,442.00,450.00,459.85,461.53,52223,241.02,-,19538,37.41
HAVELLS,EQ,15-Jun-2006,459.85,479.00,500.00,451.00,482.50,481.00,476.41,42563,202.78,-,12704,29.85
HAVELLS,EQ,16-Jun-2006,481.00,498.70,524.95,470.30,475.25,480.05,498.24,71891,358.19,-,30385,42.27
HAVELLS,EQ,19-Jun-2006,480.05,480.50,533.40,456.80,526.00,525.25,506.00,72415,366.42,-,21488,29.67
HAVELLS,EQ,20-Jun-2006,525.25,528.00,574.40,500.15,541.00,540.50,545.65,105288,574.50,-,24308,23.09
HAVELLS,EQ,21-Jun-2006,540.50,528.00,580.00,503.40,557.05,555.45,555.32,53769,298.59,-,16930,31.49
HAVELLS,EQ,22-Jun-2006,555.45,573.00,593.85,560.00,581.60,582.30,579.70,62220,360.69,-,18169,29.20
HAVELLS,EQ,23-Jun-2006,582.30,566.50,600.05,553.15,576.95,582.10,585.49,64406,377.09,-,14069,21.84
HAVELLS,EQ,25-Jun-2006,582.10,585.20,593.00,580.15,583.00,583.40,586.57,8095,47.48,-,3394,41.93
HAVELLS,EQ,26-Jun-2006,583.40,590.00,604.00,561.00,568.00,568.35,584.49,51493,300.97,-,17548,34.08
HAVELLS,EQ,27-Jun-2006,568.35,565.00,576.00,534.00,534.95,540.90,551.93,45363,250.37,-,19135,42.18
HAVELLS,EQ,28-Jun-2006,540.90,540.90,541.90,522.00,525.15,526.80,530.97,26899,142.83,-,12342,45.88
HAVELLS,EQ,29-Jun-2006,526.80,547.00,547.55,490.30,533.00,532.45,539.68,30371,163.91,-,15777,51.95
HAVELLS,EQ,30-Jun-2006,532.45,557.70,568.90,545.00,553.00,551.30,551.44,34786,191.82,-,15009,43.15
HAVELLS,EQ,03-Jul-2006,551.30,565.00,566.80,552.50,559.00,557.10,557.05,18686,104.09,-,7986,42.74
HAVELLS,EQ,04-Jul-2006,557.10,560.00,575.00,560.00,570.95,569.00,569.41,38562,219.57,-,13297,34.48
HAVELLS,EQ,05-Jul-2006,569.00,569.00,593.00,565.00,592.00,587.50,582.52,38439,223.91,-,16471,42.85
