Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HINDCONS,EQ,02-Jan-2006,124.40,126.00,129.20,123.50,128.50,127.20,125.89,458839,577.62,-,248606,54.18
HINDCONS,EQ,03-Jan-2006,127.20,129.65,132.40,128.00,128.40,128.95,130.41,755682,985.50,-,410459,54.32
HINDCONS,EQ,04-Jan-2006,128.95,129.95,131.20,126.30,129.60,129.60,129.05,632940,816.82,-,371282,58.66
HINDCONS,EQ,05-Jan-2006,129.60,130.00,130.45,127.00,128.20,127.85,127.96,292759,374.62,-,190403,65.04
HINDCONS,EQ,06-Jan-2006,127.85,128.00,131.60,127.50,131.60,130.60,129.95,512021,665.38,-,180053,35.17
HINDCONS,EQ,09-Jan-2006,130.60,131.55,134.70,131.00,133.50,133.65,133.13,787151,1047.92,-,302648,38.45
HINDCONS,EQ,10-Jan-2006,133.65,132.80,134.85,132.10,132.25,132.75,133.33,335332,447.09,-,161279,48.10
HINDCONS,EQ,12-Jan-2006,132.75,130.00,132.85,125.20,132.25,132.30,131.58,207788,273.41,-,101746,48.97
HINDCONS,EQ,13-Jan-2006,132.30,131.50,138.40,131.00,138.00,137.10,136.43,630493,860.19,-,298798,47.39
HINDCONS,EQ,16-Jan-2006,137.10,139.25,144.80,139.25,144.50,143.20,141.66,693561,982.51,-,317102,45.72
HINDCONS,EQ,17-Jan-2006,143.20,145.50,147.90,142.05,142.10,142.95,145.01,649994,942.53,-,306882,47.21
HINDCONS,EQ,18-Jan-2006,142.95,138.00,144.00,137.00,143.45,142.70,141.14,285214,402.56,-,140385,49.22
HINDCONS,EQ,19-Jan-2006,142.70,144.30,147.50,143.00,146.65,146.25,144.91,423154,613.18,-,262075,61.93
HINDCONS,EQ,20-Jan-2006,146.25,148.25,156.70,148.25,152.70,153.85,153.37,1202084,1843.68,-,471303,39.21
HINDCONS,EQ,23-Jan-2006,153.85,154.40,160.00,151.00,153.50,153.60,155.65,555058,863.96,-,240381,43.31
HINDCONS,EQ,24-Jan-2006,153.60,155.00,164.90,155.00,158.00,157.45,159.62,974372,1555.30,-,351432,36.07
HINDCONS,EQ,25-Jan-2006,157.45,159.90,164.00,158.10,159.10,160.05,161.12,463530,746.86,-,212523,45.85
HINDCONS,EQ,27-Jan-2006,160.05,161.80,161.80,157.00,160.65,159.35,159.65,363946,581.03,-,192521,52.90
HINDCONS,EQ,30-Jan-2006,159.35,161.30,161.30,150.00,153.95,152.00,155.53,341353,530.91,-,191200,56.01
HINDCONS,EQ,31-Jan-2006,152.00,153.50,154.80,146.50,149.80,149.65,149.97,311626,467.35,-,188816,60.59
HINDCONS,EQ,01-Feb-2006,149.65,151.30,153.50,147.10,148.25,148.45,150.44,193160,290.60,-,81693,42.29
HINDCONS,EQ,02-Feb-2006,148.45,149.45,151.45,145.00,145.50,145.95,147.46,202439,298.51,-,99341,49.07
HINDCONS,EQ,03-Feb-2006,145.95,141.00,156.70,141.00,152.80,152.10,151.53,573490,868.99,-,288556,50.32
HINDCONS,EQ,06-Feb-2006,152.10,152.70,153.70,146.50,148.00,147.55,149.74,354496,530.81,-,208122,58.71
HINDCONS,EQ,07-Feb-2006,147.55,149.00,155.10,147.10,154.00,154.35,151.47,504808,764.61,-,301062,59.64
HINDCONS,EQ,08-Feb-2006,154.35,155.00,156.70,150.20,152.05,152.15,152.19,199550,303.69,-,95727,47.97
HINDCONS,EQ,10-Feb-2006,152.15,149.00,155.25,149.00,150.25,150.45,151.63,401982,609.54,-,324875,80.82
HINDCONS,EQ,13-Feb-2006,150.45,152.00,152.70,147.00,147.50,147.70,148.97,227420,338.78,-,167203,73.52
HINDCONS,EQ,14-Feb-2006,147.70,145.10,149.85,143.50,144.40,144.90,146.23,363043,530.87,-,285758,78.71
HINDCONS,EQ,15-Feb-2006,144.90,146.30,147.35,143.60,146.00,146.45,145.13,429485,623.32,-,358041,83.37
HINDCONS,EQ,16-Feb-2006,146.45,147.60,150.00,145.00,149.65,149.00,147.17,149332,219.77,-,83491,55.91
HINDCONS,EQ,17-Feb-2006,149.00,151.00,151.15,144.00,145.65,145.05,147.49,173120,255.33,-,112687,65.09
HINDCONS,EQ,20-Feb-2006,145.05,143.20,143.90,139.25,140.10,140.20,140.51,153694,215.96,-,107805,70.14
HINDCONS,EQ,21-Feb-2006,140.20,141.65,148.00,140.60,148.00,146.75,145.39,193429,281.23,-,90339,46.70
HINDCONS,EQ,22-Feb-2006,146.75,149.00,150.00,142.20,144.05,143.60,146.90,808378,1187.50,-,697554,86.29
HINDCONS,EQ,23-Feb-2006,143.60,144.80,146.70,142.10,145.35,144.65,144.73,175733,254.33,-,87159,49.60
HINDCONS,EQ,24-Feb-2006,144.65,145.90,146.50,144.10,145.40,145.40,145.40,130066,189.11,-,63136,48.54
HINDCONS,EQ,27-Feb-2006,145.40,146.85,151.90,145.50,150.40,150.10,150.00,436627,654.94,-,201864,46.23
HINDCONS,EQ,28-Feb-2006,150.10,151.65,153.70,146.00,150.00,150.15,151.27,606893,918.06,-,237930,39.20
HINDCONS,EQ,01-Mar-2006,150.15,151.45,156.00,147.35,155.10,155.00,153.30,502605,770.49,-,281620,56.03
HINDCONS,EQ,02-Mar-2006,155.00,155.00,182.90,152.55,173.00,172.80,171.34,3106945,5323.35,-,985671,31.72
HINDCONS,EQ,03-Mar-2006,172.80,174.80,185.00,171.00,175.00,175.25,179.49,4007089,7192.51,-,769525,19.20
HINDCONS,EQ,06-Mar-2006,175.25,178.00,181.00,175.00,176.15,175.55,177.61,1030260,1829.83,-,318654,30.93
HINDCONS,EQ,07-Mar-2006,175.55,176.35,176.80,170.10,171.00,171.30,172.65,387132,668.38,-,175491,45.33
HINDCONS,EQ,08-Mar-2006,171.30,172.80,173.60,162.00,162.00,164.45,168.95,514858,869.87,-,246901,47.96
HINDCONS,EQ,09-Mar-2006,164.45,164.95,172.65,156.00,169.25,170.00,165.85,584592,969.54,-,157801,26.99
HINDCONS,EQ,10-Mar-2006,170.00,171.40,178.70,170.75,172.50,172.25,174.27,638435,1112.59,-,232728,36.45
HINDCONS,EQ,13-Mar-2006,172.25,174.60,177.45,169.50,169.50,171.45,174.50,682149,1190.32,-,313525,45.96
HINDCONS,EQ,14-Mar-2006,171.45,172.30,172.45,167.00,168.25,167.85,169.40,235813,399.46,-,99805,42.32
HINDCONS,EQ,16-Mar-2006,167.85,169.60,179.00,163.10,174.30,172.80,172.05,1444063,2484.58,-,760520,52.67
HINDCONS,EQ,17-Mar-2006,172.80,175.00,178.45,168.50,173.00,174.00,174.23,1278698,2227.88,-,750166,58.67
HINDCONS,EQ,20-Mar-2006,174.00,176.10,176.45,169.50,170.80,171.00,171.69,718997,1234.45,-,458902,63.83
HINDCONS,EQ,21-Mar-2006,171.00,173.00,173.00,169.55,170.90,170.45,171.08,591613,1012.12,-,363045,61.37
HINDCONS,EQ,22-Mar-2006,170.45,170.70,170.70,164.35,168.50,168.55,168.22,415609,699.12,-,234801,56.50
HINDCONS,EQ,23-Mar-2006,168.55,169.00,171.95,150.00,164.80,165.15,166.83,269578,449.74,-,129090,47.89
HINDCONS,EQ,24-Mar-2006,165.15,166.75,176.75,166.00,176.00,175.55,172.88,781381,1350.84,-,524864,67.17
