Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDIL,EQ,24-Jul-2007,500.00,538.60,575.95,535.00,555.25,559.35,559.73,28590806,160030.82,-,8437530,29.51
HDIL,EQ,25-Jul-2007,559.35,549.40,587.40,545.30,585.00,580.10,566.70,8552244,48465.14,-,2710139,31.69
HDIL,EQ,26-Jul-2007,580.10,585.60,634.30,585.60,620.50,621.40,613.39,9125757,55976.88,-,1441305,15.79
HDIL,EQ,27-Jul-2007,621.40,601.55,609.90,555.00,575.00,579.80,586.89,8396945,49280.56,-,1280297,15.25
HDIL,EQ,30-Jul-2007,579.80,583.00,604.50,570.00,571.35,575.85,591.26,5350142,31633.08,-,731040,13.66
HDIL,EQ,31-Jul-2007,575.85,583.00,588.80,555.75,575.05,573.05,575.56,3669861,21122.18,-,687910,18.74
HDIL,EQ,01-Aug-2007,573.05,570.00,570.00,506.10,510.10,515.20,532.78,4547108,24226.24,-,739941,16.27
HDIL,EQ,02-Aug-2007,515.20,512.00,546.70,511.25,527.95,527.00,530.95,4894283,25986.29,-,775746,15.85
HDIL,EQ,03-Aug-2007,527.00,533.20,547.90,521.25,526.15,528.85,533.76,2336308,12470.33,-,319904,13.69
HDIL,EQ,06-Aug-2007,528.85,518.00,518.00,489.35,500.10,499.65,500.69,2955087,14795.94,-,321341,10.87
HDIL,EQ,07-Aug-2007,499.65,507.00,533.80,506.00,520.90,525.55,520.66,4407917,22950.31,-,689355,15.64
HDIL,EQ,08-Aug-2007,525.55,528.70,535.90,523.10,525.45,525.70,529.68,1739450,9213.58,-,227404,13.07
HDIL,EQ,09-Aug-2007,525.70,531.00,540.65,507.10,509.00,509.90,522.86,1539282,8048.35,-,351246,22.82
HDIL,EQ,10-Aug-2007,509.90,495.00,517.70,480.05,516.00,513.60,503.20,1565297,7876.52,-,199664,12.76
HDIL,EQ,13-Aug-2007,513.60,518.00,524.80,509.00,524.25,520.45,517.26,1059006,5477.84,-,301373,28.46
HDIL,EQ,14-Aug-2007,520.45,522.10,551.80,519.15,543.00,545.20,536.68,2601287,13960.69,-,574874,22.10
HDIL,EQ,16-Aug-2007,545.20,540.00,540.00,502.75,505.50,506.80,512.74,1740194,8922.67,-,366057,21.04
HDIL,EQ,17-Aug-2007,506.80,600.00,600.00,480.00,502.00,500.95,500.95,2058415,10311.61,-,568544,27.62
HDIL,EQ,20-Aug-2007,500.95,518.00,533.80,510.00,517.00,520.15,525.76,1989040,10457.49,-,260400,13.09
HDIL,EQ,21-Aug-2007,520.15,530.00,530.00,479.10,499.00,490.25,497.92,1666333,8297.01,-,364200,21.86
HDIL,EQ,22-Aug-2007,490.25,502.00,504.70,477.50,495.40,492.85,490.31,2253026,11046.77,-,673349,29.89
HDIL,EQ,23-Aug-2007,492.85,502.00,516.00,482.65,486.65,487.25,501.46,1566565,7855.77,-,282346,18.02
HDIL,EQ,24-Aug-2007,487.25,525.00,525.00,492.15,505.50,506.05,501.34,889096,4457.44,-,119829,13.48
HDIL,EQ,27-Aug-2007,506.05,519.50,540.00,510.15,534.30,534.75,526.58,1387931,7308.54,-,535062,38.55
HDIL,EQ,28-Aug-2007,534.75,532.00,553.20,526.30,539.40,542.55,542.34,1913568,10377.95,-,503496,26.31
HDIL,EQ,29-Aug-2007,542.55,532.00,549.80,523.10,540.65,540.75,540.06,1831730,9892.39,-,435955,23.80
HDIL,EQ,30-Aug-2007,540.75,590.00,590.00,521.10,528.00,537.85,549.33,12145661,66719.93,-,4941787,40.69
HDIL,EQ,31-Aug-2007,537.85,536.00,545.40,526.30,536.80,536.40,538.97,2667466,14376.84,-,958228,35.92
HDIL,EQ,03-Sep-2007,536.40,550.25,550.25,534.50,538.00,537.65,539.80,1208402,6522.98,-,428532,35.46
HDIL,EQ,04-Sep-2007,537.65,549.80,549.80,536.45,538.05,539.25,541.97,1461399,7920.28,-,506836,34.68
HDIL,EQ,05-Sep-2007,539.25,541.10,543.80,531.05,531.65,533.85,537.51,625092,3359.90,-,198550,31.76
HDIL,EQ,06-Sep-2007,533.85,562.00,562.00,529.10,542.10,541.55,540.00,1081075,5837.81,-,468459,43.33
HDIL,EQ,07-Sep-2007,541.55,532.05,545.00,531.50,532.00,533.05,538.27,572616,3082.22,-,269812,47.12
HDIL,EQ,10-Sep-2007,533.05,539.80,545.05,525.00,544.00,541.75,538.56,973431,5242.54,-,479386,49.25
HDIL,EQ,11-Sep-2007,541.75,543.00,565.70,543.00,563.00,562.85,555.75,2090751,11619.28,-,618686,29.59
HDIL,EQ,12-Sep-2007,562.85,566.00,580.85,563.00,572.00,573.30,574.98,2843138,16347.53,-,1063764,37.42
HDIL,EQ,13-Sep-2007,573.30,610.00,610.00,573.10,579.90,580.85,579.52,1511322,8758.39,-,583458,38.61
HDIL,EQ,14-Sep-2007,580.85,585.00,610.00,583.25,595.90,593.40,598.49,2975273,17806.58,-,918720,30.88
HDIL,EQ,17-Sep-2007,593.40,596.60,612.90,591.30,609.00,610.00,602.36,2920834,17593.85,-,1038987,35.57
HDIL,EQ,18-Sep-2007,610.00,601.85,631.00,580.00,625.00,626.40,621.31,2033993,12637.45,-,470645,23.14
HDIL,EQ,19-Sep-2007,626.40,635.00,668.00,635.00,646.00,645.60,649.15,2950953,19156.01,-,1082348,36.68
HDIL,EQ,20-Sep-2007,645.60,648.00,667.00,600.00,646.40,647.65,654.30,1831686,11984.79,-,422085,23.04
HDIL,EQ,21-Sep-2007,647.65,646.50,655.70,625.05,633.00,632.80,641.36,830971,5329.49,-,341353,41.08
HDIL,EQ,24-Sep-2007,632.80,639.00,655.05,627.00,634.60,635.80,638.83,510983,3264.31,-,118319,23.16
