Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HEG,EQ,02-Jan-2006,161.75,158.55,163.70,158.50,160.00,161.05,161.66,9312,15.05,-,6820,73.24
HEG,EQ,03-Jan-2006,161.05,162.15,174.45,162.15,167.35,167.15,168.92,42762,72.23,-,14807,34.63
HEG,EQ,04-Jan-2006,167.15,166.65,170.00,164.20,166.90,165.65,167.00,19848,33.15,-,14120,71.14
HEG,EQ,05-Jan-2006,165.65,165.00,165.00,161.00,161.00,161.55,162.35,34123,55.40,-,26605,77.97
HEG,EQ,06-Jan-2006,161.55,163.00,163.00,160.50,163.00,162.35,161.96,13453,21.79,-,7254,53.92
HEG,EQ,09-Jan-2006,162.35,162.00,162.50,159.65,161.35,160.85,161.34,11891,19.19,-,10211,85.87
HEG,EQ,10-Jan-2006,160.85,159.10,163.00,159.00,160.00,159.50,160.07,13725,21.97,-,11211,81.68
HEG,EQ,12-Jan-2006,159.50,160.00,160.85,156.00,156.00,156.65,158.36,35803,56.70,-,28729,80.24
HEG,EQ,13-Jan-2006,156.65,155.00,159.50,152.00,153.00,154.05,155.54,43017,66.91,-,34006,79.05
HEG,EQ,16-Jan-2006,154.05,158.00,158.00,151.25,152.00,152.55,154.03,30239,46.58,-,22125,73.17
HEG,EQ,17-Jan-2006,152.55,154.85,154.85,150.00,152.50,151.70,152.50,18871,28.78,-,14330,75.94
HEG,EQ,18-Jan-2006,151.70,152.00,153.00,150.00,150.00,150.35,150.83,8758,13.21,-,7308,83.44
HEG,EQ,19-Jan-2006,150.35,151.95,154.00,148.55,150.00,150.65,151.16,18428,27.86,-,14871,80.70
HEG,EQ,20-Jan-2006,150.65,152.10,153.95,148.55,150.00,149.00,150.44,11685,17.58,-,8634,73.89
HEG,EQ,23-Jan-2006,149.00,151.00,151.00,147.00,148.00,148.60,149.10,8011,11.94,-,6030,75.27
HEG,EQ,24-Jan-2006,148.60,150.00,151.85,147.50,148.85,149.45,149.15,11082,16.53,-,7649,69.02
HEG,EQ,25-Jan-2006,149.45,154.95,158.95,149.00,149.25,150.05,152.57,35359,53.95,-,21333,60.33
HEG,EQ,27-Jan-2006,150.05,153.00,156.00,148.00,151.00,149.65,152.20,42856,65.23,-,30754,71.76
HEG,EQ,30-Jan-2006,149.65,154.00,157.00,150.60,152.85,151.65,154.53,131170,202.70,-,103822,79.15
HEG,EQ,31-Jan-2006,151.65,150.50,153.00,149.55,150.05,150.30,150.85,24173,36.47,-,11010,45.55
HEG,EQ,01-Feb-2006,150.30,150.00,151.90,148.00,148.00,148.25,149.75,13208,19.78,-,10737,81.29
HEG,EQ,02-Feb-2006,148.25,148.05,151.50,147.00,151.35,150.75,150.01,34557,51.84,-,26473,76.61
HEG,EQ,03-Feb-2006,150.75,152.00,156.70,151.00,155.15,154.70,153.24,310781,476.23,-,261389,84.11
HEG,EQ,06-Feb-2006,154.70,160.00,164.00,153.50,157.25,157.90,158.79,196037,311.28,-,105362,53.75
HEG,EQ,07-Feb-2006,157.90,160.00,162.00,158.10,161.65,161.05,160.22,373611,598.59,-,328857,88.02
HEG,EQ,08-Feb-2006,161.05,162.90,169.60,161.00,168.00,167.70,167.04,123578,206.43,-,67036,54.25
HEG,EQ,10-Feb-2006,167.70,170.70,171.85,166.00,168.00,167.95,168.74,63063,106.41,-,30527,48.41
HEG,EQ,13-Feb-2006,167.95,171.50,171.50,168.00,168.00,168.15,169.26,37227,63.01,-,21003,56.42
HEG,EQ,14-Feb-2006,168.15,168.50,170.80,165.80,168.05,168.05,168.50,78602,132.45,-,49513,62.99
HEG,EQ,15-Feb-2006,168.05,169.45,175.80,168.00,171.00,170.80,171.97,60070,103.30,-,30275,50.40
HEG,EQ,16-Feb-2006,170.80,174.00,175.00,169.10,169.35,170.20,171.15,91285,156.24,-,75238,82.42
HEG,EQ,17-Feb-2006,170.20,172.70,172.75,168.60,169.00,169.00,169.40,27117,45.94,-,20561,75.82
HEG,EQ,20-Feb-2006,169.00,169.70,179.80,168.65,172.50,173.10,173.73,118335,205.58,-,41044,34.68
HEG,EQ,21-Feb-2006,173.10,177.50,177.50,168.10,168.10,170.10,172.59,30285,52.27,-,15592,51.48
