Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HEROHONDA,EQ,02-Jan-2006,859.20,865.00,865.00,841.00,843.10,846.10,852.39,139006,1184.87,-,45989,33.08
HEROHONDA,EQ,03-Jan-2006,846.10,849.00,866.90,847.00,859.00,861.25,859.57,351510,3021.47,-,205093,58.35
HEROHONDA,EQ,04-Jan-2006,861.25,864.95,864.95,851.00,861.95,856.65,857.67,275706,2364.65,-,188865,68.50
HEROHONDA,EQ,05-Jan-2006,856.65,857.85,872.85,855.05,866.55,867.95,867.56,286159,2482.62,-,134030,46.84
HEROHONDA,EQ,06-Jan-2006,867.95,867.80,882.00,866.00,879.00,877.25,875.63,600970,5262.29,-,390081,64.91
HEROHONDA,EQ,09-Jan-2006,877.25,878.00,888.20,865.30,867.25,873.20,879.07,283808,2494.88,-,126763,44.67
HEROHONDA,EQ,10-Jan-2006,873.20,861.10,875.00,844.05,848.00,846.30,855.62,400418,3426.05,-,247611,61.84
HEROHONDA,EQ,12-Jan-2006,846.30,846.30,856.80,839.05,845.20,842.65,844.21,509567,4301.81,-,363479,71.33
HEROHONDA,EQ,13-Jan-2006,842.65,855.50,855.50,832.50,838.00,838.75,842.74,214849,1810.62,-,97086,45.19
HEROHONDA,EQ,16-Jan-2006,838.75,835.00,846.00,832.60,840.15,841.00,839.47,146905,1233.22,-,61968,42.18
HEROHONDA,EQ,17-Jan-2006,841.00,840.15,847.65,831.15,835.00,834.30,838.13,153243,1284.38,-,75699,49.40
HEROHONDA,EQ,18-Jan-2006,834.30,831.15,839.95,820.15,839.00,832.25,828.14,239472,1983.16,-,125449,52.39
HEROHONDA,EQ,19-Jan-2006,832.25,839.95,854.50,834.00,842.00,841.65,847.56,344766,2922.10,-,221966,64.38
HEROHONDA,EQ,20-Jan-2006,841.65,843.00,851.90,841.00,844.95,848.15,846.88,169592,1436.25,-,102752,60.59
HEROHONDA,EQ,23-Jan-2006,848.15,846.00,850.00,828.00,835.00,835.75,842.20,242551,2042.76,-,157291,64.85
HEROHONDA,EQ,24-Jan-2006,835.75,839.00,845.85,835.10,835.10,838.15,840.45,262796,2208.68,-,151678,57.72
HEROHONDA,EQ,25-Jan-2006,838.15,842.00,867.35,838.05,860.25,862.25,857.36,618781,5305.21,-,373321,60.33
HEROHONDA,EQ,27-Jan-2006,862.25,864.00,880.00,864.00,877.00,876.85,875.47,396261,3469.14,-,266695,67.30
HEROHONDA,EQ,30-Jan-2006,876.85,878.00,887.80,844.10,851.00,850.85,860.08,388398,3340.52,-,222520,57.29
HEROHONDA,EQ,31-Jan-2006,850.85,857.00,867.80,854.10,854.10,857.20,862.17,210587,1815.62,-,100589,47.77
HEROHONDA,EQ,01-Feb-2006,857.20,860.05,878.90,857.00,864.40,864.75,869.18,529120,4599.03,-,307133,58.05
HEROHONDA,EQ,02-Feb-2006,864.75,867.80,873.00,855.50,860.00,859.20,862.68,203620,1756.60,-,112204,55.10
HEROHONDA,EQ,03-Feb-2006,859.20,853.10,857.50,836.60,846.55,849.30,851.45,164081,1397.06,-,89857,54.76
HEROHONDA,EQ,06-Feb-2006,849.30,849.90,875.00,845.10,873.00,870.60,862.82,323594,2792.04,-,225891,69.81
HEROHONDA,EQ,07-Feb-2006,870.60,878.50,880.50,850.50,878.00,874.15,874.04,546933,4780.42,-,380316,69.54
HEROHONDA,EQ,08-Feb-2006,874.15,875.00,895.00,860.00,887.00,885.05,875.79,453939,3975.55,-,273968,60.35
HEROHONDA,EQ,10-Feb-2006,885.05,894.90,927.30,891.00,923.00,922.70,910.93,557359,5077.14,-,245473,44.04
HEROHONDA,EQ,13-Feb-2006,922.70,923.80,940.00,901.50,906.25,906.75,909.34,202888,1844.95,-,104304,51.41
HEROHONDA,EQ,14-Feb-2006,906.75,916.70,928.80,893.00,900.00,903.75,909.85,648357,5899.05,-,409587,63.17
HEROHONDA,EQ,15-Feb-2006,903.75,904.90,914.00,885.80,890.00,893.00,897.89,205704,1846.99,-,51507,25.04
HEROHONDA,EQ,16-Feb-2006,893.00,898.00,927.20,894.50,920.25,921.25,916.73,323262,2963.44,-,159176,49.24
HEROHONDA,EQ,17-Feb-2006,921.25,926.00,937.80,884.00,889.00,889.10,911.35,454929,4145.97,-,241137,53.01
HEROHONDA,EQ,20-Feb-2006,889.10,906.80,906.80,868.00,880.25,885.40,881.83,175232,1545.24,-,50544,28.84
HEROHONDA,EQ,21-Feb-2006,885.40,888.10,905.30,888.10,899.00,897.00,897.07,203143,1822.34,-,87295,42.97
HEROHONDA,EQ,22-Feb-2006,897.00,904.40,907.00,891.00,893.10,897.30,896.98,119137,1068.63,-,49125,41.23
HEROHONDA,EQ,23-Feb-2006,897.30,898.50,921.80,890.05,903.00,913.80,910.88,512153,4665.10,-,317946,62.08
HEROHONDA,EQ,24-Feb-2006,913.80,914.80,914.80,885.10,886.30,889.45,893.07,187208,1671.91,-,88350,47.19
HEROHONDA,EQ,27-Feb-2006,889.45,893.00,903.00,880.25,885.95,887.85,893.65,174037,1555.28,-,86070,49.46
HEROHONDA,EQ,28-Feb-2006,887.85,894.90,899.00,866.15,886.05,889.30,885.36,277852,2459.99,-,132260,47.60
HEROHONDA,EQ,01-Mar-2006,889.30,889.50,908.70,887.00,894.00,896.40,900.06,617074,5554.04,-,366882,59.46
HEROHONDA,EQ,02-Mar-2006,896.40,900.00,915.00,895.00,899.90,900.25,906.04,556409,5041.29,-,334631,60.14
HEROHONDA,EQ,03-Mar-2006,900.25,907.65,911.00,872.00,881.00,879.65,888.41,569740,5061.65,-,341772,59.99
HEROHONDA,EQ,06-Mar-2006,879.65,888.45,893.00,881.00,883.00,884.30,885.87,220916,1957.02,-,135053,61.13
HEROHONDA,EQ,07-Mar-2006,884.30,889.90,892.00,875.25,888.05,887.85,885.46,275860,2442.63,-,143440,52.00
HEROHONDA,EQ,08-Mar-2006,887.85,889.85,918.00,880.00,898.00,901.00,898.39,961205,8635.36,-,554350,57.67
HEROHONDA,EQ,09-Mar-2006,901.00,901.00,912.00,864.30,877.00,880.60,884.06,558839,4940.45,-,259478,46.43
HEROHONDA,EQ,10-Mar-2006,880.60,884.00,908.00,875.00,902.00,903.65,896.52,472695,4237.82,-,235186,49.75
HEROHONDA,EQ,13-Mar-2006,903.65,909.00,912.45,888.20,894.00,894.55,896.69,184344,1653.00,-,79301,43.02
HEROHONDA,EQ,14-Mar-2006,894.55,857.60,900.00,819.10,881.00,882.45,888.86,151679,1348.21,-,52015,34.29
HEROHONDA,EQ,16-Mar-2006,882.45,902.00,914.80,884.00,891.00,890.50,888.91,218289,1940.39,-,156669,71.77
HEROHONDA,EQ,17-Mar-2006,890.50,886.20,902.00,886.05,901.50,897.90,895.13,245716,2199.47,-,150947,61.43
HEROHONDA,EQ,20-Mar-2006,897.90,906.00,912.80,898.05,911.00,910.30,907.65,173496,1574.73,-,100218,57.76
HEROHONDA,EQ,21-Mar-2006,910.30,910.30,939.80,910.00,911.50,913.80,927.98,521467,4839.12,-,305670,58.62
HEROHONDA,EQ,22-Mar-2006,913.80,914.00,919.80,885.50,895.00,895.05,898.77,251064,2256.48,-,118785,47.31
HEROHONDA,EQ,23-Mar-2006,895.05,894.40,904.80,885.00,885.50,887.50,895.70,119676,1071.94,-,40636,33.96
HEROHONDA,EQ,24-Mar-2006,887.50,885.00,899.85,870.25,887.75,889.40,893.39,153706,1373.19,-,110191,71.69
HEROHONDA,EQ,27-Mar-2006,889.40,894.75,910.00,880.50,890.00,887.30,897.48,243385,2184.34,-,162628,66.82
HEROHONDA,EQ,28-Mar-2006,887.30,895.00,902.95,881.00,881.00,885.55,895.30,194211,1738.78,-,118735,61.14
HEROHONDA,EQ,29-Mar-2006,885.55,887.00,899.85,874.15,882.90,880.05,880.14,425399,3744.10,-,301627,70.90
HEROHONDA,EQ,30-Mar-2006,880.05,894.00,909.00,882.20,897.00,893.15,891.79,252191,2249.01,-,176596,70.02
HEROHONDA,EQ,31-Mar-2006,893.15,895.05,909.00,885.40,891.00,890.45,899.07,536100,4819.89,-,419851,78.32
HEROHONDA,EQ,03-Apr-2006,890.45,905.00,906.00,889.00,893.00,896.25,895.65,650287,5824.33,-,518684,79.76
HEROHONDA,EQ,04-Apr-2006,896.25,905.00,905.25,890.60,894.80,895.25,898.14,375060,3368.57,-,245703,65.51
HEROHONDA,EQ,05-Apr-2006,895.25,905.00,915.90,896.00,900.00,900.20,905.93,633584,5739.83,-,405282,63.97
HEROHONDA,EQ,07-Apr-2006,900.20,909.85,909.90,862.55,874.00,874.80,889.57,715478,6364.69,-,458693,64.11
HEROHONDA,EQ,10-Apr-2006,874.80,872.00,888.90,863.25,869.00,869.60,870.11,463435,4032.38,-,275068,59.35
HEROHONDA,EQ,12-Apr-2006,869.60,862.20,862.20,825.00,834.90,829.25,842.51,941375,7931.20,-,599078,63.64
HEROHONDA,EQ,13-Apr-2006,829.25,829.00,856.70,812.00,826.80,824.60,825.20,383546,3165.02,-,165212,43.07
HEROHONDA,EQ,17-Apr-2006,824.60,849.40,860.00,832.00,849.70,848.65,844.68,380679,3215.52,-,246919,64.86
HEROHONDA,EQ,18-Apr-2006,848.65,849.80,886.80,849.80,872.00,878.80,871.16,1219421,10623.16,-,890194,73.00
HEROHONDA,EQ,19-Apr-2006,878.80,885.00,885.10,861.00,870.00,870.90,876.31,400984,3513.87,-,251555,62.73
HEROHONDA,EQ,20-Apr-2006,870.90,879.95,884.40,852.20,861.00,856.95,858.77,755738,6490.06,-,616109,81.52
HEROHONDA,EQ,21-Apr-2006,856.95,865.10,865.10,845.00,854.00,855.00,859.30,907652,7799.46,-,806174,88.82
HEROHONDA,EQ,24-Apr-2006,855.00,859.70,859.85,840.60,843.20,849.70,851.48,140689,1197.94,-,80337,57.10
HEROHONDA,EQ,25-Apr-2006,849.70,854.00,854.00,821.00,826.50,826.00,836.49,191209,1599.43,-,120497,63.02
HEROHONDA,EQ,26-Apr-2006,826.00,840.00,850.00,826.00,849.90,847.05,842.74,418520,3527.04,-,277292,66.26
HEROHONDA,EQ,27-Apr-2006,847.05,850.00,865.00,812.20,835.00,825.05,837.16,790890,6621.00,-,558117,70.57
HEROHONDA,EQ,28-Apr-2006,825.05,826.00,855.00,792.10,853.00,844.30,823.42,265320,2184.70,-,111758,42.12
HEROHONDA,EQ,29-Apr-2006,844.30,845.00,849.95,841.00,847.00,845.80,845.36,68412,578.33,-,38935,56.91
HEROHONDA,EQ,02-May-2006,845.80,849.00,860.00,827.50,839.90,830.70,839.37,435033,3651.53,-,329014,75.63
HEROHONDA,EQ,03-May-2006,830.70,840.25,847.50,838.00,847.50,845.40,843.19,210172,1772.16,-,135977,64.70
HEROHONDA,EQ,04-May-2006,845.40,847.50,851.95,832.15,841.00,838.55,841.06,234133,1969.19,-,150755,64.39
HEROHONDA,EQ,05-May-2006,838.55,840.05,860.00,836.00,856.00,858.20,847.84,264884,2245.79,-,167065,63.07
HEROHONDA,EQ,08-May-2006,858.20,859.00,880.00,858.00,872.10,876.50,872.45,490083,4275.75,-,323666,66.04
HEROHONDA,EQ,09-May-2006,876.50,880.00,886.00,870.10,882.00,881.00,880.14,549200,4833.72,-,404614,73.67
HEROHONDA,EQ,10-May-2006,881.00,886.00,890.00,872.25,880.00,879.75,885.11,425471,3765.87,-,315454,74.14
HEROHONDA,EQ,11-May-2006,879.75,873.00,884.80,865.25,865.25,871.10,875.97,84254,738.04,-,33869,40.20
HEROHONDA,EQ,12-May-2006,871.10,872.00,886.10,847.00,881.00,879.20,878.82,493552,4337.46,-,352697,71.46
HEROHONDA,EQ,15-May-2006,879.20,875.00,887.00,821.10,833.00,853.35,874.66,273665,2393.65,-,155810,56.93
HEROHONDA,EQ,16-May-2006,853.35,856.00,863.00,829.00,850.00,848.50,839.84,238748,2005.10,-,125014,52.36
HEROHONDA,EQ,17-May-2006,848.50,858.80,898.40,855.00,893.00,892.65,886.41,357828,3171.83,-,223091,62.35
HEROHONDA,EQ,18-May-2006,892.65,884.70,884.70,842.10,870.00,872.90,868.57,425050,3691.84,-,278715,65.57
HEROHONDA,EQ,19-May-2006,872.90,872.00,872.00,780.40,835.00,823.40,837.63,571255,4785.00,-,419572,73.45
