Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HYDRBADIND,EQ,02-Jan-2006,528.05,535.00,535.00,524.25,525.00,525.90,530.68,5981,31.74,-,3874,64.77
HYDRBADIND,EQ,03-Jan-2006,525.90,530.00,552.20,525.00,552.20,552.20,544.51,12745,69.40,-,8569,67.23
HYDRBADIND,EQ,04-Jan-2006,552.20,560.00,571.00,535.25,540.00,541.00,554.99,15783,87.59,-,8319,52.71
HYDRBADIND,EQ,05-Jan-2006,541.00,551.00,560.00,532.00,538.00,536.05,540.86,6172,33.38,-,4815,78.01
HYDRBADIND,EQ,06-Jan-2006,536.05,520.00,545.00,520.00,545.00,540.00,537.55,5304,28.51,-,3978,75.00
HYDRBADIND,EQ,09-Jan-2006,540.00,545.00,550.00,534.00,541.00,541.35,542.85,8077,43.85,-,6307,78.09
HYDRBADIND,EQ,10-Jan-2006,541.35,541.00,541.00,527.00,528.00,529.75,533.57,5818,31.04,-,4701,80.80
HYDRBADIND,EQ,12-Jan-2006,529.75,534.80,545.00,530.20,538.65,542.35,539.07,9968,53.73,-,8923,89.52
HYDRBADIND,EQ,13-Jan-2006,542.35,548.00,548.00,536.00,543.00,542.60,541.97,21600,117.07,-,19850,91.90
HYDRBADIND,EQ,16-Jan-2006,542.60,542.60,552.00,540.00,548.00,544.80,547.15,34298,187.66,-,27165,79.20
HYDRBADIND,EQ,17-Jan-2006,544.80,545.05,545.05,520.00,523.00,523.00,536.29,12295,65.94,-,10442,84.93
HYDRBADIND,EQ,18-Jan-2006,523.00,523.00,540.00,496.85,497.00,505.70,516.59,21391,110.50,-,17874,83.56
HYDRBADIND,EQ,19-Jan-2006,505.70,520.00,520.00,500.00,501.00,504.25,511.45,18303,93.61,-,13476,73.63
HYDRBADIND,EQ,20-Jan-2006,504.25,525.00,525.00,504.00,504.00,510.60,514.30,23679,121.78,-,18273,77.17
HYDRBADIND,EQ,23-Jan-2006,510.60,525.00,533.40,500.00,504.00,507.00,506.43,29749,150.66,-,23278,78.25
HYDRBADIND,EQ,24-Jan-2006,507.00,504.00,512.90,497.00,500.00,500.60,503.02,31932,160.62,-,22073,69.13
HYDRBADIND,EQ,25-Jan-2006,500.60,501.00,501.00,485.00,485.00,489.20,495.54,24081,119.33,-,20827,86.49
HYDRBADIND,EQ,27-Jan-2006,489.20,495.00,495.00,488.75,489.10,490.25,491.39,9458,46.48,-,6519,68.93
HYDRBADIND,EQ,30-Jan-2006,490.25,485.10,490.00,465.75,467.00,466.35,468.72,17986,84.30,-,10645,59.18
HYDRBADIND,EQ,31-Jan-2006,466.35,468.00,480.00,458.50,468.00,468.70,464.92,13293,61.80,-,7800,58.68
HYDRBADIND,EQ,01-Feb-2006,468.70,468.70,474.95,466.00,470.00,470.10,469.48,7256,34.07,-,5645,77.80
HYDRBADIND,EQ,02-Feb-2006,470.10,470.00,478.00,465.00,470.00,469.65,468.71,24632,115.45,-,13373,54.29
HYDRBADIND,EQ,03-Feb-2006,469.65,461.00,472.00,461.00,465.00,464.15,464.10,10841,50.31,-,6250,57.65
HYDRBADIND,EQ,06-Feb-2006,464.15,466.50,475.00,462.20,465.00,464.80,466.38,5926,27.64,-,3155,53.24
HYDRBADIND,EQ,07-Feb-2006,464.80,454.00,468.95,450.00,452.00,452.10,461.56,10549,48.69,-,6422,60.88
HYDRBADIND,EQ,08-Feb-2006,452.10,452.50,458.00,442.10,444.95,443.90,447.09,8442,37.74,-,6025,71.37
HYDRBADIND,EQ,10-Feb-2006,443.90,443.90,454.00,440.00,444.00,445.60,446.10,10072,44.93,-,7389,73.36
HYDRBADIND,EQ,13-Feb-2006,445.60,452.00,452.00,444.00,449.00,448.30,447.93,4370,19.57,-,2967,67.89
