Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HINDMOTORS,BE,21-Feb-2011,20.05,19.00,20.95,17.50,18.30,18.35,18.14,106157,19.25,-,-,-
HINDMOTORS,BE,22-Feb-2011,18.35,18.30,18.30,17.45,17.45,17.45,17.52,61989,10.86,-,-,-
HINDMOTORS,BE,23-Feb-2011,17.45,17.40,17.65,16.60,17.30,17.45,16.97,72809,12.36,-,-,-
HINDMOTORS,BE,24-Feb-2011,17.45,17.70,17.70,16.60,16.60,16.60,16.68,46509,7.76,-,-,-
HINDMOTORS,BE,25-Feb-2011,16.60,15.85,16.50,15.80,15.80,15.80,15.90,95871,15.24,-,-,-
HINDMOTORS,BE,28-Feb-2011,15.80,16.00,16.15,15.05,15.05,15.25,15.55,105477,16.40,-,-,-
HINDMOTORS,BE,01-Mar-2011,15.25,15.70,16.05,14.60,16.05,16.05,15.42,75638,11.66,-,-,-
HINDMOTORS,BE,03-Mar-2011,16.05,16.75,16.85,16.00,16.85,16.85,16.70,58136,9.71,-,-,-
HINDMOTORS,BE,04-Mar-2011,16.85,17.70,17.70,16.30,16.60,16.50,16.88,187754,31.69,-,-,-
HINDMOTORS,BE,07-Mar-2011,16.50,16.75,16.90,15.85,16.70,16.70,16.20,62797,10.17,-,-,-
HINDMOTORS,EQ,08-Mar-2011,16.70,17.00,17.75,16.70,17.25,17.35,17.30,183957,31.82,-,68076,37.01
HINDMOTORS,EQ,09-Mar-2011,17.35,17.50,17.70,17.00,17.25,17.10,17.29,134525,23.27,-,62703,46.61
HINDMOTORS,EQ,10-Mar-2011,17.10,17.20,17.20,16.80,16.95,17.00,17.02,82984,14.12,-,41410,49.90
HINDMOTORS,EQ,11-Mar-2011,17.00,16.80,16.95,16.25,16.60,16.60,16.51,182932,30.20,-,141886,77.56
HINDMOTORS,EQ,14-Mar-2011,16.60,16.60,17.00,16.50,16.70,16.70,16.74,79753,13.35,-,55676,69.81
HINDMOTORS,EQ,15-Mar-2011,16.70,16.70,16.70,15.85,16.00,15.95,16.10,85083,13.70,-,55197,64.87
HINDMOTORS,EQ,16-Mar-2011,15.95,16.05,16.50,15.95,16.20,16.05,16.20,106951,17.33,-,67413,63.03
HINDMOTORS,EQ,17-Mar-2011,16.05,16.00,16.40,15.80,16.10,16.00,16.03,54063,8.67,-,37610,69.57
HINDMOTORS,EQ,18-Mar-2011,16.00,16.00,16.25,15.70,16.05,15.85,15.83,151996,24.07,-,107410,70.67
HINDMOTORS,EQ,21-Mar-2011,15.85,16.05,16.35,15.65,15.95,15.75,15.87,83697,13.28,-,52558,62.80
HINDMOTORS,EQ,22-Mar-2011,15.75,15.70,16.50,15.10,15.25,15.20,15.43,293537,45.30,-,226559,77.18
HINDMOTORS,EQ,23-Mar-2011,15.20,15.50,15.50,15.15,15.20,15.30,15.31,111253,17.03,-,93421,83.97
HINDMOTORS,EQ,24-Mar-2011,15.30,15.20,15.55,15.20,15.20,15.25,15.38,145750,22.42,-,125985,86.44
HINDMOTORS,EQ,25-Mar-2011,15.25,15.30,15.45,15.20,15.30,15.30,15.33,144074,22.08,-,117803,81.77
HINDMOTORS,EQ,28-Mar-2011,15.30,15.45,16.10,15.20,15.25,15.30,15.57,132468,20.63,-,82980,62.64
HINDMOTORS,EQ,29-Mar-2011,15.30,15.30,16.10,15.00,15.15,15.25,15.50,394200,61.09,-,211718,53.71
HINDMOTORS,EQ,30-Mar-2011,15.25,15.35,15.90,15.30,15.65,15.55,15.58,160527,25.00,-,100842,62.82
HINDMOTORS,EQ,31-Mar-2011,15.55,15.60,15.75,15.00,15.25,15.20,15.29,224141,34.27,-,158141,70.55
HINDMOTORS,EQ,01-Apr-2011,15.20,15.10,18.25,15.05,17.80,17.70,17.41,2328558,405.33,-,403081,17.31
HINDMOTORS,EQ,04-Apr-2011,17.70,18.15,18.60,17.20,18.05,18.00,17.91,628296,112.52,-,253516,40.35
HINDMOTORS,EQ,05-Apr-2011,18.00,18.20,18.50,17.90,18.05,18.15,18.15,286055,51.92,-,126866,44.35
HINDMOTORS,EQ,06-Apr-2011,18.15,18.15,18.75,17.90,18.10,18.05,18.20,357949,65.15,-,172240,48.12
HINDMOTORS,EQ,07-Apr-2011,18.05,18.10,21.40,18.10,21.00,21.00,20.42,2749117,561.48,-,745513,27.12
HINDMOTORS,EQ,08-Apr-2011,21.00,21.20,23.35,21.20,22.00,21.85,22.22,3141766,697.99,-,730474,23.25
HINDMOTORS,EQ,11-Apr-2011,21.85,22.50,22.75,20.90,21.30,21.30,22.00,1176356,258.84,-,361400,30.72
HINDMOTORS,EQ,13-Apr-2011,21.30,21.05,21.95,20.85,21.45,21.45,21.44,715095,153.30,-,214640,30.02
HINDMOTORS,EQ,15-Apr-2011,21.45,21.50,21.85,20.90,21.00,21.00,21.35,431946,92.22,-,182175,42.18
HINDMOTORS,EQ,18-Apr-2011,21.00,21.00,21.45,20.05,20.30,20.15,20.68,394952,81.68,-,180053,45.59
HINDMOTORS,EQ,19-Apr-2011,20.15,20.15,20.65,19.70,19.75,19.90,20.18,287713,58.07,-,122667,42.64
HINDMOTORS,EQ,20-Apr-2011,19.90,20.40,21.00,20.10,20.25,20.30,20.48,421659,86.34,-,160528,38.07
HINDMOTORS,EQ,21-Apr-2011,20.30,20.50,20.50,19.75,20.00,19.85,20.09,205486,41.27,-,124358,60.52
HINDMOTORS,EQ,25-Apr-2011,19.85,20.00,20.20,19.20,19.25,19.30,19.64,233295,45.83,-,119557,51.25
HINDMOTORS,EQ,26-Apr-2011,19.30,19.50,19.50,18.90,19.05,19.15,19.14,221613,42.42,-,76900,34.70
HINDMOTORS,EQ,27-Apr-2011,19.15,19.60,20.40,19.15,19.50,19.60,19.93,489847,97.61,-,129243,26.38
HINDMOTORS,EQ,28-Apr-2011,19.60,20.00,20.00,18.85,18.90,18.95,19.21,283461,54.46,-,137986,48.68
HINDMOTORS,EQ,29-Apr-2011,18.95,19.35,19.80,18.35,18.50,18.55,18.85,275837,51.99,-,94599,34.30
HINDMOTORS,EQ,02-May-2011,18.55,18.95,19.00,18.30,18.35,18.40,18.65,189915,35.41,-,78450,41.31
HINDMOTORS,EQ,03-May-2011,18.40,18.15,18.90,17.85,18.20,17.90,18.17,342531,62.25,-,107097,31.27
HINDMOTORS,EQ,04-May-2011,17.90,17.90,18.30,17.75,17.85,17.85,18.00,228041,41.05,-,97408,42.72
HINDMOTORS,EQ,05-May-2011,17.85,18.50,18.50,17.40,17.60,17.55,17.82,183580,32.72,-,74133,40.38
HINDMOTORS,EQ,06-May-2011,17.55,17.95,18.35,17.50,17.90,17.90,17.88,245003,43.80,-,82092,33.51
HINDMOTORS,EQ,06-May-2011,17.55,17.95,18.35,17.50,17.90,17.90,17.88,245003,43.80,-,82092,33.51
HINDMOTORS,EQ,09-May-2011,17.90,18.00,18.05,17.40,17.60,17.55,17.63,263239,46.40,-,85134,32.34
HINDMOTORS,EQ,10-May-2011,17.55,17.60,18.25,17.55,18.15,18.00,17.91,326872,58.55,-,120796,36.96
HINDMOTORS,EQ,11-May-2011,18.00,18.10,18.40,18.05,18.20,18.15,18.22,152124,27.71,-,76996,50.61
HINDMOTORS,EQ,12-May-2011,18.15,18.20,18.20,17.70,18.10,17.90,17.97,148062,26.60,-,87602,59.17
HINDMOTORS,EQ,13-May-2011,17.90,17.90,18.85,17.10,18.60,18.50,18.43,402526,74.20,-,143730,35.71
HINDMOTORS,EQ,16-May-2011,18.50,18.50,19.05,18.20,18.35,18.35,18.54,261807,48.55,-,103592,39.57
HINDMOTORS,EQ,17-May-2011,18.35,18.60,19.05,18.15,18.15,18.30,18.57,600981,111.61,-,133718,22.25
HINDMOTORS,EQ,18-May-2011,18.30,18.05,18.50,17.80,18.00,17.95,18.17,194301,35.30,-,77846,40.06
HINDMOTORS,EQ,19-May-2011,17.95,18.00,18.15,17.65,17.80,17.70,17.89,174322,31.18,-,72487,41.58
HINDMOTORS,EQ,20-May-2011,17.70,17.85,17.90,17.40,17.50,17.50,17.56,202536,35.57,-,69497,34.31
HINDMOTORS,EQ,23-May-2011,17.50,17.50,17.50,16.70,16.70,16.80,17.01,115433,19.64,-,72317,62.65
HINDMOTORS,EQ,24-May-2011,16.80,16.95,17.20,16.50,16.65,16.60,16.79,105211,17.67,-,55249,52.51
HINDMOTORS,EQ,25-May-2011,16.60,16.55,18.85,16.35,18.15,18.30,18.00,1006032,181.09,-,267202,26.56
HINDMOTORS,EQ,26-May-2011,18.30,18.70,18.70,17.50,17.60,17.65,18.01,363021,65.39,-,146411,40.33
HINDMOTORS,EQ,27-May-2011,17.65,17.95,18.35,17.55,17.65,17.65,17.88,211225,37.77,-,89111,42.19
HINDMOTORS,EQ,30-May-2011,17.65,17.85,17.85,17.30,17.30,17.35,17.55,259516,45.55,-,147010,56.65
HINDMOTORS,EQ,31-May-2011,17.35,17.30,17.85,17.20,17.40,17.50,17.52,296604,51.97,-,119879,40.42
HINDMOTORS,EQ,01-Jun-2011,17.50,17.60,18.20,17.45,17.80,17.85,17.89,380468,68.08,3455,159371,41.89
HINDMOTORS,EQ,02-Jun-2011,17.85,17.45,17.80,17.25,17.40,17.35,17.46,284584,49.68,2695,126268,44.37
HINDMOTORS,EQ,03-Jun-2011,17.35,17.50,17.85,17.20,17.30,17.25,17.50,203043,35.53,3997,85641,42.18
HINDMOTORS,EQ,06-Jun-2011,17.25,17.35,17.65,17.15,17.25,17.25,17.33,258955,44.88,1470,76594,29.58
HINDMOTORS,EQ,07-Jun-2011,17.25,17.20,17.95,17.20,17.85,17.75,17.63,343352,60.52,1711,150394,43.80
HINDMOTORS,EQ,08-Jun-2011,17.75,17.70,18.80,17.60,18.05,18.15,18.37,654720,120.26,2696,205196,31.34
HINDMOTORS,EQ,09-Jun-2011,18.15,18.15,18.50,18.00,18.30,18.35,18.29,253454,46.36,885,138825,54.77
HINDMOTORS,EQ,10-Jun-2011,18.35,18.30,18.75,18.10,18.15,18.20,18.43,321155,59.18,1399,160599,50.01
HINDMOTORS,EQ,13-Jun-2011,18.20,18.20,18.35,17.85,17.95,17.95,18.13,208514,37.81,953,90375,43.34
HINDMOTORS,EQ,14-Jun-2011,17.95,18.25,18.35,17.80,17.90,17.90,18.05,214332,38.69,851,95121,44.38
HINDMOTORS,EQ,15-Jun-2011,17.90,17.80,18.05,17.60,17.60,17.65,17.87,186523,33.33,751,77872,41.75
HINDMOTORS,EQ,16-Jun-2011,17.65,17.25,17.70,17.10,17.55,17.55,17.54,111579,19.57,488,61361,54.99
HINDMOTORS,EQ,17-Jun-2011,17.55,17.70,17.70,17.05,17.15,17.10,17.28,181893,31.43,1034,122191,67.18
HINDMOTORS,EQ,20-Jun-2011,17.10,17.20,17.45,15.75,16.05,16.15,16.34,269762,44.09,1016,136203,50.49
HINDMOTORS,EQ,21-Jun-2011,16.15,16.70,16.70,15.70,15.75,15.90,16.09,201359,32.39,781,135936,67.51
HINDMOTORS,EQ,22-Jun-2011,15.90,16.05,16.10,15.45,15.50,15.55,15.67,166015,26.01,770,91602,55.18
HINDMOTORS,EQ,23-Jun-2011,15.55,15.25,15.55,15.10,15.25,15.25,15.29,193812,29.62,1238,109628,56.56
HINDMOTORS,EQ,24-Jun-2011,15.25,15.10,16.05,15.10,15.80,15.75,15.69,260016,40.81,1021,137574,52.91
HINDMOTORS,EQ,27-Jun-2011,15.75,15.80,16.25,15.50,15.90,15.75,15.92,140948,22.44,703,71521,50.74
HINDMOTORS,EQ,28-Jun-2011,15.75,15.75,16.45,15.70,15.90,15.80,16.01,216887,34.72,926,106089,48.91
HINDMOTORS,EQ,29-Jun-2011,15.80,16.20,16.50,16.00,16.35,16.25,16.28,250159,40.73,908,126685,50.64
HINDMOTORS,EQ,30-Jun-2011,16.25,16.55,16.55,16.05,16.10,16.15,16.26,130949,21.29,5122,66035,50.43
HINDMOTORS,EQ,01-Jul-2011,16.15,16.30,16.55,16.15,16.25,16.30,16.40,183494,30.09,2139,83703,45.62
HINDMOTORS,EQ,04-Jul-2011,16.30,16.30,17.40,16.20,17.25,17.15,16.93,286540,48.51,2385,135409,47.26
HINDMOTORS,EQ,05-Jul-2011,17.15,17.10,17.40,16.80,17.40,17.15,17.02,284503,48.42,4709,122215,42.96
HINDMOTORS,EQ,06-Jul-2011,17.15,17.30,17.30,16.80,16.85,16.85,17.00,141133,23.99,6432,74627,52.88
HINDMOTORS,EQ,07-Jul-2011,16.85,16.80,18.05,16.80,17.70,17.75,17.68,544024,96.17,5383,302216,55.55
HINDMOTORS,EQ,08-Jul-2011,17.75,17.75,17.75,17.10,17.20,17.20,17.38,286881,49.87,6845,106297,37.05
HINDMOTORS,EQ,11-Jul-2011,17.20,17.40,18.20,16.90,17.70,17.60,17.73,527483,93.53,3696,136396,25.86
HINDMOTORS,EQ,12-Jul-2011,17.60,17.50,17.50,16.65,16.80,16.80,17.00,186826,31.76,1864,121065,64.80
HINDMOTORS,EQ,13-Jul-2011,16.80,16.50,17.35,16.50,16.90,16.95,17.09,184793,31.58,3428,81923,44.33
HINDMOTORS,EQ,14-Jul-2011,16.95,16.95,17.50,16.80,17.15,17.15,17.25,204783,35.32,3903,93295,45.56
HINDMOTORS,EQ,15-Jul-2011,17.15,17.45,17.60,17.10,17.10,17.15,17.28,230092,39.75,824,77876,33.85
HINDMOTORS,EQ,18-Jul-2011,17.15,17.10,18.70,17.10,18.60,18.45,18.06,1181940,213.47,9083,323117,27.34
HINDMOTORS,EQ,19-Jul-2011,18.45,18.55,19.30,18.00,18.75,18.75,18.86,1441209,271.74,11376,371255,25.76
HINDMOTORS,EQ,20-Jul-2011,18.75,18.95,18.95,18.00,18.05,18.05,18.38,411405,75.63,4823,160820,39.09
