Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HIRECT,EQ,26-Dec-2006,888.10,985.00,985.00,830.00,900.00,905.60,876.01,515,4.51,-,40,7.77
HIRECT,EQ,27-Dec-2006,905.60,890.25,911.00,890.25,896.00,896.00,892.94,121,1.08,-,15,12.40
HIRECT,EQ,29-Dec-2006,896.00,932.00,932.00,910.00,920.00,920.00,921.54,63,0.58,-,63,100.00
HIRECT,EQ,02-Jan-2007,920.00,900.25,993.00,900.25,970.00,970.00,971.69,32,0.31,-,29,90.62
HIRECT,EQ,03-Jan-2007,970.00,1018.50,1054.75,1000.00,1012.25,1017.85,1015.68,532,5.40,-,391,73.50
HIRECT,EQ,04-Jan-2007,1017.85,1000.00,1094.00,1000.00,1070.00,1081.85,1058.34,1005,10.64,-,856,85.17
HIRECT,EQ,05-Jan-2007,1081.85,1040.00,1110.00,1040.00,1050.00,1057.10,1077.01,459,4.94,-,203,44.23
HIRECT,EQ,08-Jan-2007,1057.10,1040.00,1097.00,1040.00,1088.00,1088.00,1071.38,26,0.28,-,18,69.23
HIRECT,EQ,09-Jan-2007,1088.00,1087.00,1087.00,999.00,999.00,999.00,1031.27,31,0.32,-,11,35.48
HIRECT,EQ,10-Jan-2007,999.00,951.00,1015.00,935.60,1014.00,1014.00,990.07,140,1.39,-,95,67.86
HIRECT,EQ,11-Jan-2007,1014.00,975.00,1000.00,975.00,1000.00,1000.00,998.73,335,3.35,-,320,95.52
HIRECT,EQ,12-Jan-2007,1000.00,960.10,1052.10,960.10,1036.50,1004.00,995.43,14,0.14,-,6,42.86
HIRECT,EQ,15-Jan-2007,1004.00,971.25,1047.85,971.25,1010.00,1010.00,996.01,11,0.11,-,5,45.45
HIRECT,EQ,16-Jan-2007,1010.00,1000.00,1049.00,1000.00,1011.50,1030.25,1025.82,16,0.16,-,10,62.50
HIRECT,EQ,17-Jan-2007,1030.25,1110.00,1130.00,1040.00,1045.00,1045.45,1081.88,215,2.33,-,80,37.21
HIRECT,EQ,18-Jan-2007,1045.45,1066.00,1066.00,1035.00,1035.00,1035.00,1048.31,36,0.38,-,25,69.44
HIRECT,EQ,19-Jan-2007,1035.00,1040.00,1048.50,1000.25,1015.25,1015.25,1010.25,81,0.82,-,65,80.25
HIRECT,EQ,22-Jan-2007,1015.25,1015.00,1125.00,1000.00,1040.25,1040.25,1049.10,15,0.16,-,6,40.00
HIRECT,EQ,23-Jan-2007,1040.25,1025.00,1025.00,975.25,1000.75,1000.75,996.60,522,5.20,-,521,99.81
HIRECT,EQ,24-Jan-2007,1000.75,1025.75,1025.75,965.00,965.00,965.00,969.62,77,0.75,-,76,98.70
HIRECT,EQ,25-Jan-2007,965.00,945.00,990.00,945.00,979.00,979.00,964.79,24,0.23,-,12,50.00
HIRECT,EQ,29-Jan-2007,979.00,998.85,998.85,995.00,995.00,995.00,996.93,2,0.02,-,1,50.00
HIRECT,EQ,31-Jan-2007,995.00,965.00,965.10,890.00,890.25,896.20,956.51,133,1.27,-,112,84.21
HIRECT,EQ,01-Feb-2007,896.20,978.00,978.00,880.00,935.00,927.85,918.98,75,0.69,-,40,53.33
HIRECT,EQ,02-Feb-2007,927.85,910.00,950.00,885.00,900.00,938.40,918.87,40,0.37,-,34,85.00
HIRECT,EQ,05-Feb-2007,938.40,900.00,924.95,860.05,910.80,910.80,879.17,86,0.76,-,80,93.02
HIRECT,EQ,06-Feb-2007,910.80,892.00,892.00,890.00,890.00,890.00,890.04,51,0.45,-,51,100.00
HIRECT,EQ,07-Feb-2007,890.00,880.00,880.00,855.00,860.00,861.80,872.43,113,0.99,-,111,98.23
HIRECT,EQ,08-Feb-2007,861.80,875.00,875.00,850.05,850.05,850.05,868.96,33,0.29,-,32,96.97
HIRECT,EQ,09-Feb-2007,850.05,851.00,851.00,828.75,828.75,828.75,845.79,61,0.52,-,61,100.00
HIRECT,EQ,12-Feb-2007,828.75,673.30,950.00,673.30,838.50,838.50,827.21,634,5.24,-,23,3.63
HIRECT,EQ,13-Feb-2007,838.50,780.90,795.00,770.00,770.00,770.25,773.75,370,2.86,-,219,59.19
HIRECT,EQ,14-Feb-2007,770.25,780.00,780.00,780.00,780.00,780.00,780.00,3,0.02,-,3,100.00
HIRECT,EQ,15-Feb-2007,780.00,894.95,894.95,797.00,802.10,802.10,833.11,1074,8.95,-,70,6.52
HIRECT,EQ,19-Feb-2007,802.10,825.00,825.00,825.00,825.00,825.00,825.00,10,0.08,-,10,100.00
HIRECT,EQ,20-Feb-2007,825.00,772.00,818.00,765.25,765.25,789.15,793.44,141,1.12,-,22,15.60
HIRECT,EQ,21-Feb-2007,789.15,760.25,817.00,760.25,785.00,808.45,805.68,57,0.46,-,20,35.09
HIRECT,EQ,22-Feb-2007,808.45,805.00,805.00,804.90,805.00,805.00,804.96,11,0.09,-,11,100.00
HIRECT,EQ,23-Feb-2007,805.00,763.00,803.00,750.00,750.00,753.10,761.78,84,0.64,-,81,96.43
HIRECT,EQ,26-Feb-2007,753.10,770.00,825.00,765.00,821.75,806.30,813.19,1041,8.47,-,546,52.45
HIRECT,EQ,27-Feb-2007,806.30,786.05,830.00,781.00,781.00,797.90,807.78,459,3.71,-,369,80.39
HIRECT,EQ,28-Feb-2007,797.90,800.00,800.00,750.00,750.00,750.55,767.01,39,0.30,-,23,58.97
HIRECT,EQ,01-Mar-2007,750.55,757.85,800.00,757.85,760.25,760.25,764.27,50,0.38,-,35,70.00
HIRECT,EQ,02-Mar-2007,760.25,815.00,815.00,770.00,770.00,770.00,770.99,46,0.35,-,44,95.65
HIRECT,EQ,05-Mar-2007,770.00,804.80,804.80,701.05,702.00,702.00,713.18,18,0.13,-,15,83.33
HIRECT,EQ,06-Mar-2007,702.00,818.80,818.80,741.00,744.00,744.00,771.77,30,0.23,-,9,30.00
HIRECT,EQ,07-Mar-2007,744.00,745.00,760.00,735.00,735.00,735.00,749.05,100,0.75,-,95,95.00
HIRECT,EQ,08-Mar-2007,735.00,750.00,775.00,735.00,775.00,774.65,755.64,420,3.17,-,15,3.57
HIRECT,EQ,09-Mar-2007,774.65,751.00,774.00,751.00,774.00,774.00,762.88,1010,7.71,-,10,0.99
HIRECT,EQ,12-Mar-2007,774.00,740.00,740.00,740.00,740.00,740.00,740.00,1,0.01,-,1,100.00
HIRECT,EQ,13-Mar-2007,740.00,805.00,805.00,732.00,732.00,732.00,768.50,800,6.15,-,0,0.00
HIRECT,EQ,14-Mar-2007,732.00,775.00,775.00,700.00,725.05,725.05,752.75,370,2.79,-,36,9.73
