Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SHRMHONDA,EQ,02-Jan-2006,148.00,150.00,154.25,150.00,154.00,153.45,152.76,6609,10.10,-,3763,56.94
SHRMHONDA,EQ,03-Jan-2006,153.45,154.00,158.50,152.80,152.80,153.50,155.28,14519,22.55,-,8529,58.74
SHRMHONDA,EQ,04-Jan-2006,153.50,154.10,154.90,149.00,150.60,151.40,151.40,6385,9.67,-,3819,59.81
SHRMHONDA,EQ,05-Jan-2006,151.40,147.00,152.50,142.30,151.60,150.00,150.05,5035,7.55,-,4080,81.03
SHRMHONDA,EQ,06-Jan-2006,150.00,155.00,159.00,153.80,154.55,155.55,156.41,32680,51.12,-,18676,57.15
SHRMHONDA,EQ,09-Jan-2006,155.55,157.00,166.95,156.00,160.50,160.90,163.11,50963,83.13,-,24970,49.00
SHRMHONDA,EQ,10-Jan-2006,160.90,164.00,169.00,160.50,163.35,161.95,164.31,29322,48.18,-,11949,40.75
SHRMHONDA,EQ,12-Jan-2006,161.95,160.00,162.90,157.50,157.90,158.90,159.54,17937,28.62,-,12160,67.79
SHRMHONDA,EQ,13-Jan-2006,158.90,157.20,163.80,157.20,161.50,161.45,161.60,26808,43.32,-,18617,69.45
SHRMHONDA,EQ,16-Jan-2006,161.45,162.45,162.45,157.50,158.00,159.25,159.79,5786,9.25,-,3852,66.57
SHRMHONDA,EQ,17-Jan-2006,159.25,157.35,159.95,154.00,154.10,154.45,156.79,4344,6.81,-,2499,57.53
SHRMHONDA,EQ,18-Jan-2006,154.45,154.10,157.00,152.00,156.95,154.85,154.28,3051,4.71,-,2046,67.06
SHRMHONDA,EQ,19-Jan-2006,154.85,155.60,158.00,155.60,156.15,156.90,157.15,2376,3.73,-,1543,64.94
SHRMHONDA,EQ,20-Jan-2006,156.90,156.15,158.70,154.75,155.00,155.25,155.48,4258,6.62,-,3350,78.68
SHRMHONDA,EQ,23-Jan-2006,155.25,156.00,158.00,155.00,156.00,155.20,155.67,7925,12.34,-,6769,85.41
SHRMHONDA,EQ,24-Jan-2006,155.20,156.50,161.00,156.10,156.10,157.50,158.38,6212,9.84,-,3906,62.88
SHRMHONDA,EQ,25-Jan-2006,157.50,156.50,163.00,155.10,159.15,160.30,159.66,9689,15.47,-,5259,54.28
SHRMHONDA,EQ,27-Jan-2006,160.30,165.70,169.00,161.00,162.50,163.75,165.45,72989,120.76,-,32627,44.70
SHRMHONDA,EQ,30-Jan-2006,163.75,167.00,170.95,162.00,162.25,162.90,165.74,35320,58.54,-,20545,58.17
SHRMHONDA,EQ,31-Jan-2006,162.90,163.00,163.00,157.10,157.10,158.15,159.22,9403,14.97,-,8174,86.93
