Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HINDSANIT,EQ,02-Jan-2006,88.10,88.95,90.10,87.00,89.70,89.80,89.36,41805,37.36,-,-,-
HINDSANIT,EQ,03-Jan-2006,89.80,90.60,90.60,89.25,90.00,89.80,89.79,24511,22.01,-,-,-
HINDSANIT,EQ,04-Jan-2006,89.80,90.00,95.00,88.30,91.60,91.85,91.80,72074,66.16,-,-,-
HINDSANIT,EQ,05-Jan-2006,91.85,93.50,93.70,89.00,89.70,89.35,90.14,41005,36.96,-,-,-
HINDSANIT,EQ,06-Jan-2006,89.35,89.85,90.50,88.00,88.00,88.45,89.11,29504,26.29,-,95566,35.20
HINDSANIT,EQ,09-Jan-2006,88.45,89.10,89.75,87.00,87.00,87.45,88.20,27828,24.54,-,7840,28.17
HINDSANIT,EQ,10-Jan-2006,87.45,87.50,88.45,86.55,87.30,87.20,87.32,15284,13.35,-,7547,49.38
HINDSANIT,EQ,12-Jan-2006,87.20,85.00,89.50,85.00,87.60,87.85,87.87,18410,16.18,-,11620,63.12
HINDSANIT,EQ,13-Jan-2006,87.85,87.50,91.90,86.50,87.50,87.50,87.63,570878,500.25,-,507615,88.92
HINDSANIT,EQ,16-Jan-2006,87.50,90.90,91.90,88.00,89.00,88.80,89.45,49597,44.36,-,32118,64.76
HINDSANIT,EQ,17-Jan-2006,88.80,90.80,91.00,88.50,88.95,88.85,89.59,36468,32.67,-,29598,81.16
HINDSANIT,EQ,18-Jan-2006,88.85,89.00,89.00,87.05,87.95,87.60,87.75,41496,36.41,-,25920,62.46
HINDSANIT,EQ,19-Jan-2006,87.60,89.30,89.50,87.80,89.00,88.30,88.44,34221,30.26,-,28429,83.07
HINDSANIT,EQ,20-Jan-2006,88.30,90.00,90.70,89.00,89.50,89.70,89.28,145020,129.47,-,139039,95.88
HINDSANIT,EQ,23-Jan-2006,89.70,89.50,92.00,89.00,91.50,90.85,90.43,63057,57.02,-,47164,74.80
HINDSANIT,EQ,24-Jan-2006,90.85,92.85,109.05,92.85,109.05,108.95,105.38,659470,694.94,-,245724,37.26
HINDSANIT,EQ,25-Jan-2006,108.95,118.00,121.50,105.55,108.50,107.40,114.09,589496,672.53,-,194852,33.05
HINDSANIT,EQ,27-Jan-2006,107.40,108.55,114.90,107.60,111.00,110.45,110.74,138539,153.42,-,54676,39.47
HINDSANIT,EQ,30-Jan-2006,110.45,110.90,116.30,108.00,109.00,110.10,112.26,182853,205.28,-,66096,36.15
HINDSANIT,EQ,31-Jan-2006,110.10,110.50,114.30,110.50,113.00,112.10,112.22,95251,106.89,-,31624,33.20
HINDSANIT,EQ,01-Feb-2006,112.10,113.40,113.40,108.00,108.65,108.50,110.05,58855,64.77,-,35841,60.90
HINDSANIT,EQ,02-Feb-2006,108.50,109.60,114.90,107.00,107.35,108.25,109.90,61743,67.85,-,43572,70.57
HINDSANIT,EQ,03-Feb-2006,108.25,108.10,109.50,105.50,108.80,107.95,107.66,37154,40.00,-,23677,63.73
HINDSANIT,EQ,06-Feb-2006,107.95,107.10,111.15,107.00,111.00,110.60,109.87,46405,50.98,-,31477,67.83
HINDSANIT,EQ,07-Feb-2006,110.60,111.50,111.75,108.00,110.25,110.05,109.57,30523,33.44,-,19540,64.02
HINDSANIT,EQ,08-Feb-2006,110.05,109.90,111.20,108.00,108.15,108.15,109.15,23266,25.39,-,14549,62.53
HINDSANIT,EQ,10-Feb-2006,108.15,111.90,112.00,108.50,111.00,111.25,110.66,37883,41.92,-,21037,55.53
HINDSANIT,EQ,13-Feb-2006,111.25,111.00,114.00,110.00,114.00,113.25,111.99,34159,38.25,-,22706,66.47
HINDSANIT,EQ,14-Feb-2006,113.25,114.50,115.00,112.55,113.00,113.60,113.56,50323,57.15,-,31799,63.19
HINDSANIT,EQ,15-Feb-2006,113.60,114.50,115.90,112.55,113.00,114.00,113.89,53837,61.31,-,39590,73.54
HINDSANIT,EQ,16-Feb-2006,114.00,114.00,115.00,113.00,114.40,114.50,114.11,34165,38.99,-,17272,50.55
HINDSANIT,EQ,17-Feb-2006,114.50,114.20,116.00,114.00,114.90,114.85,114.74,40928,46.96,-,29922,73.11
HINDSANIT,EQ,20-Feb-2006,114.85,113.50,114.00,108.95,113.00,112.00,111.24,35394,39.37,-,18021,50.92
HINDSANIT,EQ,21-Feb-2006,112.00,112.00,113.20,111.25,112.00,111.80,111.94,33503,37.50,-,14002,41.79
HINDSANIT,EQ,22-Feb-2006,111.80,112.00,114.75,112.00,113.00,114.15,113.07,28942,32.73,-,20461,70.70
HINDSANIT,EQ,23-Feb-2006,114.15,114.00,116.90,113.25,115.25,115.20,115.21,36928,42.55,-,32875,89.02
HINDSANIT,EQ,24-Feb-2006,115.20,116.00,117.95,115.00,117.00,117.25,116.21,44561,51.79,-,33192,74.49
HINDSANIT,EQ,27-Feb-2006,117.25,117.50,120.50,116.50,117.90,118.10,118.97,40120,47.73,-,29626,73.84
HINDSANIT,EQ,28-Feb-2006,118.10,120.40,131.80,119.50,125.75,125.85,125.15,352298,440.89,-,274099,77.80
HINDSANIT,EQ,01-Mar-2006,125.85,126.00,133.90,120.55,131.25,131.95,129.61,194310,251.85,-,100182,51.56
HINDSANIT,EQ,02-Mar-2006,131.95,129.15,140.00,129.00,138.50,139.20,137.60,216426,297.81,-,176420,81.52
HINDSANIT,EQ,03-Mar-2006,139.20,138.00,139.65,135.00,137.50,137.35,137.47,127167,174.81,-,108238,85.11
HINDSANIT,EQ,06-Mar-2006,137.35,142.80,145.85,138.75,142.75,142.10,143.00,208881,298.70,-,191863,91.85
HINDSANIT,EQ,07-Mar-2006,142.10,149.00,150.00,142.00,146.00,146.20,143.73,61585,88.52,-,48948,79.48
HINDSANIT,EQ,08-Mar-2006,146.20,147.65,154.75,146.00,151.05,151.50,151.99,48865,74.27,-,37010,75.74
HINDSANIT,EQ,09-Mar-2006,151.50,159.00,166.00,153.65,160.00,160.40,160.01,80172,128.28,-,41277,51.49
HINDSANIT,EQ,10-Mar-2006,160.40,163.85,173.00,156.00,164.00,163.30,164.62,57183,94.13,-,28877,50.50
HINDSANIT,EQ,13-Mar-2006,163.30,164.95,170.00,158.00,163.50,163.85,167.97,128871,216.47,-,96401,74.80
HINDSANIT,EQ,14-Mar-2006,163.85,165.50,171.00,157.00,159.35,157.80,160.90,72052,115.93,-,49246,68.35
HINDSANIT,EQ,16-Mar-2006,157.80,160.95,161.00,149.30,155.90,155.00,154.90,49243,76.28,-,35482,72.05
HINDSANIT,EQ,17-Mar-2006,155.00,157.00,169.60,156.00,163.45,163.20,163.88,141176,231.36,-,102667,72.72
HINDSANIT,EQ,20-Mar-2006,163.20,164.00,167.90,161.00,163.00,165.20,164.84,40197,66.26,-,13657,33.98
HINDSANIT,EQ,21-Mar-2006,165.20,169.00,169.00,161.60,162.00,162.25,163.91,27142,44.49,-,17096,62.99
HINDSANIT,EQ,22-Mar-2006,162.25,166.95,166.95,155.10,157.10,157.10,159.41,25520,40.68,-,11425,44.77
HINDSANIT,EQ,23-Mar-2006,157.10,158.00,160.30,155.50,156.40,156.50,157.79,25301,39.92,-,15358,60.70
HINDSANIT,EQ,24-Mar-2006,156.50,159.00,160.90,155.10,156.00,156.10,156.98,172448,270.71,-,134728,78.13
HINDSANIT,EQ,27-Mar-2006,156.10,163.00,163.00,158.00,158.50,158.30,158.91,25222,40.08,-,18202,72.17
HINDSANIT,EQ,28-Mar-2006,158.30,162.00,165.00,155.00,159.00,156.90,158.26,21016,33.26,-,9269,44.10
HINDSANIT,EQ,29-Mar-2006,156.90,158.00,159.00,154.00,154.00,154.35,155.39,32528,50.54,-,19967,61.38
HINDSANIT,EQ,30-Mar-2006,154.35,161.50,161.50,151.60,153.00,152.85,153.26,31483,48.25,-,18491,58.73
HINDSANIT,EQ,31-Mar-2006,152.85,154.25,155.00,147.75,148.40,148.35,151.06,65488,98.93,-,44077,67.31
HINDSANIT,EQ,03-Apr-2006,148.35,150.50,157.90,150.50,156.00,156.25,155.40,19110,29.70,-,6110,31.97
HINDSANIT,EQ,04-Apr-2006,156.25,155.00,159.00,153.00,155.10,153.60,154.23,26516,40.90,-,24187,91.22
HINDSANIT,EQ,05-Apr-2006,153.60,152.15,165.00,152.15,160.00,158.35,158.44,54376,86.15,-,29748,54.71
HINDSANIT,EQ,07-Apr-2006,158.35,156.00,168.40,156.00,165.00,165.00,166.30,217723,362.08,-,168125,77.22
HINDSANIT,EQ,10-Apr-2006,165.00,165.25,169.50,163.00,165.00,164.85,164.60,44177,72.72,-,12869,29.13
HINDSANIT,EQ,12-Apr-2006,164.85,169.00,169.00,152.05,160.00,159.40,165.12,165824,273.81,-,159532,96.21
HINDSANIT,EQ,13-Apr-2006,159.40,157.50,165.00,155.00,162.00,164.35,160.04,55358,88.60,-,48387,87.41
HINDSANIT,EQ,17-Apr-2006,164.35,160.00,165.00,160.00,162.70,162.15,162.12,25156,40.78,-,12850,51.08
HINDSANIT,EQ,18-Apr-2006,162.15,165.00,166.00,159.30,159.30,161.55,162.67,24279,39.50,-,15265,62.87
HINDSANIT,EQ,19-Apr-2006,161.55,163.35,164.90,161.00,162.00,162.75,162.98,61654,100.48,-,41154,66.75
HINDSANIT,EQ,20-Apr-2006,162.75,162.50,172.95,162.50,170.50,169.65,168.38,406482,684.45,-,320095,78.75
HINDSANIT,EQ,21-Apr-2006,169.65,170.95,176.40,168.00,171.00,170.50,171.60,149922,257.26,-,85423,56.98
HINDSANIT,EQ,24-Apr-2006,170.50,170.50,182.00,165.00,173.60,174.60,174.35,41358,72.11,-,25795,62.37
HINDSANIT,EQ,25-Apr-2006,174.60,174.60,177.00,170.00,170.00,171.90,173.51,20304,35.23,-,9541,46.99
HINDSANIT,EQ,26-Apr-2006,171.90,173.00,177.80,172.00,172.10,173.50,173.95,31591,54.95,-,10076,31.90
HINDSANIT,EQ,27-Apr-2006,173.50,170.00,174.85,169.00,170.00,170.15,172.42,29342,50.59,-,16528,56.33
HINDSANIT,EQ,28-Apr-2006,170.15,162.00,179.00,162.00,173.00,171.05,170.22,21217,36.12,-,6014,28.35
HINDSANIT,EQ,29-Apr-2006,171.05,180.00,180.00,166.00,171.20,174.50,173.44,30125,52.25,-,7748,25.72
HINDSANIT,EQ,02-May-2006,174.50,175.75,176.95,171.35,175.90,174.05,175.02,18587,32.53,-,10038,54.01
HINDSANIT,EQ,03-May-2006,174.05,177.90,180.00,172.55,173.80,173.60,174.11,19445,33.86,-,10868,55.89
HINDSANIT,EQ,04-May-2006,173.60,178.00,178.55,172.00,177.50,176.85,176.12,16545,29.14,-,10456,63.20
HINDSANIT,EQ,05-May-2006,176.85,178.00,181.00,176.05,177.30,178.55,178.62,24648,44.03,-,14190,57.57
HINDSANIT,EQ,08-May-2006,178.55,181.00,181.50,177.00,179.50,180.15,179.92,22328,40.17,-,11075,49.60
HINDSANIT,EQ,09-May-2006,180.15,190.00,190.00,178.00,183.70,182.15,181.39,22966,41.66,-,10879,47.37
HINDSANIT,EQ,10-May-2006,182.15,184.00,184.00,180.00,180.55,181.50,181.60,42552,77.27,-,25592,60.14
HINDSANIT,EQ,11-May-2006,181.50,183.00,195.00,178.00,179.10,179.45,179.69,24891,44.73,-,12426,49.92
HINDSANIT,EQ,12-May-2006,179.45,183.50,194.00,175.00,175.00,176.75,177.28,30731,54.48,-,15496,50.42
HINDSANIT,EQ,15-May-2006,176.75,185.00,187.50,164.90,165.00,170.45,174.56,16142,28.18,-,8721,54.03
HINDSANIT,EQ,16-May-2006,170.45,179.00,185.00,155.00,165.00,165.45,166.05,17554,29.15,-,9646,54.95
HINDSANIT,EQ,17-May-2006,165.45,166.50,171.00,162.05,164.00,164.45,165.51,21006,34.77,-,9565,45.53
HINDSANIT,EQ,18-May-2006,164.45,165.05,165.05,155.00,159.00,157.00,158.41,20447,32.39,-,13654,66.78
HINDSANIT,EQ,19-May-2006,157.00,159.00,159.00,146.00,151.00,148.75,150.83,21407,32.29,-,20298,94.82
HINDSANIT,EQ,22-May-2006,148.75,145.00,148.00,133.90,133.90,134.30,135.52,22666,30.72,-,21672,95.61
HINDSANIT,EQ,23-May-2006,134.30,133.10,139.80,127.60,128.40,134.85,130.96,8197,10.74,-,6240,76.13
HINDSANIT,EQ,24-May-2006,134.85,138.00,141.00,128.50,128.50,128.90,132.90,8499,11.30,-,6633,78.04
HINDSANIT,EQ,25-May-2006,128.90,123.05,134.75,123.05,125.60,126.20,129.54,21007,27.21,-,13647,64.96
HINDSANIT,EQ,26-May-2006,126.20,130.00,132.55,127.00,132.55,132.55,131.61,10169,13.38,-,10038,98.71
HINDSANIT,EQ,29-May-2006,132.55,135.00,139.00,131.60,139.00,138.60,137.08,16521,22.65,-,11529,69.78
HINDSANIT,EQ,30-May-2006,138.60,142.00,142.00,133.90,135.00,135.20,137.31,14405,19.78,-,5912,41.04
HINDSANIT,EQ,31-May-2006,135.20,139.80,139.80,128.45,129.50,129.50,129.20,19471,25.16,-,3525,18.10
HINDSANIT,EQ,01-Jun-2006,129.50,131.00,134.75,123.15,126.95,126.15,126.98,9665,12.27,-,3005,31.09
HINDSANIT,EQ,02-Jun-2006,126.15,123.50,123.50,120.00,121.00,120.80,120.87,26961,32.59,-,19457,72.17
HINDSANIT,EQ,05-Jun-2006,120.80,122.00,122.00,115.00,115.00,115.15,117.69,11458,13.49,-,6952,60.67
HINDSANIT,EQ,06-Jun-2006,115.15,115.00,115.00,109.50,109.60,111.15,111.10,32115,35.68,-,16629,51.78
HINDSANIT,EQ,07-Jun-2006,111.15,107.00,112.00,106.00,112.00,110.90,110.39,64801,71.53,-,55694,85.95
HINDSANIT,EQ,08-Jun-2006,110.90,107.00,107.10,105.35,105.35,105.35,105.37,139851,147.36,-,139740,99.92
HINDSANIT,EQ,09-Jun-2006,105.35,105.00,110.50,100.10,110.50,109.90,103.78,23104,23.98,-,8905,38.54
HINDSANIT,EQ,12-Jun-2006,109.90,106.05,116.00,106.05,110.00,110.95,110.59,10684,11.82,-,1512,14.15
HINDSANIT,EQ,13-Jun-2006,110.95,112.00,112.00,99.85,99.85,99.85,102.57,10258,10.52,-,3144,30.65
HINDSANIT,EQ,14-Jun-2006,99.85,106.00,106.00,89.90,89.90,90.35,93.72,51706,48.46,-,36929,71.42
HINDSANIT,EQ,15-Jun-2006,90.35,94.80,94.95,85.50,86.00,87.85,88.91,181519,161.40,-,155279,85.54
HINDSANIT,EQ,16-Jun-2006,87.85,92.00,96.65,92.00,96.65,96.30,96.36,34407,33.16,-,26010,75.60
HINDSANIT,EQ,19-Jun-2006,96.30,99.00,99.00,88.00,88.05,95.40,95.92,31919,30.62,-,25840,80.95
