Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INDNIPPON,EQ,02-Jan-2006,289.60,309.50,309.50,285.25,291.00,290.35,289.69,1018,2.95,-,847,83.20
INDNIPPON,EQ,03-Jan-2006,290.35,290.00,295.05,289.90,294.00,294.90,294.06,1101,3.24,-,1074,97.55
INDNIPPON,EQ,04-Jan-2006,294.90,290.00,305.00,287.50,295.00,295.05,294.86,1827,5.39,-,1742,95.35
INDNIPPON,EQ,05-Jan-2006,295.05,279.05,295.85,279.05,294.95,294.95,289.22,186,0.54,-,135,72.58
INDNIPPON,EQ,06-Jan-2006,294.95,294.60,299.00,291.05,295.00,295.00,294.15,1403,4.13,-,1325,94.44
INDNIPPON,EQ,09-Jan-2006,295.00,303.50,303.50,289.95,289.95,289.95,291.33,513,1.49,-,391,76.22
INDNIPPON,EQ,10-Jan-2006,289.95,294.90,294.90,280.65,282.05,283.35,283.20,497,1.41,-,402,80.89
INDNIPPON,EQ,12-Jan-2006,283.35,277.10,289.00,277.00,289.00,286.80,285.93,168,0.48,-,118,70.24
INDNIPPON,EQ,13-Jan-2006,286.80,289.00,295.00,285.00,294.00,290.80,291.37,1722,5.02,-,1338,77.70
INDNIPPON,EQ,16-Jan-2006,290.80,300.00,300.00,290.00,290.00,290.90,295.40,914,2.70,-,653,71.44
INDNIPPON,EQ,17-Jan-2006,290.90,281.05,293.95,281.05,284.15,287.15,285.51,592,1.69,-,337,56.93
INDNIPPON,EQ,18-Jan-2006,287.15,290.00,290.00,280.85,281.00,281.70,283.13,1209,3.42,-,1113,92.06
INDNIPPON,EQ,19-Jan-2006,281.70,281.10,286.80,280.15,280.95,281.10,281.81,1452,4.09,-,1252,86.23
INDNIPPON,EQ,20-Jan-2006,281.10,287.20,287.20,283.00,286.50,284.80,284.91,336,0.96,-,140,41.67
INDNIPPON,EQ,23-Jan-2006,284.80,285.00,288.00,284.00,285.55,287.00,284.61,2240,6.38,-,2230,99.55
INDNIPPON,EQ,24-Jan-2006,287.00,287.00,287.00,280.00,280.00,280.05,283.24,764,2.16,-,759,99.35
INDNIPPON,EQ,25-Jan-2006,280.05,280.30,285.20,280.00,280.00,280.35,281.72,1127,3.17,-,1042,92.46
INDNIPPON,EQ,27-Jan-2006,280.35,292.00,298.00,285.05,290.00,291.25,293.15,1469,4.31,-,1327,90.33
INDNIPPON,EQ,30-Jan-2006,291.25,301.45,301.45,290.00,294.00,293.05,293.68,1844,5.42,-,1517,82.27
INDNIPPON,EQ,31-Jan-2006,293.05,292.00,297.00,292.00,296.00,294.50,295.28,726,2.14,-,699,96.28
INDNIPPON,EQ,01-Feb-2006,294.50,293.10,293.10,279.00,279.00,279.05,282.72,2559,7.23,-,2396,93.63
INDNIPPON,EQ,02-Feb-2006,279.05,281.40,281.40,276.00,276.00,277.15,278.94,3304,9.22,-,3104,93.95
INDNIPPON,EQ,03-Feb-2006,277.15,279.90,279.90,279.90,279.90,279.90,279.90,55,0.15,-,55,100.00
INDNIPPON,EQ,06-Feb-2006,279.90,272.35,280.00,272.35,278.00,278.00,279.71,720,2.01,-,695,96.53
INDNIPPON,EQ,07-Feb-2006,278.00,278.00,283.85,275.00,283.85,278.65,277.97,442,1.23,-,371,83.94
INDNIPPON,EQ,08-Feb-2006,278.65,271.25,274.00,271.00,271.00,271.85,273.27,371,1.01,-,298,80.32
INDNIPPON,EQ,10-Feb-2006,271.85,275.00,284.90,275.00,278.00,278.05,281.94,1148,3.24,-,1118,97.39
INDNIPPON,EQ,13-Feb-2006,278.05,275.05,275.10,274.50,274.50,274.50,275.00,101,0.28,-,101,100.00
INDNIPPON,EQ,14-Feb-2006,274.50,275.00,279.30,273.30,276.00,277.65,274.13,1134,3.11,-,1113,98.15
INDNIPPON,EQ,15-Feb-2006,277.65,272.15,278.50,272.15,276.15,276.50,277.65,442,1.23,-,431,97.51
INDNIPPON,EQ,16-Feb-2006,276.50,277.25,279.90,276.00,278.00,278.00,278.56,1246,3.47,-,1140,91.49
INDNIPPON,EQ,17-Feb-2006,278.00,279.00,279.00,276.00,276.00,276.00,276.36,1194,3.30,-,1144,95.81
INDNIPPON,EQ,20-Feb-2006,276.00,273.00,278.95,273.00,278.95,278.95,274.44,315,0.86,-,310,98.41
INDNIPPON,EQ,21-Feb-2006,278.95,275.00,279.00,269.25,277.25,275.45,274.32,4170,11.44,-,2435,58.39
INDNIPPON,EQ,22-Feb-2006,275.45,273.30,274.00,271.05,274.00,273.90,273.14,280,0.76,-,220,78.57
INDNIPPON,EQ,23-Feb-2006,273.90,290.00,290.00,265.00,272.00,272.15,272.30,256,0.70,-,253,98.83
INDNIPPON,EQ,24-Feb-2006,272.15,269.05,274.90,267.00,274.90,273.95,271.29,520,1.41,-,473,90.96
INDNIPPON,EQ,27-Feb-2006,273.95,274.90,274.90,264.00,265.00,265.20,269.03,1660,4.47,-,1545,93.07
INDNIPPON,EQ,28-Feb-2006,265.20,265.05,271.00,264.00,270.90,270.85,266.29,1068,2.84,-,905,84.74
INDNIPPON,EQ,01-Mar-2006,270.85,272.20,274.90,272.20,273.55,273.50,274.51,63,0.17,-,58,92.06
INDNIPPON,EQ,02-Mar-2006,273.50,287.00,287.00,260.00,261.50,262.80,266.12,1656,4.41,-,1200,72.46
INDNIPPON,EQ,03-Mar-2006,262.80,261.00,265.00,260.20,265.00,265.00,262.31,582,1.53,-,582,100.00
INDNIPPON,EQ,06-Mar-2006,265.00,268.00,272.00,268.00,272.00,271.95,271.29,175,0.47,-,175,100.00
INDNIPPON,EQ,07-Mar-2006,271.95,276.50,276.50,270.00,270.00,270.00,271.02,3861,10.46,-,3861,100.00
INDNIPPON,EQ,08-Mar-2006,270.00,264.50,270.50,260.00,268.00,268.00,263.22,1500,3.95,-,962,64.13
INDNIPPON,EQ,09-Mar-2006,268.00,265.00,265.00,261.05,263.00,263.45,264.36,629,1.66,-,595,94.59
INDNIPPON,EQ,10-Mar-2006,263.45,265.00,270.90,265.00,269.90,269.90,269.36,822,2.21,-,712,86.62
INDNIPPON,EQ,13-Mar-2006,269.90,271.90,278.85,271.90,273.20,273.20,276.12,269,0.74,-,243,90.33
INDNIPPON,EQ,14-Mar-2006,273.20,295.00,295.00,278.00,278.00,280.45,284.52,1885,5.36,-,1183,62.76
INDNIPPON,EQ,16-Mar-2006,280.45,287.00,287.00,281.00,281.00,281.30,285.16,251,0.72,-,140,55.78
INDNIPPON,EQ,17-Mar-2006,281.30,290.00,290.00,277.10,277.10,277.20,280.65,671,1.88,-,591,88.08
INDNIPPON,EQ,20-Mar-2006,277.20,277.50,285.00,253.55,270.00,269.90,266.55,4972,13.25,-,1928,38.78
INDNIPPON,EQ,21-Mar-2006,269.90,272.00,274.00,272.00,274.00,274.00,272.17,380,1.03,-,380,100.00
INDNIPPON,EQ,22-Mar-2006,274.00,270.05,273.00,270.05,271.00,271.00,270.91,714,1.93,-,484,67.79
INDNIPPON,EQ,23-Mar-2006,271.00,273.00,276.70,270.00,270.00,270.00,270.77,1406,3.81,-,1378,98.01
INDNIPPON,EQ,24-Mar-2006,270.00,271.00,273.80,267.20,267.20,271.50,270.88,1356,3.67,-,1070,78.91
INDNIPPON,EQ,27-Mar-2006,271.50,269.00,272.00,269.00,272.00,272.00,269.49,677,1.82,-,677,100.00
INDNIPPON,EQ,28-Mar-2006,272.00,271.50,271.50,271.50,271.50,271.50,271.50,16,0.04,-,16,100.00
INDNIPPON,EQ,29-Mar-2006,271.50,272.00,276.50,272.00,276.50,276.50,274.34,1080,2.96,-,80,7.41
INDNIPPON,EQ,30-Mar-2006,276.50,272.05,277.50,267.00,275.00,269.00,270.25,211,0.57,-,190,90.05
INDNIPPON,EQ,31-Mar-2006,269.00,265.00,274.50,265.00,270.00,270.00,270.56,977,2.64,-,976,99.90
INDNIPPON,EQ,03-Apr-2006,270.00,272.00,276.00,270.00,276.00,276.00,272.27,1320,3.59,-,1320,100.00
INDNIPPON,EQ,04-Apr-2006,276.00,273.05,279.90,268.00,272.50,274.50,271.70,2438,6.62,-,1588,65.14
INDNIPPON,EQ,05-Apr-2006,274.50,269.00,275.50,269.00,275.00,274.80,274.96,618,1.70,-,601,97.25
INDNIPPON,EQ,07-Apr-2006,274.80,270.00,280.00,270.00,275.00,275.00,274.86,1232,3.39,-,1022,82.95
INDNIPPON,EQ,10-Apr-2006,275.00,274.10,276.00,274.05,276.00,276.00,274.91,465,1.28,-,455,97.85
INDNIPPON,EQ,12-Apr-2006,276.00,300.00,300.00,272.40,273.00,273.40,278.64,656,1.83,-,580,88.41
INDNIPPON,EQ,13-Apr-2006,273.40,275.00,275.00,270.00,270.00,270.00,273.44,180,0.49,-,180,100.00
INDNIPPON,EQ,17-Apr-2006,270.00,274.80,279.90,270.00,279.90,274.40,274.51,1825,5.01,-,1825,100.00
INDNIPPON,EQ,18-Apr-2006,274.40,275.00,275.00,270.00,270.30,270.50,270.70,498,1.35,-,468,93.98
INDNIPPON,EQ,19-Apr-2006,270.50,274.00,281.80,274.00,274.15,274.15,278.93,1749,4.88,-,1728,98.80
INDNIPPON,EQ,20-Apr-2006,274.15,281.80,282.40,278.00,282.40,280.95,281.24,245,0.69,-,200,81.63
INDNIPPON,EQ,21-Apr-2006,280.95,294.80,295.00,280.00,280.00,280.00,282.74,1350,3.82,-,1164,86.22
INDNIPPON,EQ,24-Apr-2006,280.00,279.00,282.00,272.00,272.00,273.25,276.51,1785,4.94,-,1760,98.60
INDNIPPON,EQ,25-Apr-2006,273.25,272.00,280.00,270.00,278.00,275.45,275.08,2236,6.15,-,1991,89.04
INDNIPPON,EQ,26-Apr-2006,275.45,259.90,280.00,259.90,280.00,277.10,269.39,2648,7.13,-,1952,73.72
INDNIPPON,EQ,27-Apr-2006,277.10,275.00,288.00,275.00,286.00,286.00,283.86,2209,6.27,-,2126,96.24
